Target_genes	Klf15|Average	SRX10012505|Liver	SRX10012506|Liver	STRING
Pex11g	1001.0	740	1262	0
Tns2	997.5	860	1135	0
Etv5	995.0	782	1208	0
Tmem205	992.5	789	1196	0
Ccdc159	992.5	789	1196	0
Asb1	989.0	767	1211	0
Arntl	989.0	866	1112	0
Nabp1	986.5	830	1143	0
Aldh1l1	985.5	711	1260	0
Zfp446	976.0	792	1160	0
Mtmr4	966.5	937	996	0
Tet3	964.5	761	1168	0
Fnip1	964.0	727	1201	0
Ipo5	963.0	784	1142	0
Epb41l5	962.0	783	1141	0
Arl4a	960.0	749	1171	0
Tmem134	959.0	773	1145	0
Nomo1	959.0	687	1231	0
Aip	959.0	773	1145	0
Abcc6	959.0	687	1231	0
Mvb12a	957.5	745	1170	0
Ivd	957.5	794	1121	0
Pold4	954.0	654	1254	0
Osbpl5	953.0	789	1117	0
Ccnd3	950.0	789	1111	0
Rtca	946.0	731	1161	0
Dbt	946.0	731	1161	0
Cbx2	940.5	767	1114	0
Mpv17l2	937.5	809	1066	0
Mpc1	934.0	692	1176	0
Acaa2	928.0	685	1171	0
9430038I01Rik	925.5	755	1096	0
Pccb	921.0	675	1167	0
Smad6	920.5	621	1220	0
Cyp4a32	919.5	737	1102	0
Pced1b	919.0	672	1166	0
Amigo2	919.0	672	1166	0
Snx11	903.5	710	1097	0
Bhmt	902.5	719	1086	0
Cyp2e1	902.0	711	1093	0
Zfp771	893.5	739	1048	0
Ankrd37	893.0	718	1068	0
Miip	892.0	779	1005	0
Fv1	892.0	779	1005	0
Mllt10	891.5	940	843	0
Aldob	890.5	732	1049	0
Ehhadh	890.0	667	1113	0
Cnn3	890.0	762	1018	0
Ptch1	888.5	756	1021	0
Camta1	888.0	694	1082	0
Rangrf	879.0	606	1152	0
Asap2	876.5	542	1211	0
Rsrp1	875.0	701	1049	0
Cyp4f15	873.5	681	1066	0
Fggy	872.5	669	1076	0
Ftl1	871.5	685	1058	0
Actl6b	868.5	599	1138	0
Tmem120a	867.5	653	1082	0
Dcaf11	867.0	612	1122	0
Gcdh	866.5	719	1014	0
Men1	866.0	620	1112	0
Hp1bp3	862.5	651	1074	0
Polr3g	860.5	838	883	0
Mblac2	860.5	838	883	0
Msmo1	855.0	596	1114	0
H1f0	855.0	764	946	0
Gnpnat1	855.0	648	1062	0
Gcat	855.0	764	946	0
Rnd1	853.5	702	1005	0
Ap3m1	851.5	731	972	0
Adk	851.5	731	972	0
Atxn7l3	848.5	644	1053	0
Rcl1	845.0	761	929	0
Mbd4	840.5	657	1024	0
Ift122	840.5	657	1024	0
Hibch	838.5	692	985	0
Slc1a4	837.0	774	900	0
Txnl4b	834.0	727	941	0
Dhx38	834.0	727	941	0
Uaca	831.5	631	1032	0
F11r	831.5	689	974	0
Heatr5a	828.5	571	1086	0
