Target_genes	Mxi1|Average	SRX140388|CH12	SRX140391|MEL	SRX15939545|NIH/3T3	SRX15939546|NIH/3T3	STRING
Taf5l	1682.25	1475	1502	2134	1618	0
Polr1b	1681.25	1402	1635	1665	2023	0
Trmt6	1669.75	1677	1833	1752	1417	0
Mcm8	1669.75	1677	1833	1752	1417	0
Ubr5	1662.0	1425	1339	1975	1909	0
Scrt1	1661.0	1538	1734	1735	1637	0
Ptdss2	1657.0	1858	1793	1572	1405	0
Ubfd1	1653.5	1295	1390	1994	1935	0
Ears2	1653.5	1295	1390	1994	1935	0
Pusl1	1648.25	1463	1309	1961	1860	0
Acap3	1648.25	1463	1309	1961	1860	0
Uso1	1647.75	1449	1516	1809	1817	0
G3bp2	1647.75	1449	1516	1809	1817	0
Mdn1	1645.0	1384	1409	1823	1964	0
Pigw	1639.25	1551	968	2047	1991	0
Myo19	1639.25	1551	968	2047	1991	0
Lig3	1637.75	1643	1616	1640	1652	0
Nop2	1634.0	1543	1373	1779	1841	0
Eef1akmt4-ece2	1632.5	1445	1599	1702	1784	0
Eef1akmt4	1632.5	1445	1599	1702	1784	0
Alg3	1632.5	1445	1599	1702	1784	0
Dhrs13	1630.5	1541	1676	1468	1837	0
Timm9	1627.75	1494	1431	1754	1832	0
2700049A03Rik	1627.75	1494	1431	1754	1832	0
Akap1	1626.25	1226	1220	2094	1965	0
Chchd6	1626.0	1393	1541	1740	1830	0
Pdcd11	1618.0	1173	1399	1933	1967	0
Atp5md	1618.0	1173	1399	1933	1967	0
Rnf166	1614.25	1616	1501	1764	1576	0
Ctu2	1614.25	1616	1501	1764	1576	0
Srd5a1	1607.5	1213	1217	2039	1961	0
Nsun2	1607.5	1213	1217	2039	1961	0
Prdm4	1606.75	1640	1771	1579	1437	0
Hat1	1603.0	1244	1788	1807	1573	0
Rnmt	1597.75	1183	1581	1795	1832	0
Fam210a	1597.75	1183	1581	1795	1832	0
Gcsh	1597.25	1014	1145	2119	2111	0
Cluh	1596.5	1577	1444	1727	1638	0
Prpf19	1594.75	1369	1156	2010	1844	0
Espl1	1594.0	1313	1578	1807	1678	0
Pemt	1590.0	1395	1447	1758	1760	0
Coa7	1590.0	1342	1268	1880	1870	0
Akr1b3	1585.25	1319	1746	1716	1560	0
Mcfd2	1582.5	1046	1354	1923	2007	0
Vstm2l	1578.25	1669	1907	1493	1244	0
Fbl	1576.0	1213	1299	2071	1721	0
Cenpw	1574.0	1369	989	2175	1763	0
Rint1	1573.5	1243	1100	2098	1853	0
Pus7	1573.5	1243	1100	2098	1853	0
Med20	1573.25	1426	1349	1889	1629	0
Gm20517	1573.25	1426	1349	1889	1629	0
Bysl	1573.25	1426	1349	1889	1629	0
Noc4l	1573.0	1666	1580	1568	1478	0
Ddx51	1573.0	1666	1580	1568	1478	0
Wee1	1572.25	1012	907	2286	2084	0
