Target_genes	Chd1|Average	SRX188823|CH12	SRX188825|MEL	STRING
Atf1	180.0	130	230	0
Vps51	179.5	180	179	0
Ubb	179.5	143	216	0
Tmem262	179.5	180	179	0
Setd1b	179.5	199	160	0
Med13	179.5	147	212	0
Fignl1	179.5	211	148	0
Uba7	179.0	160	198	0
Usp48	178.5	174	183	0
Tcp11	178.5	0	357	0
Prr14	178.5	180	177	0
Ppp2r5c	178.5	187	170	0
Ascc1	178.5	98	259	0
Anapc16	178.5	98	259	0
Ubap2l	178.0	87	269	0
H4c18	178.0	179	177	0
Ap3s2	178.0	112	244	0
4933434E20Rik	178.0	87	269	0
Rpap1	177.5	195	160	0
Prorsd1	177.5	135	220	0
Mrpl3	177.5	94	261	0
1110004F10Rik	177.5	164	191	0
Sec14l2	177.0	177	177	0
Psmf1	177.0	214	140	0
Cnot4	177.0	187	167	0
Zfp143	176.5	130	223	0
Zcwpw1	176.5	206	147	0
Rfx5	176.5	112	241	0
Ndrg1	176.5	0	353	0
Mepce	176.5	206	147	0
H4c4	176.5	188	165	0
Rnaseh2b	176.0	184	168	0
Cdk2ap1	175.5	235	116	0
Atp5g2	175.5	178	173	0
Tmem94	175.0	205	145	0
Mettl3	175.0	255	95	0
Zmpste24	174.5	143	206	0
Prcc	174.5	179	170	0
Sytl3	174.0	84	264	0
Parl	174.0	188	160	0
Nfkbil1	174.0	170	178	0
Mrps18c	174.0	106	242	0
Helq	174.0	106	242	0
Churc1	174.0	94	254	0
Birc2	174.0	77	271	0
Atp6v1g2	174.0	170	178	0
Wdr13	173.5	0	347	0
Ssh2	173.5	234	113	0
Zfp869	173.0	129	217	0
Pmf1	173.0	98	248	0
Pdik1l	173.0	0	346	0
Nudt13	173.0	198	148	0
H4c12	173.0	178	168	0
H2bc15	173.0	178	168	0
H2ac15	173.0	178	168	0
Bcl2l12	173.0	106	240	0
Rpl10	172.5	145	200	0
H2aw	172.5	165	180	0
Ccdc174	172.5	196	149	0
2610001J05Rik	172.5	134	211	0
Tefm	172.0	162	182	0
Pigm	172.0	192	152	0
Dock2	172.0	232	112	0
Aff1	172.0	0	344	0
Smarca4	171.5	113	230	0
Pcdhgc5	171.5	108	235	0
Pcdhgc4	171.5	108	235	0
Pcbp1	171.5	214	129	0
Aadacl2fm1	171.5	343	0	0
Rplp1	171.0	95	247	0
Kcnu1	171.0	162	180	0
Ash2l	171.0	162	180	0
Srp68	170.5	147	194	0
P4hb	170.5	213	128	0
Rcc2	170.0	207	133	0
Mettl16	170.0	137	203	0
Kmt2d	170.0	140	200	0
Pmpcb	169.5	116	223	0
Ttc25	169.0	224	114	0
Rest	169.0	169	169	0
Naa50	169.0	164	174	0
Atp6v1a	169.0	164	174	0
Wdr36	168.0	138	198	0
Map2k5	168.0	148	188	0
Foxn2	168.0	141	195	0
Tob2	167.5	189	146	0
Stk40	167.5	121	214	0
Gbp3	167.5	335	0	0
Atg16l1	167.5	177	158	0
Pnkp	167.0	94	240	0
Rab13	166.5	148	185	0
Mettl22	166.5	167	166	0
Hes7	166.5	167	166	0
Cdkn2aipnl	166.5	126	207	0
Bcl7b	166.5	209	124	0
Aloxe3	166.5	167	166	0
Thg1l	166.0	231	101	0
Ndufc2	166.0	110	222	0
Edem2	166.0	194	138	0
Atp2b4	166.0	173	159	0
Scn4b	165.5	331	0	0
Pogz	165.5	158	173	0
Gtf2b	165.5	223	108	0
Ehmt1	165.5	154	177	0
Cops4	165.5	151	180	0
Calm1	165.5	192	139	0
Zfp26	165.0	136	194	0
Rpl3	165.0	138	192	0
Rpl10a	165.0	147	183	0
Rab25	165.0	171	159	0
Ppia	165.0	206	124	0
Itpkc	165.0	330	0	0
Dact3	165.0	216	114	0
Ankrd40	165.0	162	168	0
Tmem167b	164.5	112	217	0
Slc22a5	164.5	186	143	0
Sec23a	164.5	149	180	0
Prmt5	164.5	127	202	0
Nsmce1	164.5	107	222	0
Gemin2	164.5	149	180	0
Fancd2	164.5	132	197	0
Emc3	164.5	132	197	0
Ednrb	164.5	329	0	0
Tia1	164.0	110	218	0
Pus10	164.0	221	107	0
Ppan	163.5	106	221	0
Npc1	163.5	142	185	0
Atp6v0a2	163.5	134	193	0
Urgcp	163.0	220	106	0
Hdac7	163.0	179	147	0
Usp30	162.5	177	148	0
Nol10	162.5	216	109	0
Upf1	162.0	173	151	0
Nfu1	162.0	104	220	0
Mcm5	162.0	181	143	0
Jtb	162.0	147	177	0
Fbl	162.0	150	174	0
Dapp1	162.0	191	133	0
Cnot1	162.0	146	178	0
Ccz1	162.0	147	177	0
Zfp692	161.5	121	202	0
Sil1	161.5	145	178	0
Sgk1	161.5	189	134	0
Pemt	161.5	135	188	0
Nudt15	161.5	171	152	0
H2bc1	161.5	164	159	0
H2ac1	161.5	164	159	0
Chd8	161.5	185	138	0
Atp6v0a1	161.5	198	125	0
Ybey	161.0	149	173	0
Tomm40l	161.0	101	221	0
Slc7a1	161.0	110	212	0
Nr1h2	161.0	240	82	0
Mcm3ap	161.0	149	173	0
Mbd3	161.0	159	163	0
Armc5	161.0	178	144	0
Apoa2	161.0	101	221	0
9130023H24Rik	161.0	178	144	0
Srebf1	160.5	161	160	0
Arsg	160.5	147	174	0
9130401M01Rik	160.5	158	163	0
Plcd3	160.0	167	153	0
Mroh6	160.0	320	0	0
Gm13288	160.0	0	320	0
Gm13287	160.0	0	320	0
Epha2	160.0	320	0	0
Acbd4	160.0	167	153	0
Slc39a3	159.5	152	167	0
Ints10	159.5	195	124	0
Actr2	159.5	185	134	0
Nrep	159.0	318	0	0
Bptf	159.0	145	173	0
Srp72	158.5	93	224	0
Smco4	158.5	317	0	0
Ilf2	158.5	144	173	0
Hnrnpa2b1	158.5	146	171	0
Gadd45a	158.5	179	138	0
Dffb	158.5	180	137	0
Chchd2	158.5	147	170	0
Cep104	158.5	180	137	0
Cbx3	158.5	146	171	0
Canx	158.5	162	155	0
Rbbp5	158.0	190	126	0
Nvl	158.0	178	138	0
Fbxo47	158.0	148	168	0
Spg7	157.5	175	140	0
Spag7	157.5	191	124	0
Rusc2	157.5	0	315	0
Fdps	157.5	130	185	0
Utp3	157.0	92	222	0
Slc25a45	157.0	228	86	0
Frmd8	157.0	228	86	0
Dipk1a	157.0	205	109	0
Chd9	157.0	87	227	0
Brf2	157.0	187	127	0
Atxn3	157.0	107	207	0
Tle4	156.5	167	146	0
Metap1	156.5	151	162	0
Galk1	156.5	87	226	0
Zbtb6	156.0	163	149	0
Urm1	156.0	162	150	0
Pigl	156.0	148	164	0
Ncor1	156.0	148	164	0
Gtf2h2	156.0	137	175	0
Dpagt1	156.0	129	183	0
Cops3	156.0	152	160	0
Ccdc181	156.0	0	312	0
Uckl1	155.5	170	141	0
Shmt2	155.5	183	128	0
Endod1	155.5	150	161	0
Zfp169	155.0	117	193	0
Rpl6	155.0	118	192	0
Rnf111	155.0	200	110	0
Gosr1	155.0	151	159	0
Clec2d	154.5	211	98	0
2310033P09Rik	154.5	97	212	0
Tmem222	154.0	156	152	0
Stt3a	154.0	156	152	0
Psmd7	154.0	115	193	0
Ppp1cb	154.0	128	180	0
Nsun5	154.0	157	151	0
Ddx23	154.0	162	146	0
Xrcc5	153.5	164	143	0
Sp2	153.5	197	110	0
Ncbp3	153.5	130	177	0
Mppe1	153.5	105	202	0
Ino80c	153.5	168	139	0
Eif4e	153.5	126	181	0
Dhx58	153.5	158	149	0
Tmem11	153.0	127	179	0
Slc35a5	153.0	162	144	0
Nabp2	153.0	167	139	0
Kif13b	153.0	306	0	0
Hlx	153.0	119	187	0
Atg3	153.0	162	144	0
Zkscan3	152.5	171	134	0
Ubiad1	152.5	180	125	0
Snx9	152.5	145	160	0
Mtor	152.5	180	125	0
Casc3	152.5	189	116	0
Appbp2	152.5	90	215	0
Sf3b4	152.0	96	208	0
Nubp1	152.0	231	73	0
Lamtor3	152.0	191	113	0
Supt20	151.5	154	149	0
Slc16a13	151.5	183	120	0
H3c4	151.5	140	163	0
H2bc8	151.5	140	163	0
H2bc7	151.5	140	163	0
H2ac8	151.5	140	163	0
H2ac7	151.5	140	163	0
Ubl3	151.0	140	162	0
Rpl35a	151.0	159	143	0
Ppp3r1	151.0	155	147	0
Ppil3	151.0	183	119	0
Nif3l1	151.0	183	119	0
Iqcg	151.0	159	143	0
H3c2	151.0	120	182	0
H2ac4	151.0	120	182	0
Cr1l	151.0	137	165	0
Rbm43	150.5	63	238	0
Pfn1	150.5	192	109	0
Pclaf	150.5	150	151	0
Eno3	150.5	192	109	0
Emsy	150.5	138	163	0
Elp5	150.5	210	91	0
Ctdnep1	150.5	210	91	0
Ube2m	150.0	105	195	0
Tspan31	150.0	114	186	0
Rps28	150.0	146	154	0
Rbm8a	150.0	110	190	0
Ranbp2	150.0	128	172	0
Plp2	150.0	0	300	0
Nuf2	150.0	69	231	0
Ndufa7	150.0	146	154	0
Hjurp	150.0	96	204	0
Gtf3c3	150.0	121	179	0
Emc4	150.0	161	139	0
Edc4	150.0	126	174	0
Csnk1g1	150.0	300	0	0
Chmp2a	150.0	105	195	0
Bdnf	150.0	300	0	0
A730008H23Rik	150.0	96	204	0
Zswim7	149.5	202	97	0
Ttc19	149.5	202	97	0
Spag9	149.5	158	141	0
Slfn10-ps	149.5	299	0	0
Gpatch8	149.5	130	169	0
Creb1	149.5	170	129	0
Cebpb	149.5	111	188	0
Bdh2	149.5	140	159	0
Angptl6	149.5	125	174	0
Ints4	149.0	143	155	0
Dok4	149.0	0	298	0
Zzef1	148.5	206	91	0
Fibp	148.5	164	133	0
Dis3l	148.5	188	109	0
Cyb5d2	148.5	206	91	0
Cecr2	148.5	82	215	0
Ccdc85b	148.5	164	133	0
Nsfl1c	148.0	183	113	0
Itpr1	148.0	208	88	0
Hcls1	148.0	210	86	0
Zfp87	147.5	207	88	0
Zfp729a	147.5	147	148	0
Vta1	147.5	130	165	0
Slfn2	147.5	164	131	0
Pafah2	147.5	102	193	0
Mrpl20	147.5	134	161	0
Il21r	147.5	295	0	0
Commd2	147.5	178	117	0
Cnbp	147.5	150	145	0
Acp6	147.5	0	295	0
Vegfa	147.0	140	154	0
Psme3	147.0	162	132	0
Prkcd	147.0	294	0	0
Prepl	147.0	0	294	0
Mettl9	147.0	112	182	0
Golga7	147.0	294	0	0
Camkmt	147.0	0	294	0
Vpreb1	146.5	160	133	0
Top3b	146.5	160	133	0
Rps26	146.5	101	192	0
Pwp2	146.5	160	133	0
Hmgb1	146.5	72	221	0
Fam161a	146.5	167	126	0
Emd	146.5	293	0	0
Dph7	146.5	124	169	0
Uspl1	146.0	111	181	0
Gtf2h3	146.0	154	138	0
Eif2b1	146.0	154	138	0
Cep295	146.0	0	292	0
Birc3	146.0	126	166	0
Rrp15	145.5	124	167	0
Ppm1d	145.5	137	154	0
Pold2	145.5	139	152	0
Nudt1	145.5	138	153	0
Mtmr9	145.5	176	115	0
Mrm2	145.5	138	153	0
Haus4	145.5	94	197	0
Dcaf11	145.5	142	149	0
T2	145.0	114	176	0
Clec2f	145.0	124	166	0
Calr	145.0	89	201	0
Actr8	145.0	131	159	0
2310057M21Rik	145.0	156	134	0
Uqcrb	144.5	118	171	0
Ubxn7	144.5	176	113	0
Slc17a5	144.5	211	78	0
Pfkp	144.5	289	0	0
Pdcl	144.5	114	175	0
Myl4	144.5	183	106	0
Gm10767	144.5	118	171	0
Get1	144.5	121	168	0
Eps15	144.5	140	149	0
Ccar2	144.5	134	155	0
Agk	144.5	158	131	0
Wdr41	144.0	185	103	0
Rabggtb	144.0	125	163	0
Mtf1	144.0	142	146	0
Msh5	144.0	191	97	0
Mrpl21	144.0	153	135	0
Ighmbp2	144.0	153	135	0
Grb2	144.0	124	164	0
Clic1	144.0	191	97	0
Ccdc73	144.0	188	100	0
Tcam1	143.5	125	162	0
Smarcd2	143.5	125	162	0
Opa1	143.5	154	133	0
Gsc2	143.5	130	157	0
Ess2	143.5	130	157	0
Dpy19l4	143.5	125	162	0
Rps29	143.0	121	165	0
Dnlz	143.0	128	158	0
Bnip1	143.0	104	182	0
Atxn7l3	143.0	104	182	0
Zc3h6	142.5	146	139	0
Utp6	142.5	131	154	0
Samd9l	142.5	0	285	0
Runx1	142.5	176	109	0
Rfesd	142.5	103	182	0
Phf23	142.5	109	176	0
Nsun4	142.5	118	167	0
Gabarap	142.5	109	176	0
Nlk	142.0	157	127	0
Mcph1	142.0	116	168	0
Gk5	142.0	122	162	0
D630045J12Rik	142.0	284	0	0
Zfp738	141.5	173	110	0
Ubqln4	141.5	124	159	0
Tjap1	141.5	123	160	0
Tbrg4	141.5	151	132	0
Sugct	141.5	192	91	0
Pfdn5	141.5	125	158	0
Nkap	141.5	153	130	0
Nfe2l1	141.5	186	97	0
Mplkip	141.5	192	91	0
Map2k2	141.5	136	147	0
Lamtor2	141.5	124	159	0
Ints2	141.5	107	176	0
Tmem30a	141.0	147	135	0
Sart1	141.0	115	167	0
Prpf3	141.0	0	282	0
Plek	141.0	117	165	0
Nlrp10	141.0	104	178	0
Eif3f	141.0	104	178	0
Kdm5d	140.5	170	111	0
H2az1	140.5	202	79	0
Gm13279	140.5	0	281	0
Gm13278	140.5	0	281	0
Gm13275	140.5	0	281	0
Dus1l	140.5	132	149	0
Dnajb14	140.5	202	79	0
Znhit2	140.0	140	140	0
Ufc1	140.0	200	80	0
Rad50	140.0	159	121	0
Muc13	140.0	172	108	0
Mrpl49	140.0	140	140	0
Fau	140.0	140	140	0
Ecpas	140.0	147	133	0
Dusp12	140.0	141	139	0
Ddx47	140.0	116	164	0
2810021J22Rik	140.0	138	142	0
Wdr1	139.5	116	163	0
Trim34a	139.5	138	141	0
Ly96	139.5	134	145	0
Lars2	139.5	115	164	0
Cdkl4	139.5	141	138	0
Cd70	139.5	279	0	0
Ccr4	139.5	279	0	0
Zfp524	139.0	112	166	0
Sec24c	139.0	104	174	0
Rrm1	139.0	119	159	0
Rps27l	139.0	198	80	0
Rpl23	139.0	80	198	0
Psme2	139.0	165	113	0
Pgp	139.0	151	127	0
Ociad1	139.0	167	111	0
Nufip2	139.0	190	88	0
Fiz1	139.0	112	166	0
Emc9	139.0	165	113	0
Egr2	139.0	106	172	0
Dhrs13	139.0	121	157	0
Bricd5	139.0	151	127	0
Banp	139.0	177	101	0
Agpat5	139.0	278	0	0
Aar2	139.0	150	128	0
Ubox5	138.5	132	145	0
Taf4	138.5	133	144	0
Rgl1	138.5	134	143	0
Pi4k2a	138.5	145	132	0
Morn4	138.5	145	132	0
Fastkd5	138.5	132	145	0
Arpc5	138.5	134	143	0
Zdhhc12	138.0	94	182	0
Ttc26	138.0	134	142	0
Tmem192	138.0	276	0	0
Ppm1g	138.0	124	152	0
Ppie	138.0	130	146	0
Hacd2	138.0	203	73	0
Ccdc142	138.0	114	162	0
Zfp362	137.5	187	88	0
Yy1	137.5	145	130	0
Wdr19	137.5	137	138	0
Tbl1xr1	137.5	112	163	0
Rpl26	137.5	103	172	0
Rnf2	137.5	167	108	0
Ppp1r9b	137.5	117	158	0
Casq1	137.5	156	119	0
Pafah1b1	137.0	142	132	0
Orc5	137.0	104	170	0
Nfx1	137.0	128	146	0
Hmgxb4	137.0	117	157	0
H4c2	137.0	134	140	0
Fut8	137.0	145	129	0
Agbl5	137.0	115	159	0
Acin1	137.0	117	157	0
2310061I04Rik	137.0	142	132	0
Tedc1	136.5	125	148	0
Suox	136.5	145	128	0
Ptpn4	136.5	141	132	0
Ppp4r3b	136.5	127	146	0
Pcnt	136.5	104	169	0
Krr1	136.5	140	133	0
Fam168b	136.5	190	83	0
Eif4e2	136.5	146	127	0
Crip1	136.5	125	148	0
Trmt112	136.0	115	157	0
Tpt1	136.0	104	168	0
Pttg1	136.0	148	124	0
Prdx5	136.0	115	157	0
Poc1a	136.0	176	96	0
Nrde2	136.0	114	158	0
Tspan10	135.5	155	116	0
Nploc4	135.5	155	116	0
Inpp5k	135.5	147	124	0
Dnajc10	135.5	156	115	0
Dhx16	135.5	116	155	0
Caly	135.5	152	119	0
Acvr1b	135.5	271	0	0
Abi2	135.5	127	144	0
Tcta	135.0	159	111	0
Tbl3	135.0	131	139	0
Rhoa	135.0	159	111	0
H4c8	135.0	108	162	0
H3c8	135.0	108	162	0
H2ac10	135.0	108	162	0
Aasdh	135.0	0	270	0
2610301B20Rik	135.0	126	144	0
Zfp345	134.5	169	100	0
Tuba1b	134.5	113	156	0
Tmem19	134.5	118	151	0
Sirt7	134.5	127	142	0
Ech1	134.5	137	132	0
Tmem140	134.0	96	172	0
Sytl1	134.0	268	0	0
Rchy1	134.0	160	108	0
Rbm25	134.0	155	113	0
Ppcdc	134.0	122	146	0
Kdm5a	134.0	132	136	0
Uba6	133.5	153	114	0
Tepsin	133.5	102	165	0
Spop	133.5	155	112	0
Ndufaf8	133.5	102	165	0
Mrps7	133.5	142	125	0
Gga3	133.5	142	125	0
4833420G17Rik	133.5	174	93	0
Zbtb45	133.0	98	168	0
Rs1	133.0	119	147	0
Fdxr	133.0	161	105	0
Cutc	133.0	82	184	0
Cox15	133.0	82	184	0
Arpc1b	133.0	119	147	0
Trmt12	132.5	100	165	0
Tmem116	132.5	265	0	0
Esyt1	132.5	156	109	0
Erp29	132.5	265	0	0
Eral1	132.5	86	179	0
Endov	132.5	150	115	0
Cflar	132.5	146	119	0
Ccnt1	132.5	124	141	0
Ccdc62	132.5	0	265	0
Actb	132.5	153	112	0
4930415O20Rik	132.5	124	141	0
Topors	132.0	143	121	0
Spdl1	132.0	164	100	0
Smim27	132.0	143	121	0
Slc35a4	132.0	134	130	0
Rpain	132.0	133	131	0
Rab21	132.0	156	108	0
Naa35	132.0	78	186	0
Ifnz	132.0	0	264	0
Gm13272	132.0	0	264	0
Ddx59	132.0	105	159	0
Apbb3	132.0	134	130	0
Amfr	132.0	96	168	0
Fmc1	131.5	116	147	0
Eif5a	131.5	181	82	0
Clptm1	131.5	176	87	0
Cbl	131.5	120	143	0
Alkbh5	131.5	134	129	0
Wtap	131.0	97	165	0
Tmem177	131.0	120	142	0
Srrm1	131.0	87	175	0
Rnf135	131.0	145	117	0
Prune1	131.0	103	159	0
Mindy1	131.0	103	159	0
Zfp868	130.5	158	103	0
Tmem209	130.5	129	132	0
Ssmem1	130.5	129	132	0
Parp2	130.5	261	0	0
Nup107	130.5	146	115	0
Morf4l2	130.5	137	124	0
H4c9	130.5	95	166	0
H4c1	130.5	134	127	0
H3c1	130.5	134	127	0
H2bc11	130.5	95	166	0
H2ac11	130.5	95	166	0
H1f1	130.5	134	127	0
Ttc9c	130.0	97	163	0
Troap	130.0	0	260	0
Tmem69	130.0	137	123	0
S100a3	130.0	260	0	0
S100a2	130.0	260	0	0
Rhot1	130.0	103	157	0
Itpkb	130.0	154	106	0
Hnrnpul2	130.0	97	163	0
Gpbp1l1	130.0	137	123	0
Eif5	130.0	139	121	0
Eef2k	130.0	126	134	0
Cct2	130.0	141	119	0
Castor2	130.0	260	0	0
Zfp574	129.5	142	117	0
Ssr2	129.5	115	144	0
Napepld	129.5	165	94	0
Las1l	129.5	138	121	0
Grik5	129.5	142	117	0
Xrra1	129.0	139	119	0
Spcs2	129.0	139	119	0
Rev1	129.0	90	168	0
Psmb6	129.0	94	164	0
Pigyl	129.0	0	258	0
Nop14	129.0	74	184	0
Gtpbp3	129.0	113	145	0
Grk4	129.0	74	184	0
Fh1	129.0	119	139	0
Ano8	129.0	113	145	0
Traf3ip3	128.5	157	100	0
Tmco4	128.5	143	114	0
Tex22	128.5	104	153	0
Safb2	128.5	91	166	0
Safb	128.5	91	166	0
Pspc1	128.5	153	104	0
Bank1	128.5	257	0	0
9530077C05Rik	128.5	0	257	0
Nub1	128.0	113	143	0
Lsm6	128.0	134	122	0
Lrrk1	128.0	88	168	0
Immt	128.0	110	146	0
Efna1	128.0	146	110	0
Cnot10	128.0	112	144	0
Wnt10b	127.5	88	167	0
Uri1	127.5	116	139	0
Stoml2	127.5	107	148	0
Snrnp200	127.5	138	117	0
Slc1a5	127.5	128	127	0
Slc16a6	127.5	81	174	0
Ska2	127.5	104	151	0
Prr11	127.5	104	151	0
Mzb1	127.5	255	0	0
Kri1	127.5	102	153	0
Fbxw2	127.5	157	98	0
Chmp7	127.5	129	126	0
Cdkn2d	127.5	102	153	0
9530068E07Rik	127.5	97	158	0
1810024B03Rik	127.5	138	117	0
Srek1	127.0	97	157	0
Prdm15	127.0	151	103	0
Pld4	127.0	173	81	0
Lacc1	127.0	254	0	0
Kif18b	127.0	142	112	0
Ccdc122	127.0	254	0	0
Armc9	127.0	105	149	0
Zfp882	126.5	70	183	0
Wdr11	126.5	120	133	0
Ube2l6	126.5	119	134	0
Tmem160	126.5	120	133	0
Rpl21	126.5	87	166	0
Rbm5	126.5	106	147	0
Polq	126.5	134	119	0
Ogdh	126.5	127	126	0
Mtmr2	126.5	87	166	0
Manbal	126.5	90	163	0
Fadd	126.5	140	113	0
Cdc37l1	126.5	128	125	0
Cdc25c	126.5	149	104	0
Adssl1	126.5	0	253	0
Spred1	126.0	153	99	0
Mpp2	126.0	118	134	0
Cdk12	126.0	108	144	0
Usp49	125.5	70	181	0
Tsfm	125.5	0	251	0
Tars	125.5	101	150	0
Sumf2	125.5	129	122	0
Plekhm1	125.5	170	81	0
Nr3c1	125.5	118	133	0
Iws1	125.5	135	116	0
Hikeshi	125.5	98	153	0
D030056L22Rik	125.5	142	109	0
Cwc25	125.5	108	143	0
Zfp429	125.0	250	0	0
Rad21	125.0	89	161	0
Rabgef1	125.0	96	154	0
Ppp1r2	125.0	143	107	0
Poli	125.0	104	146	0
Mvd	125.0	154	96	0
Copz1	125.0	117	133	0
Cdk5rap1	125.0	0	250	0
Bex6	125.0	125	125	0
B3gntl1	125.0	174	76	0
Adcy7	125.0	142	108	0
Zfp719	124.5	123	126	0
Wdr53	124.5	140	109	0
Ube2v1	124.5	134	115	0
Tssk6	124.5	145	104	0
Pskh1	124.5	135	114	0
Phb2	124.5	107	142	0
Ndufa13	124.5	145	104	0
Ndel1	124.5	132	117	0
Mettl15	124.5	114	135	0
Kif18a	124.5	114	135	0
Isca1	124.5	115	134	0
Gpr155	124.5	249	0	0
Filip1l	124.5	249	0	0
Fbxo45	124.5	140	109	0
Emg1	124.5	107	142	0
Cluap1	124.5	102	147	0
1700037C18Rik	124.5	102	147	0
Usp22	124.0	110	138	0
Tex9	124.0	248	0	0
Tbc1d7	124.0	135	113	0
Rpia	124.0	75	173	0
Pde4a	124.0	65	183	0
Ulk2	123.5	134	113	0
Ublcp1	123.5	105	142	0
Srsf2	123.5	133	114	0
Riok1	123.5	78	169	0
Ranbp6	123.5	112	135	0
Mtmr12	123.5	128	119	0
Mfsd11	123.5	133	114	0
Ino80e	123.5	142	105	0
Hirip3	123.5	142	105	0
Cox20	123.5	141	106	0
Cast	123.5	140	107	0
Cage1	123.5	78	169	0
Bola1	123.5	0	247	0
Atp8b2	123.5	0	247	0
Atf6	123.5	148	99	0
Atad2b	123.5	164	83	0
Slc33a1	123.0	135	111	0
Scd2	123.0	111	135	0
Rtn4	123.0	122	124	0
Rbm34	123.0	0	246	0
Kat7	123.0	133	113	0
Gm5150	123.0	246	0	0
Gata2	123.0	0	246	0
Foxk1	123.0	78	168	0
E430018J23Rik	123.0	155	91	0
E2f3	123.0	119	127	0
Dennd4b	123.0	136	110	0
Ccnc	123.0	157	89	0
Zfp458	122.5	155	90	0
Unc45b	122.5	94	151	0
Stpg3	122.5	119	126	0
Rps13	122.5	108	137	0
Phkb	122.5	105	140	0
Nelfb	122.5	119	126	0
Mrpl12	122.5	145	100	0
Mfsd10	122.5	130	115	0
Itfg1	122.5	105	140	0
Gatad2b	122.5	93	152	0
Fbxo43	122.5	132	113	0
Ctsc	122.5	103	142	0
Cpt2	122.5	143	102	0
Cdkal1	122.5	107	138	0
Unkl	122.0	103	141	0
Srp19	122.0	114	130	0
Snx11	122.0	92	152	0
Mical3	122.0	144	100	0
Gmeb2	122.0	133	111	0
Ankdd1a	122.0	244	0	0
Ykt6	121.5	131	112	0
Vps26c	121.5	120	123	0
Mob4	121.5	108	135	0
Med27	121.5	101	142	0
Ercc6l2	121.5	109	134	0
Ddx3y	121.5	57	186	0
Ccdc88a	121.5	124	119	0
Abcd4	121.5	108	135	0
Vstm5	121.0	0	242	0
Tomm22	121.0	122	120	0
Tnks2	121.0	147	95	0
Ergic3	121.0	143	99	0
Acbd6	121.0	100	142	0
6430550D23Rik	121.0	143	99	0
Rps19bp1	120.5	122	119	0
Phip	120.5	148	93	0
Nsrp1	120.5	137	104	0
Ing1	120.5	87	154	0
Alg8	120.5	123	118	0
A3galt2	120.5	0	241	0
Xkr5	120.0	110	130	0
Tmem40	120.0	240	0	0
Rnf10	120.0	135	105	0
Rab8a	120.0	118	122	0
Psmc2	120.0	157	83	0
Kdm5c	120.0	0	240	0
Gadd45b	120.0	240	0	0
Dnajc2	120.0	157	83	0
Cdkn2aip	120.0	144	96	0
Cdh12	120.0	240	0	0
Bmp7	120.0	240	0	0
Atp6v0e	120.0	107	133	0
Vps50	119.5	142	97	0
Smim19	119.5	122	117	0
Slc41a1	119.5	89	150	0
Slc35a1	119.5	119	120	0
Slc20a2	119.5	122	117	0
Pla2g15	119.5	89	150	0
Phf11d	119.5	239	0	0
Hepacam2	119.5	142	97	0
Efcab2	119.5	107	132	0
Dtwd2	119.5	127	112	0
Clta	119.5	78	161	0
Trim30d	119.0	238	0	0
Rpl27	119.0	106	132	0
Rnf19a	119.0	89	149	0
Mgat4b	119.0	116	122	0
Ctse	119.0	119	119	0
Cbln3	119.0	121	117	0
Agl	119.0	124	114	0
Znhit1	118.5	138	99	0
Tmem106c	118.5	100	137	0
Tmed9	118.5	109	128	0
Spc24	118.5	98	139	0
Rbm28	118.5	82	155	0
Plod3	118.5	138	99	0
Otub1	118.5	134	103	0
Ifi27	118.5	237	0	0
Dbnl	118.5	75	162	0
Cth	118.5	237	0	0
Anln	118.5	0	237	0
Trp53rka	118.0	112	124	0
Sugt1	118.0	155	81	0
Rnft1	118.0	69	167	0
Med18	118.0	101	135	0
Gmnn	118.0	116	120	0
Dip2b	118.0	153	83	0
Cisd2	118.0	136	100	0
Bsg	118.0	118	118	0
Tlr6	117.5	140	95	0
Spi1	117.5	113	122	0
Sltm	117.5	133	102	0
Ropn1l	117.5	96	139	0
Opa3	117.5	97	138	0
Itprip	117.5	90	145	0
Tet2	117.0	234	0	0
Senp6	117.0	83	151	0
Nemf	117.0	98	136	0
Kptn	117.0	111	123	0
Hacl1	117.0	137	97	0
Gtf2i	117.0	91	143	0
Btd	117.0	137	97	0
Vps54	116.5	125	108	0
Vgll4	116.5	139	94	0
Pou2f1	116.5	143	90	0
Plekhf2	116.5	127	106	0
Mad2l1bp	116.5	149	84	0
H1f7	116.5	233	0	0
Dcaf1	116.5	115	118	0
Zfp710	116.0	112	120	0
Vps36	116.0	124	108	0
Sh2b3	116.0	232	0	0
Sec11c	116.0	105	127	0
Psmg1	116.0	152	80	0
Pon2	116.0	115	117	0
Mrps23	116.0	96	136	0
Mpc2	116.0	133	99	0
Mbnl1	116.0	89	143	0
Larp1	116.0	152	80	0
Ier3	116.0	121	111	0
Gusb	116.0	161	71	0
Gm13276	116.0	0	232	0
Flot1	116.0	121	111	0
Fbxl22	116.0	146	86	0
Dhx34	116.0	134	98	0
Dcaf6	116.0	133	99	0
Bloc1s5	116.0	232	0	0
Ap4e1	116.0	111	121	0
Als2	116.0	124	108	0
4921524J17Rik	116.0	116	116	0
2610507B11Rik	116.0	119	113	0
Zfp839	115.5	83	148	0
Spout1	115.5	115	116	0
Snx17	115.5	102	129	0
Slc39a13	115.5	134	97	0
Sf3b2	115.5	124	107	0
Rrm2	115.5	151	80	0
Rapgef6	115.5	231	0	0
Prc1	115.5	117	114	0
