Target_genes	Chd1|Average	SRX188823|CH12	SRX188825|MEL	STRING
Dchs2	921.5	856	987	0
Zfp526	900.0	885	915	0
Dedd2	900.0	885	915	0
Ptdss1	899.5	824	975	0
Mterf3	899.5	824	975	0
Tspan4	895.0	919	871	0
Polr2l	895.0	919	871	0
4921528I07Rik	895.0	1790	0	0
Wasl	890.0	711	1069	0
Prrt1	881.5	421	1342	0
Ppt2	881.5	421	1342	0
Akt2	880.5	515	1246	0
Pip4k2b	873.0	682	1064	0
Ndufb1	855.5	867	844	0
Cpsf2	855.5	867	844	0
Slc35g3	849.5	684	1015	0
Polr2a	849.5	684	1015	0
Psrc1	846.0	1546	146	0
Diras2	814.0	1628	0	0
Atp8a1	807.0	662	952	0
Ptma	805.5	1611	0	0
Ccdc85c	786.5	633	940	0
Rmnd5a	784.0	663	905	0
Rhbdd3	784.0	746	822	0
Ewsr1	784.0	746	822	0
Siah1b	779.0	465	1093	0
Cdt1	779.0	794	764	0
Chmp3	775.0	628	922	0
Sri	764.0	711	817	0
Gstp2	748.5	1497	0	0
Ube2a	748.0	595	901	0
2310039H08Rik	742.0	575	909	0
Map7	740.5	1481	0	0
Snx4	738.5	1308	169	0
Prr19	738.5	474	1003	0
Pafah1b3	738.5	474	1003	0
Junb	737.0	498	976	0
Bbs9	736.5	136	1337	0
Zscan10	734.5	156	1313	0
Zfp13	734.5	156	1313	0
Mocs3	730.0	568	892	0
Dpm1	730.0	568	892	0
Fchsd2	729.0	763	695	0
Cln8	709.0	0	1418	0
Ift27	703.0	441	965	0
Myl12b	701.0	421	981	0
Gm29825	698.5	1397	0	0
Btbd8	698.0	1171	225	0
Oasl1	694.5	588	801	0
Dhrs3	694.5	1389	0	0
Atf7	693.5	528	859	0
Ndst2	690.0	766	614	0
Sncg	689.5	1379	0	0
Mmrn2	689.5	1379	0	0
Ss18	684.5	569	800	0
Lgals3bp	667.5	1335	0	0
Trip10	667.0	427	907	0
Gpr108	667.0	427	907	0
Pdcd4	660.0	1320	0	0
Zfpm1	653.5	309	998	0
Ube2b	647.0	598	696	0
Cdkl3	647.0	598	696	0
Rpn2	642.5	608	677	0
Mroh8	642.5	608	677	0
Ttll7	640.5	1281	0	0
Kdm6b	618.5	340	897	0
Srxn1	614.0	0	1228	0
Cul2	610.0	535	685	0
Gnas	609.0	463	755	0
Zfp383	608.0	543	673	0
Zfp27	608.0	543	673	0
Dcaf5	606.5	595	618	0
Selenoh	603.5	306	901	0
Kctd2	602.5	432	773	0
Atp5h	602.5	432	773	0
C330007P06Rik	593.0	419	767	0
Prr12	590.0	998	182	0
Phka2	586.0	262	910	0
Syne1	584.0	381	787	0
Plxna3	584.0	429	739	0
Clgn	584.0	1168	0	0
Lars	581.5	378	785	0
Ppm1l	577.0	1154	0	0
Tomm70a	576.5	205	948	0
Raver1	576.0	248	904	0
Ppfia3	573.5	664	483	0
Lin7b	573.5	664	483	0
Trim32	573.0	1146	0	0
Eif3l	570.5	1043	98	0
Tcf12	570.0	657	483	0
Rplp2	570.0	1040	100	0
Pidd1	570.0	1040	100	0
Nrbf2	568.0	1136	0	0
Syn1	567.0	625	509	0
Wrap53	555.0	596	514	0
Trp53	555.0	596	514	0
Bzw1	546.5	1093	0	0
Tnrc6b	546.0	494	598	0
Med25	544.5	452	637	0
Fuz	544.5	452	637	0
Ypel4	543.5	1087	0	0
Zdhhc5	541.0	518	564	0
Ss18l1	538.5	435	642	0
Psma7	538.5	435	642	0
Meis1	535.5	0	1071	0
Tcp11x2	534.5	1069	0	0
Hip1r	533.5	971	96	0
Mlec	528.5	602	455	0
Kcnab2	528.0	949	107	0
Mapk8ip1	525.0	0	1050	0
Spink5	520.5	1041	0	0
Tjp2	520.0	465	575	0
Ankk1	520.0	1040	0	0
Mdm4	518.5	821	216	0
Snw1	516.0	523	509	0
Fkbp3	515.5	431	600	0
Fancm	515.5	431	600	0
Pltp	514.5	1029	0	0
Akr1b10	512.0	1024	0	0
Clic6	510.5	1021	0	0
Zfand3	504.5	378	631	0
Fam43a	497.0	477	517	0
Tex13b	494.0	988	0	0
Mvb12b	490.5	981	0	0
