Target_genes	Hes1|Average	SRX1550525|Macrophages	SRX1550526|Macrophages	STRING
Mindy2	807.5	670	945	0
Atf3	807.5	713	902	0
Lmnb1	807.0	784	830	0
Cyrib	805.5	1125	486	0
Chadl	804.0	749	859	0
Dock8	802.5	1267	338	0
Msl2	801.5	1078	525	0
Setd4	801.0	928	674	0
Cbr1	801.0	928	674	0
Nhlrc2	800.0	843	757	0
Dclre1a	800.0	843	757	0
Klhl35	799.0	1077	521	0
Eef2k	799.0	751	847	0
Znrf2	798.5	1066	531	0
Galnt7	798.5	827	770	0
Pcbd2	797.0	1163	431	0
Ankrd12	797.0	755	839	0
Rnf115	795.5	1171	420	0
Polr3c	795.5	1171	420	0
Tprn	794.5	722	867	0
E2f5	794.5	951	638	0
2300009A05Rik	794.5	942	647	0
Btaf1	794.0	876	712	0
Crtc3	791.5	828	755	0
Tarsl2	790.0	723	857	0
Dnajc1	788.5	789	788	0
Sgms1	787.5	732	843	0
Bend3	787.5	887	688	0
Ddx59	787.0	620	954	0
Syncrip	786.0	1003	569	0
Ptprj	783.0	967	599	0
Tab2	782.5	742	823	0
Inpp4b	780.0	852	708	0
Slc25a33	778.5	1202	355	0
Rhobtb1	778.0	1010	546	0
A930033H14Rik	778.0	1010	546	0
Tmem123	777.0	743	811	0
Phldb1	776.5	620	933	0
Chka	774.5	692	857	0
Sft2d3	772.5	934	611	0
Ube3a	771.5	806	737	0
Tmem125	771.5	837	706	0
Tent4a	769.5	681	858	0
Bbx	769.5	728	811	0
Ppib	768.5	682	855	0
Tomm20	766.5	645	888	0
BC107364	764.0	954	574	0
Rexo2	762.5	779	746	0
Zfp451	762.0	756	768	0
Ninj1	760.5	725	796	0
Exoc5	759.0	737	781	0
Ap5m1	759.0	737	781	0
D16Ertd472e	757.0	1236	278	0
Plvap	756.0	857	655	0
Zfp692	755.5	661	850	0
Trp53rka	755.5	885	626	0
Pdxk	753.5	711	796	0
Egr1	753.5	851	656	0
Nek6	753.0	851	655	0
Vac14	751.5	754	749	0
Hipk3	751.5	661	842	0
Flrt2	751.0	738	764	0
Foxo3	750.0	726	774	0
Bach1	750.0	734	766	0
Tbc1d1	747.5	959	536	0
Sccpdh	745.0	981	509	0
Drd4	743.5	786	701	0
Tbk1	743.0	674	812	0
Kdm1a	743.0	807	679	0
Eid1	741.5	905	578	0
Tmem120b	740.5	709	772	0
Ado	739.5	801	678	0
Cebpd	739.0	785	693	0
Ccdc88a	738.5	713	764	0
Gpr137b	738.0	806	670	0
Rgl1	737.0	985	489	0
Rsbn1l	736.5	818	655	0
Adpgk	736.5	695	778	0
Rpl14	735.5	701	770	0
Marveld1	733.5	649	818	0
Arf6	732.5	740	725	0
Pik3ca	732.0	662	802	0
Grsf1	730.0	878	582	0
Canx	730.0	797	663	0
Bsg	728.5	403	1054	0
Fbxw4	726.0	697	755	0
Srsf6	724.5	886	563	0
Dock7	720.5	689	752	0
Rfng	720.0	762	678	0
Hint1	720.0	795	645	0
Gps1	720.0	762	678	0
Srd5a1	719.0	657	781	0
Nsun2	719.0	657	781	0
Snx14	718.0	605	831	0
Susd6	715.0	686	744	0
Peak1	715.0	647	783	0
Hmg20a	715.0	647	783	0
Eci1	711.5	797	626	0
Hipk2	711.0	756	666	0
Cutc	710.0	575	845	0
Cox15	710.0	575	845	0
Nr3c1	709.0	790	628	0
Nadk2	708.0	723	693	0
Tsc22d1	707.5	680	735	0
Grcc10	707.0	584	830	0
Mbtps2	706.5	720	693	0
Plekhf2	705.0	651	759	0
2510009E07Rik	705.0	560	850	0
Irf2bpl	704.5	666	743	0
Cd83	704.5	601	808	0
Tm2d2	703.5	791	616	0
Adam9	703.5	791	616	0
Clic4	703.0	784	622	0
Nkx2-3	701.5	725	678	0
Stac2	701.0	642	760	0
Efcab14	701.0	788	614	0
Tsnax	700.5	647	754	0
Tet3	700.5	1052	349	0
Taok2	699.5	806	593	0
Sun2	698.0	741	655	0
Retreg1	697.0	712	682	0
Setd3	696.5	841	552	0
Ccnk	696.5	841	552	0
Dnaja2	694.0	770	618	0
Tekt2	693.5	570	817	0
Adprhl2	693.5	570	817	0
Cdk6	692.0	728	656	0
Ppp4r2	691.0	782	600	0
Pde7a	691.0	872	510	0
Atf1	690.0	743	637	0
Usp4	689.5	560	819	0
Dennd1a	689.0	749	629	0
Tm9sf3	688.5	990	387	0
Mafb	688.0	711	665	0
Sptssa	687.0	796	578	0
Higd1a	686.5	667	706	0
Nudt4	685.0	989	381	0
Fkbp4	684.5	895	474	0
Trim44	683.5	766	601	0
Rgcc	683.5	729	638	0
Pik3c2b	683.5	662	705	0
Lrrc10b	683.0	709	657	0
Dis3l	682.5	723	642	0
Coa8	682.5	541	824	0
Bag5	682.5	541	824	0
Asxl2	681.5	671	692	0
Crem	681.0	685	677	0
Atp13a2	680.5	710	651	0
Mex3b	678.0	690	666	0
Usp28	677.0	652	702	0
Gfpt1	677.0	1041	313	0
Dhx15	676.5	1005	348	0
Dr1	674.5	684	665	0
Cpeb2	674.5	665	684	0
Imp3	674.0	648	700	0
Dgkz	674.0	779	569	0
Me2	673.0	679	667	0
Ube2d3	671.5	518	825	0
Sema4b	671.5	639	704	0
Rnasek	671.5	735	608	0
Agpat2	671.5	725	618	0
0610010K14Rik	671.5	735	608	0
Jak2	670.5	726	615	0
Arid5a	670.5	701	640	0
Prkag2	669.5	695	644	0
Frat2	669.5	543	796	0
Smad3	667.5	671	664	0
Gramd1b	667.5	727	608	0
Heca	667.0	846	488	0
Fam53a	666.0	738	594	0
Slc38a2	665.5	667	664	0
Pik3cb	664.5	985	344	0
Ppp3cc	664.0	737	591	0
Fubp1	663.5	599	728	0
Dnajb4	663.5	599	728	0
Mcl1	662.0	657	667	0
Ltbr	659.0	663	655	0
Ybx3	658.5	1072	245	0
Slc16a10	658.5	787	530	0
Gnpnat1	658.0	734	582	0
Pparg	657.5	871	444	0
Slc44a1	657.0	908	406	0
Pam	656.5	791	522	0
Lasp1	656.5	671	642	0
Hmga1b	656.5	742	571	0
Hmga1	656.5	742	571	0
Natd1	656.0	725	587	0
Tpt1	654.5	607	702	0
Dmxl2	654.5	694	615	0
Arrb1	654.5	837	472	0
Erbin	653.0	589	717	0
Ecpas	653.0	770	536	0
Tbc1d9	652.0	719	585	0
Ska3	652.0	605	699	0
Mrpl57	652.0	605	699	0
Wdr53	649.5	894	405	0
Fbxo45	649.5	894	405	0
Ppp4r1	649.0	717	581	0
Ube2q1	648.5	380	917	0
Gpr88	646.5	711	582	0
Sav1	645.5	820	471	0
Rnft1	645.0	735	555	0
Nupr1l	645.0	602	688	0
Rel	644.5	570	719	0
Psmc2	644.0	561	727	0
Dnajc2	644.0	561	727	0
Epm2a	643.0	882	404	0
Lrrc58	642.5	560	725	0
Ptpdc1	642.0	870	414	0
Lemd2	642.0	888	396	0
Prr3	639.0	580	698	0
Gnl1	639.0	580	698	0
Ccdc134	638.5	705	572	0
Tsc22d3	638.0	702	574	0
Galr3	638.0	747	529	0
Bnc2	637.0	617	657	0
Tef	636.5	681	592	0
Zfand5	635.5	770	501	0
Phf14	635.5	966	305	0
Ndufa4	635.5	966	305	0
Unc5b	635.0	817	453	0
Fxr1	635.0	961	309	0
Crtap	635.0	678	592	0
Irf2bp2	634.5	752	517	0
Rasip1	633.5	848	419	0
Stard7	631.0	538	724	0
Itsn2	630.0	704	556	0
Rrp1b	629.0	628	630	0
Hsf2bp	629.0	628	630	0
Eif3j2	629.0	796	462	0
Eif3j1	629.0	796	462	0
Ccdc171	628.5	648	609	0
Ppp3r1	626.5	686	567	0
Focad	626.5	624	629	0
Ppa2	626.0	817	435	0
Qk	625.5	541	710	0
Rnf103	625.0	821	429	0
Cd47	625.0	613	637	0
Ssbp4	624.0	527	721	0
Cmtm7	624.0	656	592	0
Slc39a7	623.5	637	610	0
Rxrb	623.5	637	610	0
Ring1	623.5	637	610	0
Nkx1-1	623.5	700	547	0
H2-Ke6	623.5	637	610	0
Arpc5	622.5	756	489	0
Slc25a36	621.5	451	792	0
Zfp672	620.0	678	562	0
Setd5	620.0	628	612	0
Qrich1	619.5	611	628	0
Pim3	619.5	548	691	0
Ctbp2	618.5	713	524	0
Macir	617.5	723	512	0
Galnt11	616.5	863	370	0
Fkbp1a	616.5	568	665	0
B4galt1	616.5	711	522	0
Yaf2	616.0	1018	214	0
Vdac1	616.0	599	633	0
Rnf170	616.0	769	463	0
Lbr	616.0	615	617	0
Hook3	616.0	769	463	0
Gclm	616.0	777	455	0
Fam102b	616.0	813	419	0
Kpna3	615.5	825	406	0
Etv6	615.5	738	493	0
Surf4	615.0	782	448	0
Stkld1	615.0	782	448	0
Plxnc1	615.0	755	475	0
Phf20	615.0	581	649	0
Mfsd14a	615.0	940	290	0
Gpn3	615.0	286	944	0
Fam216a	615.0	286	944	0
Osbpl1a	612.5	571	654	0
Arl6	612.0	730	494	0
Slc35a1	611.5	585	638	0
Rif1	611.5	834	389	0
Ext1	611.5	469	754	0
Zfp706	611.0	848	374	0
Klf13	610.5	533	688	0
Esco1	610.5	605	616	0
Ttc25	610.0	738	482	0
Otud1	610.0	712	508	0
Ints6	610.0	747	473	0
Tal1	607.5	669	546	0
C1qbp	607.0	551	663	0
Vgf	606.5	709	504	0
Tomm70a	606.5	558	655	0
Myo1c	606.5	622	591	0
Notch2	606.0	640	572	0
Tnrc6c	605.5	538	673	0
P2ry1	605.5	479	732	0
Inka1	605.5	580	631	0
Atf7	605.5	541	670	0
Cux1	605.0	593	617	0
Ccnd3	605.0	580	630	0
Top2b	604.0	766	442	0
Kpnb1	602.5	486	719	0
Zbtb44	602.0	708	496	0
Tmem256	601.0	704	498	0
Nlgn2	601.0	704	498	0
Gtf2a1	599.0	661	537	0
Eif4ebp1	599.0	515	683	0
Alkbh5	598.0	651	545	0
Slc31a2	597.5	413	782	0
Med14	596.5	513	680	0
Lypla1	596.5	615	578	0
Zfp639	596.0	856	336	0
Cpne2	596.0	731	461	0
Thap4	595.5	744	447	0
Sumo3	595.5	501	690	0
Atg4b	595.5	744	447	0
Smc6	595.0	586	604	0
Noc2l	595.0	497	693	0
Klhl17	595.0	497	693	0
Gen1	595.0	586	604	0
Whrn	594.5	871	318	0
Shtn1	594.0	383	805	0
Kbtbd13	593.5	636	551	0
Bhlhe41	592.5	626	559	0
Rnf149	591.5	836	347	0
Plekhg1	591.0	713	469	0
Gpbp1	590.5	808	373	0
Ldha	590.0	679	501	0
Herpud2	590.0	745	435	0
Zbtb25	589.5	772	407	0
Zbtb1	589.5	772	407	0
Dap	587.0	578	596	0
Tpbgl	586.5	593	580	0
Tle1	584.5	559	610	0
Prpsap1	584.5	602	567	0
Fndc10	584.5	643	526	0
Noct	584.0	620	548	0
Cadm1	584.0	711	457	0
Birc6	584.0	542	626	0
Atg16l1	584.0	580	588	0
Retreg2	583.5	619	548	0
Cnppd1	583.5	619	548	0
Tdrd7	583.0	709	457	0
Il6st	583.0	590	576	0
Arrdc3	582.5	596	569	0
Rictor	582.0	598	566	0
Dpysl2	582.0	605	559	0
Ankrd11	582.0	870	294	0
Smad6	581.5	613	550	0
Asap1	581.5	868	295	0
Aebp2	581.5	945	218	0
Ppa1	580.5	610	551	0
Aven	580.0	635	525	0
Slc41a2	579.5	818	341	0
Poglut3	579.0	585	573	0
Satb2	578.5	432	725	0
2610507B11Rik	578.5	743	414	0
Josd1	578.0	544	612	0
Gtpbp1	578.0	544	612	0
2810459M11Rik	578.0	524	632	0
Dipk2a	577.0	548	606	0
Cln5	576.0	690	462	0
Capza2	575.5	791	360	0
Tfdp2	575.0	900	250	0
Ptbp3	574.5	724	425	0
Ube2cbp	572.0	536	608	0
Dop1a	572.0	536	608	0
Btbd1	572.0	558	586	0
Gsr	571.5	742	401	0
C2cd2	571.5	572	571	0
Agps	571.5	747	396	0
Hgh1	570.5	493	648	0
Ss18	570.0	603	537	0
Ptprm	569.0	445	693	0
Ppp1cb	569.0	790	348	0
Tnip2	568.0	531	605	0
Sinhcaf	567.0	549	585	0
Fam53b	567.0	731	403	0
Slc30a3	566.0	464	668	0
Tnp2	565.5	514	617	0
Socs1	565.5	514	617	0
Map4	564.5	541	588	0
Pde4a	563.5	496	631	0
Nup50	563.5	456	671	0
Gnaq	563.5	640	487	0
Tjp2	560.5	691	430	0
Set	560.5	711	410	0
Rxylt1	560.5	610	511	0
Dag1	560.5	725	396	0
Seh1l	558.5	676	441	0
Adipor1	558.5	605	512	0
Ube2n	558.0	516	600	0
Kbtbd2	558.0	723	393	0
Pdk1	557.5	585	530	0
Pkd1	556.0	596	516	0
Klf9	556.0	621	491	0
Csde1	555.5	481	630	0
Nbeal1	554.5	459	650	0
Spred1	553.5	856	251	0
A430005L14Rik	552.5	508	597	0
Uri1	552.0	701	403	0
Larp1b	551.5	663	440	0
Srsf10	551.0	635	467	0
Rgmb	551.0	692	410	0
Nme4	551.0	615	487	0
Nfic	551.0	608	494	0
Larp1	551.0	697	405	0
Fosl2	550.5	682	419	0
Gars	550.0	495	605	0
Sik2	549.5	715	384	0
Tbc1d9b	549.0	618	480	0
Cox5a	549.0	592	506	0
Tmem266	547.0	490	604	0
Chd1l	547.0	501	593	0
Adss	546.0	656	436	0
Smyd2	545.5	729	362	0
Pip4p2	545.5	509	582	0
Zcwpw1	545.0	560	530	0
Mepce	545.0	560	530	0
Dap3	544.5	571	518	0
Usp1	544.0	484	604	0
Rint1	544.0	645	443	0
Pus7	544.0	645	443	0
Pld2	543.5	554	533	0
Tiparp	543.0	559	527	0
Fcho2	543.0	625	461	0
Ptpmt1	542.0	752	332	0
Smco4	541.0	658	424	0
Ccne2	540.5	552	529	0
Atp10a	540.5	609	472	0
Rpl7	539.5	632	447	0
Rdh10	539.5	632	447	0
Mzt1	539.5	450	629	0
Bora	539.5	450	629	0
Sh3pxd2b	539.0	552	526	0
Pelo	539.0	493	585	0
