Target_genes	Thra|Average	SRX14934614|Brown_adipose_tissue	SRX150787|C17-2	SRX22612657|MC3T3-E1	STRING
Cgrrf1	117.333333	352	0	0	0
Acsbg1	116.666667	0	350	0	0
Pald1	116.333333	349	0	0	0
Me1	116.333333	349	0	0	0
Tecpr1	114.666667	248	96	0	0
Mcee	114.666667	344	0	0	0
Mapkapk3	114.666667	344	0	0	0
Slc2a4	114.0	342	0	0	0
Il15ra	114.0	342	0	0	0
Hoxa4	114.0	177	165	0	0
Wfikkn1	113.666667	224	117	0	0
Mettl26	113.666667	224	117	0	0
Ccdc138	113.666667	341	0	0	0
Synj2	113.333333	340	0	0	0
Aqp7	113.333333	233	107	0	0
Dnmt3a	113.0	339	0	0	0
Alkbh5	113.0	232	107	0	0
Rb1cc1	112.666667	338	0	0	0
Mgat4b	112.666667	338	0	0	0
Pdk4	112.333333	337	0	0	0
Trib1	112.0	336	0	0	0
Adtrp	112.0	336	0	0	0
Smim40	111.333333	334	0	0	0
Gtf2ird1	111.333333	334	0	0	0
Ubc	110.666667	194	138	0	0
Csf2ra	110.666667	0	332	0	0
Zhx3	110.333333	331	0	0	0
2810021J22Rik	108.333333	325	0	0	0
Entpd4b	107.333333	322	0	0	0
Entpd4	107.333333	322	0	0	0
Rasip1	107.0	0	321	0	0
Izumo1	107.0	0	321	0	0
Gsap	107.0	321	0	0	0
Cirbp	107.0	171	150	0	0
Sema4a	106.333333	0	319	0	0
Spsb1	105.666667	317	0	0	0
Dlat	105.333333	316	0	0	0
Smc6	105.0	315	0	0	0
Slc22a5	105.0	315	0	0	0
Gen1	105.0	315	0	0	0
Dynlrb1	105.0	315	0	0	0
Cracr2b	105.0	315	0	0	0
Map9	104.666667	314	0	0	0
Lekr1	104.333333	313	0	0	0
2310011J03Rik	104.333333	313	0	0	0
Tmem52	103.666667	311	0	0	0
Septin9	103.0	309	0	0	0
Robo3	103.0	191	118	0	0
Tmub1	102.0	306	0	0	0
Ski	102.0	129	177	0	0
Gm1673	102.0	153	153	0	0
Fastk	102.0	306	0	0	0
Agap3	102.0	306	0	0	0
Bcl3	101.666667	305	0	0	0
Tcp11l2	101.333333	174	130	0	0
Col12a1	101.333333	304	0	0	0
Epb41l2	101.0	303	0	0	0
Zbtb7b	100.0	300	0	0	0
