Target_genes	Elf4|Average	SRX2242847|Macrophages	SRX2242848|Macrophages	SRX2242849|Macrophages	SRX2242850|Macrophages	STRING
Tln1	2035.0	2407	626	2985	2122	0
Creb3	2035.0	2407	626	2985	2122	0
Atp23	2031.75	1963	515	2982	2667	0
Ino80c	2028.5	2535	513	2969	2097	0
Vps4b	2024.0	2486	458	2927	2225	0
Alyref2	2021.75	2258	429	2812	2588	0
Pigm	2021.25	2502	632	2822	2129	0
Arpc1b	2019.25	1980	340	3186	2571	0
Nuf2	2019.0	2330	431	2691	2624	0
Scnm1	2008.25	2276	626	2679	2452	0
Lysmd1	2008.25	2276	626	2679	2452	0
Trnt1	1999.5	3245	788	2925	1040	0
Acyp1	1992.5	2327	525	2694	2424	0
Bcl7b	1982.25	2808	615	2834	1672	0
Nostrin	1976.5	2300	294	3053	2259	0
Cybc1	1969.5	2258	370	2817	2433	0
Commd6	1967.25	2215	509	2883	2262	0
Rps14	1963.25	2067	591	2954	2241	0
Hsd17b12	1957.0	2262	434	3006	2126	0
Mospd3	1956.75	2235	549	2670	2373	0
Kxd1	1954.25	2358	533	2577	2349	0
Fkbp8	1954.25	2358	533	2577	2349	0
Fbxo46	1954.0	2130	748	2759	2179	0
Bhmg1	1954.0	2130	748	2759	2179	0
Sf3b5	1952.75	2528	584	2892	1807	0
Ptpn6	1952.5	1905	395	2912	2598	0
Grcc10	1952.5	1905	395	2912	2598	0
Wdr92	1951.0	1749	406	3043	2606	0
Pno1	1951.0	1749	406	3043	2606	0
Ift27	1949.25	2019	253	3296	2229	0
Nip7	1944.25	2237	679	2830	2031	0
Cog8	1944.25	2237	679	2830	2031	0
Zc3h3	1936.0	2320	452	2758	2214	0
Rps3	1935.0	2327	586	2874	1953	0
Gins3	1931.0	2562	351	2788	2023	0
Wbp1l	1930.25	2410	771	2678	1862	0
Zfp408	1920.5	2198	520	2567	2397	0
Arhgap1	1920.5	2198	520	2567	2397	0
Trmt44	1920.25	2772	907	2414	1588	0
Akirin2	1920.0	2288	709	2938	1745	0
Sarnp	1919.5	2239	277	3003	2159	0
Ormdl2	1919.5	2239	277	3003	2159	0
Prkci	1919.25	2187	301	2802	2387	0
Ric8a	1912.25	2110	467	2578	2494	0
Pcx	1912.25	2342	523	2821	1963	0
Bet1l	1912.25	2110	467	2578	2494	0
D8Ertd738e	1896.75	2190	540	2500	2357	0
Gtf2f1	1895.0	1685	493	2716	2686	0
Zfp458	1893.75	1980	561	2776	2258	0
Vcpip1	1888.5	1932	513	2700	2409	0
Selenos	1883.25	2494	442	2675	1922	0
Fam174c	1883.0	2145	393	2797	2197	0
Spink10	1881.25	2327	576	2584	2038	0
Prepl	1881.25	2352	297	2589	2287	0
Fbxo38	1881.25	2327	576	2584	2038	0
Camkmt	1881.25	2352	297	2589	2287	0
Zfp120	1877.75	2198	396	2801	2116	0
