Target_genes	Elf4|Average	SRX2242847|Macrophages	SRX2242848|Macrophages	SRX2242849|Macrophages	SRX2242850|Macrophages	STRING
Wdr19	906.75	1080	215	1564	768	0
Ing1	906.75	1414	224	1130	859	0
Cars2	906.75	1414	224	1130	859	0
E4f1	906.0	1009	0	1519	1096	0
Mfsd3	905.75	926	0	1776	921	0
Homer1	905.75	941	96	1516	1070	0
Gpt	905.75	926	0	1776	921	0
Stat6	905.0	1246	129	1524	721	0
Wbp11	904.75	865	211	1435	1108	0
Suds3	904.75	792	182	1495	1150	0
BC049715	904.75	865	211	1435	1108	0
Ubxn2b	902.25	2401	536	672	0	0
Ms4a6d	902.0	910	0	1597	1101	0
Trappc4	901.25	1174	157	1414	860	0
Spp1	901.25	1120	149	1694	642	0
Rps25	901.25	1174	157	1414	860	0
Tmem192	901.0	1187	133	1695	589	0
Zfp456	900.75	988	158	1628	829	0
Gtf3c1	900.5	1632	359	1379	232	0
D430042O09Rik	900.5	1632	359	1379	232	0
Zfc3h1	899.75	1471	202	1267	659	0
Thap2	899.75	1471	202	1267	659	0
Nek11	899.5	1335	197	1561	505	0
Aste1	899.5	1335	197	1561	505	0
Mlec	898.5	1851	246	1017	480	0
Efnb3	897.25	1120	0	1542	927	0
Snrnp200	897.0	730	205	1395	1258	0
1810024B03Rik	897.0	730	205	1395	1258	0
Samd9l	896.75	721	0	1365	1501	0
Pet117	896.75	1095	0	1689	803	0
Kat14	896.75	1095	0	1689	803	0
Naa60	896.5	2402	510	359	315	0
Dcaf15	896.0	1168	0	1517	899	0
Ndufs1	895.5	699	0	1548	1335	0
Eef1b2	895.5	699	0	1548	1335	0
Pus3	895.0	1035	134	1308	1103	0
Ddx25	895.0	1035	134	1308	1103	0
Med17	894.5	1291	224	1240	823	0
Zmat2	893.5	807	144	1403	1220	0
Spag9	893.5	919	161	1481	1013	0
Clk3	893.5	2477	736	187	174	0
Rps2	893.25	1421	278	1614	260	0
Rnf151	893.25	1421	278	1614	260	0
Ndufb10	893.25	1421	278	1614	260	0
Mff	893.25	1134	159	1318	962	0
Eif1ad	893.0	750	211	1406	1205	0
Banf1	893.0	750	211	1406	1205	0
Aatk	893.0	1379	0	1589	604	0
Lyn	892.25	1688	285	1002	594	0
Ccdc28a	891.5	798	200	1457	1111	0
Wdr36	890.25	1507	241	1217	596	0
Surf6	890.0	826	0	1704	1030	0
Ap3m2	890.0	771	152	996	1641	0
Zwilch	889.5	595	0	1478	1485	0
Rpl4	889.5	595	0	1478	1485	0
Cox7a2	888.0	1180	326	1475	571	0
Zfp955b	887.75	1045	0	1349	1157	0
LTO1	887.75	1130	250	1328	843	0
Atp5g1	886.25	854	0	1724	967	0
Insig1	885.5	824	0	1553	1165	0
Psma6	885.0	2509	619	412	0	0
Ppil3	885.0	1054	0	1511	975	0
Nif3l1	885.0	1054	0	1511	975	0
Snx14	884.75	1803	296	884	556	0
Cwc22	884.75	961	162	1246	1170	0
Rnf5	883.75	778	0	1620	1137	0
Agpat1	883.75	778	0	1620	1137	0
Wdr5	883.5	1156	125	1391	862	0
Washc3	882.75	1075	0	1456	1000	0
Snx1	882.25	1022	340	1195	972	0
Ciao2a	882.25	1022	340	1195	972	0
Trappc8	882.0	970	352	1330	876	0
Cenpa	880.75	1148	0	1530	845	0
Fbxo48	880.5	939	0	1500	1083	0
Crybg3	880.25	980	0	1581	960	0
Zfp688	880.0	2319	567	634	0	0
Paxx	879.75	1161	107	1539	712	0
Clic3	879.75	1161	107	1539	712	0
Zbtb6	879.5	959	0	1424	1135	0
Psmc5	879.25	874	172	1414	1057	0
Ftsj3	879.25	874	172	1414	1057	0
Spty2d1	878.5	935	258	1483	838	0
Pars2	878.5	794	0	1534	1186	0
Gins2	877.75	1449	204	1456	402	0
Tonsl	875.0	986	107	1481	926	0
Mrpl24	875.0	995	148	1567	790	0
Fem1a	875.0	921	248	1484	847	0
Rab4b	874.25	2590	517	390	0	0
Mia	874.25	2590	517	390	0	0
Trip12	873.75	927	123	1440	1005	0
Lyrm7	873.75	1100	163	1633	599	0
Fbxo36	873.75	927	123	1440	1005	0
Rps6	872.75	1193	189	1205	904	0
Lilra5	872.5	1050	0	1696	744	0
Map11	871.75	1271	176	1184	856	0
Trappc9	869.75	1146	260	1493	580	0
Zfp111	868.75	929	171	1504	871	0
Ssbp1	868.75	923	0	1470	1082	0
Srpr	868.75	1939	399	801	336	0
Foxred1	868.75	1939	399	801	336	0
Actr1b	868.5	1130	153	1452	739	0
4933424G06Rik	868.5	1130	153	1452	739	0
Sharpin	867.5	688	0	1677	1105	0
Maf1	867.5	688	0	1677	1105	0
Gm35339	867.5	688	0	1677	1105	0
Ngdn	866.5	870	196	1394	1006	0
Ahi1	866.25	1648	353	725	739	0
Ccl2	866.0	763	0	1693	1008	0
Tmem175	865.5	885	0	1844	733	0
Gak	865.5	885	0	1844	733	0
Dcaf4	865.25	874	144	1634	809	0
Ncor2	865.0	1293	0	1425	742	0
Sqstm1	864.5	1037	351	1260	810	0
Naxd	864.25	2497	804	156	0	0
Rexo4	864.0	505	143	1652	1156	0
Timm13	863.25	983	201	1393	876	0
Psmc4	863.25	1310	283	1385	475	0
Kbtbd8	862.5	1430	158	1106	756	0
Slc39a10	862.25	1023	0	1607	819	0
Tm9sf2	861.75	2142	577	459	269	0
Epc2	861.75	1066	0	1271	1110	0
Prpf38a	861.25	865	195	1439	946	0
Orc1	861.25	865	195	1439	946	0
Pms1	860.75	1978	268	1197	0	0
Ormdl1	860.75	1978	268	1197	0	0
Apom	860.75	1078	251	1176	938	0
Fam227b	860.0	1178	160	1543	559	0
Dtwd1	860.0	1178	160	1543	559	0
Slc37a4	858.0	1335	290	1299	508	0
Smg9	857.75	1830	373	1228	0	0
Rabif	857.0	1932	372	759	365	0
Myl12b	856.75	1894	492	747	294	0
Dcaf1	855.5	1013	0	1391	1018	0
Ctsz	855.25	905	181	1166	1169	0
Tradd	854.5	1433	280	1142	563	0
Hsf4	854.5	1433	280	1142	563	0
Fbxl8	854.5	1433	280	1142	563	0
Rnmt	854.25	1087	235	1230	865	0
Fam210a	854.25	1087	235	1230	865	0
Vmp1	852.25	758	213	1274	1164	0
Ptrh2	852.25	758	213	1274	1164	0
Ncdn	852.25	2246	436	727	0	0
AU040320	852.25	2246	436	727	0	0
Ncf4	852.0	989	149	1459	811	0
Rbfa	851.75	887	0	1428	1092	0
Herc2	850.5	1749	0	1101	552	0
Mdn1	850.0	1040	134	1361	865	0
Ift22	848.25	1123	0	1353	917	0
Heatr1	847.75	974	301	1149	967	0
Hnrnpd	847.5	917	0	1500	973	0
Cmc1	847.5	1716	331	762	581	0
Tmem14c	847.25	1204	233	1305	647	0
Rsl1	847.0	898	232	1364	894	0
Mpdu1	847.0	867	137	1276	1108	0
Naip7	846.25	759	0	1510	1116	0
Naip6	846.25	759	0	1510	1116	0
Brox	846.25	600	789	718	1278	0
Aida	846.25	600	789	718	1278	0
Usf1	845.5	1537	343	1067	435	0
Trappc3	843.75	1217	330	1085	743	0
Slc35a5	843.75	2431	651	293	0	0
Atg3	843.75	2431	651	293	0	0
Rbm4	843.5	855	0	1326	1193	0
Cep164	843.5	1598	208	1027	541	0
Pgap3	842.75	1160	192	1524	495	0
Zmat5	842.5	776	176	1361	1057	0
Uqcr10	842.5	776	176	1361	1057	0
Tmem230	842.0	1437	370	905	656	0
Gpr155	842.0	1062	206	1430	670	0
Sirt2	841.75	1242	336	1213	576	0
Nfkbib	841.75	1242	336	1213	576	0
Npc2	840.5	1349	242	1188	583	0
Isca2	840.5	1349	242	1188	583	0
Abcf2	840.5	819	151	1500	892	0
Psma4	840.0	1973	312	876	199	0
AY074887	840.0	1973	312	876	199	0
Etfdh	839.5	1165	260	1279	654	0
4930579G24Rik	839.5	1165	260	1279	654	0
Cblb	839.25	951	0	1551	855	0
Rubcn	839.0	1061	294	1041	960	0
Zfp62	838.75	1194	237	1201	723	0
Usp28	838.75	1403	145	1172	635	0
Clta	838.5	856	125	1571	802	0
Pde12	837.75	755	0	1310	1286	0
Mrps23	837.75	1445	145	1250	511	0
Cdk12	837.75	827	0	1358	1166	0
Tmem14a	837.25	952	0	1446	951	0
Tarbp2	837.25	1033	0	1591	725	0
Map3k12	837.25	1033	0	1591	725	0
Camta1	837.25	1106	147	1243	853	0
Psma5	837.0	892	0	1543	913	0
Psma2	837.0	816	217	1281	1034	0
Mrpl32	837.0	816	217	1281	1034	0
Tmem258	836.5	806	0	1394	1146	0
Ilvbl	836.5	1037	134	1460	715	0
Fen1	836.5	806	0	1394	1146	0
Rpl35	836.25	1662	364	882	437	0
Arpc5l	836.25	1662	364	882	437	0
Slc25a16	836.0	1426	245	1008	665	0
Rabl3	835.75	852	0	1609	882	0
Gtf2e1	835.75	852	0	1609	882	0
Smim7	835.5	782	142	1326	1092	0
Nfatc3	835.25	1059	0	1557	725	0
Hnrnpm	835.25	1832	356	702	451	0
Prr5l	834.5	994	151	1317	876	0
Commd9	834.5	994	151	1317	876	0
Zkscan3	834.25	1088	172	1359	718	0
Apobec1	834.0	896	0	1403	1037	0
Slc38a9	833.5	821	194	1353	966	0
Cant1	833.0	1666	557	662	447	0
Fuca2	832.25	1212	194	1428	495	0
Rnf185	832.0	1305	145	1294	584	0
Snrpb2	830.5	952	178	1524	668	0
Terf2ip	830.0	1046	172	1349	753	0
Kars	830.0	1046	172	1349	753	0
Zkscan1	829.75	975	132	1160	1052	0
Ippk	829.75	1835	556	928	0	0
Scamp5	829.25	1028	0	1791	498	0
Mlxip	829.0	1215	198	1228	675	0
Uba6	828.5	1420	203	1271	420	0
Hes2	828.5	929	116	1300	969	0
Espn	828.5	929	116	1300	969	0
Yif1a	828.25	849	0	1434	1030	0
Tmem151a	828.25	849	0	1434	1030	0
Mocs3	828.0	983	221	1191	917	0
Dpm1	828.0	983	221	1191	917	0
Shpk	827.5	850	0	1573	887	0
Ctns	827.5	850	0	1573	887	0
Ero1b	827.25	865	0	1232	1212	0
Lrrc8a	827.0	1036	175	1402	695	0
Mfsd8	826.0	1469	331	1228	276	0
Arpc1a	826.0	2038	538	728	0	0
Ankfy1	826.0	757	124	1169	1254	0
Nars	825.5	771	156	1316	1059	0
Prkag1	824.75	1714	433	846	306	0
Ankzf1	824.75	950	246	1186	917	0
Aopep	824.25	1173	162	1211	751	0
Harbi1	823.0	1585	280	826	601	0
Atg13	823.0	1585	280	826	601	0
P4hb	822.5	1735	281	1274	0	0
Tbc1d22a	821.5	1506	408	1019	353	0
Wdr5b	821.0	792	168	1202	1122	0
Frrs1	821.0	1251	181	1180	672	0
Zfp558	820.75	1134	185	1251	713	0
Rundc1	820.75	1532	361	1085	305	0
Ptges3l	820.75	1532	361	1085	305	0
Mbd3l1	820.75	1134	185	1251	713	0
Olfr630	820.5	1073	143	1496	570	0
Rnasek	820.0	824	0	1348	1108	0
0610010K14Rik	820.0	824	0	1348	1108	0
Mrpl21	819.25	865	129	1266	1017	0
Ighmbp2	819.25	865	129	1266	1017	0
Slc30a7	818.75	797	205	1314	959	0
Polr2m	818.75	1095	0	1263	917	0
Extl2	818.75	797	205	1314	959	0
Mbd4	818.0	1123	163	1250	736	0
Ift122	818.0	1123	163	1250	736	0
Gspt1	818.0	1261	133	1219	659	0
Ppp3r1	817.75	1077	323	1174	697	0
Ints13	816.25	1181	186	1119	779	0
Fgfr1op2	816.25	1181	186	1119	779	0
Mrpl54	815.75	1874	377	618	394	0
Apba3	815.75	1874	377	618	394	0
Apeh	815.25	1771	307	957	226	0
Tnip2	814.75	842	134	1377	906	0
Nt5c	814.0	1455	179	1276	346	0
Ndufb5	814.0	862	168	1367	859	0
Mrpl47	814.0	862	168	1367	859	0
Zfp787	813.5	2174	673	407	0	0
Ddx49	813.5	867	108	1350	929	0
Cope	813.5	867	108	1350	929	0
Rnf168	813.0	1643	247	835	527	0
Zfp605	812.75	930	0	1520	801	0
Gtpbp6	812.75	930	0	1520	801	0
Zfpl1	812.25	934	273	1174	868	0
Tmem262	812.25	934	273	1174	868	0
Cnpy3	812.25	1736	462	533	518	0
Cdca5	812.25	934	273	1174	868	0
Adssl1	811.75	822	161	1414	850	0
Wnk1	811.25	1493	349	878	525	0
Utp15	810.75	1585	500	1158	0	0
Gfus	810.75	755	0	1427	1061	0
Ankra2	810.75	1585	500	1158	0	0
Zfp59	810.25	842	0	1518	881	0
Mideas	809.25	1081	0	1414	742	0
Srd5a3	808.5	674	133	1283	1144	0
Xrn2	808.25	914	134	1314	871	0
Lin52	808.25	945	0	1406	882	0
Gar1	808.25	917	225	1131	960	0
Aldh6a1	808.25	945	0	1406	882	0
Cenph	807.5	1175	0	1168	887	0
Sdr42e1	807.25	686	144	1312	1087	0
Gm6583	806.75	972	203	1415	637	0
L3mbtl2	806.0	1250	0	1280	694	0
Adh5	806.0	1245	221	1217	541	0
Zfp715	805.75	1101	0	1439	683	0
Mis12	804.0	1270	0	1358	588	0
Derl2	804.0	1270	0	1358	588	0
Rab14	803.75	1189	321	1078	627	0
Ccz1	803.25	1534	432	811	436	0
B4galt7	802.25	1078	0	1329	802	0
Tnfrsf12a	801.5	670	155	1388	993	0
Thoc6	801.5	670	155	1388	993	0
Hcfc1r1	801.5	670	155	1388	993	0
Dnaja1	800.0	1620	221	764	595	0
BC028528	800.0	1266	215	998	721	0
Aph1a	800.0	1266	215	998	721	0
Tpcn2	799.75	1173	0	1265	761	0
Kctd9	799.75	878	0	1443	878	0
Cdca2	799.75	878	0	1443	878	0
Nlrp10	799.0	486	170	1516	1024	0
Mfsd5	799.0	2280	586	330	0	0
Eif3f	799.0	486	170	1516	1024	0
Catsperg1	799.0	682	0	1407	1107	0
Hnrnpc	798.75	935	205	1267	788	0
Imp4	798.0	845	125	1211	1011	0
Ccdc115	798.0	845	125	1211	1011	0
Cfl1	797.25	1015	221	1196	757	0
Qtrt2	796.5	798	204	1385	799	0
Ccdc191	796.5	798	204	1385	799	0
Tpr	795.5	898	217	1161	906	0
Odr4	795.5	898	217	1161	906	0
Bsdc1	795.5	901	148	1315	818	0
Nfyc	795.25	790	0	1461	930	0
Cox6b1	795.25	955	0	1462	764	0
Arl6ip1	795.25	979	0	1384	818	0
Zfp574	795.0	960	186	1474	560	0
Kifc5b	795.0	1662	440	678	400	0
Grik5	795.0	960	186	1474	560	0
Cntrl	794.5	925	0	1512	741	0
Tbc1d32	794.0	918	0	1529	729	0
Bms1	793.75	930	196	1315	734	0
Vasp	793.5	990	0	1321	863	0
Dnmt1	792.75	813	0	1491	867	0
Ttc30a2	792.25	705	187	1195	1082	0
Ttc30a1	792.25	705	187	1195	1082	0
Apbb1ip	792.25	802	0	1452	915	0
Slc25a46	792.0	1585	380	667	536	0
Pbx2	790.25	976	90	1177	918	0
Gpsm3	790.25	976	90	1177	918	0
Rbms1	789.5	653	0	1026	1479	0
Wdr27	788.5	1835	314	695	310	0
Map1lc3b	788.5	1156	366	1158	474	0
1600012H06Rik	788.5	1835	314	695	310	0
Tango2	788.25	2649	504	0	0	0
Leng9	788.25	1345	193	1282	333	0
Gcgr	788.25	1010	0	1565	578	0
Arvcf	788.25	2649	504	0	0	0
Gtpbp4	787.5	980	356	1213	601	0
Birc6	787.25	1297	266	1089	497	0
Toe1	786.75	1116	168	1255	608	0
Mutyh	786.75	1116	168	1255	608	0
Wdr24	785.75	650	0	1395	1098	0
Cwf19l1	785.5	779	0	1458	905	0
Mapkapk3	784.75	908	0	1277	954	0
9130401M01Rik	784.25	1402	280	935	520	0
Zfp433	784.0	1214	139	1006	777	0
Scrn3	784.0	1241	293	886	716	0
Gm32687	784.0	1214	139	1006	777	0
Cir1	784.0	1241	293	886	716	0
Cebpd	784.0	858	0	1333	945	0
Egr1	783.75	898	0	1313	924	0
Lars	783.25	911	0	1285	937	0
Eif2s3y	783.25	581	0	1574	978	0
Cluap1	783.25	646	0	1196	1291	0
1700037C18Rik	783.25	646	0	1196	1291	0
Fstl1	782.25	748	0	1625	756	0
Riok1	782.0	798	313	1047	970	0
D130040H23Rik	782.0	840	0	1539	749	0
Cage1	782.0	798	313	1047	970	0
Gga1	781.75	795	185	1135	1012	0
Cenpw	781.75	1250	0	1122	755	0
Tmem223	780.75	1319	237	1029	538	0
Tmem179b	780.75	1319	237	1029	538	0
2210016F16Rik	780.75	2215	462	446	0	0
Rpl30	780.25	830	145	1166	980	0
Zfp955a	780.0	826	0	1321	973	0
Cd52	779.75	798	0	916	1405	0
Actr2	779.5	1479	279	784	576	0
Mta2	778.5	1498	369	1066	181	0
Med4	778.5	944	0	1236	934	0
Rfx1	778.25	889	0	1377	847	0
Slc39a11	778.0	1205	173	1379	355	0
Zfp809	777.5	1060	0	1345	705	0
Ppp1r18	777.5	739	112	1399	860	0
Ube2d3	777.25	1217	218	942	732	0
3110040N11Rik	777.25	1196	235	1160	518	0
Tsga10	776.75	1079	205	1020	803	0
Fbxo8	776.75	492	0	1420	1195	0
Cep44	776.75	492	0	1420	1195	0
Tsen34	776.5	1014	0	1350	742	0
Rps21	776.5	1121	259	1040	686	0
Mboat7	776.5	1014	0	1350	742	0
Mettl6	776.25	1254	207	1008	636	0
Eaf1	776.25	1254	207	1008	636	0
Tprgl	776.0	1157	0	1276	671	0
Tbpl1	776.0	2198	424	482	0	0
Naca	774.75	1862	417	820	0	0
Hars2	774.75	863	0	1152	1084	0
Hars	774.75	863	0	1152	1084	0
Ints9	774.5	715	193	1069	1121	0
Hmbox1	774.5	715	193	1069	1121	0
Bard1	774.5	1073	207	1184	634	0
Sap18b	774.25	1038	153	1363	543	0
Sap18	774.25	1038	153	1363	543	0
Ostf1	774.25	1813	474	508	302	0
Nmrk1	774.25	1813	474	508	302	0
Rpl6	774.0	770	0	1225	1101	0
Creld2	773.75	1290	190	1389	226	0
Alg12	773.75	1290	190	1389	226	0
Snrpe	773.5	1160	264	960	710	0
Derl1	773.5	927	174	1271	722	0
Zfp472	773.25	600	0	1489	1004	0
Baz1a	772.5	996	0	1292	802	0
Rae1	772.25	1550	440	793	306	0
Tut7	772.0	1772	300	638	378	0
Tprkb	772.0	810	174	1229	875	0
Nat8f1	772.0	810	174	1229	875	0
Eif3l	771.75	930	149	1175	833	0
Akr1e1	771.5	725	0	1456	905	0
Wfdc16	771.25	905	0	1501	679	0
Parn	771.25	1658	367	938	122	0
Bfar	771.25	1658	367	938	122	0
Psmc2	771.0	1962	435	385	302	0
Dnajc2	771.0	1962	435	385	302	0
Map4k1	770.75	871	0	1349	863	0
Eif3k	770.75	871	0	1349	863	0
Sptlc1	770.5	1432	262	940	448	0
Ccpg1os	770.5	1265	288	1125	404	0
Ccpg1	770.5	1265	288	1125	404	0
Vwa1	770.0	902	0	1305	873	0
Arap1	770.0	864	0	1289	927	0
Tmem167b	768.5	813	203	1224	834	0
Rbm3	768.25	949	144	1281	699	0
Zcchc9	768.0	902	0	1230	940	0
Cd300lf	768.0	1129	0	1410	533	0
Ttll5	767.5	892	0	1369	809	0
Erg28	767.5	892	0	1369	809	0
Chchd3	767.5	922	0	1298	850	0
Rgmb	766.0	1254	0	1324	486	0
Snrpb	765.75	1018	260	1141	644	0
Ecsit	765.75	902	0	1213	948	0
Hnrnpul1	765.5	849	0	1467	746	0
Pdss1	765.0	1103	153	1181	623	0
Mtbp	765.0	813	0	1406	841	0
Mrpl13	765.0	813	0	1406	841	0
Man2b2	764.0	2077	592	387	0	0
Wdr83os	763.75	572	0	1166	1317	0
Wdr83	763.75	572	0	1166	1317	0
Man2b1	763.75	572	0	1166	1317	0
Naglu	763.5	1251	193	1265	345	0
Hsbp1	763.25	809	0	1412	832	0
Hnrnpf	762.75	1328	218	1129	376	0
Ints6	762.5	758	145	1530	617	0
Rpl38	761.25	1214	196	928	707	0
Zbtb8os	761.0	774	97	1339	834	0
Rbbp4	761.0	774	97	1339	834	0
Hsd3b7	760.75	863	134	1252	794	0
Abcd2	760.25	1026	0	1497	518	0
Vti1b	760.0	2014	336	431	259	0
Flna	759.5	1007	0	1213	818	0
Pik3ca	759.25	1074	186	1127	650	0
Uggt1	759.0	1421	334	859	422	0
Drg2	758.5	576	0	1215	1243	0
Sgta	758.25	1013	0	1087	933	0
Itgb3bp	758.0	548	0	1371	1113	0
Efcab7	758.0	548	0	1371	1113	0
Ctnnbl1	757.75	659	0	1391	981	0
Ramac	757.5	1218	298	1011	503	0
Cndp2	757.25	947	162	1233	687	0
Rpl27a	756.75	1776	455	544	252	0
Dad1	755.75	781	148	1270	824	0
Abhd4	755.75	781	148	1270	824	0
Abca9	754.75	723	143	1543	610	0
Timm10	754.0	774	0	1392	850	0
Smtnl1	754.0	774	0	1392	850	0
Nlk	753.75	694	0	1448	873	0
Carhsp1	753.75	679	0	943	1393	0
Pkn1	753.25	920	0	1209	884	0
Slc15a4	753.0	1115	289	1027	581	0
Polm	753.0	967	164	1172	709	0
Atp7a	752.75	1382	269	1012	348	0
Erlin2	752.5	896	159	1356	599	0
Aldh3a2	752.5	1057	0	1459	494	0
Bank1	752.25	1012	0	1371	626	0
Cd48	751.0	972	0	1230	802	0
Dph5	750.75	779	127	1028	1069	0
Ppip5k2	749.75	959	303	1143	594	0
Gin1	749.75	959	303	1143	594	0
Meak7	749.5	1028	0	1195	775	0
Gpatch1	749.5	1132	153	1133	580	0
Polr3d	749.25	1349	160	1007	481	0
Ncoa2	749.25	895	0	1295	807	0
Gtf3c4	748.5	2067	425	343	159	0
Ddx31	748.5	2067	425	343	159	0
Ndufv1	747.75	686	210	1317	778	0
Vbp1	747.5	675	0	1369	946	0
Zfp687	747.0	825	127	1282	754	0
Prdm4	747.0	1587	256	913	232	0
Adck2	746.0	1487	140	889	468	0
Zbtb32	745.5	1168	202	1249	363	0
Kmt2b	745.5	1168	202	1249	363	0
Ifi47	745.5	826	0	1254	902	0
Tbrg4	744.75	1566	324	499	590	0
Ap2s1	744.75	1001	0	1303	675	0
Tti2	744.0	682	0	1427	867	0
Pip4k2c	744.0	2081	588	307	0	0
Chchd2	741.75	865	0	1174	928	0
Slc31a1	741.25	1101	309	1030	525	0
Fkbp15	741.25	1101	309	1030	525	0
Abtb1	741.0	1055	190	1035	684	0
Tmem41b	740.75	886	217	1108	752	0
Ubr1	740.25	1416	183	986	376	0
Rab43	740.25	951	0	1159	851	0
Cyb5r3	740.25	1404	224	1129	204	0
Exoc3l	740.0	1108	0	1200	652	0
E2f4	740.0	1108	0	1200	652	0
Dedd	740.0	1056	179	973	752	0
Ccnl2	739.5	1272	349	982	355	0
Rsph3a	739.25	1964	246	747	0	0
Glipr2	739.25	738	0	1011	1208	0
Hmgcs1	739.0	1065	0	1426	465	0
Arl13b	738.5	847	0	1474	633	0
Vps35l	738.25	930	0	1126	897	0
Emc7	738.25	1267	314	1042	330	0
Arid3b	738.0	815	0	1337	800	0
Noc3l	737.75	944	0	1091	916	0
Uqcrq	737.5	753	205	1163	829	0
Gdf9	737.5	753	205	1163	829	0
Zfp606	737.25	920	0	1104	925	0
Rmdn1	737.0	1202	0	1066	680	0
Prkab1	737.0	1736	223	735	254	0
Cspp1	737.0	848	0	1325	775	0
Cpne3	737.0	1202	0	1066	680	0
Cops5	737.0	848	0	1325	775	0
Cacybp	736.5	1146	385	966	449	0
Hat1	736.0	1682	300	962	0	0
Cox16	735.0	810	81	1289	760	0
Mfap1b	734.75	705	196	1052	986	0
Itfg2	733.75	847	0	1230	858	0
Gemin8	733.5	892	0	1112	930	0
Nbeal2	732.75	820	144	1149	818	0
Ccdc12	732.75	820	144	1149	818	0
B3gntl1	732.5	1901	246	559	224	0
Prr5	732.25	710	0	1610	609	0
Rsu1	730.75	689	124	1202	908	0
2610044O15Rik8	730.5	689	0	1368	865	0
Gnl3l	729.75	860	0	1435	624	0
Zfp263	729.5	848	126	1041	903	0
Ctdsp1	729.5	693	0	1573	652	0
Nmi	729.25	505	0	980	1432	0
Bri3	728.75	708	0	1391	816	0
Snx11	727.5	1308	246	1072	284	0
Psmb5	727.25	700	0	1388	821	0
Naf1	727.25	1252	163	771	723	0
Itpkc	727.25	951	0	1316	642	0
Coq8b	727.25	951	0	1316	642	0
Traf3ip3	727.0	929	0	1442	537	0
Cgrrf1	726.75	921	0	1180	806	0
Rmc1	726.5	792	0	1173	941	0
Ier3ip1	726.25	651	0	1509	745	0
Dhrs4	725.25	1036	0	1080	785	0
Trmt10a	724.75	1056	254	986	603	0
Mttp	724.75	1056	254	986	603	0
Tmed7	724.25	672	0	1190	1035	0
Eif1a	724.25	672	0	1190	1035	0
Dusp19	724.0	865	0	1196	835	0
Tomm40	723.25	799	212	1075	807	0
Mycbp	723.25	1199	279	922	493	0
Unkl	723.0	612	196	1318	766	0
Pigc	723.0	1253	206	774	659	0
Percc1	723.0	612	196	1318	766	0
Ms4a6b	723.0	824	0	990	1078	0
BC003965	723.0	612	196	1318	766	0
Ascc2	723.0	1823	444	625	0	0
4930558K02Rik	723.0	1253	206	774	659	0
Zfp595	722.5	804	0	1337	749	0
Zc3h13	721.5	1085	237	1013	551	0
Fhl3	721.5	984	0	1355	547	0
Tvp23b	721.0	1660	340	884	0	0
Helb	720.75	948	181	1121	633	0
Snrpa	720.5	962	202	1139	579	0
BC024978	720.5	962	202	1139	579	0
Tma7	720.25	629	0	1415	837	0
Rer1	720.25	2038	390	453	0	0
Morn1	720.25	2038	390	453	0	0
Ccdc51	720.25	629	0	1415	837	0
Ddx18	720.0	763	0	1317	800	0
Trmt5	719.25	1087	247	1123	420	0
Slc38a6	719.25	1087	247	1123	420	0
Dnajc12	719.25	798	0	1086	993	0
Cyb5r4	719.25	2026	543	308	0	0
Aim2	718.75	810	119	1105	841	0
Tbrg1	718.5	829	121	1276	648	0
Tiparp	718.0	838	175	1460	399	0
Zkscan6	717.75	1434	272	449	716	0
Naaa	717.75	658	107	1286	820	0
Nfxl1	717.25	761	0	1344	764	0
Deptor	717.0	843	0	1393	632	0
Ccdc86	716.5	705	184	1337	640	0
Csk	716.0	970	0	1252	642	0
Ipo8	715.75	820	0	1162	881	0
Coro1c	715.5	851	0	1282	729	0
Tmem95	715.25	1465	207	824	365	0
Kctd11	715.25	1465	207	824	365	0
Zscan30	714.0	722	0	1266	868	0
Zfp35	714.0	722	0	1266	868	0
Nifk	714.0	630	200	1160	866	0
Topors	713.75	1048	140	1189	478	0
Smim27	713.75	1048	140	1189	478	0
Gadd45b	712.25	765	0	1100	984	0
Aen	712.25	999	203	1143	504	0
H4c8	712.0	1022	0	1124	702	0
H3c8	712.0	1022	0	1124	702	0
H2ac10	712.0	1022	0	1124	702	0
Srf	711.5	866	163	1129	688	0
Zbtb7a	711.0	1301	237	1022	284	0
Npat	711.0	1015	197	1003	629	0
Clptm1	711.0	741	0	1427	676	0
Atm	711.0	1015	197	1003	629	0
Snw1	710.75	819	214	1214	596	0
Sf3a2	710.75	1092	427	1026	298	0
Plekhj1	710.75	1092	427	1026	298	0
Sufu	710.25	710	0	1203	928	0
Prcc	710.25	506	0	1477	858	0
Ncoa7	710.25	800	0	1250	791	0
Actr1a	710.25	710	0	1203	928	0
Spg11	709.75	1831	475	533	0	0
Cdt1	709.5	689	0	986	1163	0
Uros	709.25	847	0	1219	771	0
Bccip	709.25	847	0	1219	771	0
4930562C15Rik	709.25	1139	0	1398	300	0
Tnks	709.0	948	0	1064	824	0
Srp54c	708.75	577	209	1267	782	0
Srp54b	708.75	577	209	1267	782	0
Unc50	708.0	1376	184	863	409	0
Coa5	708.0	1376	184	863	409	0
Syngap1	707.0	1419	313	944	152	0
Dzip3	707.0	1251	165	877	535	0
Cuta	707.0	1419	313	944	152	0
Cip2a	707.0	1251	165	877	535	0
Rhob	706.5	1069	0	1481	276	0
Zkscan5	705.75	744	0	1270	809	0
Zkscan14	705.75	744	0	1270	809	0
Plcb2	705.75	940	0	1397	486	0
