Ligand	Receptor
Efna4	Epha7
Efna4	Epha8
Efna5	Epha1
Efna5	Epha2
Efna5	Epha3
Efna5	Epha4
Efna5	Epha5
Efna5	Epha6
Efna5	Epha7
Efna5	Epha8
Efna5	Ephb1
Efna5	Ephb2
Efna5	Ephb6
Efnb1	Epha4
Efnb1	Epha6
Efnb1	Ephb1
Efnb1	Ephb2
Efnb1	Ephb3
Efnb1	Ephb4
Efnb1	Ephb6
Efnb1	Erbb2
Efnb2	Epha3
Efnb2	Epha4
Efnb2	Epha6
Efnb2	Ephb1
Efnb2	Ephb2
Efnb2	Ephb3
Efnb2	Ephb4
Efnb2	Ephb6
Efnb2	Grm1
Efnb2	Grm5
Efnb2	Pecam1
Efnb2	Rhbdl2
Efnb3	Epha4
Efnb3	Ephb1
Efnb3	Ephb2
Efnb3	Ephb3
Efnb3	Ephb4
Efnb3	Ephb6
Efnb3	Rhbdl2
Egf	Cav1
Egf	Egfr
Egf	Erbb2
Egf	Erbb3
Egf	Erbb4
Egf	Fshr
Epo	Epor
Ereg	Egfr
Ereg	Erbb2
Ereg	Erbb3
Ereg	Erbb4
Fasl	Fas
Fasl	Tnfrsf1a
Fgf10	Fgfr1
Fgf10	Fgfr2
Fgf10	Fgfr3
Fgf10	Fgfr4
Fgf11	Fgfr1
Fgf11	Fgfr2
Fgf11	Fgfr3
Fgf11	Fgfr4
Fgf12	Fgfr1
Fgf12	Fgfr2
Fgf12	Fgfr3
Fgf12	Fgfr4
Fgf13	Egfr
Fgf13	Fgfr1
Fgf13	Fgfr2
Fgf13	Fgfr3
Fgf13	Fgfr4
Fgf13	Scn5a
Fgf13	Scn8a
Fgf14	Fgfr1
Fgf14	Fgfr2
Fgf14	Fgfr3
Fgf14	Fgfr4
Fgf16	Fgfr1
Fgf16	Fgfr2
Fgf16	Fgfr3
Fgf16	Fgfr4
Fgf17	Fgfr1
Fgf17	Fgfr2
Fgf17	Fgfr3
Fgf17	Fgfr4
Fgf18	Fgfr1
Fgf18	Fgfr2
Fgf18	Fgfr3
Fgf18	Fgfr4
Fgf15	Fgfr1
Fgf15	Fgfr2
Fgf15	Fgfr3
Fgf15	Fgfr4
Fgf15	Klb
Fgf1	Cd44
Fgf1	Egfr
Fgf1	Fgfr1
Fgf1	Fgfr2
Fgf1	Fgfr3
Fgf1	Fgfr4
Fgf1	Fgfrl1
Fgf1	Nrp1
Fgf20	Fgfr4
Fgf21	Fgfr2
Fgf21	Fgfr4
Fgf22	Fgfr2
Fgf23	Fgfr1
Fgf23	Fgfr2
Fgf23	Fgfr3
Fgf23	Fgfr4
Fgf23	Phex
Fgf2	Cd44
Fgf2	Fgfr1
Fgf2	Fgfr2
Fgf2	Fgfr3
Fgf2	Fgfr4
Fgf2	Fgfrl1
Fgf2	Gpc4
Fgf2	Nrp1
Fgf2	Sdc1
Fgf2	Sdc2
Fgf2	Sdc3
Fgf2	Sdc4
Fgf5	Fgfr1
Fgf5	Fgfr2
Fgf5	Fgfr3
Fgf5	Fgfr4
Fgf6	Fgfr1
Fgf6	Fgfr2
Fgf6	Fgfr3
Fgf6	Fgfr4
Fgf6	Sdc4
Fgf7	Fgfr1
Fgf7	Fgfr2
Fgf7	Fgfr3
Fgf7	Fgfr4
Fgf7	Nrp1
Fgf8	Fgfr1
Fgf8	Fgfr2
Fgf8	Fgfr3
Fgf8	Fgfr4
Fgf9	Fgfr1
Fgf9	Fgfr2
Fgf9	Fgfr3
Fgf9	Fgfr4
Fgl1	Egfr
Vegfd	Flt1
Vegfd	Flt4
Vegfd	Itga1
Vegfd	Itga2
Vegfd	Itga4
Vegfd	Itga5
Vegfd	Itga9
Vegfd	Itgb1
Vegfd	Kdr
Vegfd	Nrp2
Flt3l	Flt3
Fst	Bmpr1b
Fst	Bmpr2
Fst	Hjv
Gdf10	Acvr1b
Gdf2	Acvr1
Gdf2	Acvr2a
Gdf2	Acvr2b
Gdf2	Acvrl1
Gdf2	Bmpr2
Gdf2	Eng
Gdf5	Acvr1
Gdf5	Acvr2a
Gdf5	Acvr2b
Gdf5	Bmpr1a
Gdf5	Bmpr1b
Gdf5	Bmpr2
Gdf5	Ror2
Gdf6	Bmpr1a
Gdf6	Bmpr1b
Gdf6	Bmpr2
Gdf9	Acvr2a
Gdf9	Bmpr1a
Gdf9	Bmpr1b
Gdf9	Bmpr2
Gdf9	Fxyd6
Gdf9	Orai2
Gdf9	Tgfbr1
Gdnf	Ednrb
Gdnf	Gfra1
Gdnf	Gfra2
Gdnf	Ret
Gdnf	Slc44a5
Grem1	Kdr
Hbegf	Cd44
Hbegf	Cd82
Hbegf	Cd9
Hbegf	Egfr
Hbegf	Erbb2
Hbegf	Erbb4
Hbegf	Gm21973
Hgf	Cd44
Hgf	Met
Hgf	Sdc1
Hgf	Sdc2
Hgf	St14
Ifna14	Ifnar1
Ifna14	Ifnar2
Ifnb1	Ifnar1
Ifnb1	Ifnar2
Ifng	Ifngr1
Ifng	Ifngr2
Ifnl2	Ifnlr1
Ifnl2	Gm21970
Igf1	Igf1r
Igf1	Insr
Igf2	Igf1r
Igf2	Igf2r
Igf2	Insr
Igfbp4	Fzd8
Igfbp4	Lrp6
Igfl3	Igflr1
Ihh	Boc
Ihh	Cdon
Ihh	Hhip
Ihh	Ptch1
Ihh	Ptch2
Il10	Il10ra
Il10	Gm21970
Il10	Sirpb1a
Il11	Il11ra2
Il11	Il6st
Il12a	Cd28
Il12a	Il12rb1
Il12a	Il12rb2
Il12b	Il12rb1
Il12b	Il12rb2
Il12b	Il23r
Il13	Il13ra1
Il13	Il13ra2
Il13	Gm20489
Il13	Il4ra
Il15	Il15ra
Il15	Il2ra
Il15	Il2rb
Il15	Gm20489
Il16	Ccr5
Il16	Cd4
Il16	Grin2c
Il16	Grin2d
Il16	Kcna3
Il16	Kcnd1
Il16	Kcnd2
Il16	Kcnj10
Il16	Kcnj15
Il16	Kcnj4
Il17a	Il17ra
Il17a	Il17rc
Il17b	Il17rb
Il17f	Il17ra
Il18	Cd48
Il18	Il18r1
Il18	Il18rap
Il18	Il1rapl1
Il18	Il1rl2
Il19	Il20ra
Il19	Il20rb
Il1a	Il1r1
Il1a	Il1r2
Il1a	Il1rap
Il1b	Adrb2
Il1b	Il1r1
Il1b	Il1r2
Il1b	Il1rap
Il1f10	Il1r1
Il20	Il20ra
Il20	Il20rb
Il20	Il22ra1
Il21	Il21r
Il21	Gm20489
Iltifb	Il10ra
Iltifb	Gm21970
Iltifb	Il21r
Iltifb	Il22ra1
Iltifb	Il22ra2
Il23a	Il12rb1
Il23a	Il23r
Il24	Il20ra
Il24	Il20rb
Il24	Il22ra1
Il25	Il17rb
Il27	Il27ra
Il2	Cd53
Il2	Gypa
Il2	Il2ra
Il2	Il2rb
Il2	Gm20489
Il2	Ngfr
Il31	Il31ra
Il31	Osmr
Il34	Csf1r
Il3	Csf2rb2
Il3	Il3ra
Il4	Cd53
Il4	Il13ra1
Il4	Il13ra2
Il4	Gm20489
Il4	Il4ra
Il5	Csf2rb2
Il5	Il5ra
Il6	F3
Il6	Il6ra
Il6	Il6st
Il7	Gm20489
Il7	Il7r
Il9	Gm20489
Il9	Il9r
Inha	Acvr1
Inha	Acvr1b
Inha	Acvr2a
Inha	Acvr2b
Inha	Tgfbr3
Inhba	Acvr1
Inhba	Acvr1b
Inhba	Acvr2a
Inhba	Acvr2b
Inhba	Bambi
Inhba	Eng
Inhba	Tgfbr3
