"tf"	"confidence"	"target"	"mor"
"127"	"ADNP"	"D"	"ELFN1"	1
"128"	"ADNP"	"D"	"ELL2"	1
"129"	"ADNP"	"D"	"ENG"	1
"130"	"ADNP"	"D"	"EPB41"	1
"131"	"ADNP"	"D"	"EPB41L1"	1
"132"	"ADNP"	"D"	"EPHA2"	1
"133"	"ADNP"	"D"	"EPHB4"	1
"134"	"ADNP"	"D"	"ERCC1"	1
"135"	"ADNP"	"D"	"ERCC2"	1
"136"	"ADNP"	"D"	"ERN2"	1
"137"	"ADNP"	"D"	"FAF1"	1
"138"	"ADNP"	"D"	"FAM222A"	1
"139"	"ADNP"	"D"	"FBN3"	1
"140"	"ADNP"	"D"	"FBXW11"	1
"141"	"ADNP"	"D"	"FCHO1"	1
"142"	"ADNP"	"D"	"FHAD1"	1
"143"	"ADNP"	"D"	"FIBCD1"	1
"144"	"ADNP"	"D"	"FLNB"	1
"145"	"ADNP"	"D"	"FNIP2"	1
"146"	"ADNP"	"D"	"FXN"	1
"147"	"ADNP"	"D"	"GABBR2"	1
"148"	"ADNP"	"D"	"GADD45B"	1
"149"	"ADNP"	"D"	"GDF15"	1
"150"	"ADNP"	"D"	"GDPD5"	1
"151"	"ADNP"	"D"	"GFI1B"	1
"152"	"ADNP"	"D"	"GMPR"	1
"153"	"ADNP"	"D"	"GNA15"	1
"154"	"ADNP"	"D"	"GPR160"	1
"155"	"ADNP"	"D"	"GPR89P"	1
"156"	"ADNP"	"D"	"GRIFIN"	1
"157"	"ADNP"	"D"	"GRIP2"	1
"158"	"ADNP"	"D"	"GRM4"	1
"159"	"ADNP"	"D"	"GSE1"	1
"160"	"ADNP"	"D"	"GSN"	1
"161"	"ADNP"	"D"	"GTDC1"	1
"162"	"ADNP"	"D"	"GTF2IRD1"	1
"163"	"ADNP"	"D"	"H3C9P"	1
"164"	"ADNP"	"D"	"HBS1L"	1
"165"	"ADNP"	"D"	"HIP1"	1
"166"	"ADNP"	"D"	"HJV"	1
"167"	"ADNP"	"D"	"HMGA1P3"	1
"168"	"ADNP"	"D"	"HMGB1P1"	1
"169"	"ADNP"	"D"	"HMGB3P32"	1
"170"	"ADNP"	"D"	"HMGN2P13"	1
"171"	"ADNP"	"D"	"HMGN2P25"	1
"172"	"ADNP"	"D"	"HMGN2P47"	1
"173"	"ADNP"	"D"	"HMGN4"	1
"174"	"ADNP"	"D"	"HNF1A"	1
"175"	"ADNP"	"D"	"HNRNPA1P1"	1
"176"	"ADNP"	"D"	"HSD17B12"	1
"177"	"ADNP"	"D"	"HTR1D"	1
"178"	"ADNP"	"D"	"ID1"	1
"179"	"ADNP"	"D"	"IFFO2"	1
"180"	"ADNP"	"D"	"IGF2BP2"	1
"181"	"ADNP"	"D"	"IL12RB1"	1
"182"	"ADNP"	"D"	"IL21R"	1
"183"	"ADNP"	"D"	"INPP5B"	1
"184"	"ADNP"	"D"	"INPP5D"	1
"185"	"ADNP"	"D"	"INSR"	1
"186"	"ADNP"	"D"	"IQSEC1"	1
"187"	"ADNP"	"D"	"IRF2BP1"	1
"188"	"ADNP"	"D"	"ITPR1"	1
"189"	"ADNP"	"D"	"JAK3"	1
"190"	"ADNP"	"D"	"KAZN"	1
"191"	"ADNP"	"D"	"KCNK1"	1
"192"	"ADNP"	"D"	"KCNK3"	1
"193"	"ADNP"	"D"	"KCNN3"	1
"194"	"ADNP"	"D"	"KIAA0232"	1
"195"	"ADNP"	"D"	"KIF13A"	1
"196"	"ADNP"	"D"	"KSR1"	1
"197"	"ADNP"	"D"	"LAMC3"	1
"198"	"ADNP"	"D"	"LAPTM5"	1
"199"	"ADNP"	"D"	"LASP1"	1
"200"	"ADNP"	"D"	"LDLRAP1"	1
"201"	"ADNP"	"D"	"LGR4"	1
"202"	"ADNP"	"D"	"LHPP"	1
"203"	"ADNP"	"D"	"LINC00324"	1
"204"	"ADNP"	"D"	"LINC00534"	1
"205"	"ADNP"	"D"	"LINC00870"	1
"206"	"ADNP"	"D"	"LINC00877"	1
"207"	"ADNP"	"D"	"LINC00963"	1
"208"	"ADNP"	"D"	"LINC01012"	1
"209"	"ADNP"	"D"	"LINC01234"	1
"210"	"ADNP"	"D"	"LINC01267"	1
"211"	"ADNP"	"D"	"LINC01270"	1
"212"	"ADNP"	"D"	"LINC01315"	1
"213"	"ADNP"	"D"	"LINC01412"	1
"214"	"ADNP"	"D"	"LINC01485"	1
"215"	"ADNP"	"D"	"LINC01503"	1
"216"	"ADNP"	"D"	"LINC01556"	1
"217"	"ADNP"	"D"	"LINC01623"	1
"218"	"ADNP"	"D"	"LINC01685"	1
"219"	"ADNP"	"D"	"LINC01756"	1
"220"	"ADNP"	"D"	"LINC01942"	1
"221"	"ADNP"	"D"	"LINC01962"	1
"222"	"ADNP"	"D"	"LINC01992"	1
"223"	"ADNP"	"D"	"LINGO1"	1
"224"	"ADNP"	"D"	"LIPC"	1
"225"	"ADNP"	"D"	"LITAF"	1
"226"	"ADNP"	"D"	"LLNLR"	1
"227"	"ADNP"	"D"	"LMO2"	1
"228"	"ADNP"	"D"	"LUC7L2"	1
"229"	"ADNP"	"D"	"MAGI1"	1
"230"	"ADNP"	"D"	"MAP3K7"	1
"231"	"ADNP"	"D"	"MAPRE2"	1
"232"	"ADNP"	"D"	"MARK4"	1
"233"	"ADNP"	"D"	"MAST3"	1
"234"	"ADNP"	"D"	"MATK"	1
"235"	"ADNP"	"D"	"MB"	1
"236"	"ADNP"	"D"	"MBNL1"	1
"237"	"ADNP"	"D"	"MDM4"	1
"238"	"ADNP"	"D"	"MDS2"	1
"239"	"ADNP"	"D"	"MED18"	1
"240"	"ADNP"	"D"	"METAZOA_SRP.104"	1
"241"	"ADNP"	"D"	"MICAL2"	1
"242"	"ADNP"	"D"	"MIER1"	1
"243"	"ADNP"	"D"	"MIR1205"	1
"244"	"ADNP"	"D"	"MIR1303"	1
"245"	"ADNP"	"D"	"MIR145"	1
"246"	"ADNP"	"D"	"MIR3143"	1
"247"	"ADNP"	"D"	"MIR3194"	1
"248"	"ADNP"	"D"	"MIR3681HG"	1
