Target_genes	Patz1|Average	SRX20088451|ES_cells	SRX20088452|ES_cells	SRX20088453|ES_cells	SRX20088454|ES_cells	STRING
Rab33b	242.000000	338	630	0	0	0
Rps29	240.750000	699	0	264	0	0
Slc39a13	240.500000	423	539	0	0	0
Rybp	240.500000	299	663	0	0	0
Usp12	240.000000	529	431	0	0	0
Septin2	240.000000	411	549	0	0	0
Hdlbp	240.000000	411	549	0	0	0
Ttc3	239.500000	435	523	0	0	0
Pigp	239.500000	435	523	0	0	0
Pelp1	239.250000	377	580	0	0	0
Sarnp	237.500000	392	558	0	0	0
Ormdl2	237.500000	392	558	0	0	0
Casd1	237.500000	388	562	0	0	0
Fxr2	237.250000	493	456	0	0	0
Pcbp2	236.750000	552	395	0	0	0
Zhx3	236.250000	435	510	0	0	0
Rap2a	236.000000	484	460	0	0	0
Tmub1	235.750000	463	480	0	0	0
Fastk	235.750000	463	480	0	0	0
Jam2	234.000000	482	454	0	0	0
Il17rd	233.000000	538	394	0	0	0
Zfp740	230.750000	474	449	0	0	0
Fam53b	230.750000	450	473	0	0	0
Csad	230.750000	474	449	0	0	0
Ube2v1	230.000000	445	475	0	0	0
Trim62	228.750000	551	364	0	0	0
Klf1	228.500000	386	528	0	0	0
Hoxb13	228.250000	308	605	0	0	0
Hes1	227.250000	479	430	0	0	0
Swi5	226.500000	687	219	0	0	0
Klhdc10	226.500000	513	393	0	0	0
Golga2	226.500000	687	219	0	0	0
Cpsf4l	226.000000	551	353	0	0	0
Zbed3	225.750000	543	360	0	0	0
Zmym4	225.500000	341	561	0	0	0
Pou5f1	225.000000	494	406	0	0	0
Rbbp7	224.750000	457	442	0	0	0
Rap1b	224.000000	420	476	0	0	0
Myl6b	223.750000	559	336	0	0	0
Myl6	223.750000	559	336	0	0	0
Lpar2	223.000000	567	325	0	0	0
Gtf2i	222.500000	480	410	0	0	0
Nsd1	221.500000	457	429	0	0	0
Rin1	220.250000	453	428	0	0	0
Gtf2ird1	220.250000	421	460	0	0	0
Scamp3	220.000000	453	427	0	0	0
Mib2	220.000000	400	480	0	0	0
Gpx4	220.000000	427	453	0	0	0
Fzd10	220.000000	557	323	0	0	0
Srsf4	219.000000	425	451	0	0	0
Zfp395	218.500000	506	368	0	0	0
Serbp1	218.250000	427	446	0	0	0
Nfatc4	218.000000	374	498	0	0	0
Sinhcaf	217.000000	277	591	0	0	0
Atg101	216.500000	436	430	0	0	0
Dnttip2	216.250000	504	361	0	0	0
Bhlhe40	216.250000	542	323	0	0	0
Safb2	216.000000	404	460	0	0	0
Safb	216.000000	404	460	0	0	0
Msantd2	215.750000	558	305	0	0	0
Tedc1	214.750000	458	401	0	0	0
Gbx2	214.750000	413	446	0	0	0
Cuedc2	214.750000	452	407	0	0	0
Crip1	214.750000	458	401	0	0	0
Ier5l	214.250000	593	264	0	0	0
Fbxo5	214.250000	333	524	0	0	0
Trim7	213.500000	553	301	0	0	0
Igf2bp1	213.500000	363	491	0	0	0
Stag1	213.250000	327	526	0	0	0
Agk	211.750000	305	542	0	0	0
Ylpm1	211.500000	455	391	0	0	0
Kcnu1	210.250000	561	280	0	0	0
Ash2l	210.250000	561	280	0	0	0
Trip12	210.000000	413	427	0	0	0
Fbxo36	210.000000	413	427	0	0	0
Hbs1l	208.500000	486	348	0	0	0
Phlda3	208.250000	404	429	0	0	0
Kdm3a	207.750000	450	381	0	0	0
Cdx1	207.000000	446	382	0	0	0
Stox2	206.750000	539	288	0	0	0
Mycn	206.750000	458	369	0	0	0
Kansl1l	206.250000	455	370	0	0	0
Ubc	205.500000	471	351	0	0	0
Mapk7	205.500000	506	316	0	0	0
Hmgn1	205.250000	477	344	0	0	0
Klhl34	205.000000	345	475	0	0	0
Pcmt1	204.000000	355	461	0	0	0
Lats1	204.000000	355	461	0	0	0
Phc1	203.000000	457	355	0	0	0
