Target_genes	Sox10|Average	SRX1062970|embryonic_skin	SRX1062971|embryonic_skin	SRX7856758|Melanoma	SRX7856759|Melanoma	STRING
H2-DMa	71.500000	136	150	0	0	0
Brd2	71.500000	136	150	0	0	0
Ccdc126	71.250000	137	148	0	0	0
Zfp959	71.000000	0	284	0	0	0
Srrd	71.000000	150	134	0	0	0
Hps4	71.000000	150	134	0	0	0
Ctbp2	71.000000	153	131	0	0	0
Taf6	70.500000	133	149	0	0	0
Ndufb7	70.500000	120	162	0	0	0
Cnpy4	70.500000	133	149	0	0	0
Btbd8	70.500000	0	282	0	0	0
Rps15	70.250000	107	174	0	0	0
Pdap1	70.250000	95	186	0	0	0
Myl12a	70.250000	141	140	0	0	0
Gm3435	70.250000	125	156	0	0	0
Bud31	70.250000	95	186	0	0	0
Apc2	70.250000	107	174	0	0	0
Rnps1	70.000000	134	146	0	0	0
Reps1	70.000000	153	127	0	0	0
Pex3	70.000000	149	131	0	0	0
Cdk5rap2	70.000000	159	121	0	0	0
Adgb	70.000000	0	280	0	0	0
Adat2	70.000000	149	131	0	0	0
Fbxw7	69.500000	71	207	0	0	0
Zfp637	69.250000	0	277	0	0	0
Trim41	69.250000	128	149	0	0	0
Prkag1	69.250000	133	144	0	0	0
Lbh	69.250000	151	126	0	0	0
Bms1	69.250000	101	176	0	0	0
Dok7	69.000000	0	276	0	0	0
Dennd6b	69.000000	0	276	0	0	0
Coq9	69.000000	114	162	0	0	0
Ciapin1	69.000000	114	162	0	0	0
Wbp11	68.750000	130	145	0	0	0
Nup160	68.750000	126	149	0	0	0
BC049715	68.750000	130	145	0	0	0
1600014C10Rik	68.750000	159	116	0	0	0
R3hcc1	68.500000	161	113	0	0	0
Urgcp	68.250000	126	147	0	0	0
Txndc9	68.250000	113	160	0	0	0
Psmd12	68.250000	148	125	0	0	0
Eif5b	68.250000	113	160	0	0	0
Ubr4	68.000000	137	135	0	0	0
Tmem39a	68.000000	155	117	0	0	0
Magohb	68.000000	161	111	0	0	0
Aga	68.000000	139	133	0	0	0
Lars2	67.500000	157	113	0	0	0
Mettl25	67.250000	148	121	0	0	0
H4c11	67.250000	82	187	0	0	0
Ccdc59	67.250000	148	121	0	0	0
Polr2j	67.000000	100	168	0	0	0
Mrpl12	67.000000	0	268	0	0	0
Glrx5	67.000000	116	152	0	0	0
Ankar	67.000000	0	268	0	0	0
Eif4a1	66.750000	150	117	0	0	0
Ddx5	66.750000	109	158	0	0	0
Crbn	66.750000	113	154	0	0	0
Cep95	66.750000	109	158	0	0	0
Akt3	66.750000	129	138	0	0	0
Snrpb	66.500000	137	129	0	0	0
Rnf8	66.500000	116	150	0	0	0
Rmi1	66.500000	110	156	0	0	0
Hnrnpk	66.500000	110	156	0	0	0
Esco1	66.500000	133	133	0	0	0
Atp7a	66.500000	110	156	0	0	0
Zfp335	66.250000	175	90	0	0	0
Fubp3	66.250000	122	143	0	0	0
Endov	66.250000	136	129	0	0	0
Shoc2	66.000000	131	133	0	0	0
Gtse1	66.000000	88	176	0	0	0
Bbip1	66.000000	131	133	0	0	0
Sox5	65.750000	0	263	0	0	0
Psmg1	65.750000	85	178	0	0	0
Calm3	65.750000	132	131	0	0	0
Tyw3	65.500000	104	158	0	0	0
Slc25a32	65.500000	128	134	0	0	0
Ppp4r3b	65.500000	107	155	0	0	0
Dcaf13	65.500000	128	134	0	0	0
Cryz	65.500000	104	158	0	0	0
Creld2	65.500000	126	136	0	0	0
Cic	65.500000	0	262	0	0	0
Alg12	65.500000	126	136	0	0	0
Nagk	65.250000	119	142	0	0	0
Fyn	65.250000	145	116	0	0	0
Ccdc57	65.250000	100	161	0	0	0
Pold3	65.000000	0	260	0	0	0
Mageb3	65.000000	155	105	0	0	0
Ctdspl2	65.000000	155	105	0	0	0
Aurkaip1	65.000000	72	188	0	0	0
Atf7	65.000000	109	151	0	0	0
Nup54	64.750000	0	259	0	0	0
Inpp5k	64.750000	110	149	0	0	0
Pfn4	64.500000	104	154	0	0	0
Obp2b	64.500000	0	258	0	0	0
Chmp3	64.500000	124	134	0	0	0
H3c7	64.250000	126	131	0	0	0
H2bc9	64.250000	126	131	0	0	0
Fos	64.250000	90	167	0	0	0
Ybey	64.000000	112	144	0	0	0
Twnk	64.000000	133	123	0	0	0
Srrt	64.000000	117	139	0	0	0
Mrpl43	64.000000	133	123	0	0	0
Mcm3ap	64.000000	112	144	0	0	0
Zfp62	63.750000	126	129	0	0	0
Rab32	63.750000	106	149	0	0	0
Oga	63.750000	108	147	0	0	0
Magi1	63.750000	112	143	0	0	0
Tpra1	63.500000	148	106	0	0	0
Slc35g3	63.500000	114	140	0	0	0
Setd1a	63.500000	254	0	0	0	0
Polr2a	63.500000	114	140	0	0	0
Mcm2	63.500000	148	106	0	0	0
Zfp212	63.250000	116	137	0	0	0
Ttc32	63.250000	161	92	0	0	0
Mtbp	63.250000	137	116	0	0	0
Mrpl13	63.250000	137	116	0	0	0
Hbp1	63.000000	0	252	0	0	0
Zfp433	62.750000	115	136	0	0	0
Tbc1d7	62.750000	0	251	0	0	0
Slc25a13	62.750000	110	141	0	0	0
Gm32687	62.750000	115	136	0	0	0
Zfp428	62.500000	0	250	0	0	0
Rad1	62.500000	88	162	0	0	0
Pcyt1a	62.500000	135	115	0	0	0
Efcab14	62.500000	129	121	0	0	0
Dcpp1	62.500000	0	250	0	0	0
Brix1	62.500000	88	162	0	0	0
Zdhhc6	62.250000	118	131	0	0	0
Vti1a	62.250000	118	131	0	0	0
Uspl1	62.250000	0	249	0	0	0
Tma16	62.250000	155	94	0	0	0
Ctnna3	62.000000	131	117	0	0	0
Zfp775	61.750000	93	154	0	0	0
Ube2q1	61.750000	102	145	0	0	0
Septin7	61.750000	148	99	0	0	0
Nme1	61.500000	0	246	0	0	0
Gm4981	61.500000	0	0	246	0	0
Dbi	61.500000	138	108	0	0	0
Speer4e	61.250000	0	0	0	245	0
Champ1	61.250000	0	245	0	0	0
Zfp41	61.000000	93	151	0	0	0
Cp	61.000000	0	244	0	0	0
1810058I24Rik	61.000000	0	244	0	0	0
Zfp263	60.750000	243	0	0	0	0
Zfp148	60.750000	0	243	0	0	0
Smndc1	60.750000	103	140	0	0	0
Arhgap33	60.750000	113	130	0	0	0
Mrpl30	60.500000	127	115	0	0	0
Mitd1	60.500000	127	115	0	0	0
Slc6a6	60.250000	0	241	0	0	0
Rfc4	60.000000	171	69	0	0	0
Atg101	59.750000	0	239	0	0	0
Zranb2	59.500000	0	238	0	0	0
Sigmar1	59.500000	160	78	0	0	0
Rnf24	59.500000	0	238	0	0	0
Hnrnpul1	59.500000	102	136	0	0	0
Eps8	59.500000	79	159	0	0	0
Ddx47	59.500000	0	238	0	0	0
Slbp	59.250000	152	85	0	0	0
Mreg	59.250000	0	237	0	0	0
Mettl14	59.250000	0	237	0	0	0
Zc3h6	59.000000	137	99	0	0	0
Hdhd5	59.000000	80	156	0	0	0
Rock1	58.750000	0	235	0	0	0
Smtn	58.500000	92	142	0	0	0
Slc36a1	58.500000	131	103	0	0	0
Gosr1	58.500000	88	146	0	0	0
Ezh2	58.500000	114	120	0	0	0
Eif1ad	58.500000	115	119	0	0	0
Dcaf10	58.500000	0	234	0	0	0
Birc2	58.500000	95	139	0	0	0
Banf1	58.500000	115	119	0	0	0
Ube2z	58.250000	0	233	0	0	0
Tmco1	58.250000	134	99	0	0	0
Tm4sf1	58.250000	0	233	0	0	0
Pdlim5	58.250000	0	233	0	0	0
Atg5	58.250000	120	113	0	0	0
Nkap	58.000000	0	0	232	0	0
Mtss2	58.000000	76	156	0	0	0
Trir	57.750000	0	231	0	0	0
Get3	57.750000	0	231	0	0	0
Adrm1	57.750000	0	231	0	0	0
Srsf1	57.500000	122	108	0	0	0
Psmd3	57.500000	0	230	0	0	0
Nr4a2	57.500000	94	136	0	0	0
Ccdc107	57.500000	0	230	0	0	0
Atxn2l	57.500000	0	230	0	0	0
Api5	57.500000	0	230	0	0	0
Alkbh3	57.500000	0	230	0	0	0
Erbb3	57.250000	0	229	0	0	435
Gdf15	57.250000	0	229	0	0	0
Bbs2	57.250000	229	0	0	0	0
Sumf1	57.000000	0	228	0	0	0
Dhx8	57.000000	111	117	0	0	0
Ddx1	57.000000	0	228	0	0	0
Agfg1	57.000000	0	228	0	0	0
Rpn2	56.500000	105	121	0	0	0
Pigq	56.500000	0	226	0	0	0
Nhlrc4	56.500000	0	226	0	0	0
Mroh8	56.500000	105	121	0	0	0
Marcksl1	56.500000	0	226	0	0	0
Pip4p1	56.250000	0	225	0	0	0
Hnrnpf	56.250000	119	106	0	0	0
Vps26c	56.000000	101	123	0	0	0
Ube2j2	56.000000	0	224	0	0	0
Tram1	56.000000	0	224	0	0	0
Kif23	56.000000	109	115	0	0	0
BC005537	56.000000	0	224	0	0	0
Vdac2	55.750000	0	223	0	0	0
Serbp1	55.500000	106	116	0	0	0
Ptpn14	55.500000	0	222	0	0	0
Fig4	55.500000	98	124	0	0	0
Ak9	55.500000	98	124	0	0	0
Mrpl20	55.250000	0	221	0	0	0
Fam53b	55.250000	0	221	0	0	0
Cd63	55.250000	0	221	0	0	0
Azin1	55.250000	76	145	0	0	0
9230019H11Rik	55.250000	0	0	135	86	0
Tsfm	55.000000	109	111	0	0	0
Rps27l	55.000000	115	105	0	0	0
Rpl26	55.000000	110	110	0	0	0
Rpl23	55.000000	115	105	0	0	0
Fam8a1	55.000000	0	220	0	0	0
Vps18	54.750000	0	219	0	0	0
Stpg3	54.750000	81	138	0	0	0
Skp1	54.750000	126	93	0	0	0
Nelfb	54.750000	81	138	0	0	0
Ncbp3	54.750000	0	219	0	0	0
Gm13286	54.750000	0	219	0	0	0
Gjb1	54.750000	0	219	0	0	0
Epg5	54.750000	72	147	0	0	0
Antxr1	54.750000	219	0	0	0	0
Ahcyl1	54.750000	128	91	0	0	0
Yif1b	54.500000	0	218	0	0	0
Vti1b	54.500000	0	218	0	0	0
Rnf185	54.500000	0	218	0	0	0
Per2	54.500000	82	136	0	0	0
Mtmr9	54.500000	0	218	0	0	0
Med23	54.500000	0	218	0	0	0
Ggt7	54.500000	0	218	0	0	0
Elobl	54.500000	89	129	0	0	0
Acss2	54.500000	0	218	0	0	0
Vps29	54.250000	97	120	0	0	0
Tnfaip3	54.250000	0	217	0	0	0
Sec13	54.250000	0	217	0	0	0
Rad9b	54.250000	97	120	0	0	0
Gmfb	54.250000	0	217	0	0	0
Atad2b	54.250000	0	217	0	0	0
Slc5a6	54.000000	119	97	0	0	0
Rrad	54.000000	216	0	0	0	0
Rbm19	54.000000	106	110	0	0	0
Heatr6	54.000000	0	216	0	0	0
Dstyk	54.000000	89	127	0	0	0
Cdh16	54.000000	216	0	0	0	0
Atraid	54.000000	119	97	0	0	0
9030025P20Rik	54.000000	90	126	0	0	0
Ssna1	53.750000	0	215	0	0	0
Pstk	53.750000	85	130	0	0	0
Mrgpre	53.750000	0	215	0	0	0
Ipo13	53.750000	130	85	0	0	0
Anapc2	53.750000	0	215	0	0	0
Ints10	53.500000	93	121	0	0	0
S100a10	53.250000	0	213	0	0	0
Rlbp1	53.250000	0	213	0	0	0
H2bc12	53.250000	110	103	0	0	0
H2ac12	53.250000	110	103	0	0	0
Fanci	53.250000	0	213	0	0	0
Wdr36	53.000000	137	75	0	0	0
Fam207a	53.000000	0	212	0	0	0
Dusp11	53.000000	105	107	0	0	0
Dnlz	53.000000	120	92	0	0	0
Clpb	53.000000	91	121	0	0	0
Paqr6	52.750000	0	211	0	0	0
Mrpl58	52.750000	0	211	0	0	0
S1pr2	52.500000	0	210	0	0	0
Mthfd2	52.500000	0	210	0	0	0
Laptm4a	52.500000	0	210	0	0	0
H2ax	52.500000	76	134	0	0	0
Gtf2i	52.500000	116	94	0	0	0
Nkiras2	52.250000	0	209	0	0	0
Nfat5	52.250000	0	209	0	0	0
Gfm1	52.250000	0	209	0	0	0
Dnajc7	52.250000	0	209	0	0	0
Coil	52.250000	89	120	0	0	0
Bdh1	52.250000	0	209	0	0	0
Abhd18	52.250000	0	209	0	0	0
Zbtb21	52.000000	0	208	0	0	0
Trmt10c	52.000000	0	208	0	0	0
Polg	52.000000	0	208	0	0	0
Fam149b	52.000000	0	208	0	0	0
Ecd	52.000000	0	208	0	0	0
Adm	52.000000	0	208	0	0	0
Noc3l	51.750000	0	207	0	0	0
Kctd5	51.750000	207	0	0	0	0
Tom1l1	51.500000	0	206	0	0	0
H4c9	51.500000	114	92	0	0	0
H2bc11	51.500000	114	92	0	0	0
H2ac11	51.500000	114	92	0	0	0
Wdr45b	51.250000	103	102	0	0	0
Tmem185b	51.250000	85	120	0	0	0
Nuf2	51.250000	0	205	0	0	0
Lrriq3	51.250000	0	205	0	0	0
Gfpt1	51.250000	0	205	0	0	0
Fpgt	51.250000	0	205	0	0	0
Arid1a	51.250000	0	205	0	0	0
Ago2	51.250000	0	205	0	0	0
Abcc5	51.250000	0	205	0	0	0
Zfp398	51.000000	0	204	0	0	0
Tsc1	51.000000	0	204	0	0	0
Proser1	51.000000	0	204	0	0	0
Nhlrc3	51.000000	0	204	0	0	0
