Target_genes	Nfya|Average	SRX12799800|Acute_myeloid_leukemia	SRX12799801|Acute_myeloid_leukemia	SRX032472|ES_cells	SRX032473|ES_cells	SRX518333|ES_cells	SRX032482|mESC_derived_neural_cells	SRX032483|mESC_derived_neural_cells	SRX032491|Neurons	SRX032492|Neurons	STRING
A730008H23Rik	669.333333	2737	2171	0	0	218	0	0	459	439	0
Ska2	668.000000	568	1915	0	188	1974	259	0	581	527	0
Prr11	668.000000	568	1915	0	188	1974	259	0	581	527	0
Map1lc3b	667.777778	951	1603	0	295	1825	261	0	547	528	0
Fdft1	666.222222	1433	2179	0	316	1218	216	0	320	314	0
Khsrp	665.333333	863	1615	0	290	2328	107	0	451	334	0
H2ax	664.666667	819	1582	0	0	1862	309	0	932	478	0
Gins4	661.777778	1239	1535	0	628	381	769	133	737	534	0
Lrch4	660.000000	840	1604	0	155	2158	158	0	550	475	0
Fbxo24	660.000000	840	1604	0	155	2158	158	0	550	475	0
Sel1l	658.888889	1530	2086	0	103	1423	130	0	432	226	0
Rbm15b	655.888889	1523	1692	0	164	1741	0	0	344	439	0
Manf	655.888889	1523	1692	0	164	1741	0	0	344	439	0
Txndc16	652.666667	952	2218	0	123	1754	129	0	482	216	0
Gpr137c	652.666667	952	2218	0	123	1754	129	0	482	216	0
Tfcp2	650.888889	1356	1985	0	0	1426	201	0	499	391	0
Mfsd13b	649.000000	1244	2175	0	147	1330	214	0	417	314	0
Cdr2	649.000000	1244	2175	0	147	1330	214	0	417	314	0
Calr	648.777778	1041	1700	93	129	2276	0	0	361	239	0
Zswim3	647.555556	728	1727	0	170	1929	184	0	728	362	0
Acot8	647.555556	728	1727	0	170	1929	184	0	728	362	0
Plag1	647.000000	1239	1907	0	183	1578	193	0	323	400	0
Diaph3	645.555556	1345	1750	0	241	1273	116	0	600	485	0
Tom1l2	643.111111	813	1531	0	198	2553	115	0	333	245	0
Drc3	643.111111	813	1531	0	198	2553	115	0	333	245	0
Slc35e1	640.777778	1793	2029	0	129	483	205	0	501	627	0
Zfp960	640.111111	0	94	144	490	3503	184	0	835	511	0
Zfp687	638.555556	605	1527	0	209	2429	128	0	582	267	0
Mrtfa	638.333333	1167	2410	0	83	1530	0	0	224	331	0
Snx32	638.000000	977	1776	0	97	2137	98	0	405	252	0
Sdf2l1	638.000000	1694	2034	0	0	1592	0	0	242	180	0
Mxd1	638.000000	1478	2289	0	141	1236	127	0	264	207	0
Map3k3	637.444444	875	1700	0	329	2058	117	0	423	235	0
Stil	635.888889	1378	1900	0	0	976	268	0	635	566	0
Rab11b	634.777778	556	1462	0	294	2432	202	0	454	313	0
Xab2	634.222222	1165	1590	0	195	1787	123	0	361	487	0
Pet100	634.222222	1165	1590	0	195	1787	123	0	361	487	0
Pcp2	634.222222	1165	1590	0	195	1787	123	0	361	487	0
Rplp0	632.666667	1029	1657	0	254	1728	222	0	419	385	0
Cdk5rap3	632.666667	1151	1788	0	190	1816	176	0	300	273	0
Hmgcs1	632.333333	980	1957	0	176	1644	130	0	437	367	0
Mcm5	632.222222	1094	1995	0	273	1429	141	0	373	385	0
Akap8l	629.000000	753	1776	0	187	1731	239	0	595	380	0
Herpud1	627.555556	1987	1798	0	181	993	0	0	405	284	0
Pwwp2a	626.222222	849	2170	0	158	1685	0	0	462	312	0
Msmo1	624.111111	1748	1967	0	142	1126	0	0	400	234	0
Ensa	623.444444	935	1877	0	239	1877	220	0	287	176	0
Ttc41	622.111111	1105	1571	0	79	1813	182	89	405	355	0
Hsp90b1	622.111111	1105	1571	0	79	1813	182	89	405	355	0
Coq8a	621.888889	1405	1722	0	195	1361	110	0	437	367	0
Nudt2	619.222222	1022	2092	0	0	1997	0	0	286	176	0
Kif24	619.222222	1022	2092	0	0	1997	0	0	286	176	0
Hmgcr	616.777778	1632	2392	0	0	1198	0	0	196	133	0
Stk11	615.444444	769	1910	0	189	2009	0	0	472	190	0
Ift27	614.666667	505	1995	0	102	2335	0	0	369	226	0
Ankhd1	612.555556	655	1659	0	126	2175	292	0	306	300	0
B3gntl1	611.666667	1106	1868	0	265	1269	94	0	426	477	0
Pin1	610.777778	952	2033	0	0	1892	0	0	324	296	0
Srpr	609.111111	1224	1672	0	172	1726	81	0	352	255	0
Mphosph8	609.111111	1385	1791	0	152	1228	110	0	490	326	0
Foxred1	609.111111	1224	1672	0	172	1726	81	0	352	255	0
Camta1	608.555556	640	1718	77	169	1803	208	0	562	300	0
H2az2	607.555556	1101	1854	0	0	1829	0	0	482	202	0
Mthfd1	606.666667	983	1441	0	130	2178	106	0	317	305	0
Ticrr	605.000000	1209	2153	0	0	1669	0	0	232	182	0
Ubald2	603.444444	1295	2009	0	70	1391	162	0	322	182	0
Rnf5	603.333333	383	956	211	413	2319	267	0	562	319	0
Agpat1	603.333333	383	956	211	413	2319	267	0	562	319	0
Nucb2	602.555556	877	1621	0	337	1301	298	95	473	421	0
Trim45	601.777778	908	1853	0	165	1639	0	0	412	439	0
Arf2	601.555556	798	2288	0	245	1618	0	0	220	245	0
Maea	601.111111	1198	1739	0	270	1107	194	0	384	518	0
Nfe2l1	598.666667	812	1851	0	241	1933	0	0	342	209	0
Tcstv3	598.111111	0	0	280	729	1823	832	371	947	401	0
Kmt5c	598.111111	444	1489	0	159	2516	125	0	439	211	0
Ttbk2	596.888889	1218	1746	0	272	1051	304	0	362	419	0
Npc2	596.555556	1071	1326	0	210	1647	184	0	518	413	0
Isca2	596.555556	1071	1326	0	210	1647	184	0	518	413	0
Cnnm2	596.444444	1425	1855	0	0	1298	147	0	253	390	0
Kmt5a	596.111111	1055	1630	0	152	1661	141	0	522	204	0
Atp5g1	592.666667	531	1625	0	210	2084	203	0	298	383	0
Cks2	592.333333	1371	1804	0	143	1064	0	0	526	423	0
Mpzl1	591.777778	1337	1665	0	260	894	190	0	546	434	0
Gm20346	590.444444	932	1540	0	212	1789	169	90	346	236	0
Anp32a	590.444444	932	1540	0	212	1789	169	90	346	236	0
Golph3l	589.000000	344	1831	0	198	1804	82	0	639	403	0
Bcas3	589.000000	813	1487	0	201	1837	191	0	425	347	0
Tedc1	587.888889	760	1491	0	118	2192	170	0	327	233	0
Crip1	587.888889	760	1491	0	118	2192	170	0	327	233	0
Spsb3	587.444444	531	1777	0	0	2412	0	0	260	307	0
Nubp2	587.444444	531	1777	0	0	2412	0	0	260	307	0
H3c15	586.444444	1515	1485	0	165	562	339	0	600	612	0
H3c14	586.444444	1515	1485	0	165	562	339	0	600	612	0
H2ac19	586.444444	1515	1485	0	165	562	339	0	600	612	0
H2ac18	586.444444	1515	1485	0	165	562	339	0	600	612	0
Os9	585.777778	1188	1798	0	321	1521	96	0	162	186	0
Tmem218	585.000000	238	1877	0	185	2086	168	0	402	309	0
Gpr84	584.111111	1193	1904	0	0	576	451	152	530	451	0
Sp1	582.666667	648	985	0	103	2632	129	0	501	246	0
Ruvbl2	582.555556	532	1061	0	218	2496	186	0	482	268	0
Gys1	582.555556	532	1061	0	218	2496	186	0	482	268	0
Tle6	581.888889	1627	1825	0	131	781	155	0	386	332	0
Stard4	580.111111	1464	2270	0	0	1171	0	0	174	142	0
Hnrnpl	580.111111	589	1337	0	382	1975	209	140	309	280	0
Pank2	580.000000	1540	2012	0	115	910	109	0	323	211	0
Ltn1	577.666667	754	1610	0	278	1301	123	0	660	473	0
Pgd	577.333333	1097	1405	0	390	1205	192	0	506	401	0
Rpn2	576.888889	842	1477	0	151	1670	111	0	652	289	0
Mroh8	576.888889	842	1477	0	151	1670	111	0	652	289	0
Cotl1	576.777778	1743	1931	0	161	412	247	105	369	223	0
Cyp2u1	576.222222	677	1309	0	574	855	347	138	607	679	0
Cyth2	573.777778	545	1731	0	0	1807	0	0	674	407	0
Uvrag	573.222222	764	1562	0	181	1959	132	0	208	353	0
Cnpy3	570.777778	1473	1630	0	0	1460	0	0	374	200	0
Tcf19	569.888889	1158	1771	0	188	1412	91	0	185	324	0
Cchcr1	569.888889	1158	1771	0	188	1412	91	0	185	324	0
Tmem97	568.222222	1047	1574	0	118	1759	0	0	290	326	0
Dcun1d4	567.333333	928	1525	0	197	1945	0	0	298	213	0
Zfp869	567.111111	299	1494	120	366	1596	169	0	601	459	0
Myh9	566.555556	1078	1551	0	228	1162	223	0	573	284	0
Ung	564.666667	1003	1603	0	341	967	283	0	595	290	0
Alkbh2	564.666667	1003	1603	0	341	967	283	0	595	290	0
Stt3a	564.444444	456	1672	0	198	2013	132	0	383	226	0
Mxd4	564.111111	843	1905	0	0	1750	0	0	337	242	0
Etf1	561.777778	1645	1766	0	0	715	132	0	428	370	0
Hsd17b7	560.666667	1898	2109	0	0	825	0	0	98	116	0
Ehd4	559.444444	1532	2437	0	0	605	145	0	181	135	0
Srm	558.333333	1205	1804	0	321	0	329	68	752	546	0
Pabpn1	557.888889	476	1775	0	195	1733	159	0	442	241	0
Kri1	556.666667	1053	1528	0	171	1410	0	0	441	407	0
Cdkn2d	556.666667	1053	1528	0	171	1410	0	0	441	407	0
Rab40c	555.666667	871	1556	0	168	1769	0	0	341	296	0
Ogfod1	554.888889	835	1723	0	281	1303	146	0	392	314	0
Nudt21	554.888889	835	1723	0	281	1303	146	0	392	314	0
Chd2	553.444444	1804	1849	0	0	1016	0	0	132	180	0
Cic	553.222222	1014	1062	100	201	1698	237	0	363	304	0
P4hb	549.777778	1258	1386	0	185	1203	133	0	449	334	0
Rab4b	549.333333	996	1780	0	0	1379	121	108	334	226	0
Mia	549.333333	996	1780	0	0	1379	121	108	334	226	0
Isoc2b	548.555556	779	2276	0	207	1579	0	0	0	96	0
Atp5e	547.444444	1075	1727	0	149	1062	130	0	344	440	0
Rtn4	546.666667	986	1778	0	144	1347	0	0	310	355	0
Pdpk1	545.888889	1873	2063	0	0	467	0	0	280	230	0
Slf2	545.333333	1483	1829	0	0	871	0	0	392	333	0
Katnb1	544.333333	376	1238	0	280	1850	259	85	439	372	0
Nup133	543.222222	1653	1709	0	0	191	159	0	549	628	0
Hyou1	542.111111	1902	2200	0	0	674	0	0	103	0	0
Spring1	541.555556	1451	1914	0	0	1074	0	0	280	155	0
Rnft2	541.555556	1451	1914	0	0	1074	0	0	280	155	0
Pradc1	541.555556	1288	1513	0	132	1089	136	0	344	372	0
Cct7	541.555556	1288	1513	0	132	1089	136	0	344	372	0
Eif5	540.666667	1012	1117	0	223	1563	143	0	480	328	0
Zfp961	539.777778	910	1716	0	195	1072	220	0	504	241	0
Rrp9	539.444444	1138	1405	0	90	1648	122	0	292	160	0
Parp3	539.444444	1138	1405	0	90	1648	122	0	292	160	0
Far1	539.444444	1018	1917	0	134	1330	0	0	250	206	0
Mtmr4	539.000000	860	1443	0	127	1833	0	0	302	286	0
Etv5	538.555556	1229	2178	0	0	688	141	0	352	259	0
Ehbp1	538.555556	989	1816	0	152	1445	0	0	186	259	0
Rab8a	538.333333	1067	1735	0	114	1470	0	0	273	186	0
Mlh1	538.222222	1013	2296	0	0	1216	0	0	319	0	0
Epm2aip1	538.222222	1013	2296	0	0	1216	0	0	319	0	0
Tecr	536.888889	1573	2101	0	0	831	0	0	170	157	0
Pitx3	536.777778	443	1916	0	0	1985	0	0	345	142	0
Gbf1	536.777778	443	1916	0	0	1985	0	0	345	142	0
Rogdi	536.444444	721	1440	0	78	2009	107	0	291	182	0
Nr2c2	535.444444	1300	1406	0	198	1472	0	0	231	212	0
Med4	535.333333	829	597	117	457	0	625	241	976	976	0
Tesk2	535.222222	779	2075	0	156	1011	0	0	464	332	0
Vcp	534.444444	707	1847	0	0	1600	0	0	380	276	0
Msh2	534.222222	1216	1944	0	0	1155	0	0	306	187	0
Umad1	534.111111	1235	1600	0	135	1144	0	0	347	346	0
Rpa3	534.111111	1235	1600	0	135	1144	0	0	347	346	0
Zfp367	531.222222	877	1443	0	0	1518	162	0	480	301	0
Ss18l2	530.777778	1255	1957	0	0	885	190	0	295	195	0
Gatad2b	529.888889	633	1846	0	0	1816	0	0	261	213	0
Anp32e	528.111111	509	1768	0	127	1632	94	0	371	252	0
Per2	527.777778	1112	1931	0	248	864	0	0	304	291	0
Prpf40a	527.000000	736	1576	0	89	1447	179	0	378	338	0
Arl6ip6	527.000000	736	1576	0	89	1447	179	0	378	338	0
Sufu	525.777778	604	1428	0	302	1648	219	0	270	261	0
Kif18b	525.777778	1117	1627	0	141	638	345	0	599	265	0
Actr1a	525.777778	604	1428	0	302	1648	219	0	270	261	0
Pdp2	525.555556	713	1335	0	396	1280	240	0	517	249	0
Rab3a	525.333333	394	1090	0	419	1713	182	0	615	315	0
Pcx	524.777778	1313	1922	0	0	1168	0	0	215	105	0
Rad54b	524.333333	1236	1705	0	200	446	160	0	530	442	0
Ccdc130	523.888889	852	1839	0	211	1479	0	0	235	99	0
Wdr19	523.111111	1387	1955	0	0	893	0	0	230	243	0
Zfand2a	522.333333	976	1764	0	0	1270	158	0	288	245	0
Ubn1	521.888889	1456	1640	0	0	1002	0	0	328	271	0
Slc25a3	521.888889	1381	1837	0	0	769	134	0	370	206	0
Glyr1	521.888889	1456	1640	0	0	1002	0	0	328	271	0
Cit	521.444444	928	1688	0	0	1680	0	0	252	145	0
