Target_genes	Nfya|Average	SRX12799800|Acute_myeloid_leukemia	SRX12799801|Acute_myeloid_leukemia	SRX032472|ES_cells	SRX032473|ES_cells	SRX518333|ES_cells	SRX032482|mESC_derived_neural_cells	SRX032483|mESC_derived_neural_cells	SRX032491|Neurons	SRX032492|Neurons	STRING
Dnaja1	227.444444	896	1151	0	0	0	0	0	0	0	0
Thap1	227.333333	586	1014	0	0	257	0	0	189	0	0
Ints5	227.333333	656	866	0	0	385	0	0	0	139	0
Frmd6	227.333333	1286	760	0	0	0	0	0	0	0	0
Clpx	227.222222	954	973	0	0	0	0	0	0	118	0
Brsk2	227.222222	0	0	0	180	613	276	77	527	372	0
Tbc1d15	227.111111	991	1053	0	0	0	0	0	0	0	0
Suco	227.111111	873	805	0	0	278	0	0	88	0	0
Pars2	227.111111	494	657	0	0	533	0	0	186	174	0
Tulp3	227.000000	285	0	0	164	539	282	0	482	291	0
Spout1	226.888889	851	877	0	0	314	0	0	0	0	0
Gamt	226.777778	907	974	0	0	0	0	0	160	0	0
Dazap1	226.777778	907	974	0	0	0	0	0	160	0	0
Rab3ip	226.666667	1128	912	0	0	0	0	0	0	0	0
Pcgf1	226.666667	586	740	0	0	307	0	0	276	131	0
Imp4	226.666667	399	842	0	0	485	0	0	219	95	0
H2aw	226.666667	103	371	0	0	930	0	0	336	300	0
Ccdc115	226.666667	399	842	0	0	485	0	0	219	95	0
Tmem69	226.555556	1237	802	0	0	0	0	0	0	0	0
Inpp5a	226.555556	1066	973	0	0	0	0	0	0	0	0
Gpbp1l1	226.555556	1237	802	0	0	0	0	0	0	0	0
Psmd14	226.444444	874	1164	0	0	0	0	0	0	0	0
Lamp1	226.444444	1000	1038	0	0	0	0	0	0	0	0
Il31ra	226.444444	997	1041	0	0	0	0	0	0	0	0
E2f7	226.222222	986	1050	0	0	0	0	0	0	0	0
Mllt10	226.111111	1231	804	0	0	0	0	0	0	0	0
Abhd8	226.111111	311	717	0	0	639	0	0	218	150	0
Vezt	226.000000	491	761	0	0	628	0	0	154	0	0
Fgd6	226.000000	491	761	0	0	628	0	0	154	0	0
Ndufv1	225.888889	782	918	0	0	225	0	0	108	0	0
Arf6	225.888889	937	1096	0	0	0	0	0	0	0	0
H3f3a	225.666667	893	1138	0	0	0	0	0	0	0	0
Psmg1	225.555556	1115	915	0	0	0	0	0	0	0	0
Ppp4c	225.555556	1189	841	0	0	0	0	0	0	0	0
Morf4l2	225.555556	347	340	0	0	892	0	0	320	131	0
Ipp	225.555556	988	1042	0	0	0	0	0	0	0	0
Gm33989	225.555556	364	861	0	0	265	0	0	286	254	0
Clspn	225.555556	602	802	0	0	275	0	0	251	100	0
1810037I17Rik	225.555556	1127	903	0	0	0	0	0	0	0	0
Napepld	225.444444	1136	893	0	0	0	0	0	0	0	0
Zwint	225.333333	457	1145	0	0	426	0	0	0	0	0
Hook1	225.333333	0	0	0	160	1077	0	0	464	327	0
Zfp101	225.222222	129	256	0	0	678	0	0	596	368	0
Bsg	225.222222	1067	960	0	0	0	0	0	0	0	0
Nsdhl	225.111111	329	945	0	0	582	0	0	170	0	0
Mtfp1	225.111111	628	648	0	0	252	0	0	214	284	0
Cetn2	225.111111	329	945	0	0	582	0	0	170	0	0
Gmds	225.000000	1156	869	0	0	0	0	0	0	0	0
C1galt1	225.000000	1000	1025	0	0	0	0	0	0	0	0
Rnf19b	224.888889	1016	1008	0	0	0	0	0	0	0	0
Ccny	224.888889	1035	989	0	0	0	0	0	0	0	0
Zfp106	224.777778	811	1025	0	0	187	0	0	0	0	0
Snap23	224.777778	811	1025	0	0	187	0	0	0	0	0
Mapkap1	224.777778	1053	970	0	0	0	0	0	0	0	0
Zfp33b	224.666667	152	890	0	0	445	0	0	303	232	0
Ppox	224.666667	254	999	0	0	652	0	0	117	0	0
Plekhm1	224.666667	675	1159	0	0	188	0	0	0	0	0
Cfap20	224.666667	937	776	0	0	309	0	0	0	0	0
Ubfd1	224.444444	896	996	0	0	128	0	0	0	0	0
Ears2	224.444444	896	996	0	0	128	0	0	0	0	0
Rpain	224.333333	420	1018	0	0	327	0	0	182	72	0
Mcm7	224.333333	726	843	0	0	310	0	0	140	0	0
Ascc3	224.333333	1000	1019	0	0	0	0	0	0	0	0
Ap4m1	224.333333	726	843	0	0	310	0	0	140	0	0
Tmed4	224.222222	549	843	0	0	0	0	0	376	250	0
Sephs2	224.111111	613	806	0	0	598	0	0	0	0	0
Ece1	224.111111	860	1157	0	0	0	0	0	0	0	0
Diaph1	224.111111	1079	938	0	0	0	0	0	0	0	0
Flvcr1	224.000000	468	1088	0	0	460	0	0	0	0	0
Ube2d3	223.888889	1101	914	0	0	0	0	0	0	0	0
Trpm7	223.888889	814	1201	0	0	0	0	0	0	0	0
Get1	223.888889	1066	949	0	0	0	0	0	0	0	0
Gbe1	223.888889	1037	978	0	0	0	0	0	0	0	0
Zfp207	223.777778	732	855	0	0	298	0	0	0	129	0
Echdc1	223.777778	886	938	0	0	0	0	0	190	0	0
Crk	223.777778	977	1037	0	0	0	0	0	0	0	0
Tgds	223.666667	505	664	0	0	492	0	0	155	197	0
Gpr180	223.666667	505	664	0	0	492	0	0	155	197	0
Ptpn4	223.444444	924	735	0	0	221	0	0	0	131	0
Dusp7	223.444444	775	655	0	0	581	0	0	0	0	0
Rfesd	223.333333	1133	877	0	0	0	0	0	0	0	0
Unkl	223.222222	877	768	0	0	0	0	0	198	166	0
Percc1	223.222222	877	768	0	0	0	0	0	198	166	0
Mul1	223.222222	875	836	0	0	135	0	0	0	163	0
BC003965	223.222222	877	768	0	0	0	0	0	198	166	0
Pbx3	223.111111	802	697	0	0	509	0	0	0	0	0
Retreg2	223.000000	1120	887	0	0	0	0	0	0	0	0
Gtf2a2	223.000000	1095	912	0	0	0	0	0	0	0	0
Cnppd1	223.000000	1120	887	0	0	0	0	0	0	0	0
Zswim7	222.888889	1070	936	0	0	0	0	0	0	0	0
Ttc19	222.888889	1070	936	0	0	0	0	0	0	0	0
Slc36a1	222.888889	1095	911	0	0	0	0	0	0	0	0
Rmi1	222.888889	514	842	0	0	298	0	0	193	159	0
Psen1	222.888889	1184	822	0	0	0	0	0	0	0	0
Prrc2a	222.888889	628	734	0	0	404	0	0	116	124	0
Hnrnpk	222.888889	514	842	0	0	298	0	0	193	159	0
Dbnl	222.888889	1137	869	0	0	0	0	0	0	0	0
1700066M21Rik	222.888889	953	898	0	0	0	0	0	0	155	0
Zfp507	222.555556	1091	912	0	0	0	0	0	0	0	0
Mrm3	222.444444	633	824	0	0	0	0	0	387	158	0
Glod4	222.444444	633	824	0	0	0	0	0	387	158	0
Psmc6	222.333333	1206	795	0	0	0	0	0	0	0	0
Washc2	222.222222	747	1253	0	0	0	0	0	0	0	0
Pcnx4	222.222222	1042	958	0	0	0	0	0	0	0	0
Lrrc8a	222.222222	1169	831	0	0	0	0	0	0	0	0
Fbxw2	222.222222	1017	983	0	0	0	0	0	0	0	0
Cdc5l	222.222222	739	1009	0	0	252	0	0	0	0	0
Psma6	222.000000	1068	930	0	0	0	0	0	0	0	0
Kpna2	222.000000	743	1091	0	0	164	0	0	0	0	0
Rbfa	221.888889	1157	840	0	0	0	0	0	0	0	0
Kpna1	221.888889	467	726	0	0	382	0	206	0	216	0
Klc3	221.888889	1234	763	0	0	0	0	0	0	0	0
Acad9	221.777778	643	897	0	0	0	0	0	189	267	0
2610507B11Rik	221.777778	1024	972	0	0	0	0	0	0	0	0
Zfp217	221.666667	1144	699	0	0	152	0	0	0	0	0
Dpy19l3	221.555556	945	1049	0	0	0	0	0	0	0	0
Actr3	221.555556	1059	876	0	0	0	0	0	59	0	0
Znrf3	221.444444	1442	551	0	0	0	0	0	0	0	0
Rasa3	221.444444	742	1119	0	0	0	0	0	132	0	0
Cwc25	221.444444	557	770	0	0	0	0	0	393	273	0
Gnpda1	221.333333	918	1074	0	0	0	0	0	0	0	0
A130010J15Rik	221.222222	934	1057	0	0	0	0	0	0	0	0
Hsdl2	221.111111	945	1045	0	0	0	0	0	0	0	0
Dhx40	221.000000	544	570	0	0	255	130	0	196	294	0
Farp2	220.888889	915	1073	0	0	0	0	0	0	0	0
Dnajc27	220.888889	332	679	0	0	456	0	0	335	186	0
Cog6	220.888889	619	654	0	0	0	0	0	269	446	0
Ccnl1	220.888889	1099	889	0	0	0	0	0	0	0	0
Sft2d2	220.777778	1087	900	0	0	0	0	0	0	0	0
Ptpn2	220.777778	1092	895	0	0	0	0	0	0	0	0
Plekho2	220.777778	1234	753	0	0	0	0	0	0	0	0
Oscp1	220.777778	385	514	0	0	595	169	0	200	124	0
Mkrn2	220.777778	1058	929	0	0	0	0	0	0	0	0
Aldh4a1	220.777778	249	714	0	0	482	0	0	346	196	0
Slc33a1	220.555556	526	898	0	0	388	0	0	98	75	0
Esrra	220.555556	968	834	0	0	183	0	0	0	0	0
Catsperz	220.555556	968	834	0	0	183	0	0	0	0	0
Lix1l	220.444444	195	317	0	0	1159	0	0	178	135	0
Ajm1	220.444444	0	700	0	0	1284	0	0	0	0	0
Pkp4	220.333333	495	928	0	0	196	0	0	196	168	0
Ccdc148	220.333333	495	928	0	0	196	0	0	196	168	0
Nxf1	220.222222	985	997	0	0	0	0	0	0	0	0
Haus5	220.222222	459	876	0	0	0	0	0	304	343	0
Wdhd1	220.111111	976	1005	0	0	0	0	0	0	0	0
Socs4	220.111111	976	1005	0	0	0	0	0	0	0	0
Snx25	220.000000	1080	900	0	0	0	0	0	0	0	0
Fam219a	220.000000	937	916	0	0	127	0	0	0	0	0
Dnaic1	220.000000	937	916	0	0	127	0	0	0	0	0
Chmp5	220.000000	1068	912	0	0	0	0	0	0	0	0
Bag1	220.000000	1068	912	0	0	0	0	0	0	0	0
Kdm4c	219.888889	845	1134	0	0	0	0	0	0	0	0
Iba57	219.888889	890	1089	0	0	0	0	0	0	0	0
Slc25a38	219.777778	592	1044	0	0	342	0	0	0	0	0
Pcnp	219.777778	1103	875	0	0	0	0	0	0	0	0
Atp2a2	219.666667	1032	945	0	0	0	0	0	0	0	0
Wdr78	219.555556	832	798	0	0	0	0	0	167	179	0
Sf3b4	219.555556	1092	884	0	0	0	0	0	0	0	0
Mier1	219.555556	832	798	0	0	0	0	0	167	179	0
Fbxo48	219.555556	768	1079	0	0	129	0	0	0	0	0
Dvl1	219.555556	1094	882	0	0	0	0	0	0	0	0
Fbxo3	219.444444	1132	843	0	0	0	0	0	0	0	0
4931422A03Rik	219.444444	1132	843	0	0	0	0	0	0	0	0
Cep63	219.333333	1085	889	0	0	0	0	0	0	0	0
Anapc13	219.333333	1085	889	0	0	0	0	0	0	0	0
Vps33a	219.222222	846	1127	0	0	0	0	0	0	0	0
Elof1	219.111111	607	705	0	0	365	0	0	193	102	0
Afg3l2	219.111111	1065	907	0	0	0	0	0	0	0	0
Trafd1	219.000000	830	987	0	0	0	0	0	0	154	0
Srsf10	219.000000	1048	923	0	0	0	0	0	0	0	0
Pdcl3	219.000000	1010	826	0	0	135	0	0	0	0	0
Opn3	219.000000	1139	832	0	0	0	0	0	0	0	0
Faf2	219.000000	1139	832	0	0	0	0	0	0	0	0
Chml	219.000000	1139	832	0	0	0	0	0	0	0	0
4932438A13Rik	219.000000	978	993	0	0	0	0	0	0	0	0
Vps8	218.888889	979	991	0	0	0	0	0	0	0	0
Slc25a39	218.888889	836	761	0	0	373	0	0	0	0	0
Pex16	218.888889	799	696	0	0	475	0	0	0	0	0
Lonp2	218.888889	1119	851	0	0	0	0	0	0	0	0
Large2	218.888889	799	696	0	0	475	0	0	0	0	0
Wdr91	218.777778	992	977	0	0	0	0	0	0	0	0
Syvn1	218.777778	284	749	0	0	796	0	0	140	0	0
Rab8b	218.777778	886	943	0	0	140	0	0	0	0	0
Mapk6	218.777778	994	975	0	0	0	0	0	0	0	0
St3gal3	218.666667	820	769	0	0	153	0	0	154	72	0
Eepd1	218.666667	1144	824	0	0	0	0	0	0	0	0
Xpnpep3	218.555556	855	776	0	0	0	0	0	187	149	0
Tagap1	218.555556	1182	785	0	0	0	0	0	0	0	0
St13	218.555556	855	776	0	0	0	0	0	187	149	0
Specc1l	218.555556	1034	770	0	0	0	0	0	163	0	0
Inpp5k	218.555556	1091	876	0	0	0	0	0	0	0	0
Dpysl2	218.555556	829	1138	0	0	0	0	0	0	0	0
Ggt7	218.444444	956	783	0	0	227	0	0	0	0	0
Acss2	218.444444	956	783	0	0	227	0	0	0	0	0
Ttc23	218.333333	559	1100	0	0	187	0	0	0	119	0
Lrrc28	218.333333	559	1100	0	0	187	0	0	0	119	0
Scfd1	218.222222	770	827	0	0	367	0	0	0	0	0
1700030J22Rik	218.222222	1034	930	0	0	0	0	0	0	0	0
Tpt1	218.111111	1145	818	0	0	0	0	0	0	0	0
Plin3	218.111111	417	875	0	177	494	0	0	0	0	0
Otulin	218.000000	952	927	0	0	0	0	0	83	0	0
Taf1	217.888889	340	1141	0	0	480	0	0	0	0	0
Dicer1	217.888889	475	966	0	0	318	0	0	202	0	0
Atl2	217.888889	1097	864	0	0	0	0	0	0	0	0
Ddhd1	217.666667	1097	862	0	0	0	0	0	0	0	0
Ywhab	217.555556	1078	880	0	0	0	0	0	0	0	0
Qrsl1	217.444444	325	645	0	0	623	0	0	208	156	0
Yeats4	217.333333	664	943	0	0	0	0	0	185	164	0
Rhpn1	217.222222	136	128	0	0	1125	0	0	381	185	0
Nedd1	217.222222	1054	901	0	0	0	0	0	0	0	0
Mettl14	217.222222	522	680	0	0	258	0	0	221	274	0
Slc35e3	217.111111	935	1019	0	0	0	0	0	0	0	0
Map2k4	217.111111	1113	841	0	0	0	0	0	0	0	0
Atox1	217.000000	1029	924	0	0	0	0	0	0	0	0
Syncrip	216.888889	1231	721	0	0	0	0	0	0	0	0
Prkar1b	216.888889	987	673	0	0	292	0	0	0	0	0
Lin54	216.888889	1158	794	0	0	0	0	0	0	0	0
Etfdh	216.888889	490	1117	0	0	345	0	0	0	0	0
Dnaaf5	216.888889	987	673	0	0	292	0	0	0	0	0
4930579G24Rik	216.888889	490	1117	0	0	345	0	0	0	0	0
Zfp345	216.777778	0	588	0	173	1190	0	0	0	0	0
Vps72	216.777778	648	1126	0	0	177	0	0	0	0	0
Polr3gl	216.777778	687	940	0	0	324	0	0	0	0	0
Pip5k1a	216.777778	648	1126	0	0	177	0	0	0	0	0
Sltm	216.666667	1072	878	0	0	0	0	0	0	0	0
Phlpp1	216.666667	1024	926	0	0	0	0	0	0	0	0
Hdac5	216.666667	1165	785	0	0	0	0	0	0	0	0
Crot	216.666667	870	877	0	0	203	0	0	0	0	0
Zmynd8	216.555556	348	752	0	0	684	0	0	165	0	0
Tsc22d2	216.555556	1055	894	0	0	0	0	0	0	0	0
Plk3	216.555556	1063	886	0	0	0	0	0	0	0	0
Nomo1	216.555556	1093	856	0	0	0	0	0	0	0	0
Cep72	216.555556	768	1181	0	0	0	0	0	0	0	0
Btaf1	216.555556	929	1020	0	0	0	0	0	0	0	0
Abcc6	216.555556	1093	856	0	0	0	0	0	0	0	0
Fn3krp	216.444444	574	1198	0	0	176	0	0	0	0	0
Csgalnact2	216.444444	994	954	0	0	0	0	0	0	0	0
Ccdc14	216.333333	1214	733	0	0	0	0	0	0	0	0
S100a13	216.111111	1046	899	0	0	0	0	0	0	0	0
S100a1	216.111111	1046	899	0	0	0	0	0	0	0	0
Chtop	216.111111	1046	899	0	0	0	0	0	0	0	0
Wdfy2	216.000000	978	966	0	0	0	0	0	0	0	0
Trappc10	216.000000	1115	829	0	0	0	0	0	0	0	0
Stx7	216.000000	789	1155	0	0	0	0	0	0	0	0
Dnaja3	216.000000	816	890	0	0	238	0	0	0	0	0
Coro7	216.000000	816	890	0	0	238	0	0	0	0	0
Ahi1	216.000000	1095	849	0	0	0	0	0	0	0	0
Uba3	215.888889	1025	918	0	0	0	0	0	0	0	0
Arl6ip5	215.888889	1025	918	0	0	0	0	0	0	0	0
Acaa2	215.777778	977	965	0	0	0	0	0	0	0	0
Prkar2b	215.666667	1073	868	0	0	0	0	0	0	0	0
Srp54a	215.555556	817	1010	0	0	113	0	0	0	0	0
Spata33	215.555556	1186	754	0	0	0	0	0	0	0	0
Chmp1a	215.555556	1186	754	0	0	0	0	0	0	0	0
Slc1a4	215.444444	905	907	0	0	127	0	0	0	0	0
Atp13a3	215.444444	1152	787	0	0	0	0	0	0	0	0
Adnp2	215.444444	323	636	0	0	728	0	0	173	79	0
Tufm	215.333333	1112	826	0	0	0	0	0	0	0	0
Smarca5	215.333333	647	859	0	0	432	0	0	0	0	0
Sec61g	215.333333	263	839	0	0	327	0	0	317	192	0
Ctdsp2	215.333333	814	942	0	0	182	0	0	0	0	0
Agl	215.333333	964	974	0	0	0	0	0	0	0	0
Zfp174	215.222222	203	605	0	0	752	0	0	222	155	0
Slc25a40	215.222222	996	941	0	0	0	0	0	0	0	0
Rasa4	215.222222	780	1157	0	0	0	0	0	0	0	0
Pcmtd1	215.222222	962	975	0	0	0	0	0	0	0	0
Dbf4	215.222222	996	941	0	0	0	0	0	0	0	0
Armc9	215.222222	849	945	0	0	143	0	0	0	0	0
Tdp2	215.111111	942	994	0	0	0	0	0	0	0	0
Nr1d2	215.111111	896	820	0	0	220	0	0	0	0	0
Ndufa4l2	215.111111	0	0	0	226	0	388	84	673	565	0
Acot13	215.111111	942	994	0	0	0	0	0	0	0	0
Zfp935	215.000000	111	632	0	0	537	0	0	436	219	0
Tma7	215.000000	376	956	0	0	603	0	0	0	0	0
Syf2	215.000000	985	950	0	0	0	0	0	0	0	0
Ccdc51	215.000000	376	956	0	0	603	0	0	0	0	0
Gps2	214.888889	603	842	0	0	185	0	0	175	129	0
Gclm	214.888889	896	1038	0	0	0	0	0	0	0	0
Psmc4	214.777778	932	1001	0	0	0	0	0	0	0	0
Denr	214.444444	857	1073	0	0	0	0	0	0	0	0
Ywhah	214.333333	967	962	0	0	0	0	0	0	0	0
Nop9	214.333333	1079	850	0	0	0	0	0	0	0	0
Nek1	214.333333	1020	705	0	0	0	0	0	0	204	0
Mccc1	214.333333	503	851	0	0	410	0	0	165	0	0
Dhrs1	214.333333	1079	850	0	0	0	0	0	0	0	0
Vamp1	214.222222	164	730	0	0	616	0	0	252	166	0
Homer1	214.222222	1083	727	0	0	0	0	0	118	0	0
Als2	214.222222	1129	799	0	0	0	0	0	0	0	0
Vps18	214.111111	933	732	0	0	160	0	0	102	0	0
Prps1l3	214.000000	997	929	0	0	0	0	0	0	0	0
Mipol1	214.000000	997	929	0	0	0	0	0	0	0	0
Aopep	213.888889	833	959	0	0	0	0	0	133	0	0
Eif5a	213.666667	845	861	0	0	132	0	0	85	0	0
Aff4	213.666667	825	1098	0	0	0	0	0	0	0	0
Map3k2	213.555556	904	1018	0	0	0	0	0	0	0	0
Arhgap17	213.555556	980	651	0	0	291	0	0	0	0	0
Mrpl55	213.444444	969	952	0	0	0	0	0	0	0	0
Dpp9	213.444444	593	677	0	0	268	120	0	263	0	0
Dguok	213.444444	1028	893	0	0	0	0	0	0	0	0
Yipf4	213.333333	512	1043	0	0	0	0	0	222	143	0
Pacs2	213.333333	848	1072	0	0	0	0	0	0	0	0
Cdc42bpg	213.333333	992	928	0	0	0	0	0	0	0	0
Azin1	213.333333	1114	806	0	0	0	0	0	0	0	0
Trim17	213.222222	284	814	0	0	509	0	0	156	156	0
Tdg	213.222222	777	1142	0	0	0	0	0	0	0	0
H3f4	213.222222	284	814	0	0	509	0	0	156	156	0
Sgtb	213.111111	1113	805	0	0	0	0	0	0	0	0
Nln	213.111111	1113	805	0	0	0	0	0	0	0	0
Mpv17l	213.111111	1057	694	0	0	167	0	0	0	0	0
Ing5	213.111111	742	958	0	0	218	0	0	0	0	0
Dtymk	213.111111	742	958	0	0	218	0	0	0	0	0
Alg6	213.111111	1034	884	0	0	0	0	0	0	0	0
Naa35	213.000000	1094	823	0	0	0	0	0	0	0	0
Tpd52l2	212.888889	382	759	0	0	575	0	0	200	0	0
Abhd16b	212.888889	382	759	0	0	575	0	0	200	0	0
Dock9	212.777778	1127	566	0	0	222	0	0	0	0	0
Zfp809	212.555556	369	658	0	0	713	0	0	173	0	0
Zfp516	212.555556	688	499	0	0	502	0	0	224	0	0
Zbtb21	212.555556	685	822	0	0	0	0	0	237	169	0
Mysm1	212.555556	996	917	0	0	0	0	0	0	0	0
Mob1a	212.555556	607	709	0	0	311	0	0	155	131	0
Zbtb49	212.444444	1012	900	0	0	0	0	0	0	0	0
Pttg1ip	212.444444	984	928	0	0	0	0	0	0	0	0
Prdx3	212.444444	975	778	0	0	159	0	0	0	0	0
Lyar	212.444444	1012	900	0	0	0	0	0	0	0	0
Lmbr1	212.444444	918	669	0	0	0	0	0	177	148	0
Il6ra	212.444444	979	933	0	0	0	0	0	0	0	0
Psmc3	212.222222	699	778	0	0	433	0	0	0	0	0
Dexi	212.222222	475	924	0	0	377	0	0	134	0	0
Clec16a	212.222222	475	924	0	0	377	0	0	134	0	0
Rpl14	212.111111	813	926	0	0	0	0	0	170	0	0
Txndc11	212.000000	1016	892	0	0	0	0	0	0	0	0
Rasa1	212.000000	933	975	0	0	0	0	0	0	0	0
Ap1s2	212.000000	889	1019	0	0	0	0	0	0	0	0
Tmem222	211.888889	1091	816	0	0	0	0	0	0	0	0
Lbhd1	211.888889	656	866	0	0	385	0	0	0	0	0
Eef1g	211.888889	701	964	0	0	242	0	0	0	0	0
1810009A15Rik	211.888889	656	866	0	0	385	0	0	0	0	0
Uchl5	211.777778	1029	725	0	0	0	0	0	152	0	0
Ubxn1	211.777778	999	907	0	0	0	0	0	0	0	0
Tbc1d2	211.777778	973	933	0	0	0	0	0	0	0	0
Ro60	211.777778	1029	725	0	0	0	0	0	152	0	0
Golga1	211.777778	970	936	0	0	0	0	0	0	0	0
Caprin2	211.777778	1026	880	0	0	0	0	0	0	0	0
Med9	211.666667	622	1094	0	0	0	0	0	0	189	0
Gtpbp4	211.555556	914	853	0	0	137	0	0	0	0	0
Triap1	211.444444	686	835	0	0	0	0	0	183	199	0
Rnf138	211.444444	929	859	0	0	0	0	0	115	0	0
Kifap3	211.444444	846	902	0	0	0	0	0	155	0	0
Gatc	211.444444	686	835	0	0	0	0	0	183	199	0
D10Wsu102e	211.444444	830	785	0	0	288	0	0	0	0	0
Twsg1	211.333333	1052	850	0	0	0	0	0	0	0	0
Tspan33	211.222222	514	430	0	0	413	152	0	261	131	0
Rpl35	211.222222	1069	745	0	0	0	0	0	87	0	0
Nr3c2	211.222222	158	364	0	0	794	105	0	274	206	0
Arpc5l	211.222222	1069	745	0	0	0	0	0	87	0	0
Susd6	211.111111	1091	809	0	0	0	0	0	0	0	0
Epc1	211.111111	857	1043	0	0	0	0	0	0	0	0
Copb2	211.111111	861	1039	0	0	0	0	0	0	0	0
Ccdc86	211.000000	914	656	0	0	0	0	0	170	159	0
Nfat5	210.888889	1123	775	0	0	0	0	0	0	0	0
Donson	210.888889	1056	842	0	0	0	0	0	0	0	0
Mfsd14a	210.777778	1028	869	0	0	0	0	0	0	0	0
Anxa6	210.777778	669	1097	0	0	131	0	0	0	0	0
Fam214b	210.666667	768	611	0	0	216	0	0	301	0	0
Atp11b	210.666667	1094	802	0	0	0	0	0	0	0	0
Wipi1	210.555556	877	699	0	0	319	0	0	0	0	0
Hmgxb3	210.444444	983	911	0	0	0	0	0	0	0	0
Heca	210.444444	1057	837	0	0	0	0	0	0	0	0
Cul3	210.444444	987	907	0	0	0	0	0	0	0	0
Magoh	210.333333	557	877	0	0	0	0	0	270	189	0
Slx4	210.222222	663	660	0	0	0	0	0	350	219	0
Pdk2	210.222222	0	0	0	273	1074	0	0	280	265	0
Hpf1	210.222222	1022	870	0	0	0	0	0	0	0	0
Ganab	210.222222	571	853	0	0	329	0	0	0	139	0
Akap1	210.222222	1240	652	0	0	0	0	0	0	0	0
Ube2v1	210.111111	1090	801	0	0	0	0	0	0	0	0
Sod1	210.111111	797	914	0	0	180	0	0	0	0	0
Rab33b	210.111111	945	946	0	0	0	0	0	0	0	0
Psen2	210.000000	1105	785	0	0	0	0	0	0	0	0
Nipa2	210.000000	882	1008	0	0	0	0	0	0	0	0
Neurl4	209.888889	216	654	0	0	576	124	0	219	100	0
Mbtps1	209.888889	941	948	0	0	0	0	0	0	0	0
Lysmd3	209.888889	1088	801	0	0	0	0	0	0	0	0
2810408A11Rik	209.888889	216	654	0	0	576	124	0	219	100	0
Rbm22	209.777778	926	962	0	0	0	0	0	0	0	0
Ndrg3	209.777778	733	854	0	0	0	0	0	152	149	0
Tspyl2	209.666667	426	301	0	0	1038	0	0	122	0	0
Mfsd1	209.666667	788	1099	0	0	0	0	0	0	0	0
Rhebl1	209.555556	763	1123	0	0	0	0	0	0	0	0
Plekhf1	209.555556	816	1070	0	0	0	0	0	0	0	0
Vapb	209.444444	1033	852	0	0	0	0	0	0	0	0
Nfxl1	209.444444	911	974	0	0	0	0	0	0	0	0
Lrrc57	209.444444	1010	875	0	0	0	0	0	0	0	0
Haus2	209.444444	1010	875	0	0	0	0	0	0	0	0
Fkbp3	209.444444	933	676	0	0	276	0	0	0	0	0
Fancm	209.444444	933	676	0	0	276	0	0	0	0	0
Kifc2	209.333333	797	915	0	0	172	0	0	0	0	0
Cyhr1	209.333333	797	915	0	0	172	0	0	0	0	0
Gatd1	209.222222	1079	804	0	0	0	0	0	0	0	0
Afap1	209.222222	910	973	0	0	0	0	0	0	0	0
Slc30a9	209.111111	828	1054	0	0	0	0	0	0	0	0
Stk38	209.000000	1063	818	0	0	0	0	0	0	0	0
Serinc3	209.000000	1007	874	0	0	0	0	0	0	0	0
Tmem165	208.888889	537	1007	0	0	336	0	0	0	0	0
Spindoc	208.888889	868	1012	0	0	0	0	0	0	0	0
Rita1	208.888889	775	763	0	0	342	0	0	0	0	0
Ddx54	208.888889	775	763	0	0	342	0	0	0	0	0
Cfap97	208.888889	1055	825	0	0	0	0	0	0	0	0
Ccng2	208.888889	340	817	0	0	409	0	0	154	160	0
Txn1	208.777778	1182	697	0	0	0	0	0	0	0	0
Srsf11	208.666667	765	818	0	0	0	0	0	202	93	0
Lrrc40	208.666667	765	818	0	0	0	0	0	202	93	0
Isg15	208.666667	1021	857	0	0	0	0	0	0	0	0
Agrn	208.666667	1021	857	0	0	0	0	0	0	0	0
Sun3	208.555556	0	121	0	170	737	186	0	320	343	0
Gm11992	208.555556	0	121	0	170	737	186	0	320	343	0
Herpud2	208.444444	937	939	0	0	0	0	0	0	0	0
Derl1	208.444444	950	926	0	0	0	0	0	0	0	0
Rce1	208.333333	1007	734	0	0	0	0	0	0	134	0
Rab5if	208.222222	1051	823	0	0	0	0	0	0	0	0
Gtf2e2	208.222222	991	883	0	0	0	0	0	0	0	0
Selenok	208.111111	672	1075	0	0	126	0	0	0	0	0
Junb	208.111111	739	849	0	0	285	0	0	0	0	0
Tmx1	208.000000	987	885	0	0	0	0	0	0	0	0
Med27	208.000000	507	894	0	0	0	0	0	294	177	0
Mad2l2	207.888889	646	1062	0	0	163	0	0	0	0	0
Mad2l1	207.888889	838	1033	0	0	0	0	0	0	0	0
Bmp2k	207.888889	1030	841	0	0	0	0	0	0	0	0
Atp6v1g1	207.888889	1032	839	0	0	0	0	0	0	0	0
Stk17b	207.777778	951	919	0	0	0	0	0	0	0	0
Ppfia3	207.777778	837	869	0	0	164	0	0	0	0	0
Lin7b	207.777778	837	869	0	0	164	0	0	0	0	0
Stk3	207.666667	1126	743	0	0	0	0	0	0	0	0
Gnaz	207.666667	0	0	0	181	805	179	0	405	299	0
Sp4	207.555556	944	770	0	0	0	0	0	154	0	0
Snapc1	207.555556	1036	832	0	0	0	0	0	0	0	0
Srp54c	207.444444	737	977	0	0	153	0	0	0	0	0
Srp54b	207.444444	737	977	0	0	153	0	0	0	0	0
