Target_genes	Nr1d2|Average	SRX109462|Liver	SRX128174|Liver	SRX128175|Liver	SRX1161941|Th17_Cells	STRING
Slc39a8	65.750000	132	131	0	0	0
Serpinc1	65.750000	263	0	0	0	0
Prss53	65.750000	263	0	0	0	0
Gde1	65.750000	263	0	0	0	0
Dhrs7	65.750000	263	0	0	0	0
Crp	65.750000	263	0	0	0	0
Akap13	65.750000	95	168	0	0	0
Trmt9b	65.500000	0	262	0	0	0
Thnsl2	65.500000	262	0	0	0	0
Pdxk	65.500000	133	129	0	0	0
Mtfp1	65.500000	148	114	0	0	0
F11	65.500000	262	0	0	0	0
Dkk4	65.500000	262	0	0	0	0
Asl	65.500000	262	0	0	0	0
Prr22	65.250000	261	0	0	0	0
Nlrp6	65.250000	261	0	0	0	0
Grina	65.250000	261	0	0	0	0
Dus3l	65.250000	261	0	0	0	0
Cyp2j5	65.250000	144	117	0	0	0
Aldh1l1	65.250000	261	0	0	0	0
Smad5	65.000000	260	0	0	0	0
Slc9a3r2	65.000000	260	0	0	0	0
Slc17a4	65.000000	260	0	0	0	0
Npw	65.000000	260	0	0	0	0
Tmem243	64.750000	259	0	0	0	0
Tbc1d15	64.750000	259	0	0	0	0
Tpm3	64.500000	258	0	0	0	0
Skil	64.500000	258	0	0	0	0
Oxsm	64.500000	177	81	0	0	0
Mmadhc	64.500000	258	0	0	0	0
Lrfn3	64.500000	95	163	0	0	0
Klf9	64.500000	258	0	0	0	0
Cfh	64.500000	258	0	0	0	0
Utp3	64.250000	0	257	0	0	0
Ulk2	64.250000	139	118	0	0	0
Ttc38	64.250000	257	0	0	0	0
Spns2	64.250000	257	0	0	0	0
Snx18	64.250000	147	110	0	0	0
Slc26a1	64.250000	257	0	0	0	0
Pkp4	64.250000	257	0	0	0	0
Pdcl	64.250000	257	0	0	0	0
Otud7b	64.250000	257	0	0	0	0
Ddx19b	64.250000	257	0	0	0	0
Ccdc148	64.250000	257	0	0	0	0
Aars	64.250000	257	0	0	0	0
Ppp2r2a	64.000000	256	0	0	0	0
Ppard	64.000000	256	0	0	0	0
Znrf3	63.750000	255	0	0	0	0
Scarf1	63.750000	255	0	0	0	0
Rilp	63.750000	255	0	0	0	0
Ptms	63.750000	255	0	0	0	0
Prkag2	63.750000	255	0	0	0	0
Lag3	63.750000	255	0	0	0	0
Urgcp	63.500000	254	0	0	0	0
Gstz1	63.500000	254	0	0	0	0
Daam1	63.500000	254	0	0	0	0
Anks4b	63.500000	254	0	0	0	0
Angptl1	63.500000	254	0	0	0	0
Zbtb21	63.250000	0	253	0	0	0
Trappc9	63.250000	253	0	0	0	0
Ngb	63.250000	253	0	0	0	0
Gstp3	63.250000	253	0	0	0	0
Srr	63.000000	252	0	0	0	0
Smg6	63.000000	252	0	0	0	0
Dars2	63.000000	0	252	0	0	0
Cyb5r3	63.000000	252	0	0	0	0
Sh2d4b	62.750000	0	251	0	0	0
Pan2	62.750000	251	0	0	0	0
Oplah	62.750000	251	0	0	0	0
Olfr1033	62.750000	173	78	0	0	0
Nsun4	62.750000	251	0	0	0	0
Necab2	62.750000	251	0	0	0	0
Lsg1	62.750000	149	0	0	102	0
Lamp2	62.750000	0	251	0	0	0
Fzd8	62.750000	251	0	0	0	0
Tnfrsf19	62.500000	250	0	0	0	0
Pus10	62.500000	250	0	0	0	0
Phactr4	62.500000	250	0	0	0	0
G3bp2	62.500000	250	0	0	0	0
Bri3	62.500000	250	0	0	0	0
Angel2	62.500000	250	0	0	0	0
Rab31	62.250000	249	0	0	0	0
Prkab1	62.250000	249	0	0	0	0
Dcun1d1	62.250000	130	119	0	0	0
Bmyc	62.250000	249	0	0	0	0
2010003K11Rik	62.250000	249	0	0	0	0
1810037I17Rik	62.250000	249	0	0	0	0
Bhlhe40	62.000000	0	248	0	0	0
Urad	61.750000	247	0	0	0	0
Taf4b	61.750000	247	0	0	0	0
Orm2	61.750000	247	0	0	0	0
Klkb1	61.750000	247	0	0	0	0
Dctn6	61.750000	133	114	0	0	0
Tmem120a	61.500000	246	0	0	0	0
Steap4	61.500000	246	0	0	0	0
Snx29	61.500000	246	0	0	0	0
Sfswap	61.500000	0	246	0	0	0
Mpzl1	61.500000	163	83	0	0	0
Tmem98	61.250000	111	134	0	0	0
Tlr5	61.250000	245	0	0	0	0
Gstp2	61.250000	245	0	0	0	0
Atp7b	61.250000	245	0	0	0	0
Alg11	61.250000	245	0	0	0	0
Selenoo	61.000000	244	0	0	0	0
Ciz1	61.000000	244	0	0	0	0
Usf3	60.750000	243	0	0	0	0
U2af1	60.750000	113	130	0	0	0
Tsr1	60.750000	115	128	0	0	0
Sgsm2	60.750000	115	128	0	0	0
Per2	60.750000	243	0	0	0	0
Klf13	60.750000	243	0	0	0	0
Dlst	60.750000	243	0	0	0	0
Dcbld1	60.750000	243	0	0	0	0
Cfhr2	60.750000	243	0	0	0	0
Vps52	60.500000	242	0	0	0	0
Slc25a31	60.500000	161	81	0	0	0
Slc16a5	60.500000	242	0	0	0	0
Rps18	60.500000	242	0	0	0	0
Rhob	60.500000	242	0	0	0	0
Rgs12	60.500000	242	0	0	0	0
Pzp	60.500000	242	0	0	0	0
Ptpmt1	60.500000	242	0	0	0	0
Osbpl8	60.500000	242	0	0	0	0
Ntf3	60.500000	242	0	0	0	0
Nectin2	60.500000	242	0	0	0	0
D230025D16Rik	60.500000	242	0	0	0	0
Cgn	60.500000	242	0	0	0	0
Cbx8	60.500000	242	0	0	0	0
B3galt4	60.500000	242	0	0	0	0
Abcd2	60.500000	242	0	0	0	0
Abca8a	60.500000	242	0	0	0	0
Tex45	60.250000	241	0	0	0	0
Sec14l2	60.250000	128	113	0	0	0
Ftcd	60.250000	241	0	0	0	0
C4bp	60.250000	241	0	0	0	0
Bphl	60.250000	241	0	0	0	0
Tnfaip2	60.000000	240	0	0	0	0
Sppl2a	60.000000	240	0	0	0	0
Spen	60.000000	138	102	0	0	0
Serinc2	60.000000	0	240	0	0	0
Pde4c	60.000000	240	0	0	0	0
Gm3336	60.000000	240	0	0	0	0
Ube2u	59.750000	239	0	0	0	0
Larp1	59.750000	239	0	0	0	0
Stom	59.500000	238	0	0	0	0
Nr4a2	59.500000	238	0	0	0	0
Mkln1	59.500000	238	0	0	0	0
Fam193b	59.500000	0	238	0	0	0
Uhmk1	59.250000	237	0	0	0	0
Rdh16f2	59.250000	237	0	0	0	0
Inmt	59.250000	237	0	0	0	0
Hdac11	59.250000	237	0	0	0	0
Strbp	59.000000	236	0	0	0	0
St3gal3	59.000000	236	0	0	0	0
Slx1b	59.000000	236	0	0	0	0
Rnf182	59.000000	0	236	0	0	0
Rab11fip2	59.000000	236	0	0	0	0
Immp2l	59.000000	236	0	0	0	0
Fis1	59.000000	236	0	0	0	0
Bola2	59.000000	236	0	0	0	0
Ube2l6	58.750000	235	0	0	0	0
Stk38l	58.750000	235	0	0	0	0
Map2k5	58.750000	0	235	0	0	0
Mafb	58.750000	145	90	0	0	0
Kiss1	58.750000	235	0	0	0	0
Emc9	58.750000	235	0	0	0	0
Cyp8b1	58.750000	128	107	0	0	0
Tifa	58.500000	234	0	0	0	0
Ppip5k2	58.500000	234	0	0	0	0
Pbrm1	58.500000	234	0	0	0	0
Gin1	58.500000	234	0	0	0	0
Echdc2	58.500000	234	0	0	0	0
Dpep2	58.500000	234	0	0	0	0
BC005537	58.500000	0	234	0	0	0
Selenbp1	58.250000	233	0	0	0	0
Sart3	58.250000	0	233	0	0	0
Rpl36al	58.250000	233	0	0	0	0
Rab4b	58.250000	233	0	0	0	0
Parp16	58.250000	233	0	0	0	0
Myo7a	58.250000	233	0	0	0	0
Mgat2	58.250000	233	0	0	0	0
Iscu	58.250000	0	233	0	0	0
Igsf5	58.250000	233	0	0	0	0
Hc	58.250000	233	0	0	0	0
Gpr84	58.250000	233	0	0	0	0
Eif3d	58.250000	233	0	0	0	0
Csnk1d	58.250000	136	97	0	0	0
Slc25a10	58.000000	232	0	0	0	0
Nxpe2	58.000000	232	0	0	0	0
Mrpl12	58.000000	232	0	0	0	0
Khk	58.000000	232	0	0	0	0
Gpd1l	58.000000	232	0	0	0	0
Dmxl1	58.000000	232	0	0	0	0
Abcc4	58.000000	232	0	0	0	0
Kcnh6	57.750000	231	0	0	0	0
Gclm	57.750000	231	0	0	0	0
Csf1r	57.750000	231	0	0	0	0
Atf4	57.750000	231	0	0	0	0
Zfp101	57.500000	123	107	0	0	0
Zfand6	57.500000	230	0	0	0	0
Wasl	57.500000	230	0	0	0	0
Ubap1	57.500000	230	0	0	0	0
Slc27a2	57.500000	147	83	0	0	0
Lctl	57.500000	230	0	0	0	0
Eif4ebp1	57.500000	142	88	0	0	0
Dapk2	57.500000	230	0	0	0	0
Cps1	57.500000	230	0	0	0	0
Adam2	57.500000	230	0	0	0	0
Tlr11	57.250000	229	0	0	0	0
Strn3	57.250000	91	138	0	0	0
Cyp2c65	57.250000	229	0	0	0	0
C1rl	57.250000	229	0	0	0	0
Ap4s1	57.250000	91	138	0	0	0
Zfp809	57.000000	228	0	0	0	0
Ywhae	57.000000	0	228	0	0	0
Tada3	57.000000	0	0	0	228	0
Stat3	57.000000	90	0	0	138	0
Slc22a5	57.000000	228	0	0	0	0
Rusc2	57.000000	228	0	0	0	0
Mst1	57.000000	228	0	0	0	0
Ece1	57.000000	228	0	0	0	0
Ctse	57.000000	228	0	0	0	0
Ces2c	57.000000	228	0	0	0	0
Cbx4	57.000000	131	97	0	0	0
Asb17	57.000000	0	228	0	0	0
Arpc4	57.000000	0	0	0	228	0
Agmo	57.000000	228	0	0	0	0
Zyx	56.750000	227	0	0	0	0
Vnn3	56.750000	227	0	0	0	0
Rrm2	56.750000	227	0	0	0	0
Ptprj	56.750000	227	0	0	0	0
Ppm1k	56.750000	227	0	0	0	0
Mup10	56.750000	227	0	0	0	0
Masp1	56.750000	227	0	0	0	0
Hlf	56.750000	0	227	0	0	0
Fam53c	56.750000	0	0	0	227	0
Deptor	56.750000	126	101	0	0	0
Vcam1	56.500000	226	0	0	0	0
Pcdh12	56.500000	226	0	0	0	0
Mtrf1l	56.500000	226	0	0	0	0
Mis12	56.500000	226	0	0	0	0
Letmd1	56.500000	226	0	0	0	0
Gpr19	56.500000	226	0	0	0	0
E430018J23Rik	56.500000	0	226	0	0	0
Derl2	56.500000	226	0	0	0	0
Ado	56.500000	0	226	0	0	0
Ung	56.250000	225	0	0	0	0
Tmem266	56.250000	225	0	0	0	0
Nup35	56.250000	0	225	0	0	0
Nin	56.250000	111	114	0	0	0
Gphn	56.250000	225	0	0	0	0
Arl8b	56.250000	225	0	0	0	0
Alkbh2	56.250000	225	0	0	0	0
Polr3k	56.000000	224	0	0	0	0
Ikzf5	56.000000	224	0	0	0	0
Dnajb3	56.000000	224	0	0	0	0
Acadsb	56.000000	224	0	0	0	0
Ttc41	55.750000	0	0	223	0	0
Sdc4	55.750000	223	0	0	0	0
Prr13	55.750000	101	122	0	0	0
Ppargc1b	55.750000	223	0	0	0	0
Polk	55.750000	223	0	0	0	0
Nkx2-6	55.750000	223	0	0	0	0
Marchf6	55.750000	223	0	0	0	0
Hsp90b1	55.750000	0	0	223	0	0
Gpr146	55.750000	223	0	0	0	0
Gnpda1	55.750000	223	0	0	0	0
Fdft1	55.750000	223	0	0	0	0
Depp1	55.750000	223	0	0	0	0
Cert1	55.750000	223	0	0	0	0
Zscan2	55.500000	222	0	0	0	0
Sptlc2	55.500000	222	0	0	0	0
Rsrc2	55.500000	0	222	0	0	0
Nudt3	55.500000	222	0	0	0	0
Kntc1	55.500000	0	222	0	0	0
Gpat4	55.500000	0	222	0	0	0
Cacnb1	55.500000	222	0	0	0	0
Bche	55.500000	222	0	0	0	0
Traf3ip2	55.250000	109	112	0	0	0
Tax1bp1	55.250000	221	0	0	0	0
Tada1	55.250000	221	0	0	0	0
Nfia	55.250000	221	0	0	0	0
Hif1a	55.250000	221	0	0	0	0
0610040J01Rik	55.250000	221	0	0	0	0
Vnn1	55.000000	220	0	0	0	0
Ppdpf	55.000000	220	0	0	0	0
Plpbp	55.000000	220	0	0	0	0
Plb1	55.000000	220	0	0	0	0
P4htm	55.000000	220	0	0	0	0
Ipo8	55.000000	0	220	0	0	0
Gns	55.000000	220	0	0	0	0
Gm5111	55.000000	220	0	0	0	0
Fbxo6	55.000000	220	0	0	0	0
Ube2j1	54.750000	219	0	0	0	0
Kdm5b	54.750000	219	0	0	0	0
A1bg	54.750000	219	0	0	0	0
Shmt2	54.500000	218	0	0	0	0
Olfr173	54.500000	218	0	0	0	0
Nmt1	54.500000	218	0	0	0	0
Fbp1	54.500000	218	0	0	0	0
Dnhd1	54.500000	218	0	0	0	0
Cmas	54.500000	218	0	0	0	0
Ciart	54.500000	147	71	0	0	0
Yipf1	54.250000	122	95	0	0	0
Tdo2	54.250000	217	0	0	0	0
Slc17a8	54.250000	217	0	0	0	0
Slc16a7	54.250000	217	0	0	0	0
Saa4	54.250000	217	0	0	0	0
Rwdd1	54.250000	217	0	0	0	0
Rps13	54.250000	217	0	0	0	0
Ppp4r3a	54.250000	217	0	0	0	0
Nek7	54.250000	217	0	0	0	0
Hnrnpa0	54.250000	217	0	0	0	0
Fdxr	54.250000	217	0	0	0	0
Fbxo21	54.250000	217	0	0	0	0
Cyp1a2	54.250000	217	0	0	0	0
Cyp1a1	54.250000	217	0	0	0	0
Cblc	54.250000	217	0	0	0	0
Plin4	54.000000	216	0	0	0	0
Il17rc	54.000000	216	0	0	0	0
Bod1l	54.000000	131	85	0	0	0
Ttc17	53.750000	0	215	0	0	0
Tef	53.750000	215	0	0	0	0
Tec	53.750000	215	0	0	0	0
Slc11a1	53.750000	215	0	0	0	0
Sar1a	53.750000	215	0	0	0	0
Kbtbd3	53.750000	215	0	0	0	0
Gulo	53.750000	215	0	0	0	0
Dido1	53.750000	215	0	0	0	0
Aasdhppt	53.750000	215	0	0	0	0
Ugt1a9	53.500000	214	0	0	0	0
Naaa	53.500000	0	214	0	0	0
Moxd2	53.500000	0	0	0	214	0
Fosl2	53.500000	0	214	0	0	0
Dnajc25	53.500000	214	0	0	0	0
Mia2	53.250000	213	0	0	0	0
Il4ra	53.250000	213	0	0	0	0
Gch1	53.250000	213	0	0	0	0
C4a	53.250000	213	0	0	0	0
Btbd19	53.250000	213	0	0	0	0
Zfp568	53.000000	212	0	0	0	0
Smoc1	53.000000	212	0	0	0	0
Nos1ap	53.000000	212	0	0	0	0
Fmo1	53.000000	212	0	0	0	0
Tbl1xr1	52.750000	76	135	0	0	0
Snx9	52.750000	211	0	0	0	0
Slc25a42	52.750000	211	0	0	0	0
Rmdn1	52.750000	211	0	0	0	0
Hp	52.750000	211	0	0	0	0
Epb41l4b	52.750000	211	0	0	0	0
Cilk1	52.750000	211	0	0	0	0
Ano9	52.750000	211	0	0	0	0
1810010H24Rik	52.750000	211	0	0	0	0
Tnfaip3	52.500000	210	0	0	0	0
Tmem53	52.500000	210	0	0	0	0
Tmed10	52.500000	0	210	0	0	0
Gprin3	52.500000	210	0	0	0	0
Cfap20	52.500000	210	0	0	0	0
Asph	52.500000	210	0	0	0	0
Armh1	52.500000	210	0	0	0	0
Acsf2	52.500000	210	0	0	0	0
St6galnac6	52.250000	209	0	0	0	0
Rpia	52.250000	209	0	0	0	0
Lonp1	52.250000	0	209	0	0	0
Kyat3	52.250000	209	0	0	0	0
Kif3b	52.250000	0	0	0	209	0
Ccdc85c	52.250000	209	0	0	0	0
Catsperd	52.250000	0	209	0	0	0
Abi1	52.250000	209	0	0	0	0
Spz1	52.000000	208	0	0	0	0
Igfbp5	52.000000	208	0	0	0	0
Git2	52.000000	0	208	0	0	0
Dnttip2	52.000000	0	208	0	0	0
Apoh	52.000000	208	0	0	0	0
Ankrd13a	52.000000	0	208	0	0	0
Uba1y	51.750000	207	0	0	0	0
Spata2l	51.750000	207	0	0	0	0
Papss2	51.750000	207	0	0	0	0
Nt5dc3	51.750000	207	0	0	0	0
Minar2	51.750000	207	0	0	0	0
Il13ra1	51.750000	207	0	0	0	0
Acer3	51.750000	207	0	0	0	0
Ypel5	51.500000	206	0	0	0	0
Uqcrq	51.500000	206	0	0	0	0
Slc39a9	51.500000	0	206	0	0	0
Skap2	51.500000	206	0	0	0	0
Gdf9	51.500000	206	0	0	0	0
Erlin1	51.500000	206	0	0	0	0
Erh	51.500000	0	206	0	0	0
Elf5	51.500000	206	0	0	0	0
E4f1	51.500000	206	0	0	0	0
Adcy2	51.500000	206	0	0	0	0
Pdk2	51.250000	205	0	0	0	0
Tmie	51.000000	204	0	0	0	0
Tkfc	51.000000	204	0	0	0	0
Slc39a14	51.000000	204	0	0	0	0
Rpl17	51.000000	204	0	0	0	0
Rbpms	51.000000	204	0	0	0	0
Pm20d1	51.000000	204	0	0	0	0
Mideas	51.000000	204	0	0	0	0
Fcgrt	51.000000	204	0	0	0	0
Fam160a2	51.000000	204	0	0	0	0
Ddb1	51.000000	204	0	0	0	0
Cxcl11	51.000000	204	0	0	0	0
Cnga4	51.000000	204	0	0	0	0
Btbd16	51.000000	204	0	0	0	0
Bloc1s2	51.000000	204	0	0	0	0
BC031181	51.000000	204	0	0	0	0
Als2cl	51.000000	204	0	0	0	0
Trib1	50.750000	203	0	0	0	0
Ppp1r10	50.750000	203	0	0	0	0
Mup13	50.750000	203	0	0	0	0
Dhx8	50.750000	203	0	0	0	0
Cpeb4	50.750000	0	203	0	0	0
Capn9	50.750000	203	0	0	0	0
Atrn	50.750000	203	0	0	0	0
Ube2s	50.500000	202	0	0	0	0
Srsf3	50.500000	0	202	0	0	0
Rabgef1	50.500000	202	0	0	0	0
Nat8f4	50.500000	202	0	0	0	0
Gimap5	50.500000	0	0	0	202	0
Cox7a2	50.500000	202	0	0	0	0
Actr6	50.500000	202	0	0	0	0
Actn4	50.500000	202	0	0	0	0
Uchl4	50.250000	201	0	0	0	0
Ppp1r13b	50.250000	201	0	0	0	0
Id2	50.250000	201	0	0	0	0
Hinfp	50.250000	0	201	0	0	0
Csf2ra	50.250000	201	0	0	0	0
Cry2	50.250000	201	0	0	0	0
Creb3l2	50.250000	201	0	0	0	0
Ube2g1	50.000000	0	200	0	0	0
Tmem223	50.000000	0	200	0	0	0
Tmem179b	50.000000	0	200	0	0	0
Tbc1d13	50.000000	200	0	0	0	0
Mrpl44	50.000000	0	200	0	0	0
Gsta2	50.000000	91	109	0	0	0
Baat	50.000000	200	0	0	0	0
Arf6	50.000000	200	0	0	0	0
Rcan1	49.750000	199	0	0	0	0
Orm3	49.750000	199	0	0	0	0
Nit2	49.750000	199	0	0	0	0
Foxq1	49.750000	101	98	0	0	0
2200002D01Rik	49.750000	199	0	0	0	0
Zfp870	49.500000	198	0	0	0	0
Wasf2	49.500000	0	0	0	198	0
Tbc1d30	49.500000	198	0	0	0	0
Slc39a4	49.500000	198	0	0	0	0
Sacm1l	49.500000	0	198	0	0	0
Pdk1	49.500000	198	0	0	0	0
Ncor1	49.500000	198	0	0	0	0
Gfod1	49.500000	198	0	0	0	0
Dus2	49.500000	0	0	0	198	0
Ddx5	49.500000	198	0	0	0	0
Ddx28	49.500000	0	0	0	198	0
Cxcl1	49.500000	198	0	0	0	0
Chpt1	49.500000	198	0	0	0	0
Cep95	49.500000	198	0	0	0	0
C9orf72	49.500000	0	198	0	0	0
Tssk6	49.250000	0	197	0	0	0
Tm4sf4	49.250000	197	0	0	0	0
Stim1	49.250000	197	0	0	0	0
Ptch1	49.250000	197	0	0	0	0
Ndufa13	49.250000	0	197	0	0	0
Mesp2	49.250000	197	0	0	0	0
Iyd	49.250000	197	0	0	0	0
Hsd3b5	49.250000	197	0	0	0	0
Gadd45a	49.250000	197	0	0	0	0
Bdnf	49.250000	197	0	0	0	0
Aars2	49.250000	0	197	0	0	0
Zfp467	49.000000	196	0	0	0	0
Zbtb33	49.000000	196	0	0	0	0
Tspan31	49.000000	196	0	0	0	0
Sdf4	49.000000	0	196	0	0	0
Oaz3	49.000000	196	0	0	0	0
Marf1	49.000000	196	0	0	0	0
Klk1b4	49.000000	196	0	0	0	0
Fcamr	49.000000	196	0	0	0	0
Cd47	49.000000	196	0	0	0	0
Ccdc68	49.000000	196	0	0	0	0
B3galt6	49.000000	0	196	0	0	0
Tle4	48.750000	195	0	0	0	0
Tex33	48.750000	195	0	0	0	0
Serpind1	48.750000	195	0	0	0	0
Pank1	48.750000	195	0	0	0	0
Msh5	48.750000	195	0	0	0	0
Clic1	48.750000	195	0	0	0	0
Zfp750	48.500000	194	0	0	0	0
Vstm4	48.500000	0	194	0	0	0
Sult2a2	48.500000	194	0	0	0	0
Rdh14	48.500000	194	0	0	0	0
Hspa1b	48.500000	194	0	0	0	0
Ston1	48.250000	193	0	0	0	0
Slc27a5	48.250000	193	0	0	0	0
S1pr5	48.250000	193	0	0	0	0
Rbm12b2	48.250000	193	0	0	0	0
Phyh	48.250000	193	0	0	0	0
Itga10	48.250000	193	0	0	0	0
Gng3	48.250000	0	193	0	0	0
Bscl2	48.250000	0	193	0	0	0
Adap1	48.250000	193	0	0	0	0
Zfp207	48.000000	0	192	0	0	0
Ugt2b38	48.000000	192	0	0	0	0
Tnrc18	48.000000	192	0	0	0	0
Scpep1	48.000000	192	0	0	0	0
Psap	48.000000	192	0	0	0	0
Pex14	48.000000	192	0	0	0	0
Naa80	48.000000	192	0	0	0	0
Lsm12	48.000000	0	192	0	0	0
Hyal1	48.000000	192	0	0	0	0
G6pc3	48.000000	0	192	0	0	0
Dcaf5	48.000000	192	0	0	0	0
Cyp4v3	48.000000	192	0	0	0	0
Apob	48.000000	192	0	0	0	0
Tssk1	47.750000	191	0	0	0	0
Tmem102	47.750000	0	191	0	0	0
N4bp2	47.750000	191	0	0	0	0
Magi3	47.750000	191	0	0	0	0
Krt4	47.750000	191	0	0	0	0
Kank2	47.750000	191	0	0	0	0
Gypc	47.750000	191	0	0	0	0
Fgf11	47.750000	0	191	0	0	0
Exosc5	47.750000	191	0	0	0	0
Dgcr2	47.750000	191	0	0	0	0
Bckdha	47.750000	191	0	0	0	0
Agmat	47.750000	191	0	0	0	0
Ubr4	47.500000	0	190	0	0	0
Tmem259	47.500000	190	0	0	0	0
Tgfbr2	47.500000	190	0	0	0	0
Sult1a1	47.500000	190	0	0	0	0
Slain2	47.500000	0	190	0	0	0
Pitpnc1	47.500000	190	0	0	0	0
Phf14	47.500000	190	0	0	0	0
Oxa1l	47.500000	0	190	0	0	0
Cnn2	47.500000	190	0	0	0	0
Cd48	47.500000	0	0	0	190	0
Ccdc50	47.500000	190	0	0	0	0
Adamtsl4	47.500000	190	0	0	0	0
Tstd1	47.250000	189	0	0	0	0
Spata13	47.250000	189	0	0	0	0
Sash1	47.250000	189	0	0	0	0
Pex2	47.250000	91	98	0	0	0
Jagn1	47.250000	189	0	0	0	0
Igsf23	47.250000	189	0	0	0	0
Gsr	47.250000	0	189	0	0	0
Colgalt1	47.250000	189	0	0	0	0
Cidec	47.250000	189	0	0	0	0
Atp6v0e2	47.250000	189	0	0	0	0
As3mt	47.250000	189	0	0	0	0
Agxt	47.250000	0	189	0	0	0
Tmem17	47.000000	67	121	0	0	0
Timm17a	47.000000	188	0	0	0	0
Spry4	47.000000	188	0	0	0	0
Rpl12	47.000000	0	188	0	0	0
Oaz1	47.000000	188	0	0	0	0
Lrsam1	47.000000	0	188	0	0	0
Lect2	47.000000	188	0	0	0	0
Ifitm3	47.000000	188	0	0	0	0
Cpne2	47.000000	188	0	0	0	0
Ces1b	47.000000	188	0	0	0	0
Bckdk	47.000000	188	0	0	0	0
Atp10b	47.000000	188	0	0	0	0
5031439G07Rik	47.000000	188	0	0	0	0
Zc3h18	46.750000	187	0	0	0	0
Usp4	46.750000	187	0	0	0	0
Tmem87a	46.750000	187	0	0	0	0
Tdrd7	46.750000	187	0	0	0	0
Slc25a17	46.750000	187	0	0	0	0
Rabl6	46.750000	0	187	0	0	0
Ppp2r2d	46.750000	187	0	0	0	0
Pawr	46.750000	187	0	0	0	0
Mapk1ip1	46.750000	187	0	0	0	0
Gm11437	46.750000	187	0	0	0	0
Ganc	46.750000	187	0	0	0	0
Cab39	46.750000	187	0	0	0	0
Atxn7	46.750000	187	0	0	0	0
Slc7a2	46.500000	186	0	0	0	0
Rer1	46.500000	186	0	0	0	0
Pcx	46.500000	186	0	0	0	0
Morn1	46.500000	186	0	0	0	0
Lcn2	46.500000	0	186	0	0	0
Kbtbd12	46.500000	186	0	0	0	0
Egfr	46.500000	186	0	0	0	0
Cxcl9	46.500000	186	0	0	0	0
Cox19	46.500000	186	0	0	0	0
Zfp972	46.250000	185	0	0	0	0
Tcp11l2	46.250000	0	0	0	185	0
Rxrg	46.250000	0	185	0	0	0
Reps2	46.250000	185	0	0	0	0
Rab9	46.250000	185	0	0	0	0
Hrh4	46.250000	185	0	0	0	0
Gstp1	46.250000	185	0	0	0	0
Frmd7	46.250000	185	0	0	0	0
Fgfr3	46.250000	185	0	0	0	0
Crk	46.250000	0	185	0	0	0
Clint1	46.250000	185	0	0	0	0
Armc1	46.250000	185	0	0	0	0
2310079G19Rik	46.250000	185	0	0	0	0
1810046K07Rik	46.250000	185	0	0	0	0
Ypel2	46.000000	0	184	0	0	0
Vegfc	46.000000	184	0	0	0	0
Tsku	46.000000	184	0	0	0	0
Tmem229a	46.000000	184	0	0	0	0
Tlcd2	46.000000	184	0	0	0	0
Pdcl3	46.000000	184	0	0	0	0
Csde1	46.000000	0	184	0	0	0
Clu	46.000000	184	0	0	0	0
Ceacam16	46.000000	184	0	0	0	0
Ahdc1	46.000000	184	0	0	0	0
Slc37a4	45.750000	183	0	0	0	0
Slc25a23	45.750000	183	0	0	0	0
Rab3il1	45.750000	183	0	0	0	0
Nat8f5	45.750000	183	0	0	0	0
Klhl2	45.750000	183	0	0	0	0
Cyp2c55	45.750000	183	0	0	0	0
Best1	45.750000	183	0	0	0	0
Acaa2	45.750000	183	0	0	0	0
Aadat	45.750000	183	0	0	0	0
Mttp	45.500000	182	0	0	0	0
Hnrnpf	45.500000	182	0	0	0	0
Gstm3	45.500000	182	0	0	0	0
Asb13	45.500000	182	0	0	0	0
Zc3h12d	45.250000	181	0	0	0	0
Tspan14	45.250000	181	0	0	0	0
Tcf7l2	45.250000	181	0	0	0	0
Slc9a1	45.250000	0	181	0	0	0
Qprt	45.250000	181	0	0	0	0
Ptpre	45.250000	181	0	0	0	0
Psd3	45.250000	181	0	0	0	0
Preb	45.250000	0	181	0	0	0
Ppp2r5c	45.250000	181	0	0	0	0
Mrpl39	45.250000	181	0	0	0	0
Milr1	45.250000	181	0	0	0	0
Cyp2c70	45.250000	181	0	0	0	0
Csnk1g2	45.250000	181	0	0	0	0
Cd81	45.250000	181	0	0	0	0
Brd4	45.250000	181	0	0	0	0
Atg16l2	45.250000	181	0	0	0	0
Ak3	45.250000	181	0	0	0	0
Xkr8	45.000000	180	0	0	0	0
Tmem147	45.000000	180	0	0	0	0
St3gal4	45.000000	180	0	0	0	0
Snd1	45.000000	180	0	0	0	0
Slc25a34	45.000000	0	180	0	0	0
Sfmbt1	45.000000	180	0	0	0	0
Plekha7	45.000000	180	0	0	0	0
Mup6	45.000000	180	0	0	0	0
Fkbp11	45.000000	0	180	0	0	0
Tank	44.750000	179	0	0	0	0
Smu1	44.750000	179	0	0	0	0
Slc12a9	44.750000	0	179	0	0	0
Rpl7l1	44.750000	179	0	0	0	0
Rarres2	44.750000	179	0	0	0	0
Ppp1r15b	44.750000	179	0	0	0	0
Pnpla8	44.750000	179	0	0	0	0
Mtss1	44.750000	179	0	0	0	0
Map3k20	44.750000	0	0	0	179	0
Hopx	44.750000	179	0	0	0	0
Gbp5	44.750000	179	0	0	0	0
Ei24	44.750000	0	179	0	0	0
Clk3	44.750000	179	0	0	0	0
