Target_genes	Spib|Average	SRX556710|WEHI-279	SRX556711|WEHI-279	STRING
Evi2a	71.000000	142	0	0
Evi2	71.000000	142	0	0
Calm5	71.000000	142	0	0
Tet3	70.500000	141	0	0
Szrd1	70.500000	141	0	0
Pacs2	70.500000	141	0	0
Elac1	70.500000	141	0	0
Slc25a37	70.000000	140	0	0
Nup160	70.000000	140	0	0
Mcidas	70.000000	140	0	0
Lyl1	70.000000	0	140	0
Klf7	70.000000	140	0	0
Fmnl1	70.000000	140	0	0
Enpp3	70.000000	140	0	0
Capn10	70.000000	140	0	0
Aldh1a2	70.000000	140	0	0
Adamtsl3	70.000000	140	0	0
Stat5b	69.500000	139	0	0
Mybpc2	69.500000	139	0	0
Mppe1	69.500000	139	0	0
Gpx1	69.500000	139	0	0
Zbtb18	69.000000	138	0	0
Ucp2	69.000000	0	138	0
Mrpl58	69.000000	0	138	0
Itgb1bp1	69.000000	138	0	0
Cpsf3	69.000000	138	0	0
Slc18a3	68.500000	137	0	0
Chat	68.500000	137	0	0
Trim30c	68.000000	136	0	0
Snx20	68.000000	0	136	0
Selplg	68.000000	0	136	0
Mlxip	68.000000	136	0	0
Dse	68.000000	136	0	0
Ric8b	67.500000	0	135	0
Cldn18	67.500000	0	135	0
Zfp592	67.000000	134	0	0
Tmem68	67.000000	0	134	0
Tgs1	67.000000	0	134	0
Sirt7	67.000000	134	0	0
Rab5if	67.000000	0	134	0
Mthfd1l	67.000000	134	0	0
Fbxo4	67.000000	134	0	0
Diras2	67.000000	134	0	0
Vezf1	66.500000	133	0	0
Pde6g	66.500000	0	133	0
Oxld1	66.500000	0	133	0
Kif3c	66.500000	133	0	0
Dhx58	66.500000	133	0	0
Ccdc137	66.500000	0	133	0
Rpl36a	66.000000	132	0	0
Rac1	66.000000	132	0	0
Ergic3	66.000000	0	132	0
Btk	66.000000	132	0	0
6430550D23Rik	66.000000	0	132	0
Zbtb3	65.500000	131	0	0
Zbed4	65.500000	131	0	0
Tmcc3	65.500000	131	0	0
Slc24a3	65.500000	131	0	0
Sec23b	65.500000	131	0	0
Rbbp9	65.500000	131	0	0
Plscr1	65.500000	0	131	0
Pdxk	65.500000	131	0	0
Naip2	65.500000	131	0	0
Lrp11	65.500000	131	0	0
Gpr68	65.500000	131	0	0
Folr2	65.500000	131	0	0
Fcamr	65.500000	131	0	0
Csdc2	65.500000	131	0	0
Apobec1	65.500000	131	0	0
Ube2i	65.000000	130	0	0
Trex1	65.000000	130	0	0
Slc25a28	65.000000	130	0	0
Shisa5	65.000000	130	0	0
Ric1	65.000000	130	0	0
Rab21	65.000000	130	0	0
Pdxdc1	65.000000	130	0	0
Mpv17l	65.000000	130	0	0
Lrmp	65.000000	130	0	0
Gimap6	65.000000	130	0	0
Arid3b	65.000000	130	0	0
Zranb1	64.500000	0	129	0
Unc13a	64.500000	129	0	0
Pml	64.500000	129	0	0
Phf23	64.500000	0	129	0
Jak3	64.500000	129	0	0
Iba57	64.500000	0	129	0
Gabarap	64.500000	0	129	0
Etnk1	64.500000	129	0	0
Csnk1a1	64.500000	0	129	0
Coq10b	64.500000	129	0	0
Txndc16	64.000000	128	0	0
Slc6a12	64.000000	128	0	0
Gpr137c	64.000000	128	0	0
Snrpb2	63.500000	0	127	0
Ipmk	63.500000	127	0	0
Eif2s1	63.500000	0	127	0
Cisd1	63.500000	127	0	0
Atp6v1d	63.500000	0	127	0
Cd180	63.000000	126	0	0
Tent5d	62.500000	0	125	0
Gclc	62.500000	125	0	0
2610002M06Rik	62.500000	0	125	0
Stn1	62.000000	124	0	0
Adora3	62.000000	124	0	0
Sf3b1	61.500000	123	0	0
Wdr75	61.000000	122	0	0
Slc35e3	61.000000	122	0	0
Rfk	61.000000	122	0	0
Rcan2	61.000000	122	0	0
Ptpn6	61.000000	122	0	0
Phf6	61.000000	122	0	0
Mog	61.000000	122	0	0
Inf2	61.000000	122	0	0
Dctn4	61.000000	0	122	0
Cep170	61.000000	122	0	0
Zfp971	60.500000	121	0	0
Slc36a3	60.500000	121	0	0
Pstpip2	60.500000	121	0	0
Psap	60.500000	121	0	0
Prpf40a	60.500000	0	121	0
Arl6ip6	60.500000	0	121	0
Ddx52	60.000000	0	120	0
Cops8	60.000000	0	120	0
Ccr6	60.000000	120	0	0
9430069I07Rik	60.000000	120	0	0
Tram1	59.500000	0	119	0
Rps12	59.500000	0	119	0
Prkrip1	59.500000	119	0	0
Mrpl20	59.500000	0	119	0
Cltc	59.500000	0	119	0
Trafd1	59.000000	118	0	0
Tnfaip8l2	59.000000	118	0	0
St6galnac1	59.000000	118	0	0
Hnrnpa2b1	59.000000	118	0	0
Clec2f	59.000000	118	0	0
Cdk12	59.000000	0	118	0
Cdh23	59.000000	0	118	0
Cbx3	59.000000	118	0	0
2310033P09Rik	59.000000	0	118	0
Trappc5	58.500000	117	0	0
Tcte3	58.500000	0	117	0
P2ry13	58.500000	117	0	0
Gm3448	58.500000	0	117	0
Gm3435	58.500000	0	117	0
Gm3417	58.500000	0	117	0
Gas2	58.500000	0	117	0
Fcor	58.500000	117	0	0
Fancf	58.500000	0	117	0
Ap1b1	58.500000	117	0	0
Mapkapk5	58.000000	0	116	0
Cfl1	58.000000	116	0	0
Trim39	57.500000	115	0	0
Mthfs	57.500000	0	115	0
Mrpl12	57.500000	0	115	0
Got2	57.500000	115	0	0
Ftl1	57.500000	115	0	0
Ccnc	57.500000	0	115	0
Acad9	57.500000	0	115	0
Per1	57.000000	114	0	0
Fbxo33	57.000000	114	0	0
Dock10	57.000000	114	0	0
Cyria	57.000000	114	0	0
Copg1	57.000000	0	114	0
Clec4a1	57.000000	114	0	0
Bcl2a1d	57.000000	114	0	0
Vars2	56.500000	113	0	0
Treml2	56.500000	113	0	0
Tas2r138	56.500000	113	0	0
Rgs2	56.500000	113	0	0
Rasa3	56.500000	113	0	0
Rab44	56.500000	113	0	0
Ppil3	56.500000	113	0	0
Nif3l1	56.500000	113	0	0
Kctd5	56.500000	113	0	0
Ip6k3	56.500000	113	0	0
Ifi209	56.500000	113	0	0
H4c12	56.500000	0	113	0
H2bc15	56.500000	0	113	0
H2ac15	56.500000	0	113	0
Ccr1l1	56.500000	113	0	0
Carhsp1	56.500000	113	0	0
Atxn7l1	56.500000	113	0	0
Apof	56.500000	113	0	0
Zfp62	56.000000	0	112	0
Tesk2	56.000000	112	0	0
Pten	56.000000	112	0	0
Foxr1	56.000000	0	112	0
Angel2	56.000000	0	112	0
Ppm1e	55.500000	0	111	0
Mks1	55.500000	0	111	0
Med7	55.500000	0	111	0
Jund	55.500000	111	0	0
Hivep2	55.500000	0	111	0
Gpr31b	55.500000	111	0	0
Fndc7	55.500000	111	0	0
Dguok	55.500000	0	111	0
Cdc42ep4	55.500000	111	0	0
Rer1	55.000000	0	110	0
Msn	55.000000	110	0	0
Morn1	55.000000	0	110	0
Milr1	55.000000	110	0	0
Marchf9	55.000000	110	0	0
Kcnmb3	55.000000	0	110	0
Gm2832	55.000000	110	0	0
Cops7a	55.000000	0	110	0
Snx8	54.500000	109	0	0
Pex12	54.500000	0	109	0
Mon1a	54.500000	0	109	0
Cwc22	54.500000	0	109	0
Arhgap11a	54.500000	109	0	0
Ap2b1	54.500000	0	109	0
Rnf185	54.000000	0	108	0
Phf11d	54.000000	108	0	0
Heatr6	54.000000	0	108	0
Gpr55	54.000000	108	0	0
Tomm22	53.500000	0	107	0
Rac2	53.500000	0	107	0
Ccdc153	53.000000	106	0	0
Cbl	53.000000	106	0	0
Ago3	53.000000	0	106	0
Zdhhc9	52.500000	105	0	0
Sh2d7	52.500000	105	0	0
Rbm25	52.500000	0	105	0
Nckipsd	52.500000	105	0	0
Ino80	52.500000	0	105	0
Il13	52.500000	105	0	0
H2-Oa	52.500000	105	0	0
Gm2a	52.500000	105	0	0
Eloc	52.500000	0	105	0
Celsr3	52.500000	105	0	0
Vamp4	52.000000	0	104	0
Pwp1	52.000000	104	0	0
Ift52	52.000000	0	104	0
Ifit1bl1	52.000000	104	0	0
Cuedc2	52.000000	0	104	0
Copb2	52.000000	0	104	0
Tmem234	51.500000	0	103	0
Tk2	51.500000	103	0	0
Sbp	51.500000	0	103	0
Palb2	51.500000	0	103	0
Mbnl1	51.500000	0	103	0
Extl3	51.500000	103	0	0
Eif3i	51.500000	0	103	0
Dctn5	51.500000	0	103	0
Cklf	51.500000	103	0	0
Atp5l	51.500000	0	103	0
Gm5798	51.000000	102	0	0
Fus	51.000000	0	102	0
Rassf5	50.500000	0	101	0
Pole3	50.500000	0	101	0
Mrpl48	50.500000	0	101	0
Alad	50.500000	0	101	0
Relch	50.000000	100	0	0
Pign	50.000000	100	0	0
Map11	50.000000	0	100	0
Hcn3	50.000000	100	0	0
Havcr1	50.000000	100	0	0
Cct8	50.000000	0	100	0
Lyrm2	49.500000	0	99	0
Lcp1	49.500000	99	0	0
Tmx1	49.000000	0	98	0
Rara	49.000000	0	98	0
Napg	49.000000	0	98	0
Hgs	49.000000	0	98	0
Bsdc1	49.000000	0	98	0
Arl16	49.000000	0	98	0
Rtn4	48.500000	0	97	0
Pgls	48.500000	0	97	0
Niban3	48.500000	0	97	0
Commd1	48.500000	0	97	0
Tnfsf9	48.000000	96	0	0
Spout1	48.000000	0	96	0
Slc16a14	48.000000	96	0	0
Serpine1	48.000000	96	0	0
Ppp4r3b	48.000000	0	96	0
Mpdu1	48.000000	96	0	0
Kifc1	48.000000	96	0	0
Jaml	48.000000	96	0	0
Ggta1	48.000000	96	0	0
Cpt1a	48.000000	96	0	0
Cox4i2	48.000000	96	0	0
Clpp	48.000000	96	0	0
Clgn	48.000000	96	0	0
Cenpf	48.000000	96	0	0
Upk2	47.500000	95	0	0
Rpl27	47.500000	0	95	0
Hacd3	47.500000	95	0	0
Zfp719	47.000000	0	94	0
Purb	47.000000	94	0	0
Dhrs11	47.000000	0	94	0
Casc3	47.000000	0	94	0
9030025P20Rik	47.000000	0	94	0
Nek11	46.500000	0	93	0
Nabp1	46.500000	93	0	0
Lars2	46.500000	0	93	0
Hmox1	46.500000	93	0	0
Cisd3	46.500000	93	0	0
Aste1	46.500000	0	93	0
Acss1	46.500000	93	0	0
2700062C07Rik	46.500000	0	93	0
Usp5	46.000000	0	92	0
Tasor2	46.000000	0	92	0
Malt1	46.000000	0	92	0
Dgkd	46.000000	92	0	0
Cdca3	46.000000	0	92	0
Znhit6	45.500000	0	91	0
Ubn2	45.500000	0	91	0
Tbpl1	45.500000	0	91	0
Supt5	45.500000	0	91	0
Msra	45.500000	0	91	0
Amz2	45.500000	0	91	0
Utp15	45.000000	0	90	0
Tmem104	45.000000	0	90	0
Rab5a	45.000000	0	90	0
Nat9	45.000000	0	90	0
Hspa4	45.000000	0	90	0
Ankra2	45.000000	0	90	0
Zfpl1	44.500000	0	89	0
Zfp821	44.500000	0	89	0
Trnt1	44.500000	0	89	0
Tmem262	44.500000	0	89	0
Tax1bp1	44.500000	0	89	0
Map3k8	44.500000	0	89	0
Ist1	44.500000	0	89	0
Cdca5	44.500000	0	89	0
St8sia1	44.000000	88	0	0
Slc66a1	44.000000	88	0	0
Ly6k	44.000000	0	88	0
H2-M3	44.000000	88	0	0
Chrna3	44.000000	88	0	0
Asph	44.000000	88	0	0
Ano6	44.000000	0	88	0
Akr7a5	44.000000	88	0	0
Tbc1d10a	43.500000	0	87	0
Rpia	43.500000	87	0	0
Immt	43.500000	0	87	0
Usp8	43.000000	0	86	0
Serinc5	43.000000	0	86	0
Gsto1	43.000000	0	86	0
Drg1	43.000000	0	86	0
Commd2	43.000000	0	86	0
Slc35e4	42.500000	0	85	0
Sec61g	42.500000	0	85	0
Pgap3	42.500000	0	85	0
Paip2	42.500000	0	85	0
Bmf	42.500000	85	0	0
Ate1	42.500000	0	85	0
Zcchc7	42.000000	0	84	0
Rsl24d1	42.000000	0	84	0
Rps3a1	42.000000	0	84	0
Rps3	42.000000	0	84	0
Hdac7	42.000000	84	0	0
Cox16	42.000000	0	84	0
Thegl	41.500000	0	83	0
Sec14l2	41.500000	83	0	0
Tmem94	41.000000	0	82	0
Tmem267	41.000000	0	82	0
Mto1	41.000000	0	82	0
Irf9	41.000000	0	82	0
Gar1	41.000000	0	82	0
Cgas	41.000000	0	82	0
Wdr27	40.500000	0	81	0
Pigh	40.500000	0	81	0
Nup214	40.500000	0	81	0
Get1	40.500000	0	81	0
Gcc2	40.500000	0	81	0
Cacng1	40.500000	81	0	0
1600012H06Rik	40.500000	0	81	0
Tbc1d10c	40.000000	0	80	0
Sh2b2	40.000000	80	0	0
Ppp1r12c	40.000000	80	0	0
Ppp1ca	40.000000	0	80	0
Nsun6	40.000000	0	80	0
Gpatch2l	40.000000	80	0	0
Gm7954	40.000000	80	0	0
Endov	40.000000	0	80	0
Dhx8	40.000000	0	80	0
Coro1b	40.000000	0	80	0
Bcor	40.000000	80	0	0
Bank1	40.000000	0	80	0
Arl5b	40.000000	0	80	0
Abcc8	40.000000	80	0	0
A530064D06Rik	40.000000	80	0	0
Timeless	39.500000	79	0	0
Taco1	39.500000	0	79	0
Rps19bp1	39.500000	0	79	0
Kif2c	39.500000	0	79	0
Arl6ip1	39.500000	0	79	0
Sco1	39.000000	0	78	0
Ptcd2	39.000000	0	78	0
Psmg4	39.000000	0	78	0
Mrps27	39.000000	0	78	0
Cfap36	39.000000	0	78	0
Adprm	39.000000	0	78	0
Mrps23	38.500000	0	77	0
Gch1	38.500000	77	0	0
Zc3hav1	38.000000	0	76	0
Krr1	38.000000	0	76	0
Dnaja1	38.000000	0	76	0
Clns1a	38.000000	0	76	0
Rack1	37.500000	0	75	0
Kansl1	37.500000	0	75	0
Dnajc1	37.500000	0	75	0
Vps26c	37.000000	0	74	0
Tesk1	37.000000	0	74	0
Phf1	37.000000	0	74	0
Cep112	37.000000	0	74	0
Psmf1	36.500000	0	73	0
Map3k3	36.500000	0	73	0
Manbal	36.500000	0	73	0
Dusp22	36.500000	0	73	0
Timmdc1	36.000000	0	72	0
Rptor	36.000000	0	72	0
Rbm6	36.000000	0	72	0
Nup205	36.000000	0	72	0
Myl4	36.000000	0	72	0
Crebrf	36.000000	0	72	0
Cmtr2	36.000000	0	72	0
Cfap97	36.000000	0	72	0
Cdc27	36.000000	0	72	0
Zfp830	35.500000	0	71	0
Dynlt1a	35.500000	0	71	0
Cct6b	35.500000	0	71	0
Pik3ap1	35.000000	0	70	0
Mis12	35.000000	0	70	0
Gmps	35.000000	0	70	0
Emp3	35.000000	70	0	0
Derl2	35.000000	0	70	0
Cdk11b	35.000000	0	70	0
Ccdc114	35.000000	70	0	0
Zscan30	34.500000	0	69	0
Znrf4	34.500000	0	69	0
Zfp35	34.500000	0	69	0
Zfp707	34.000000	0	68	0
Ddx56	34.000000	0	68	0
Ccna2	34.000000	0	68	0
Sap130	33.000000	0	66	0
Rbm22	33.000000	0	66	0
Lamtor5	33.000000	0	66	0
Vti1b	32.500000	0	65	0
1700066B19Rik	32.000000	0	64	0
Coro2a	31.500000	0	63	0
Them4	31.000000	0	62	0
Eif1	30.500000	0	61	0
Zfp148	30.000000	0	60	0
Trim37	30.000000	0	60	0
Cc2d1a	29.000000	0	58	0
4930432K21Rik	29.000000	0	58	0
Usp3	28.500000	0	57	0
Rgl2	28.500000	57	0	0
Cd80	0.000000	0	0	451
Cd86	0.000000	0	0	414
Klra17	0.000000	0	0	401
Id2	0.000000	0	0	401
Spi1	0.000000	0	0	283
