Target_genes	Spib|Average	SRX556710|WEHI-279	SRX556711|WEHI-279	STRING
Ctss	273.000000	422	124	0
Clptm1	272.500000	357	188	0
Ccng2	272.500000	387	158	0
Lrrk1	272.000000	348	196	0
Tlr6	271.500000	392	151	0
Btla	271.500000	444	99	0
Hdac10	270.000000	374	166	0
Trim7	269.500000	433	106	0
Itpr2	269.500000	373	166	0
Vmn1r2	265.000000	262	268	0
Ankub1	265.000000	367	163	0
Slc15a4	264.500000	433	96	0
Pym1	264.500000	355	174	0
Dgka	264.500000	355	174	0
Cdk9	264.500000	529	0	0
Pltp	263.500000	408	119	0
Cd300lf	263.000000	303	223	0
Pop7	262.500000	323	202	0
Fcgr2b	262.500000	436	89	0
H2-DMb2	262.000000	250	274	0
Cd36	262.000000	524	0	0
Myh9	260.000000	259	261	0
Slc30a9	259.500000	440	79	0
Irgm2	259.000000	280	238	0
Grap2	258.500000	355	162	0
Lat2	258.000000	222	294	0
Cnp	254.000000	312	196	0
Zfp296	252.000000	205	299	0
Rfx4	252.000000	504	0	0
Gemin7	252.000000	205	299	0
Slc16a6	250.000000	325	175	0
Map3k1	250.000000	408	92	0
Icam1	250.000000	320	180	0
Arsg	250.000000	325	175	0
Sirpa	249.500000	407	92	0
Cd52	249.500000	390	109	0
Rbm43	249.000000	198	300	0
Dennd4b	249.000000	245	253	0
Ssbp1	248.000000	411	85	0
Lbr	248.000000	306	190	0
Prr5	247.500000	264	231	0
Ikbkb	246.500000	258	235	0
Tmem116	245.000000	327	163	0
Erp29	245.000000	327	163	0
Il4ra	244.500000	489	0	0
Rapgef1	243.500000	327	160	0
Slc39a10	243.000000	404	82	0
Abhd6	242.500000	288	197	0
Cln8	238.000000	476	0	0
Gm4981	237.500000	258	217	0
Dnajb9	236.000000	371	101	0
Ercc6l	235.000000	184	286	0
Limd1	233.000000	279	187	0
Polm	231.500000	340	123	0
Pld4	231.500000	292	171	0
Phf14	231.000000	256	206	0
Vav1	230.000000	174	286	0
Tor1aip2	230.000000	213	247	0
Tor1aip1	230.000000	213	247	0
Gm19774	230.000000	460	0	0
Slc6a16	229.500000	232	227	0
Cd37	229.500000	232	227	0
Il16	229.000000	292	166	0
Cyth1	228.500000	253	204	0
Mcpt9	227.000000	294	160	0
Cbfa2t3	226.500000	197	256	0
Rab25	226.000000	452	0	0
Cerk	225.500000	348	103	0
Birc3	225.500000	386	65	0
Tcp1	224.500000	343	106	0
Cbln3	222.500000	329	116	0
Slc45a4	222.000000	444	0	0
Rictor	222.000000	362	82	0
Parvb	221.000000	239	203	0
Fkbpl	220.000000	440	0	0
Clec2g	220.000000	440	0	0
Atf6b	220.000000	440	0	0
Neurod4	219.500000	298	141	0
Slfn5	219.000000	327	111	0
Gm4307	219.000000	155	283	0
Gm4305	219.000000	155	283	0
Gm4303	219.000000	155	283	0
Cldn7	218.500000	302	135	0
Dock2	218.000000	263	173	0
Ankrd45	217.500000	250	185	0
Cd300ld3	217.000000	434	0	0
Nlrc4	216.000000	309	123	0
D8Ertd738e	216.000000	315	117	0
Tuba4a	215.500000	312	119	0
Epn1	215.500000	288	143	0
Rabggta	215.000000	305	125	0
Scrt2	214.000000	228	200	0
Ptprj	214.000000	315	113	0
Plek	213.000000	426	0	0
Pde4a	212.500000	425	0	0
Bcl9l	211.000000	422	0	0
Tatdn1	208.500000	273	144	0
Ndufb9	208.500000	273	144	0
Napsa	208.000000	271	145	0
Gfi1b	205.000000	232	178	0
Trim56	204.500000	232	177	0
Alg9	204.500000	409	0	0
Irf2	204.000000	147	261	0
Chil4	203.500000	407	0	0
Pgghg	203.000000	219	187	0
