Target_genes	Mybl1|Average	SRX10052064|Testis	SRX1764251|Testis	SRX1764252|Testis	SRX244353|Testis	STRING
Rilpl2	849.500000	2728	0	242	428	0
Txlng	848.000000	2650	0	132	610	0
Defb15	848.000000	1768	201	195	1228	0
Cep83	847.500000	2409	0	174	807	0
Sprtn	847.000000	2367	118	246	657	0
Exoc8	847.000000	2367	118	246	657	0
1700010I14Rik	845.500000	2545	0	155	682	0
Stk11	841.250000	2421	79	251	614	0
Pcnx	841.250000	2506	0	186	673	0
Opa3	837.750000	2148	0	285	918	0
Asxl2	837.750000	2069	112	287	883	0
Hccs	834.000000	2622	0	257	457	0
Gm15246	834.000000	2622	0	257	457	0
Brf1	831.750000	1859	0	172	1296	0
Cmtm2b	831.000000	2703	0	0	621	0
Lrrc61	830.500000	2986	0	0	336	0
Tram1	827.250000	2083	129	311	786	0
Suco	826.750000	2636	0	73	598	0
Dnah8	825.250000	2052	0	133	1116	0
Nup62	823.750000	2000	144	332	819	0
Il4i1b	823.750000	2000	144	332	819	0
Atf5	823.750000	2000	144	332	819	0
Slxl1	822.750000	2809	0	0	482	0
Stt3b	822.000000	2463	0	219	606	0
Stambp	820.500000	2451	0	240	591	0
Ermard	817.250000	1814	0	199	1256	0
Gpn3	813.750000	2565	0	184	506	0
Fam216a	813.750000	2565	0	184	506	0
Rsrp1	813.500000	2313	0	174	767	0
Arhgap19	812.000000	1864	149	236	999	0
Dnajb1	810.250000	2118	0	185	938	0
Tdrd12	806.750000	2406	161	152	508	0
Gins1	806.750000	2346	0	247	634	0
Tcp1	806.000000	2552	0	141	531	0
Mrpl18	806.000000	2552	0	141	531	0
Hnrnpm	801.750000	2518	0	210	479	0
Cdc42ep3	801.750000	1533	0	161	1513	0
Hnrnpf	801.500000	1716	186	271	1033	0
Foxd4	801.500000	2080	151	241	734	0
Zbtb40	797.750000	508	233	481	1969	0
Slc25a21	797.000000	2607	0	167	414	0
Nasp	797.000000	2219	177	317	475	0
Mindy4	797.000000	2328	0	143	717	0
Cpeb2	795.500000	2116	0	207	859	0
Rmnd1	795.000000	1213	230	256	1481	0
Armt1	795.000000	1213	230	256	1481	0
Usp32	794.500000	2189	69	245	675	0
Fcgr3	794.250000	2155	0	0	1022	0
Taf7l2	793.250000	2415	0	182	576	0
Zgrf1	792.250000	2651	0	230	288	0
Larp7	792.250000	2651	0	230	288	0
Cox20	789.000000	1844	122	260	930	0
Cstf1	788.250000	2122	136	142	753	0
Aurka	788.250000	2122	136	142	753	0
Supt6	788.000000	2228	0	352	572	0
Sdf2	788.000000	2228	0	352	572	0
N6amt1	787.500000	2688	0	142	320	0
Eid3	786.250000	2199	0	252	694	0
Spcs1	785.500000	2707	0	0	435	0
Glt8d1	785.500000	2707	0	0	435	0
Mageb3	784.500000	2630	0	102	406	0
Ctdspl2	784.500000	2630	0	102	406	0
Gm14596	784.000000	2648	0	107	381	0
Ccdc192	783.250000	2026	151	274	682	0
Trim50	782.750000	2591	0	104	436	0
Fkbp6	782.750000	2591	0	104	436	0
Nutm2	781.000000	2297	0	137	690	0
Cep43	780.500000	799	0	268	2055	0
Cic	779.250000	2371	0	174	572	0
Khdrbs1	778.500000	2366	84	157	507	0
Zfp330	777.500000	2538	0	127	445	0
Cyp46a1	777.000000	2268	141	191	508	0
Tmem106c	776.750000	2090	0	217	800	0
Cep20	776.500000	2516	0	150	440	0
Ndufaf3	776.000000	2005	0	227	872	0
Dalrd3	776.000000	2005	0	227	872	0
Ect2	775.750000	1914	0	269	920	0
1700006A11Rik	773.750000	2014	0	254	827	0
Kdm5b	769.750000	2010	71	240	758	0
Ier5	768.750000	2677	0	161	237	0
Phf6	768.500000	2337	0	147	590	0
Zmym6	768.000000	2546	0	0	526	0
Setx	766.000000	1852	0	284	928	0
Gfpt1	765.500000	1770	0	281	1011	0
Sycp1	764.500000	2199	0	139	720	0
Pgp	764.000000	2454	0	137	465	0
Bricd5	764.000000	2454	0	137	465	0
Asf1b	763.250000	1901	0	200	952	0
Abca15	762.750000	2052	167	231	601	0
Edaradd	762.250000	2442	0	200	407	0
Cdca8	762.000000	1879	84	253	832	0
9930104L06Rik	762.000000	1879	84	253	832	0
Ptpn2	760.500000	2463	0	0	579	0
Rad50	759.750000	2639	0	106	294	0
Marchf11	759.250000	2463	0	178	396	0
Hps5	759.000000	2358	0	128	550	0
Gtf2h1	759.000000	2358	0	128	550	0
Rbm31y	758.500000	1739	0	0	1295	0
Gm21379	758.500000	1739	0	0	1295	0
Nek2	758.250000	2522	0	131	380	0
Tmed5	755.750000	1979	0	228	816	0
Meig1	755.750000	2469	0	159	395	0
Dclre1c	755.750000	2469	0	159	395	0
Ccdc18	755.750000	1979	0	228	816	0
Caprin1	755.250000	1159	0	193	1669	0
Tagap1	755.000000	829	0	227	1964	0
Arhgef37	753.500000	2449	0	0	565	0
Crem	752.500000	2306	95	255	354	0
Alms1	752.500000	2119	0	95	796	0
Ankrd36	752.250000	2468	0	211	330	0
Setd2	752.000000	732	117	211	1948	0
Setd3	751.500000	2563	0	108	335	0
G3bp1	751.500000	1151	0	155	1700	0
Ccnk	751.500000	2563	0	108	335	0
Nedd8	751.000000	2302	0	165	537	0
Gmpr2	751.000000	2302	0	165	537	0
Usp5	750.000000	2301	0	203	496	0
Cdca3	750.000000	2301	0	203	496	0
Snx1	749.250000	2098	0	174	725	0
Ciao2a	749.250000	2098	0	174	725	0
Sptssa	748.000000	2159	0	182	651	0
Csl	747.750000	2564	0	0	427	0
Catspere2	747.750000	2082	0	127	782	0
Tktl2	745.500000	2126	0	174	682	0
4930595M18Rik	745.500000	2357	79	392	154	0
Ubb	743.750000	1758	125	215	877	0
Clgn	743.000000	1637	82	198	1055	0
Map4	742.750000	1957	0	268	746	0
Ptpa	742.250000	1536	0	238	1195	0
Plekha3	742.250000	2289	0	106	574	0
Fkbp7	742.250000	2289	0	106	574	0
Crat	742.250000	1536	0	238	1195	0
Jmjd1c	742.000000	2150	0	158	660	0
Dmrtb1	741.250000	2171	0	150	644	0
Pla2g6	740.750000	2524	0	132	307	0
Golga1	740.500000	1752	0	167	1043	0
Ldhc	739.500000	2313	0	275	370	0
Coa3	739.500000	2468	0	168	322	0
Cntd1	739.500000	2468	0	168	322	0
Tmem209	738.750000	2611	0	0	344	0
Ssmem1	738.750000	2611	0	0	344	0
Bex6	737.250000	2199	0	202	548	0
Pbx4	737.000000	2301	0	113	534	0
Msl2	736.500000	2046	0	214	686	0
Ddx19b	736.000000	1958	0	213	773	0
Aars	736.000000	1958	0	213	773	0
Rnf212b	735.500000	2518	0	102	322	0
Tuba1b	734.750000	2590	0	100	249	0
Lrat	734.250000	2418	0	226	293	0
Pfkp	733.250000	2230	0	0	703	0
Rnf181	731.500000	2271	0	154	501	0
Crym	731.250000	2352	0	180	393	0
Abca14	731.250000	2352	0	180	393	0
Knl1	727.750000	2379	0	102	430	0
Nup205	726.750000	1226	103	214	1364	0
Arf4	725.500000	2612	0	0	290	0
Atf7ip	725.250000	1892	0	202	807	0
Egr4	723.750000	2118	0	124	653	0
Efhd1	723.500000	2091	0	256	547	0
Gm52429	723.250000	2283	0	176	434	0
Dnajb9	723.000000	2384	0	147	361	0
Catspere1	722.500000	2173	0	0	717	0
Adam32	722.500000	2236	0	0	654	0
Hoatz	722.000000	1743	0	0	1145	0
Scrt1	721.250000	1932	0	197	756	0
Rimklb	720.750000	1789	0	186	908	0
Meiob	720.250000	2346	0	193	342	0
Adarb1	719.250000	2129	0	160	588	0
Hsp90aa1	717.750000	1405	0	276	1190	0
Spin2d	717.500000	1744	0	138	988	0
Spag6l	715.500000	2638	0	0	224	0
Tex47	714.750000	1952	0	316	591	0
Shroom3	714.750000	2060	0	111	688	0
Hsf5	713.250000	1135	149	330	1239	0
Tmem186	712.000000	2251	0	152	445	0
Pmm2	712.000000	2251	0	152	445	0
Cfap97	711.750000	2455	0	0	392	0
Ercc6	711.250000	2419	0	0	426	0
Troap	709.000000	2489	0	0	347	0
Srsf3	709.000000	1873	0	228	735	0
Ado	707.750000	1594	0	164	1073	0
Tuba3a	704.750000	2362	0	0	457	0
Pom121l2	704.500000	1832	0	311	675	0
Eif5a	703.250000	924	306	399	1184	0
Asrgl1	702.750000	2064	0	121	626	0
Vamp9	702.000000	2357	0	0	451	0
Dnaaf6	701.000000	2042	152	151	459	0
Dcaf11	700.750000	2358	0	0	445	0
Tspan13	700.000000	2252	0	113	435	0
Usp44	698.500000	1732	159	252	651	0
1700080O16Rik	698.250000	2299	0	162	332	0
Pomt1	697.250000	2160	0	0	629	0
Morf4l1	697.250000	1688	114	204	783	0
Trim59	696.250000	888	0	104	1793	0
Nr2c2	692.500000	1614	0	339	817	0
Espl1	691.750000	2280	0	169	318	0
Mlec	691.000000	1740	172	149	703	0
Calm3	689.000000	1070	229	191	1266	0
Dgke	687.750000	1923	0	117	711	0
Slc10a5	687.000000	2200	0	0	548	0
Impa1	687.000000	2200	0	0	548	0
Pbk	685.750000	2397	0	0	346	0
Acr	685.250000	2441	0	0	300	0
Rfx2	684.000000	1704	0	189	843	401
Nudc	684.000000	1541	0	259	936	0
Galnt7	683.500000	1955	0	170	609	0
Rbm33	681.750000	2225	0	0	502	0
Olfr806	681.500000	2147	0	151	428	0
Mis18bp1	680.500000	1972	0	0	750	0
H2bc1	680.500000	2003	0	186	533	0
H2ac1	680.500000	2003	0	186	533	0
Tmem230	680.250000	1922	0	145	654	0
Tmsb10	679.750000	2229	0	93	397	0
Nabp1	679.750000	2349	0	103	267	0
Pebp4	679.500000	2004	0	318	396	0
Tesmin	679.250000	1795	0	173	749	0
Slc39a6	679.000000	2395	0	0	321	0
Elp2	679.000000	2395	0	0	321	0
Urb2	678.750000	1860	0	233	622	0
Taf5l	678.750000	1860	0	233	622	0
Pom121l12	677.750000	1738	0	186	787	0
Prkn	674.750000	2467	0	0	232	0
Pacrg	674.750000	2467	0	0	232	0
Mroh2b	674.000000	1783	87	152	674	0
Zfy1	672.250000	2304	0	0	385	0
Supt20	672.000000	2111	0	157	420	0
Haus4	671.750000	2250	0	200	237	0
Plaat5	671.500000	1133	221	378	954	0
Slco6d1	671.000000	2305	0	0	379	0
Fbxo30	671.000000	2003	218	140	323	0
Ercc6l	667.250000	1922	0	119	628	0
