Target_genes	E2f1|Average	SRX122390|Dendritic_Cells	SRX122391|Dendritic_Cells	SRX122392|Dendritic_Cells	SRX122393|Dendritic_Cells	SRX2897262|ES_cells	SRX2897263|ES_cells	SRX1334844|Hepatocytes	SRX1120752|MEF	SRX1120755|MEF	STRING
Ipmk	174.111111	0	0	0	0	1002	433	132	0	0	0
Cisd1	174.111111	0	0	0	0	1002	433	132	0	0	0
Bicdl1	174.111111	0	0	0	0	1138	429	0	0	0	0
Fam168b	173.888889	0	0	0	0	871	521	173	0	0	0
Cdc34	173.888889	0	0	0	0	859	494	212	0	0	0
Epn1	173.777778	0	0	0	0	908	656	0	0	0	0
Crebzf	173.333333	0	0	0	0	875	388	297	0	0	0
Atf1	173.222222	0	0	0	0	984	575	0	0	0	0
H3c15	172.333333	0	0	0	0	878	673	0	0	0	0
H3c14	172.333333	0	0	0	0	878	673	0	0	0	0
H2ac19	172.333333	0	0	0	0	878	673	0	0	0	0
H2ac18	172.333333	0	0	0	0	878	673	0	0	0	0
H1f5	172.333333	0	0	0	0	695	460	396	0	0	0
Seh1l	172.222222	0	0	0	0	855	695	0	0	0	0
Atad2	172.111111	0	0	0	0	0	0	1209	340	0	0
Taf6	171.555556	0	0	0	0	0	0	1544	0	0	0
Cnpy4	171.555556	0	0	0	0	0	0	1544	0	0	0
Hsp90aa1	171.444444	0	0	0	0	659	735	149	0	0	0
Tcf15	171.222222	0	0	0	0	721	820	0	0	0	0
Grb2	170.666667	0	0	0	0	546	444	546	0	0	0
Srm	170.444444	0	0	0	0	1097	437	0	0	0	0
Gatad2a	170.333333	0	0	0	0	1088	445	0	0	0	0
Tpt1	169.666667	0	0	0	0	749	778	0	0	0	0
Sorbs1	169.666667	0	0	0	0	147	146	1234	0	0	0
Nfatc2ip	169.333333	0	0	0	0	0	0	1524	0	0	0
Ero1a	169.333333	0	0	0	0	901	623	0	0	0	0
Hexim2	169.222222	0	0	0	0	0	0	1523	0	0	0
Epc1	168.666667	0	0	0	0	830	543	145	0	0	0
E2f3	168.555556	0	0	0	0	380	204	933	0	0	0
Sulf2	168.333333	0	0	0	0	931	584	0	0	0	0
Slc38a2	168.222222	0	0	0	0	814	447	253	0	0	0
BC107364	168.222222	0	0	0	0	728	479	307	0	0	0
Ddx39b	168.111111	0	0	0	0	528	304	478	203	0	0
Srsf1	167.888889	0	0	0	106	0	0	1214	191	0	0
Mybl2	167.555556	0	0	0	0	522	483	503	0	0	0
Hlcs	167.555556	0	0	0	0	630	398	480	0	0	0
Atp2a2	167.555556	0	0	0	0	935	573	0	0	0	0
Tsc22d1	167.333333	0	0	0	0	713	793	0	0	0	0
Qser1	167.111111	0	0	0	0	1046	458	0	0	0	0
Tob1	167.000000	0	0	0	0	958	545	0	0	0	0
Rnf149	166.666667	0	0	0	0	859	641	0	0	0	0
Rpl14	166.333333	0	0	0	0	922	575	0	0	0	0
Tbk1	166.111111	0	0	0	0	516	349	630	0	0	0
Ankrd11	166.000000	0	0	0	0	929	565	0	0	0	0
Mreg	165.777778	0	0	0	0	1011	481	0	0	0	0
Rbpms	165.666667	0	0	0	0	1091	400	0	0	0	0
Nadk2	165.444444	0	0	0	0	347	162	837	143	0	0
H3c10	165.444444	0	0	0	0	631	323	535	0	0	0
Smarca5	164.666667	0	0	0	0	934	548	0	0	0	0
Aff4	164.666667	0	0	0	0	735	747	0	0	0	0
Rbmxl2	164.222222	0	0	0	0	918	560	0	0	0	0
Dcaf1	164.000000	0	0	0	0	234	0	1065	177	0	0
Tex14	163.666667	0	0	0	0	419	217	837	0	0	0
Rps17	163.333333	0	0	0	0	881	589	0	0	0	0
Psip1	163.333333	0	0	0	0	982	488	0	0	0	0
H2bc14	163.222222	0	0	0	0	631	303	535	0	0	0
Etnk1	163.111111	0	0	0	0	987	481	0	0	0	0
Eed	163.111111	0	0	0	0	930	538	0	0	0	0
Dynll2	163.000000	0	0	0	0	935	532	0	0	0	0
D030056L22Rik	162.888889	0	0	0	0	809	657	0	0	0	0
Usp37	162.666667	0	0	0	129	0	0	1211	124	0	0
Cnot9	162.666667	0	0	0	129	0	0	1211	124	0	0
Gcn1	162.444444	0	0	0	0	632	657	173	0	0	0
Egr1	162.333333	0	0	0	0	752	709	0	0	0	0
Srsf4	162.222222	0	0	0	0	251	201	811	197	0	0
Rfx7	162.000000	0	0	0	0	1015	443	0	0	0	0
Cdca7	161.888889	0	0	0	188	0	0	1137	132	0	0
Zbtb44	161.777778	0	0	0	0	799	657	0	0	0	0
Dhx36	161.555556	0	0	0	0	322	208	924	0	0	0
Prkci	161.333333	0	0	0	0	395	382	675	0	0	0
Rbm15b	161.111111	0	0	0	0	810	640	0	0	0	0
Trip4	161.000000	0	0	0	0	0	0	1449	0	0	0
Wdr5	160.111111	0	0	0	0	937	504	0	0	0	0
Lamp1	159.777778	0	0	0	0	1079	359	0	0	0	0
Sall1	159.555556	0	0	0	0	888	548	0	0	0	0
Adam23	159.555556	0	0	0	0	825	611	0	0	0	0
Thap1	158.888889	0	0	0	0	1121	309	0	0	0	0
Dnajc8	158.777778	0	0	0	0	0	0	1286	143	0	0
Atpif1	158.777778	0	0	0	0	0	0	1286	143	0	0
Ltn1	158.333333	0	0	0	0	0	0	1425	0	0	0
Tro	158.111111	0	0	0	0	0	0	1423	0	0	0
Racgap1	157.000000	0	0	0	0	424	330	487	172	0	0
Nfyb	156.555556	0	0	0	0	741	523	145	0	0	0
B230219D22Rik	156.555556	0	0	0	0	736	354	319	0	0	0
Kif20a	156.333333	0	0	0	124	0	0	1283	0	0	0
Ext1	156.333333	0	0	0	0	867	540	0	0	0	0
Brd8	156.333333	0	0	0	124	0	0	1283	0	0	0
Rnf146	155.888889	0	0	0	0	797	606	0	0	0	0
Snu13	155.777778	0	0	0	0	253	210	668	271	0	0
Gmeb2	155.333333	0	0	0	0	891	507	0	0	0	0
Lypla1	154.777778	0	0	0	0	923	470	0	0	0	0
Eapp	154.666667	0	0	0	0	498	239	655	0	0	0
Slc25a40	153.777778	0	0	0	0	820	564	0	0	0	0
Dbf4	153.777778	0	0	0	0	820	564	0	0	0	0
Ccm2	153.555556	0	0	0	0	678	532	172	0	0	0
Zfp384	153.333333	0	0	0	0	943	437	0	0	0	0
Kcmf1	153.000000	0	0	0	0	975	402	0	0	0	0
Hnrnpd	153.000000	0	0	0	0	712	434	231	0	0	0
Cdc25a	153.000000	0	0	0	0	235	146	996	0	0	0
Ski	152.777778	0	0	0	0	777	598	0	0	0	0
Spred1	152.666667	0	0	0	0	926	351	97	0	0	0
Incenp	152.444444	0	0	0	0	0	0	1199	173	0	0
Zfp740	152.333333	0	0	0	0	895	476	0	0	0	0
Csad	152.333333	0	0	0	0	895	476	0	0	0	0
Taf12	151.666667	0	0	0	0	334	314	717	0	0	0
Tead1	151.555556	0	0	0	0	978	386	0	0	0	0
Pbrm1	151.000000	0	0	0	0	795	347	217	0	0	0
Nhlrc2	150.666667	0	0	0	153	190	0	1013	0	0	0
Dclre1a	150.666667	0	0	0	153	190	0	1013	0	0	0
Traf4	150.333333	0	0	0	0	967	386	0	0	0	0
Dnmt3b	150.000000	0	0	0	0	999	351	0	0	0	0
Cmas	149.777778	0	0	0	0	773	285	290	0	0	0
Hs6st1	149.555556	0	0	0	0	884	462	0	0	0	0
Hdgf	149.555556	0	0	0	0	730	331	285	0	0	0
Casp8ap2	149.555556	0	0	0	0	0	0	1123	223	0	0
Usp1	149.444444	0	0	0	0	439	294	612	0	0	0
Nfib	149.222222	0	0	0	0	612	731	0	0	0	0
Coq2	148.888889	0	0	0	0	469	389	482	0	0	0
Rcor2	148.777778	0	0	0	0	864	475	0	0	0	0
Fam162a	148.777778	0	0	0	0	831	508	0	0	0	0
Ccdc58	148.777778	0	0	0	0	831	508	0	0	0	0
Anp32b	148.777778	0	0	0	0	743	596	0	0	0	0
Anp32e	148.666667	0	0	0	0	395	238	705	0	0	0
