Target_genes	Irf5|Average	SRX10652558|CD4+_T_cells	SRX3380962|Dendritic_Cells	SRX3380963|Dendritic_Cells	SRX3380964|Dendritic_Cells	STRING
Zfhx3	220.750000	0	255	314	314	0
Vcl	220.750000	0	316	362	205	0
Rab12	220.750000	0	253	411	219	0
Ldhc	220.750000	0	395	488	0	0
Fscn3	220.750000	0	420	360	103	0
Srp54c	220.500000	0	178	326	378	0
Srp54b	220.500000	0	178	326	378	0
Fth1	220.500000	0	368	314	200	0
Fam117b	220.500000	0	472	302	108	0
Ndufaf7	220.250000	0	343	317	221	0
Ints7	220.250000	0	155	184	542	0
H4c11	220.250000	0	198	329	354	0
Dtl	220.250000	0	155	184	542	0
Cebpz	220.250000	0	343	317	221	0
Med4	220.000000	0	359	521	0	0
Gpr155	220.000000	0	430	274	176	0
Emp3	220.000000	0	177	536	167	0
Ccdc114	220.000000	0	177	536	167	0
Ang6	220.000000	0	424	456	0	0
Zfp936	219.750000	0	418	461	0	0
Grk6	219.750000	0	278	410	191	0
Themis2	219.500000	0	616	262	0	0
Mtmr11	219.500000	0	421	371	86	0
Pik3ap1	219.250000	0	234	534	109	0
Otub1	219.250000	0	382	358	137	0
Eid1	219.250000	0	286	428	163	0
Foxp4	219.000000	0	162	560	154	0
Itpk1	218.750000	0	359	449	67	0
Sult6b1	218.500000	0	382	492	0	0
Rbpms	218.500000	0	319	447	108	0
Ankrd11	218.500000	0	266	390	218	0
Tnfaip2	218.250000	0	476	397	0	0
Msto1	218.250000	0	255	396	222	0
Cks2	218.250000	0	372	310	191	0
Zfp189	218.000000	0	283	392	197	0
Trip12	218.000000	0	196	251	425	0
Stk4	218.000000	0	257	615	0	0
Slc39a7	218.000000	0	286	298	288	0
Rxrb	218.000000	0	286	298	288	0
Mrpl50	218.000000	0	283	392	197	0
Itgb3bp	218.000000	0	259	333	280	0
H2-Ke6	218.000000	0	286	298	288	0
Fbxo36	218.000000	0	196	251	425	0
Eogt	218.000000	0	332	377	163	0
Efcab7	218.000000	0	259	333	280	0
Mtmr2	217.750000	0	167	389	315	0
Vps25	217.500000	0	227	251	392	0
Dennd1b	217.500000	0	377	334	159	0
Ctbp1	217.500000	0	324	271	275	0
Ppm1a	217.250000	0	162	283	424	0
Map3k6	217.250000	0	421	286	162	0
Ifi27l2a	217.250000	0	340	529	0	0
H2-T23	217.250000	0	290	384	195	0
Ubtd2	217.000000	0	163	297	408	0
Tmem116	217.000000	0	401	311	156	0
Sf3b1	217.000000	0	327	340	201	0
Plaat3	217.000000	0	364	504	0	0
Pkib	217.000000	0	420	448	0	0
Mboat1	217.000000	0	352	407	109	0
H2-K1	217.000000	158	264	301	145	0
Erp29	217.000000	0	401	311	156	0
Elmo1	217.000000	0	363	232	273	0
Wdfy2	216.500000	0	426	348	92	0
Spata13	216.500000	0	567	299	0	0
Pwwp2b	216.500000	0	368	276	222	0
Ddx11	216.500000	0	238	234	394	0
Adsl	216.500000	0	232	404	230	0
Mki67	216.250000	0	243	456	166	0
Junb	216.250000	0	441	334	90	0
Tmem184b	216.000000	0	319	370	175	0
Rmdn1	216.000000	0	445	116	303	0
Mfsd12	216.000000	0	462	402	0	0
Zfp882	215.750000	0	400	463	0	0
Trap1	215.750000	0	329	347	187	0
Tmem63a	215.750000	0	169	185	509	0
Sac3d1	215.750000	0	166	327	370	0
Cd274	215.750000	0	454	409	0	0
Klhl6	215.500000	0	307	374	181	0
Fgl2	215.500000	0	339	268	255	0
Dock10	215.500000	0	499	363	0	0
Kremen2	215.250000	0	527	334	0	0
Anxa5	215.250000	0	357	363	141	0
1810062G17Rik	215.250000	0	357	363	141	0
Sec61a1	215.000000	0	552	166	142	0
Rnf38	215.000000	0	395	340	125	0
Rgs5	215.000000	0	328	532	0	0
Tor1aip2	214.750000	0	262	263	334	0
Tor1aip1	214.750000	0	262	263	334	0
Arid3b	214.500000	0	370	361	127	0
Zc3h10	214.250000	341	187	175	154	0
Slc26a6	214.250000	0	420	332	105	0
Rpl41	214.250000	341	187	175	154	0
Fam43a	214.250000	0	491	366	0	0
Entpd1	214.250000	0	379	478	0	0
Zfp445	214.000000	0	296	346	214	0
Fus	214.000000	0	284	394	178	0
Cspp1	214.000000	0	280	324	252	0
Copg2	214.000000	0	449	407	0	0
1810055G02Rik	214.000000	0	344	247	265	0
Dok2	213.750000	0	495	360	0	0
Fibp	213.500000	0	375	383	96	0
Ccdc85b	213.500000	0	375	383	96	0
Tmem79	213.250000	0	411	442	0	0
Smg5	213.250000	0	411	442	0	0
Gcsam	213.250000	0	401	452	0	0
Nr1d1	213.000000	0	480	372	0	0
Zfp607b	212.750000	162	197	333	159	0
Tnfaip8l1	212.250000	0	337	422	90	0
Ctss	212.250000	0	446	403	0	0
Cd86	212.250000	0	283	416	150	0
Birc6	212.250000	0	180	200	469	0
Sh3bp2	212.000000	0	312	418	118	0
Pus3	212.000000	0	368	480	0	0
Ddx25	212.000000	0	368	480	0	0
Cdkl4	212.000000	0	352	362	134	0
Lypla1	211.750000	0	256	191	400	0
Lmtk2	211.750000	0	325	522	0	0
Churc1	211.750000	0	261	311	275	0
Tor1a	211.500000	0	377	469	0	0
Hsdl2	211.500000	0	316	334	196	0
Myo6	211.250000	0	352	345	148	0
Exoc3l4	211.250000	0	314	531	0	0
Srrm2	210.750000	164	277	226	176	0
Stim1	210.500000	0	359	378	105	0
Psma2	210.500000	0	174	266	402	0
Mrpl32	210.500000	0	174	266	402	0
Wars2	210.000000	0	282	353	205	0
Pou2f2	210.000000	112	485	243	0	0
Nox1	210.000000	0	384	456	0	0
Kmt2e	210.000000	0	363	212	265	0
Hrc	210.000000	0	595	149	96	0
Dnase2a	210.000000	0	256	242	342	0
Tsc22d4	209.750000	0	323	329	187	0
Serpinb12	209.750000	0	377	462	0	0
Nyap1	209.750000	0	323	329	187	0
Ccl3	209.750000	0	620	219	0	0
Slc25a24	209.500000	0	342	329	167	0
Rpusd4	209.500000	0	489	349	0	0
Nras	209.500000	0	295	322	221	0
Hpcal1	209.500000	0	480	258	100	0
Fam118b	209.500000	0	489	349	0	0
Arf3	209.500000	0	354	401	83	0
Tacc1	209.250000	0	239	254	344	0
Foxf1	209.250000	0	227	308	302	0
Shoc2	208.500000	0	208	329	297	0
Pla2g4d	208.500000	0	342	492	0	0
Ifngr2	208.500000	0	241	435	158	0
Gm45337	208.500000	0	288	279	267	0
Bbip1	208.500000	0	208	329	297	0
Srebf1	208.250000	0	344	275	214	0
Snx30	208.000000	0	449	383	0	0
Dcaf11	208.000000	0	419	413	0	0
Vta1	207.750000	0	182	355	294	0
Sh2d6	207.750000	0	345	486	0	0
Gna12	207.750000	0	441	390	0	0
Ilrun	207.500000	0	155	478	197	0
Gpn3	207.500000	0	273	358	199	0
Fam216a	207.500000	0	273	358	199	0
Cct2	207.500000	0	233	210	387	0
Zmiz2	207.250000	0	447	382	0	0
Zfp94	207.250000	0	242	302	285	0
Ptger4	207.250000	0	177	245	407	0
Sart1	207.000000	0	242	380	206	0
Mab21l4	207.000000	0	355	473	0	0
Klre1	207.000000	0	375	453	0	0
Ddx60	207.000000	0	219	408	201	0
Crocc2	207.000000	0	355	473	0	0
Slc37a4	206.750000	0	320	370	137	0
H2bc21	206.750000	0	213	175	439	0
H2ac21	206.750000	0	213	175	439	0
H2ac20	206.750000	0	213	175	439	0
Ccni	206.500000	0	249	245	332	0
2010109A12Rik	206.500000	0	249	245	332	0
Prpf18	206.250000	0	323	313	189	0
Mterf1b	206.250000	0	235	174	416	0
Mrpl11	206.250000	0	252	312	261	0
Zhx2	206.000000	0	484	340	0	0
Ywhag	206.000000	0	251	371	202	0
Rpl22l1	206.000000	0	275	212	337	0
Eppk1	206.000000	0	221	293	310	0
Wipf2	205.750000	0	236	190	397	0
Tgfb3	205.750000	0	296	205	322	0
Siah2	205.750000	0	277	233	313	0
Nrd1	205.750000	0	296	242	285	0
Ift43	205.750000	0	296	205	322	0
Ddx55	205.750000	0	328	168	327	0
Vps41	205.500000	0	285	306	231	0
Tgfbr1	205.500000	0	233	239	350	0
Ccdc80	205.500000	0	421	401	0	0
Ang5	205.500000	0	428	394	0	0
Ang3	205.500000	0	428	394	0	0
Shroom3	205.250000	0	478	343	0	0
Rpgrip1l	205.250000	0	232	263	326	0
Fto	205.250000	0	232	263	326	0
Tti2	205.000000	0	266	349	205	0
Tap1	205.000000	0	291	359	170	0
Psmb9	205.000000	0	291	359	170	0
Lrif1	205.000000	0	357	275	188	0
Atp13a3	205.000000	0	358	334	128	0
Xrcc6	204.750000	0	238	299	282	0
Sulf2	204.750000	0	385	278	156	0
Parp8	204.750000	0	343	326	150	0
Klhl18	204.750000	0	253	328	238	0
Kif9	204.750000	0	253	328	238	0
Desi1	204.750000	0	238	299	282	0
Zfp719	204.500000	0	296	455	67	0
Dzip1	204.500000	0	345	473	0	0
Ankub1	204.500000	0	431	387	0	0
Rilpl1	204.250000	0	307	330	180	0
Mreg	204.250000	0	295	344	178	0
Chit1	204.250000	0	485	332	0	0
Zfp959	204.000000	0	242	184	390	0
Stn1	204.000000	0	481	335	0	0
Rpl11	204.000000	0	369	447	0	0
Med6	204.000000	0	351	378	87	0
Itgal	204.000000	0	366	329	121	0
H2-Eb1	204.000000	0	439	377	0	0
1700067K01Rik	204.000000	0	351	332	133	0
Rhobtb1	203.750000	0	364	289	162	0
Ndufa9	203.750000	0	257	397	161	0
Ctdsp1	203.750000	0	241	379	195	0
Chsy3	203.750000	0	313	331	171	0
Akap3	203.750000	0	257	397	161	0
A930033H14Rik	203.750000	0	364	289	162	0
Srp72	203.500000	0	375	297	142	0
Poli	203.500000	0	260	429	125	0
Gbp5	203.500000	0	233	581	0	0
Eed	203.500000	0	278	306	230	0
Dnajb6	203.500000	137	264	243	170	0
Myo1h	203.250000	0	440	294	79	0
Gtf3c4	203.250000	0	283	249	281	0
Ddx31	203.250000	0	283	249	281	0
Gyg	202.750000	0	263	280	268	0
Atad1	202.750000	0	269	344	198	0
Slc8a2	202.500000	0	365	260	185	0
Jmjd1c	202.500000	0	393	417	0	0
Grasp	202.500000	0	447	363	0	0
Vcan	202.250000	0	300	307	202	0
Rassf4	202.250000	0	439	370	0	0
Mapk1ip1l	202.250000	0	276	352	181	0
Clta	202.250000	0	207	230	372	0
Zcwpw2	202.000000	0	179	220	409	0
Trim25	202.000000	0	276	336	196	0
Pacc1	202.000000	0	304	373	131	0
Lmna	202.000000	0	287	402	119	0
Gstp3	202.000000	0	483	325	0	0
Golga7	202.000000	0	307	321	180	0
Cradd	202.000000	0	211	458	139	0
Azi2	202.000000	0	179	220	409	0
Atp8a1	202.000000	0	318	360	130	0
Zfp319	201.500000	0	270	355	181	0
Usb1	201.500000	0	270	355	181	0
Tmem170b	201.500000	0	250	321	235	0
Pax6	201.500000	0	384	245	177	0
Hmox2	201.500000	0	399	296	111	0
Cep72	201.500000	0	232	265	309	0
Ate1	201.500000	0	354	311	141	0
Ralb	201.250000	0	250	341	214	0
Kat6a	201.250000	0	332	344	129	0
Fyco1	201.000000	0	237	338	229	0
Tnfsf10	200.750000	0	322	349	132	0
Tcea1	200.750000	0	265	345	193	0
Olfr976	200.750000	0	363	440	0	0
Ninj1	200.750000	0	332	347	124	0
H2-DMa	200.500000	77	280	347	98	0
Bst2	200.500000	0	233	348	221	0
Brd2	200.500000	77	280	347	98	0
Enpep	200.250000	0	558	243	0	0
Zdhhc14	199.750000	0	352	316	131	0
Tlr5	199.750000	0	397	304	98	0
Leprotl1	199.750000	0	314	287	198	0
Gsto2	199.750000	0	320	286	193	0
Gar1	199.750000	0	281	287	231	0
D8Ertd738e	199.750000	0	179	310	310	0
Cyp46a1	199.750000	0	241	245	313	0
Gpr141b	199.500000	0	368	430	0	0
Cbarp	199.500000	0	322	369	107	0
Atp5d	199.500000	0	322	369	107	0
Tenm2	199.250000	0	365	432	0	0
Psrc1	199.250000	0	405	392	0	0
Net1	199.250000	0	222	191	384	0
Espn	199.250000	0	258	539	0	0
Zkscan3	199.000000	0	141	201	454	0
St8sia4	199.000000	0	253	396	147	0
Mrps18c	199.000000	139	128	202	327	0
Helq	199.000000	139	128	202	327	0
Tgtp1	198.750000	0	178	464	153	0
Trim34a	198.500000	0	273	334	187	0
Ep400	198.500000	0	250	248	296	0
Dimt1	198.250000	0	204	272	317	0
Nfkbil1	198.000000	0	361	257	174	0
Atp6v1g2	198.000000	0	361	257	174	0
Slc25a17	197.750000	0	377	270	144	0
Epsti1	197.750000	0	239	277	275	0
Psmd7	197.500000	0	199	164	427	0
Phf23	197.500000	0	478	312	0	0
Nfkbiz	197.500000	0	319	285	186	0
L3mbtl2	197.500000	0	271	258	261	0
Gabarap	197.500000	0	478	312	0	0
Fntb	197.500000	0	249	315	226	0
Cpt1b	197.500000	0	215	305	270	0
Clasp1	197.500000	0	387	403	0	0
Chkb	197.500000	0	215	305	270	0
Soat1	197.250000	0	364	252	173	0
Rbfa	197.250000	0	317	349	123	0
Tifa	196.750000	0	352	303	132	0
Thbs4	196.750000	0	361	426	0	0
Srsf11	196.750000	0	189	280	318	0
Prss40	196.750000	0	412	375	0	0
Lrrc40	196.750000	0	189	280	318	0
Zfand5	196.500000	0	196	469	121	0
Vamp4	196.500000	0	365	245	176	0
Rab3il1	196.500000	0	360	426	0	0
Gtf2a2	196.500000	0	390	301	95	0
Ano6	196.500000	0	273	316	197	0
Ppp1r18	196.250000	0	296	252	237	0
Nrm	196.250000	0	296	252	237	0
Glg1	196.250000	0	234	275	276	0
Siglech	196.000000	0	336	346	102	0
Sap30	196.000000	0	250	245	289	0
Tmem39a	195.750000	0	427	256	100	0
Rnase2a	195.750000	0	407	376	0	0
Rab39	195.750000	0	176	289	318	0
Nipa2	195.750000	0	150	167	466	0
Egr2	195.750000	0	431	352	0	0
Exd1	195.500000	165	227	237	153	0
Chp1	195.500000	165	227	237	153	0
B430306N03Rik	195.500000	110	268	250	154	0
Rnaset2b	195.250000	0	284	391	106	0
Rnaset2a	195.250000	0	284	391	106	0
Pira2	195.250000	0	333	448	0	0
Knl1	195.250000	0	198	214	369	0
Slc1a2	195.000000	0	501	279	0	0
Neu1	195.000000	0	441	273	66	0
Mpzl3	195.000000	0	293	229	258	0
Mpdu1	195.000000	0	373	407	0	0
Mef2a	195.000000	0	324	309	147	0
Maco1	195.000000	0	299	333	148	0
Gnpat	195.000000	0	243	172	365	0
Asph	195.000000	0	409	230	141	0
2810004N23Rik	195.000000	0	243	172	365	0
Tspan8	194.750000	0	372	407	0	0
Ino80	194.750000	0	345	277	157	0
Gadd45g	194.750000	0	344	340	95	0
Tfb1m	194.500000	0	312	344	122	0
Sh3tc1	194.500000	0	296	256	226	0
Per2	194.500000	137	251	191	199	0
Mbd2	194.500000	71	279	307	121	0
Cd44	194.500000	0	301	277	200	0
Hnrnpdl	194.250000	0	263	379	135	0
Gtf3c3	194.250000	0	207	232	338	0
Fgf13	194.250000	0	415	362	0	0
Ercc5	194.250000	0	238	211	328	0
Enoph1	194.250000	0	263	379	135	0
Cdiptos	194.250000	0	274	273	230	0
Cdipt	194.250000	0	274	273	230	0
Zc3h7a	194.000000	0	198	244	334	0
Tmem131l	194.000000	0	300	375	101	0
Csgalnact2	194.000000	0	451	325	0	0
Zbtb21	193.750000	0	442	222	111	0
Cox7a2	193.750000	0	148	322	305	0
Phlpp2	193.500000	0	306	292	176	0
Idh1	193.500000	0	231	198	345	0
Pgm2l1	193.250000	88	248	282	155	0
Kat2b	193.250000	0	255	360	158	0
Fgf15	193.250000	0	220	246	307	0
Cd47	193.250000	0	348	311	114	0
Rap1b	193.000000	0	207	405	160	0
Lyz2	193.000000	0	317	455	0	0
Nek9	192.750000	0	230	253	288	0
Idnk	192.750000	0	277	287	207	0
Gpbp1	192.750000	104	284	153	230	0
Prpf19	192.500000	0	129	197	444	0
Cacnb4	192.500000	0	333	437	0	0
Myl12a	192.250000	0	186	273	310	0
Mthfd2	192.250000	0	367	260	142	0
Tmem138	192.000000	0	405	363	0	0
Noxred1	192.000000	0	411	357	0	0
Fbxo31	192.000000	0	304	319	145	0
Cyb561a3	192.000000	0	405	363	0	0
Limk1	191.750000	0	370	397	0	0
Kmt2b	191.750000	0	350	417	0	0
Zfp994	191.500000	0	163	274	329	0
Pmf1	191.500000	0	264	316	186	0
Ndufs4	191.500000	0	223	306	237	0
N4bp2l2	191.500000	0	199	278	289	0
Zfyve1	191.250000	0	204	411	150	0
Xrn2	191.250000	0	252	284	229	0
Tbc1d8	191.250000	0	173	334	258	0
Adar	191.250000	0	197	374	194	0
Meig1	191.000000	0	322	333	109	0
Lcp2	191.000000	0	204	432	128	0
Dclre1c	191.000000	0	322	333	109	0
Anxa4	191.000000	0	338	269	157	0
Rpl35a	190.750000	0	288	266	209	0
Pml	190.750000	0	201	363	199	0
Olfr806	190.750000	0	232	191	340	0
Iqcg	190.750000	0	288	266	209	0
H2bc6	190.750000	0	226	179	358	0
Gramd2	190.750000	0	462	301	0	0
Zfp62	190.500000	117	244	226	175	0
Tubb6	190.500000	0	387	275	100	0
Spry4	190.500000	0	310	303	149	0
Prkar2a	190.500000	0	382	296	84	0
Casc3	190.500000	0	456	306	0	0
Calcrl	190.500000	0	403	359	0	0
Tnfaip8	190.250000	0	360	297	104	0
Rnh1	190.250000	0	402	359	0	0
Fam178b	190.250000	0	349	412	0	0
Tmx3	190.000000	0	261	364	135	0
Nucb2	190.000000	0	282	323	155	0
Mical1	190.000000	0	264	317	179	0
Cuedc1	190.000000	0	318	285	157	0
Asxl2	190.000000	0	279	336	145	0
Trappc8	189.750000	0	260	258	241	0
Plxna4	189.750000	0	306	453	0	0
Cox8a	189.750000	0	216	348	195	0
Tmem191c	189.500000	0	214	408	136	0
Mob1a	189.500000	0	367	260	131	0
Cenpa	189.500000	0	202	288	268	0
Cd38	189.500000	0	394	234	130	0
Pstpip2	189.250000	0	338	273	146	0
Psma3	189.250000	0	222	198	337	0
Marchf7	189.250000	0	239	396	122	0
Rgs9	189.000000	0	599	157	0	0
Psme1	189.000000	0	261	278	217	0
Lif	189.000000	0	380	376	0	0
Terf2ip	188.750000	0	246	313	196	0
Polr2m	188.750000	0	349	302	104	0
Kars	188.750000	0	246	313	196	0
Ercc6l2	188.750000	0	193	148	414	0
Cyp51	188.750000	0	251	273	231	0
Ttc39b	188.500000	0	216	408	130	0
Tmem156	188.500000	0	449	305	0	0
Stat3	188.500000	0	266	293	195	0
Selenbp2	188.500000	0	459	295	0	0
H2bc14	188.500000	0	141	377	236	0
Dcaf15	188.500000	0	295	361	98	0
Dars	188.500000	0	201	184	369	0
Zfp382	188.250000	0	289	263	201	0
Tlx1	188.250000	0	376	377	0	0
Uso1	188.000000	159	269	199	125	0
Tbp	188.000000	0	174	305	273	0
Rspry1	188.000000	0	145	195	412	0
Rasgrp3	188.000000	0	212	323	217	0
Psme3ip1	188.000000	0	145	195	412	0
Psmb1	188.000000	0	174	305	273	0
Bcl7b	188.000000	0	245	245	262	0
Atl3	188.000000	0	193	219	340	0
Zfp87	187.750000	0	241	167	343	0
Socs7	187.750000	0	300	264	187	0
Rab30	187.750000	0	243	397	111	0
Elovl6	187.750000	0	205	350	196	0
Ccdc126	187.750000	152	103	194	302	0
Bin2	187.750000	0	319	292	140	0
Ap3b1	187.750000	0	226	283	242	0
Wdfy1	187.500000	0	272	352	126	0
Thap12	187.500000	0	469	281	0	0
Npas2	187.500000	280	183	287	0	0
H2-M3	187.500000	0	237	327	186	0
Ripor1	187.250000	0	416	333	0	0
Mt1	187.250000	0	259	411	79	0
Traf5	187.000000	0	226	198	324	0
Mapkap1	187.000000	0	180	371	197	0
Eif2s2	187.000000	0	185	193	370	0
Acer1	187.000000	0	255	493	0	0
Sf3a2	186.750000	0	245	314	188	0
Plekhj1	186.750000	0	245	314	188	0
Gtf3c6	186.750000	0	351	396	0	0
Fyn	186.750000	0	311	207	229	0
Vars2	186.500000	0	311	266	169	0
Adprh	186.250000	0	300	294	151	0
Tmem259	186.000000	0	369	300	75	0
Them6	186.000000	0	228	280	236	0
Milr1	186.000000	0	486	258	0	0
Cnn2	186.000000	0	369	300	75	0
Rpe	185.750000	0	305	282	156	0
Ppig	185.750000	0	330	245	168	0
Ly9	185.750000	0	303	440	0	0
Ift57	185.750000	0	356	256	131	0
Cltb	185.750000	0	202	216	325	0
Cldn4	185.750000	0	361	382	0	0
Fam168b	185.500000	0	412	330	0	0
Endod1	185.500000	0	253	354	135	0
Aatf	185.500000	0	392	191	159	0
Rnf220	185.250000	0	439	302	0	0
Gpr85	185.250000	0	426	315	0	0
Fam222b	185.250000	0	371	270	100	0
Zfp839	184.750000	0	145	514	80	0
Gtf2ird2	184.750000	0	348	277	114	0
Rnf168	184.500000	0	293	310	135	0
Polm	184.500000	0	401	155	182	0
Dusp1	184.500000	0	250	203	285	0
Ube2l6	184.250000	0	282	233	222	0
Slc35f6	184.250000	0	258	239	240	0
Psen1	184.250000	0	256	284	197	0
Lipe	184.250000	0	259	357	121	0
Defb20	184.250000	0	375	362	0	0
Slc35a4	184.000000	0	234	239	263	0
Slc22a15	184.000000	0	261	177	298	0
Samm50	184.000000	0	296	283	157	0
Piezo1	184.000000	0	257	264	215	0
H2-Q4	184.000000	0	200	379	157	0
Apbb3	184.000000	0	234	239	263	0
Pgam1	183.750000	0	307	331	97	0
Igsf8	183.750000	0	371	364	0	0
Gan	183.750000	0	185	288	262	0
Ccn2	183.750000	0	250	294	191	0
Pxmp2	183.500000	0	320	291	123	0
Pole	183.500000	0	320	291	123	0
Pira1	183.500000	0	251	483	0	0
Coa6	183.500000	0	172	208	354	0
Rasal1	183.250000	0	488	245	0	0
Maf	183.250000	0	152	296	285	0
Grcc10	183.250000	0	240	336	157	0
Zfp472	183.000000	0	205	299	228	0
Slc13a1	183.000000	0	436	296	0	0
Itga4	183.000000	0	312	345	75	0
Prrc2c	182.750000	0	145	194	392	0
Osgin1	182.750000	0	215	391	125	0
Tmem237	182.500000	0	183	171	376	0
Simc1	182.500000	0	242	350	138	0
Il10ra	182.500000	0	138	592	0	0
Efcab5	182.500000	0	315	415	0	0
Xpr1	182.250000	0	236	288	205	0
Vezf1	182.250000	0	314	415	0	0
Tomm40l	182.250000	0	423	306	0	0
Tnip1	182.250000	0	357	372	0	0
Tmem87a	182.250000	0	275	277	177	0
Ganc	182.250000	0	275	277	177	0
Csf1r	182.250000	0	299	257	173	0
B2m	182.250000	383	100	159	87	0
Apoa2	182.250000	0	423	306	0	0
Trappc3	182.000000	0	383	345	0	0
Retnlg	182.000000	0	383	345	0	0
Map7d1	182.000000	0	383	345	0	0
Gtpbp4	182.000000	0	305	210	213	0
Scin	181.750000	0	453	274	0	0
Pank2	181.750000	0	149	578	0	0
Nol10	181.750000	0	245	290	192	0
Mx2	181.750000	0	334	393	0	0
Mapkapk5	181.750000	0	200	263	264	0
Madd	181.750000	0	251	329	147	0
Faiml	181.750000	0	267	460	0	0
Cep70	181.750000	0	267	460	0	0
Tmem33	181.500000	0	222	303	201	0
Susd3	181.500000	0	340	255	131	0
Qpct	181.500000	0	306	287	133	0
Pan2	181.500000	0	286	440	0	0
Il23a	181.500000	0	286	440	0	0
Ccl17	181.500000	0	473	253	0	0
Ttc39c	181.250000	0	241	484	0	0
Tln1	181.250000	0	293	301	131	0
Stk17b	181.250000	0	272	162	291	0
Il4ra	181.250000	0	353	372	0	0
Creb3	181.250000	0	293	301	131	0
Tirap	181.000000	0	274	315	135	0
Por	181.000000	136	247	186	155	0
Pgbd5	181.000000	0	367	240	117	0
Cnnm3	181.000000	0	327	265	132	0
Cmas	181.000000	0	320	256	148	0
Ccl24	181.000000	0	316	408	0	0
Slc25a45	180.750000	198	199	326	0	0
Rdm1	180.750000	0	286	214	223	0
Pcnx	180.750000	0	233	212	278	0
Mtpn	180.750000	0	219	264	240	0
Gabpb2	180.750000	0	154	310	259	0
Frmd8	180.750000	198	199	326	0	0
Dus4l	180.750000	0	161	256	306	0
Cog5	180.750000	0	161	256	306	0
Litaf	180.500000	0	192	358	172	0
Cmbl	180.500000	0	338	384	0	0
Tcof1	180.250000	0	351	370	0	0
Mmd	180.250000	0	369	194	158	0
Kcnmb4	180.250000	0	340	276	105	0
Fabp4	180.250000	0	349	372	0	0
Chuk	180.250000	0	276	445	0	0
Cct5	180.250000	0	166	235	320	0
Atpsckmt	180.250000	0	166	235	320	0
Zfp874a	180.000000	0	301	321	98	0
Tuba1b	180.000000	0	270	182	268	0
Trpv2	180.000000	0	318	264	138	0
Srpk1	180.000000	135	378	207	0	0
Nip7	180.000000	0	147	202	371	0
Cog8	180.000000	0	147	202	371	0
Ppp1r21	179.750000	0	378	341	0	0
Myb	179.750000	0	277	191	251	0
Inip	179.750000	0	154	258	307	0
Gipc1	179.750000	0	202	238	279	0
Tk2	179.500000	0	253	319	146	0
Pdgfa	179.500000	0	317	281	120	0
Kif20a	179.500000	0	251	229	238	0
Cklf	179.500000	0	253	319	146	0
Cilp2	179.500000	0	301	302	115	0
Brd8	179.500000	0	251	229	238	0
Rnf31	179.250000	0	364	180	173	0
Psme2	179.250000	0	364	180	173	0
Acot7	179.250000	0	334	269	114	0
Zfp36l1	179.000000	0	340	217	159	0
Napepld	179.000000	0	195	154	367	0
Nab1	179.000000	0	245	244	227	0
Klhl20	179.000000	0	213	290	213	0
Klf7	179.000000	0	246	228	242	0
Mdm4	178.750000	0	179	310	226	0
Dpf2	178.750000	0	292	195	228	0
Ncaph2	178.500000	0	189	303	222	0
Lmf2	178.500000	0	189	303	222	0
Xrn1	178.250000	0	124	191	398	0
Nfat5	178.250000	0	146	108	459	0
Akna	178.250000	0	375	338	0	0
Prkcd	178.000000	0	374	338	0	0
Nsdhl	178.000000	0	259	453	0	0
Cetn2	178.000000	0	259	453	0	0
Tpst1	177.500000	0	284	426	0	0
Pafah1b2	177.500000	0	311	280	119	0
Nkx6-3	177.500000	0	256	238	216	0
Mak16	177.500000	0	103	300	307	0
Clec7a	177.500000	0	405	305	0	0
Coro2a	177.250000	0	296	286	127	0
Cnp	177.250000	0	393	146	170	0
Trim72	177.000000	0	475	233	0	0
Msl2	177.000000	0	120	218	370	0
Ifna13	177.000000	0	232	206	270	0
Gpatch2l	177.000000	0	231	254	223	0
Tpm1	176.750000	0	216	282	209	0
Rasa4	176.750000	0	292	274	141	0
Hdac1	176.750000	123	174	410	0	0
Zbtb5	176.500000	0	224	205	277	0
Usp49	176.500000	0	162	182	362	0
Sgpl1	176.500000	0	134	358	214	0
Dnttip2	176.500000	0	193	199	314	0
Bcl10	176.500000	0	219	226	261	0
Zc3h12d	176.250000	0	321	384	0	0
Wdr70	176.000000	0	125	239	340	0
Virma	176.000000	0	265	318	121	0
Unc119b	176.000000	0	280	344	80	0
Map2k1	176.000000	0	176	140	388	0
Fem1c	176.000000	0	230	266	208	0
Atxn10	176.000000	0	154	189	361	0
Tmed7	175.750000	0	244	325	134	0
Mob3b	175.750000	0	399	203	101	0
Eif1a	175.750000	0	244	325	134	0
Uchl5	175.500000	76	197	161	268	0
Ro60	175.500000	76	197	161	268	0
Pdzd9	175.500000	0	335	367	0	0
Nt5c2	175.500000	0	120	260	322	0
Zfp706	175.250000	0	193	285	223	0
Lipt2	175.250000	0	264	144	293	0
Znhit6	175.000000	0	220	338	142	0
Tyw3	175.000000	0	183	166	351	0
Tst	175.000000	0	286	201	213	0
Rps6ka5	175.000000	0	231	214	255	0
Mpst	175.000000	0	286	201	213	0
Cyb5a	175.000000	0	297	403	0	0
Cryz	175.000000	0	183	166	351	0
Card11	175.000000	0	392	308	0	0
Nenf	174.750000	0	297	402	0	0
Mia2	174.750000	0	263	266	170	0
Itpr2	174.750000	0	138	294	267	0
Ccdc177	174.750000	0	259	440	0	0
Trappc4	174.500000	0	294	224	180	0
