Target_genes	Nfatc1|Average	SRX376930|Hair_Follicle	DRX111909|Osteoclasts	SRX174585|Pancreatic_cancer_cells	SRX174586|Pancreatic_cancer_cells	STRING
Csrnp2	189.000000	0	756	0	0	0
Nrf1	187.500000	178	572	0	0	0
Pheta1	187.250000	0	749	0	0	0
Tnrc6c	187.000000	0	748	0	0	0
Fcgr4	186.750000	0	159	468	120	0
Slc1a5	186.500000	0	637	109	0	0
Ppp1r12a	186.500000	0	746	0	0	0
Actb	186.250000	0	745	0	0	0
Proca1	185.250000	259	0	249	233	0
Ablim1	185.000000	0	336	245	159	0
Rnpc3	184.750000	259	480	0	0	0
Hnrnpab	184.500000	0	738	0	0	0
Ptpn6	184.250000	0	737	0	0	0
Grcc10	184.250000	0	737	0	0	0
Dnajb9	184.250000	0	737	0	0	0
Siah2	183.750000	0	485	0	250	0
Mrps36	183.750000	205	397	0	133	0
Klhl21	183.750000	0	735	0	0	0
Dld	182.500000	0	275	165	290	0
Neu1	182.250000	0	341	138	250	0
Trim29	181.250000	0	0	285	440	0
Rbm33	180.250000	0	721	0	0	0
Ifrd1	180.250000	0	721	0	0	0
Junb	178.750000	0	715	0	0	0
Eapp	178.750000	0	715	0	0	0
H3c7	178.250000	0	535	0	178	0
Aadacl2fm1	178.000000	0	388	324	0	0
Srsf2	177.750000	0	711	0	0	0
Mfsd11	177.750000	0	711	0	0	0
Musk	177.500000	0	346	124	240	0
Herc2	177.500000	376	334	0	0	0
Poldip3	177.250000	0	564	0	145	0
Slc38a2	176.750000	0	707	0	0	0
Serinc3	176.750000	0	707	0	0	0
E4f1	176.750000	245	462	0	0	0
Sptan1	176.500000	0	706	0	0	0
Sgk1	175.750000	0	703	0	0	0
Amd2	175.750000	0	703	0	0	0
Amd1	175.750000	0	703	0	0	0
Lsm14a	175.250000	166	535	0	0	0
Btf3	175.250000	376	325	0	0	0
Kdm4c	174.750000	0	699	0	0	0
H2ax	174.250000	0	697	0	0	0
Frmd4b	173.500000	0	525	169	0	0
Mylip	173.250000	0	693	0	0	0
Map3k19	173.000000	0	518	174	0	0
Atg4d	172.500000	0	690	0	0	0
Fbxw4	172.000000	0	397	154	137	0
Ccdc62	172.000000	0	688	0	0	0
Zfp532	171.750000	205	0	482	0	0
Calr	171.250000	0	685	0	0	0
Tuba1b	171.000000	280	404	0	0	0
Sgf29	170.750000	0	683	0	0	0
Rps8	170.250000	0	681	0	0	0
Znfx1	170.000000	0	680	0	0	0
Lima1	170.000000	0	290	390	0	0
Rpl13	169.750000	293	386	0	0	0
Utp14b	169.000000	0	676	0	0	0
Acsl3	169.000000	0	676	0	0	0
Gapdh	168.750000	0	675	0	0	0
Arrdc1	168.500000	287	387	0	0	0
Rsrp1	168.000000	0	672	0	0	0
Trp53inp2	167.750000	0	671	0	0	0
Ctsl	167.750000	0	671	0	0	0
Btg2	165.750000	0	663	0	0	0
Sub1	165.500000	0	662	0	0	0
Rnd1	165.250000	0	661	0	0	0
Cited2	165.250000	0	661	0	0	0
Zfand5	165.000000	0	660	0	0	0
Dennd6a	165.000000	0	660	0	0	0
Chchd2	164.750000	0	659	0	0	0
Taf1d	164.500000	0	658	0	0	0
4931406C07Rik	164.500000	0	658	0	0	0
Haus1	164.250000	316	341	0	0	0
Atp5a1	164.250000	316	341	0	0	0
Tmem107	164.000000	0	656	0	0	0
Gpx1	163.750000	0	655	0	0	0
Swap70	163.500000	0	654	0	0	0
Dchs2	163.500000	287	230	0	137	0
Cast	163.250000	0	394	146	113	0
Calm2	163.250000	0	653	0	0	0
Dync1li1	163.000000	0	379	273	0	0
Wsb1	162.750000	0	651	0	0	0
Cebpa	162.500000	0	650	0	0	0
Aasdh	162.500000	0	650	0	0	0
Slc3a2	162.250000	0	649	0	0	0
Rsrc2	162.000000	0	648	0	0	0
Ptges	162.000000	0	277	286	85	0
Kntc1	162.000000	0	648	0	0	0
Tfrc	161.750000	0	647	0	0	0
Gtf2a1	161.500000	0	646	0	0	0
Zfp568	161.000000	0	644	0	0	0
Zfp619	160.750000	0	643	0	0	0
Tnrc6b	160.750000	245	248	150	0	0
Snw1	160.750000	0	309	334	0	0
Zfp386	160.500000	0	533	109	0	0
Ubb	160.500000	0	642	0	0	0
Pqlc3	160.500000	0	308	334	0	0
Pabpc1	160.500000	0	642	0	0	0
Cd163l1	160.500000	501	0	0	141	0
Cfap97	159.750000	0	639	0	0	0
Hagh	159.500000	218	420	0	0	0
Fahd1	159.500000	218	420	0	0	0
Rbbp6	159.250000	0	637	0	0	0
Tnfaip2	158.500000	0	634	0	0	0
Ptpre	158.500000	0	514	120	0	0
Fus	158.250000	0	633	0	0	0
Fubp1	158.250000	0	633	0	0	0
Dnajb4	158.250000	0	633	0	0	0
Plekhf1	158.000000	0	322	310	0	0
Nip7	157.750000	302	329	0	0	0
Egr1	157.750000	0	446	185	0	0
Cog8	157.750000	302	329	0	0	0
Acly	157.500000	0	630	0	0	0
H4c3	157.250000	0	629	0	0	0
H1f6	157.250000	0	629	0	0	0
Tmem127	157.000000	0	135	398	95	0
Rplp0	157.000000	0	628	0	0	0
Ciao1	157.000000	0	135	398	95	0
Dglucy	156.750000	0	627	0	0	0
Tmem175	156.500000	0	626	0	0	0
Mustn1	156.500000	0	314	312	0	0
Gak	156.500000	0	626	0	0	0
Sgcd	156.250000	0	0	530	95	0
Npm2	156.000000	141	0	285	198	0
Slc25a4	155.500000	0	622	0	0	0
Ucp2	155.250000	0	621	0	0	0
Tm2d1	155.250000	0	621	0	0	0
D230025D16Rik	155.250000	0	621	0	0	0
Sirt4	155.000000	0	620	0	0	0
Rgl1	155.000000	0	620	0	0	0
Mat2a	155.000000	0	620	0	0	0
Arpc5	155.000000	0	620	0	0	0
Nme1	154.750000	0	418	201	0	0
Hnrnph1	154.500000	0	618	0	0	0
Eif4a1	154.000000	0	616	0	0	0
Ccn4	154.000000	0	307	0	309	0
Arl4d	153.500000	0	614	0	0	0
Nfu1	153.250000	0	476	137	0	0
Lmna	153.250000	94	519	0	0	0
Mycn	152.750000	0	0	153	458	0
Birc5	152.750000	0	611	0	0	0
Btg1	152.500000	0	610	0	0	0
Snx6	151.500000	0	301	0	305	0
Rps2	151.500000	63	543	0	0	0
Rnf151	151.500000	63	543	0	0	0
Ndufb10	151.500000	63	543	0	0	0
Vegfa	151.250000	0	605	0	0	0
Epc1	151.250000	0	605	0	0	0
Orai3	151.000000	141	463	0	0	0
Zfp944	150.750000	0	603	0	0	0
Zfp758	150.750000	0	603	0	0	0
Myo10	150.750000	245	358	0	0	0
Ifi30	150.750000	0	603	0	0	0
Tmco1	150.500000	218	384	0	0	0
Sun1	150.500000	0	0	480	122	0
H1f8	150.500000	0	371	231	0	0
Rps9	150.250000	0	601	0	0	0
Raly	149.500000	0	598	0	0	0
Baz1a	149.500000	0	598	0	0	0
Ptpn22	149.000000	0	118	382	96	0
Trp53inp1	148.500000	0	594	0	0	0
Ldha	148.250000	0	593	0	0	0
Mcl1	147.750000	0	510	81	0	0
Med21	147.500000	0	590	0	0	0
Hk1	147.250000	0	219	370	0	0
Srr	147.000000	0	207	308	73	0
Smg6	147.000000	0	207	308	73	0
Rps20	147.000000	0	588	0	0	0
Mob1a	147.000000	0	588	0	0	0
Gcnt2	146.500000	191	289	106	0	0
Gadd45a	146.500000	0	586	0	0	0
Txn1	145.500000	0	582	0	0	0
Srsf6	145.250000	0	581	0	0	0
Slc26a2	145.250000	0	581	0	0	0
Zbtb44	144.750000	0	579	0	0	0
Rps3	144.750000	0	579	0	0	0
Hps5	144.750000	0	150	0	429	0
Gtf2h1	144.750000	0	150	0	429	0
Cotl1	144.750000	0	579	0	0	0
Aplp2	144.500000	0	578	0	0	0
Vim	144.250000	0	577	0	0	0
Rnaset2b	144.250000	0	577	0	0	0
Rnaset2a	144.250000	0	577	0	0	0
Dbnl	143.750000	0	575	0	0	0
Fam53a	143.250000	245	328	0	0	0
Btbd9	143.250000	0	573	0	0	0
Rnf14	143.000000	0	572	0	0	0
Pts	143.000000	0	572	0	0	0
Wtap	142.750000	406	165	0	0	0
Styxl1	142.750000	0	571	0	0	0
Prss51	142.750000	0	444	0	127	0
Mdh2	142.750000	0	571	0	0	0
H2-DMa	142.750000	0	571	0	0	0
Brd2	142.750000	0	571	0	0	0
Ppp4r3a	142.500000	287	283	0	0	0
Ncoa3	142.500000	0	570	0	0	0
Zfp213	142.250000	0	569	0	0	0
Oxsm	142.250000	0	569	0	0	0
Ngly1	142.250000	0	569	0	0	0
Urgcp	142.000000	0	568	0	0	0
Zc3hav1	141.750000	0	403	0	164	0
Klf7	141.750000	0	567	0	0	0
Phyh	141.500000	166	400	0	0	0
Ier2	141.500000	0	566	0	0	0
Zbtb9	141.250000	0	565	0	0	0
Tubb6	141.000000	0	564	0	0	0
Tsc22d1	141.000000	0	564	0	0	0
Sdc4	141.000000	0	564	0	0	0
Cttnbp2nl	141.000000	0	183	381	0	0
C130050O18Rik	141.000000	0	0	488	76	0
Adam5	141.000000	0	0	0	564	0
Paxip1	140.000000	0	560	0	0	0
Hspa5	140.000000	0	560	0	0	0
Rtn3	139.750000	0	559	0	0	0
H3c13	139.750000	0	559	0	0	0
H2bc18	139.750000	0	559	0	0	0
Ftl1	139.750000	0	559	0	0	0
Ddx5	139.500000	0	558	0	0	0
Cep95	139.500000	0	558	0	0	0
Wnt5b	139.250000	0	0	452	105	0
Jak1	139.250000	0	557	0	0	0
Focad	139.250000	0	557	0	0	0
Sf3b1	139.000000	0	556	0	0	0
Sertad1	139.000000	0	556	0	0	0
Rpl9	139.000000	0	556	0	0	0
Pgls	139.000000	0	316	0	240	0
Lias	139.000000	0	556	0	0	0
Ctsb	139.000000	0	556	0	0	0
Slc26a8	138.750000	0	555	0	0	0
Mapk14	138.750000	0	555	0	0	0
Tuba1c	138.500000	145	409	0	0	0
Tor1aip2	138.500000	316	238	0	0	0
Tor1aip1	138.500000	316	238	0	0	0
Rbm38	138.250000	0	553	0	0	0
Oat	138.250000	205	348	0	0	0
Fem1b	138.000000	205	347	0	0	0
Arl15	138.000000	0	552	0	0	0
Vgll2	137.750000	0	0	185	366	0
Ppp2r5a	137.750000	205	346	0	0	0
Glo1	137.500000	0	550	0	0	0
Cyth4	137.500000	0	280	0	270	0
Vwa1	137.250000	0	142	299	108	0
Fam107b	137.250000	0	331	218	0	0
Atl3	137.250000	0	286	263	0	0
Tmem14c	137.000000	0	548	0	0	0
Fnbp1	137.000000	0	548	0	0	0
Vcl	136.750000	0	547	0	0	0
Tob1	136.750000	0	547	0	0	0
Slc37a2	136.500000	0	546	0	0	0
Tra2b	136.250000	0	545	0	0	0
Bsg	136.250000	0	545	0	0	0
Hcn3	136.000000	218	326	0	0	0
Gm45927	136.000000	218	326	0	0	0
Clk2	136.000000	218	326	0	0	0
Cox5a	135.750000	0	543	0	0	0
Rnf19b	135.500000	0	542	0	0	0
Spg7	135.250000	0	541	0	0	0
Mad2l1bp	135.250000	0	541	0	0	0
Sumf1	135.000000	0	159	0	381	0
Fam110b	135.000000	0	459	81	0	0
Tbc1d13	134.750000	0	539	0	0	0
H4c17	134.750000	0	539	0	0	0
Tmod3	134.500000	259	279	0	0	0
Itprip	134.500000	0	215	323	0	0
Arl6ip1	134.500000	0	538	0	0	0
Ints7	134.250000	357	180	0	0	0
Gls	134.250000	0	537	0	0	0
Dtl	134.250000	357	180	0	0	0
Cd44	134.250000	0	242	128	167	0
Aldoa	134.250000	0	537	0	0	0
Rfx3	134.000000	0	536	0	0	0
Acap2	134.000000	0	536	0	0	0
Ppp1r8	133.750000	0	535	0	0	0
H2bc9	133.750000	0	535	0	0	0
Capn9	133.750000	0	0	438	97	0
Agt	133.750000	0	0	438	97	0
Olfr1389	133.250000	0	0	228	305	0
Map2k1	132.750000	0	531	0	0	0
Ccnl1	132.750000	0	531	0	0	0
Tor1b	132.500000	0	530	0	0	0
Rps6	132.500000	0	530	0	0	0
Pld1	132.500000	0	176	231	123	0
Rb1cc1	132.250000	0	529	0	0	0
Npc2	132.000000	0	528	0	0	0
Isca2	132.000000	0	528	0	0	0
Cdk13	132.000000	0	528	0	0	0
Tatdn1	131.500000	0	526	0	0	0
Sorbs1	131.500000	299	133	94	0	0
Pik3ca	131.500000	0	526	0	0	0
Ndufb9	131.500000	0	526	0	0	0
H4c4	131.500000	0	526	0	0	0
H2bc6	131.500000	0	526	0	0	0
Cebpd	131.000000	0	524	0	0	0
Tut7	130.750000	0	523	0	0	0
Rpl23	130.750000	0	523	0	0	0
Rnf34	130.750000	0	523	0	0	0
Zfp943	130.500000	0	522	0	0	0
Zfp942	130.500000	0	522	0	0	0
Ubtd1	130.500000	205	172	0	145	0
Ndufb6	130.500000	0	522	0	0	0
Wdr77	130.250000	0	521	0	0	0
Atp5pb	130.250000	0	521	0	0	0
Zfp36	130.000000	0	520	0	0	0
Trpm7	130.000000	0	520	0	0	0
Hsd17b13	130.000000	0	172	256	92	0
Anln	130.000000	0	276	244	0	0
9530077C05Rik	130.000000	0	276	244	0	0
Zfp36l2	129.750000	0	519	0	0	0
Zfp143	129.750000	231	288	0	0	0
H3c15	129.750000	0	519	0	0	0
H3c14	129.750000	0	519	0	0	0
H2ac19	129.750000	0	519	0	0	0
H2ac18	129.750000	0	519	0	0	0
Gins1	129.750000	0	425	94	0	0
Rsbn1l	129.500000	0	518	0	0	0
Cat	129.500000	0	518	0	0	0
Tagln2	129.250000	0	517	0	0	0
Rnf103	129.250000	0	517	0	0	0
Ctnnb1	129.250000	0	517	0	0	0
Ttc7	129.000000	0	516	0	0	0
Ndfip1	129.000000	0	340	0	176	0
Fos	129.000000	0	516	0	0	0
Ddx3x	129.000000	0	516	0	0	0
Taf4b	128.500000	0	514	0	0	0
Rhob	128.500000	0	514	0	0	0
Psmd8	128.500000	0	514	0	0	0
Mbd6	128.500000	0	514	0	0	0
Lrch3	128.500000	0	514	0	0	0
Ddit3	128.500000	0	514	0	0	0
1700122O11Rik	128.500000	0	296	218	0	0
Irf1	128.250000	0	513	0	0	0
Srsf5	128.000000	0	512	0	0	0
Rfk	128.000000	0	512	0	0	0
Itga4	128.000000	0	327	185	0	0
Rpl7l1	127.750000	218	293	0	0	0
H3c6	127.750000	0	511	0	0	0
Dhx9	127.750000	0	511	0	0	0
Camsap2	127.750000	0	511	0	0	0
Slc39a13	127.500000	0	198	312	0	0
Txnip	127.250000	0	509	0	0	0
Tmx1	127.250000	0	509	0	0	0
Lypla1	127.250000	0	509	0	0	0
H4c9	127.250000	0	509	0	0	0
H2bc11	127.250000	0	509	0	0	0
H2ac11	127.250000	0	509	0	0	0
Slc25a3	127.000000	0	508	0	0	0
Sh3bgrl3	127.000000	0	243	265	0	0
Sbno2	127.000000	0	121	0	387	0
Usp53	126.750000	0	234	273	0	0
Slc25a30	126.750000	0	507	0	0	0
Rpl29	126.750000	224	283	0	0	0
Slbp	126.500000	0	506	0	0	0
Mllt11	126.500000	0	337	169	0	0
Fbxw2	126.500000	316	190	0	0	0
Cdc42se1	126.500000	0	337	169	0	0
Eef1a1	126.250000	0	505	0	0	0
Tmem199	126.000000	0	504	0	0	0
Rad18	126.000000	0	270	234	0	0
Ppp3ca	126.000000	0	504	0	0	0
Por	126.000000	0	504	0	0	0
Poldip2	126.000000	0	504	0	0	0
Nrip1	126.000000	0	504	0	0	0
Slc5a3	125.750000	0	503	0	0	0
Rrm2b	125.750000	0	503	0	0	0
Rpl10a	125.750000	0	503	0	0	0
Mrps6	125.750000	0	503	0	0	0
Ep400	125.750000	0	503	0	0	0
Kif5b	125.500000	0	502	0	0	0
Dgat1	125.500000	0	502	0	0	0
Capg	125.500000	0	163	0	339	0
Thrap3	125.250000	372	129	0	0	0
Slc9a3r1	125.250000	0	501	0	0	0
Sesn2	125.250000	0	501	0	0	0
Nkap	125.250000	501	0	0	0	0
Ddx21	125.250000	194	307	0	0	0
Arhgap18	125.250000	0	137	364	0	0
Ttc1	125.000000	302	198	0	0	0
Senp5	125.000000	0	500	0	0	0
Pan2	125.000000	0	257	0	243	0
Msto1	124.750000	0	499	0	0	0
Cnot8	124.750000	178	321	0	0	0
H4c11	124.500000	0	498	0	0	0
Slc30a9	124.250000	0	497	0	0	0
Rft1	124.250000	0	497	0	0	0
Pole3	124.250000	0	497	0	0	0
Alas1	124.250000	0	497	0	0	0
Alad	124.250000	0	497	0	0	0
Creb1	124.000000	0	496	0	0	0
Cdpf1	124.000000	0	496	0	0	0
Tsc22d2	123.750000	0	495	0	0	0
Rnaseh1	123.750000	231	264	0	0	0
Rheb	123.750000	0	195	300	0	0
Myo1c	123.750000	0	215	280	0	0
Rpl15	123.500000	0	494	0	0	0
Nkiras1	123.500000	0	494	0	0	0
Nsun3	123.250000	0	493	0	0	0
Mrps35	123.250000	0	493	0	0	0
Mgat1	123.250000	0	267	226	0	0
Hsp90ab1	123.250000	0	493	0	0	0
H2aw	123.250000	0	493	0	0	0
Cstf2t	123.250000	287	206	0	0	0
Sacm1l	123.000000	0	309	0	183	0
Dpysl2	123.000000	0	255	0	237	0
Ccn2	123.000000	0	0	408	84	0
Zfyve16	122.750000	0	491	0	0	0
Ptpa	122.750000	0	491	0	0	0
Crat	122.750000	0	491	0	0	0
Clic4	122.750000	0	491	0	0	0
Ostf1	122.500000	0	490	0	0	0
Nmrk1	122.500000	0	490	0	0	0
Dnaja1	122.500000	0	490	0	0	0
Dmxl1	122.500000	0	490	0	0	0
Atp1a1	122.500000	0	490	0	0	0
Tob2	122.250000	0	380	109	0	0
Kctd18	122.000000	0	488	0	0	0
Ccng1	122.000000	0	488	0	0	0
Dync1h1	121.750000	0	487	0	0	0
Dlat	121.500000	0	486	0	0	0
Yeats4	121.250000	0	485	0	0	0
Sgms1	121.250000	0	149	336	0	0
Ern1	121.250000	0	485	0	0	0
Ehd4	121.250000	0	125	0	360	0
Tomm5	121.000000	94	390	0	0	0
Klf6	121.000000	0	484	0	0	0
Usp33	120.750000	0	483	0	0	0
Lcmt2	120.750000	0	483	0	0	0
Cdc5l	120.750000	0	483	0	0	0
Adal	120.750000	0	483	0	0	0
Zfp655	120.500000	0	482	0	0	0
Slc29a3	120.500000	0	482	0	0	0
Tbc1d5	120.250000	0	481	0	0	0
Ndufa6	120.250000	0	481	0	0	0
Ctnnd1	120.250000	0	481	0	0	0
Slc25a5	120.000000	0	480	0	0	0
Sft2d2	120.000000	0	291	189	0	0
Mapk1	120.000000	0	480	0	0	0
Man1a2	120.000000	0	480	0	0	0
Lpcat1	120.000000	287	193	0	0	0
Ccdc88a	120.000000	259	221	0	0	0
Appbp2	120.000000	0	480	0	0	0
Taf2	119.750000	0	479	0	0	0
Nudt3	119.500000	0	333	0	145	0
Glg1	119.500000	0	478	0	0	0
Ralbp1	119.000000	153	323	0	0	0
Agap3	119.000000	0	322	154	0	0
Zfp963	118.750000	0	475	0	0	0
Ppp3cb	118.750000	0	475	0	0	0
Nup153	118.750000	0	204	0	271	0
Atp6v0d2	118.500000	0	321	153	0	0
Phykpl	118.250000	0	473	0	0	0
Napepld	118.250000	0	473	0	0	0
Mef2a	118.250000	0	473	0	0	0
Alg1	118.250000	0	473	0	0	0
Tmem192	118.000000	0	472	0	0	0
Rnf146	118.000000	0	472	0	0	0
Rnd3	118.000000	0	472	0	0	0
Ephx1	118.000000	0	0	366	106	0
Clk1	118.000000	0	472	0	0	0
Rpl7a	117.750000	0	471	0	0	0
Pag1	117.750000	0	471	0	0	0
Med22	117.750000	0	471	0	0	0
Ncl	117.500000	0	470	0	0	0
Hnrnpa2b1	117.500000	0	470	0	0	0
Faim	117.500000	0	257	0	213	0
Cbx3	117.500000	0	470	0	0	0
Prkcd	117.250000	0	469	0	0	0
Atp1b3	117.250000	73	396	0	0	0
H1f4	117.000000	0	468	0	0	0
Tmem65	116.750000	0	467	0	0	0
Tent4a	116.750000	0	467	0	0	0
Fmnl3	116.750000	0	235	232	0	0
Atox1	116.750000	0	467	0	0	0
Tubb4b	116.500000	0	466	0	0	0
Psma6	116.250000	316	149	0	0	0
Zdhhc17	116.000000	0	464	0	0	0
Zbtb7b	116.000000	0	246	218	0	0
Ufl1	116.000000	178	286	0	0	0
Setd4	116.000000	0	464	0	0	0
Cbr1	116.000000	0	464	0	0	0
Actn4	116.000000	163	192	109	0	0
Ppp1r15a	115.750000	0	463	0	0	0
Plekha4	115.750000	0	463	0	0	0
Net1	115.750000	0	463	0	0	0
Mrps21	115.750000	0	463	0	0	0
Metrnl	115.750000	0	463	0	0	0
H4c6	115.750000	0	285	0	178	0
Exosc2	115.750000	178	193	0	92	0
Degs1	115.750000	0	463	0	0	0
Ddx59	115.750000	0	463	0	0	0
Cdc37l1	115.750000	0	463	0	0	0
Rpl5	115.500000	0	462	0	0	0
Ptk7	115.500000	0	462	0	0	0
Plod1	115.500000	0	462	0	0	0
Pdss2	115.500000	0	462	0	0	0
H2-K1	115.500000	0	462	0	0	0
2510039O18Rik	115.500000	0	462	0	0	0
Adpgk	115.250000	0	461	0	0	0
Clk4	115.000000	0	460	0	0	0
BC049762	115.000000	0	460	0	0	0
Rhbdf2	114.750000	0	459	0	0	0
Il6st	114.750000	0	459	0	0	0
Cblb	114.750000	0	274	185	0	0
Bdp1	114.750000	231	228	0	0	0
Appl1	114.750000	0	459	0	0	0
Sgo1	114.500000	0	236	0	222	0
Pmel	114.500000	0	458	0	0	0
Pdlim7	114.500000	0	458	0	0	0
Orai1	114.500000	0	305	0	153	0
Cdk2	114.500000	0	458	0	0	0
Pcna	114.250000	0	457	0	0	0
Trex1	114.000000	0	456	0	0	0
Tcf25	114.000000	0	456	0	0	0
Shisa5	114.000000	0	456	0	0	0
Zfand2a	113.750000	152	303	0	0	0
Rer1	113.750000	0	455	0	0	0
Morn1	113.750000	0	455	0	0	0
Zfp703	113.500000	0	454	0	0	0
Zfp609	113.500000	0	111	343	0	0
Pomc	113.500000	0	454	0	0	0
Ccnt1	113.500000	0	454	0	0	0
4930415O20Rik	113.500000	0	454	0	0	0
Ulk2	113.250000	0	453	0	0	0
Gm21083	113.250000	0	0	378	75	0
