Target_genes	Trp53|Average	SRX20177969|Alveolar_organoids	SRX20177971|Alveolar_organoids	SRX20177973|Alveolar_organoids	SRX20177975|Alveolar_organoids	SRX13124073|Astrocytes	SRX13124074|Astrocytes	SRX13124075|Astrocytes	SRX13124077|Astrocytes	SRX13124078|Astrocytes	SRX13124080|Astrocytes	SRX13124081|Astrocytes	SRX13124082|Astrocytes	SRX13124084|Astrocytes	SRX13124085|Astrocytes	SRX13124086|Astrocytes	SRX13124088|Astrocytes	SRX13124089|Astrocytes	SRX13124090|Astrocytes	SRX13124092|Astrocytes	SRX13124093|Astrocytes	SRX13124094|Astrocytes	SRX13124096|Astrocytes	SRX13124097|Astrocytes	SRX13124098|Astrocytes	SRX13124100|Astrocytes	SRX13124101|Astrocytes	SRX14203722|Astrocytes	SRX20927693|B16	SRX20927694|B16	SRX10550254|Ba/F3	SRX10550255|Ba/F3	SRX9982608|Back_skin	SRX9982609|Back_skin	SRX9982610|Back_skin	SRX9982611|Back_skin	SRX8875615|Breast_tumor	SRX8875616|Breast_tumor	SRX8875617|Breast_tumor	SRX8875618|Breast_tumor	SRX8875619|Breast_tumor	SRX8875620|Breast_tumor	SRX8875621|Breast_tumor	SRX8875622|Breast_tumor	SRX8875623|Breast_tumor	SRX8875624|Breast_tumor	SRX8875625|Breast_tumor	SRX8875626|Breast_tumor	SRX8875627|Breast_tumor	SRX8875628|Breast_tumor	SRX8875629|Breast_tumor	SRX8875630|Breast_tumor	SRX8875631|Breast_tumor	SRX8875632|Breast_tumor	SRX14495051|Colon_epthelial_cells	SRX1080400|Embryoid_Bodies	SRX1080401|Embryoid_Bodies	SRX335560|Embryonic_kidney	SRX10310862|ES_cells	SRX10310863|ES_cells	SRX13063203|ES_cells	SRX13063204|ES_cells	SRX13063205|ES_cells	SRX13063206|ES_cells	SRX13063207|ES_cells	SRX13063208|ES_cells	SRX13063209|ES_cells	SRX13063210|ES_cells	SRX13113713|ES_cells	SRX13113714|ES_cells	SRX14812466|ES_cells	SRX14812467|ES_cells	SRX14812468|ES_cells	SRX14812469|ES_cells	SRX14812478|ES_cells	SRX14812479|ES_cells	SRX14812480|ES_cells	SRX14812481|ES_cells	SRX14812482|ES_cells	SRX14812483|ES_cells	SRX14812484|ES_cells	SRX14812485|ES_cells	SRX14812505|ES_cells	SRX14812506|ES_cells	SRX14812507|ES_cells	SRX14812508|ES_cells	SRX14812511|ES_cells	SRX14812512|ES_cells	SRX14812513|ES_cells	SRX14812514|ES_cells	SRX14927585|ES_cells	SRX14927586|ES_cells	SRX19611558|ES_cells	SRX19611559|ES_cells	SRX7001433|ES_cells	SRX769393|ES_cells	SRX10550256|HPC-7	SRX9697337|Lung_adenocarcinoma	SRX9697338|Lung_adenocarcinoma	SRX9697343|Lung_adenocarcinoma	SRX9697344|Lung_adenocarcinoma	SRX9697339|Lymphoma	SRX9697340|Lymphoma	SRX9697345|Lymphoma	SRX9697346|Lymphoma	SRX11724948|Macrophages	SRX2991451|Macrophages	SRX2991452|Macrophages	SRX2991453|Macrophages	SRX2991454|Macrophages	SRX2991455|Macrophages	SRX2170268|Mammary_cells	SRX2170269|Mammary_cells	SRX2170271|Mammary_cells	SRX2170272|Mammary_cells	SRX1588750|Mammary_glands	SRX270554|MEF	SRX270556|MEF	SRX483599|MEF	SRX18990882|mESC_derived_neural_cells	SRX18990883|mESC_derived_neural_cells	SRX17122861|Osteosarcoma	SRX9697341|Sarcoma	SRX9697342|Sarcoma	SRX9697347|Sarcoma	SRX9697348|Sarcoma	SRX18696492|Thymus	SRX18696493|Thymus	SRX6068088|White_adipose_tissue	SRX6068090|White_adipose_tissue	SRX6068092|White_adipose_tissue	STRING
Slc25a45	20.184615	77	148	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	183	242	294	0	107	0	108	236	165	0	0	0	0	0	0	0	0	0	0	0
Chrnd	20.184615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	131	122	214	216	170	111	0	0	0	0	0	0	148	120	174	0	0	152	0	0	105	0	0	153	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	153	0	0	0	0	0	0	0	0	0	0	0
Ankmy1	20.184615	98	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	190	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	762	0	171	0	174	0	124	0	0	0	0	0	0	0	0	0	0	0
Abo	20.161538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	269	170	368	298	172	133	0	0	0	0	0	0	129	185	0	0	146	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	232	0	0	0	0	0	0	0	0	0	0	0
Noc4l	20.153846	115	138	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	753	302	186	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0
Ddx51	20.153846	115	138	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	753	302	186	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0
Septin7	20.146154	121	82	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0
Pros1	20.138462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	130	0	0	0	270	424	0	106	0	0	0	0	0	0	98	162	114	170	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	154	138	113	0	0	0	0	0	0	0	0	0	0	0
Srcin1	20.107692	128	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	124	0	104	168	212	0	0	0	133	118	0	0	125	149	113	166	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	236	0	0	0	0	0	0	0	0	0	0	0
Xpo5	20.092308	298	176	121	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	94	300	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	273	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	134	0	0	0	0	0	140	145	0	0	0	0
Polh	20.092308	298	176	121	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	94	300	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	273	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	134	0	0	0	0	0	140	145	0	0	0	0
Ddx10	20.076923	239	221	273	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	330	205	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0
Abhd11	20.069231	316	215	140	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	304	179	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	342	0	0	0	0	0	0	0	163	0	0	0
Recql4	20.053846	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	414	0	0	0	0	0	0	0	0	319	469	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0
Adgrl1	20.053846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	353	0	0	0	0	0	0	0	0	240	305	187	335	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	319	90	0	0	0	0	0	0	0	0	0	0
Kiz	20.038462	337	197	307	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	500	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0
Cntnap5c	20.038462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	160	340	400	139	142	0	0	0	0	0	0	177	165	208	467	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emc7	19.976923	240	147	115	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	163	0	0	0	0	0	0	0	0	0	0	522	460	169	0	0	0	0	0	0	0	0	0	0	124	279	0	0	0	0	0	0	0	0	0	0
Agrn	19.976923	362	284	185	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	264	0	0	0	0	0	0	0	0	140	269	195	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0
Psap	19.961538	252	226	232	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	108	118	126	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	368	0	0	0	0	102	153	73	0	0	0	0	0	0	0	0	0	0
Dip2b	19.961538	238	192	172	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	274	438	0	0	0	0	0	0	0	0	179	247	184	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif4g2	19.946154	104	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0
Aopep	19.930769	238	162	105	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	110	114	164	170	0	80	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	234	0	0	0	0	0	83	0	152	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0
Iapp	19.923077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	108	380	397	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	380	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	419	0	0	0	0	0	0	0	0	0	0	0
Ccdc92b	19.915385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	204	159	0	177	0	0	0	0	0	0	142	177	127	175	0	0	0	0	0	0	0	0	161	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	260	0	0	0	0	0	0	0	0	0	0	0
Tmem130	19.907692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	259	0	214	185	0	0	0	0	0	120	145	190	307	0	0	0	0	0	0	0	0	137	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	230	0	0	0	0	0	0	0	0	0	0	0
Zfp865	19.900000	186	110	102	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	160	204	107	126	0	0	0	120	0	0	129	0	0	161	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	340	288	0	0	0	0	0	0	0	0	0	0	0
Gm3667	19.900000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	98	0	216	156	0	0	0	0	0	0	0	0	0	0	0	0	124	0	379	462	383	299	0	154	0	0	0	0	83	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a7	19.884615	190	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	237	558	0	393	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0
Rxrb	19.884615	190	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	237	558	0	393	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-Ke6	19.884615	190	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	237	558	0	393	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh2b1	19.876923	110	81	149	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	172	0	0	0	0	0	0	0	0	135	77	136	146	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	451	0	0	0	0	156	217	0	0	0	0	0	0	0	0	0	0	0
Ptpn13	19.861538	226	170	107	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	281	228	225	207	191	282	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0
Aldh18a1	19.861538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0
Ywhag	19.776923	256	111	100	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	135	119	227	0	0	0	0	0	163	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	148	0	194	0	193	139	0	157	0	0	0	0	0	0	0	0	0	0
Gabarap	19.761538	192	179	149	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dynlt1b	19.753846	462	425	233	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0
Ankrd7	19.746154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	160	308	243	244	230	117	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0
1700102P08Rik	19.746154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	136	0	0	0	0	0	0	0	0	0	85	92	139	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	1004	0	0	0	0	128	170	0	0	0	0	0	0	0	0	0	0	0
Gtf3a	19.730769	171	177	82	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	217	0	0	0	0	0	0	0	0	107	0	88	200	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	209	0	0	0	0	249	197	85	0	0	0	0	0	0	98	0	0	0
Pdx1	19.715385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	191	186	184	201	205	201	103	0	0	0	0	0	123	0	180	0	0	0	0	0	0	0	0	214	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	218	0	0	0	0	0	0	0	0	0	0	0
Cisd3	19.684615	613	602	675	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dixdc1	19.646154	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	259	201	139	140	137	0	0	118	0	0	0	159	101	246	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	266	165	0	0	0	0	0	0	0	0	0	0	0
Dagla	19.646154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
