Target_genes	Trp53|Average	SRX20177969|Alveolar_organoids	SRX20177971|Alveolar_organoids	SRX20177973|Alveolar_organoids	SRX20177975|Alveolar_organoids	SRX13124073|Astrocytes	SRX13124074|Astrocytes	SRX13124075|Astrocytes	SRX13124077|Astrocytes	SRX13124078|Astrocytes	SRX13124080|Astrocytes	SRX13124081|Astrocytes	SRX13124082|Astrocytes	SRX13124084|Astrocytes	SRX13124085|Astrocytes	SRX13124086|Astrocytes	SRX13124088|Astrocytes	SRX13124089|Astrocytes	SRX13124090|Astrocytes	SRX13124092|Astrocytes	SRX13124093|Astrocytes	SRX13124094|Astrocytes	SRX13124096|Astrocytes	SRX13124097|Astrocytes	SRX13124098|Astrocytes	SRX13124100|Astrocytes	SRX13124101|Astrocytes	SRX14203722|Astrocytes	SRX20927693|B16	SRX20927694|B16	SRX10550254|Ba/F3	SRX10550255|Ba/F3	SRX9982608|Back_skin	SRX9982609|Back_skin	SRX9982610|Back_skin	SRX9982611|Back_skin	SRX8875615|Breast_tumor	SRX8875616|Breast_tumor	SRX8875617|Breast_tumor	SRX8875618|Breast_tumor	SRX8875619|Breast_tumor	SRX8875620|Breast_tumor	SRX8875621|Breast_tumor	SRX8875622|Breast_tumor	SRX8875623|Breast_tumor	SRX8875624|Breast_tumor	SRX8875625|Breast_tumor	SRX8875626|Breast_tumor	SRX8875627|Breast_tumor	SRX8875628|Breast_tumor	SRX8875629|Breast_tumor	SRX8875630|Breast_tumor	SRX8875631|Breast_tumor	SRX8875632|Breast_tumor	SRX14495051|Colon_epthelial_cells	SRX1080400|Embryoid_Bodies	SRX1080401|Embryoid_Bodies	SRX335560|Embryonic_kidney	SRX10310862|ES_cells	SRX10310863|ES_cells	SRX13063203|ES_cells	SRX13063204|ES_cells	SRX13063205|ES_cells	SRX13063206|ES_cells	SRX13063207|ES_cells	SRX13063208|ES_cells	SRX13063209|ES_cells	SRX13063210|ES_cells	SRX13113713|ES_cells	SRX13113714|ES_cells	SRX14812466|ES_cells	SRX14812467|ES_cells	SRX14812468|ES_cells	SRX14812469|ES_cells	SRX14812478|ES_cells	SRX14812479|ES_cells	SRX14812480|ES_cells	SRX14812481|ES_cells	SRX14812482|ES_cells	SRX14812483|ES_cells	SRX14812484|ES_cells	SRX14812485|ES_cells	SRX14812505|ES_cells	SRX14812506|ES_cells	SRX14812507|ES_cells	SRX14812508|ES_cells	SRX14812511|ES_cells	SRX14812512|ES_cells	SRX14812513|ES_cells	SRX14812514|ES_cells	SRX14927585|ES_cells	SRX14927586|ES_cells	SRX19611558|ES_cells	SRX19611559|ES_cells	SRX7001433|ES_cells	SRX769393|ES_cells	SRX10550256|HPC-7	SRX9697337|Lung_adenocarcinoma	SRX9697338|Lung_adenocarcinoma	SRX9697343|Lung_adenocarcinoma	SRX9697344|Lung_adenocarcinoma	SRX9697339|Lymphoma	SRX9697340|Lymphoma	SRX9697345|Lymphoma	SRX9697346|Lymphoma	SRX11724948|Macrophages	SRX2991451|Macrophages	SRX2991452|Macrophages	SRX2991453|Macrophages	SRX2991454|Macrophages	SRX2991455|Macrophages	SRX2170268|Mammary_cells	SRX2170269|Mammary_cells	SRX2170271|Mammary_cells	SRX2170272|Mammary_cells	SRX1588750|Mammary_glands	SRX270554|MEF	SRX270556|MEF	SRX483599|MEF	SRX18990882|mESC_derived_neural_cells	SRX18990883|mESC_derived_neural_cells	SRX17122861|Osteosarcoma	SRX9697341|Sarcoma	SRX9697342|Sarcoma	SRX9697347|Sarcoma	SRX9697348|Sarcoma	SRX18696492|Thymus	SRX18696493|Thymus	SRX6068088|White_adipose_tissue	SRX6068090|White_adipose_tissue	SRX6068092|White_adipose_tissue	STRING
Gtse1	777.684615	0	119	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	0	0	1317	2897	0	0	0	0	1067	0	0	0	0	0	0	0	0	1646	0	0	0	0	0	0	0	0	0	1229	1139	0	1741	962	0	0	0	0	0	0	0	0	2423	345	2283	2355	2340	2304	2820	2764	2698	2446	2242	2428	2566	1854	1996	2073	1942	2257	1913	1513	2437	1420	1684	2402	0	0	3153	2668	839	0	0	0	152	0	0	0	0	0	0	1333	1875	738	814	3163	3286	3841	4003	0	1875	0	1872	2784	2744	0	0	0	0	0	0	0	1472	0	0	0
Alg14	777.215385	202	204	129	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1885	3102	0	0	0	0	362	0	0	0	0	0	0	0	0	613	0	0	0	0	0	0	0	0	448	1219	1189	0	3201	2277	0	0	0	0	0	0	0	0	2708	331	2612	2706	2744	2566	2894	2696	2502	2833	2482	2418	2956	2272	2422	2500	2174	2185	2552	1490	3085	2347	1573	1710	780	958	3644	2391	968	0	0	0	274	0	0	0	0	0	0	0	266	121	209	2075	1804	3578	4122	0	821	0	978	2961	3111	0	0	0	0	0	0	0	297	0	0	0
Bfsp2	768.992308	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	2500	3273	0	0	0	0	369	0	0	0	0	0	0	0	0	755	0	0	0	0	0	0	0	0	234	917	965	0	3639	3031	0	0	0	0	0	0	0	0	2349	217	2667	2767	2651	2654	2738	2713	2575	2849	2359	2559	2926	2160	2236	2471	2015	2181	2263	1555	3017	2337	1104	1586	605	921	3628	2119	1470	0	0	0	218	0	0	0	0	0	0	129	342	139	183	1982	1784	3265	3887	0	1068	0	898	2957	2949	0	0	0	247	0	0	0	179	0	0	0
Zfp958	761.046154	369	223	958	961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	1130	230	2485	2945	0	0	0	0	437	0	0	0	0	0	0	0	0	815	0	0	0	0	0	0	0	0	1145	1596	1573	244	2522	1809	0	0	0	0	0	0	0	0	2677	319	2023	2150	1886	1999	2402	2528	2536	2399	2109	2192	2163	1236	1133	1324	973	1406	1886	917	2507	1185	2717	2387	1363	1679	3074	2023	1682	0	0	208	380	0	0	638	0	0	0	398	432	337	372	3286	2642	3002	3847	0	592	0	605	2827	2701	0	0	0	368	0	286	239	885	281	0	0
Ccr4	756.376923	191	140	1228	1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	2434	2631	0	0	0	0	1232	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	748	1618	1220	512	1312	471	0	0	0	0	0	0	0	0	1268	295	2169	2466	1621	1481	2108	2773	2691	2644	2561	2604	2526	1630	1073	1274	1145	1740	754	828	851	533	2033	2337	627	827	3900	2438	1224	0	0	0	0	0	0	0	0	0	0	1227	2261	1170	1597	3823	3842	2846	3734	0	1366	0	1361	2729	2831	0	0	0	0	0	0	0	2113	272	0	0
Rap2b	745.876923	195	242	712	830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1778	180	0	1090	2783	0	0	0	0	812	0	0	0	0	0	0	0	0	1472	0	0	0	0	0	0	0	0	133	796	742	67	1618	858	0	0	167	149	0	0	170	134	2192	341	1997	2174	2474	2355	2378	2298	2170	1850	1823	2219	1866	1154	2046	2168	1871	2317	1607	1279	2485	1305	1383	2151	0	134	3683	2346	1274	0	0	0	149	0	0	213	0	0	0	1332	1776	899	1234	3253	3488	3316	3473	0	1529	0	1530	2412	2289	122	0	0	0	0	0	0	1681	0	0	0
Csrnp2	739.392308	212	0	902	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1423	2928	0	0	0	0	338	0	0	0	0	0	0	0	0	703	0	0	0	0	0	0	0	0	518	1042	1192	0	2956	2019	0	0	0	0	0	0	0	0	2295	245	2522	2669	2604	2423	2729	2748	2507	2672	2062	2034	2772	2050	2056	2109	1946	1871	2319	1664	2935	1986	1358	1611	505	974	3675	1874	1493	0	0	0	216	0	0	0	0	0	0	0	207	144	0	2797	2791	2989	3775	0	886	0	866	2795	2809	0	0	0	0	0	0	0	284	0	0	0
Muc13	737.123077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2443	3252	0	0	0	0	267	0	0	0	0	0	0	0	0	539	0	0	0	0	0	0	0	0	606	1210	1266	0	3303	2580	0	0	0	0	0	0	0	0	2457	313	2608	2522	2387	2330	2590	2680	2438	2544	2297	2324	2741	2063	2006	2170	1768	1920	2549	1454	2996	2288	1124	1273	597	956	3487	2097	1284	0	0	0	174	0	0	147	0	0	0	0	320	101	133	2073	1780	3239	3914	0	824	0	887	2923	2890	0	0	0	400	0	0	0	292	0	0	0
Bbc3	732.676923	157	218	1296	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1876	587	0	2534	2710	0	0	0	0	1183	0	0	0	0	0	0	0	0	1781	0	0	0	0	0	0	0	0	582	1244	1226	233	1638	964	0	0	0	0	0	0	0	0	2238	407	1656	1653	1465	1430	2121	2122	2022	2025	1586	1838	1850	1100	1027	1246	1067	1306	699	781	907	649	1878	2200	679	1410	3257	2038	2472	0	0	387	931	0	0	281	0	0	166	1871	2015	1637	1828	3129	3588	2963	3312	0	939	0	937	2424	2356	75	0	0	0	0	0	0	1571	0	0	0
Klhdc4	722.261538	391	351	1151	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	1524	545	2624	2846	0	0	0	0	445	0	0	0	0	0	0	0	0	564	0	0	0	0	0	0	0	0	1936	789	819	616	1307	754	0	0	0	0	0	0	0	0	2194	282	1894	1961	1821	1531	2263	2713	2485	2118	2041	2136	1929	880	849	1182	836	1028	1229	507	1661	1021	1867	1797	1088	1611	3270	1767	795	0	0	0	276	0	0	490	164	0	0	1448	1697	915	1247	3123	3339	3005	3963	0	517	0	461	2567	2428	160	0	0	284	170	396	382	2006	192	0	0
