Target_genes	Emx2|Average	SRX11976446|Cerebral_Cortex	SRX11976464|Cerebral_Cortex	SRX11976465|Cerebral_Cortex	STRING
Vrk3	194.333333	0	0	583	0
Vps36	193.666667	0	0	581	0
Mppe1	193.000000	0	0	579	0
Fam222a	190.000000	0	0	570	0
Vstm2a	188.666667	0	0	566	0
Map2	187.333333	0	0	562	0
Gli3	185.000000	0	0	555	0
Mpp3	184.666667	0	0	554	0
Cpeb2	184.666667	0	0	554	0
Prrt2	183.666667	0	0	551	0
Pagr1a	183.666667	0	0	551	0
Mvp	183.666667	0	0	551	0
Wwox	182.000000	255	291	0	0
Cldn10	181.000000	0	0	543	0
Dchs2	180.000000	297	0	243	0
1600014C23Rik	180.000000	0	0	540	0
Sulf2	177.666667	0	0	533	0
Nyap1	177.666667	0	0	533	0
Tcf7l1	177.000000	0	0	531	0
Frmd4b	176.000000	0	0	528	0
Arhgef17	175.666667	0	0	527	0
Crlf2	175.333333	0	0	526	0
Ttc39a	174.666667	0	0	524	0
Masp1	169.666667	0	0	509	0
Tex22	167.000000	0	0	501	0
Cobl	167.000000	0	0	501	0
Pou2f1	165.000000	0	0	495	0
Trub1	164.666667	0	0	494	0
Ptch1	164.333333	0	0	493	0
Scgn	164.000000	0	0	492	0
Wdr95	161.000000	0	0	483	0
Ric8b	160.333333	0	0	481	0
Hmga1b	160.333333	0	0	481	0
Hmga1	160.333333	0	0	481	0
Zfp9	160.000000	0	0	480	0
Rap2c	160.000000	0	0	480	0
2300003K06Rik	159.333333	0	0	478	0
Myt1l	158.333333	0	0	475	0
Znrd2	158.000000	0	0	474	0
Fam89b	158.000000	0	0	474	0
Ehbp1l1	158.000000	0	0	474	0
Cilp	158.000000	0	0	474	0
Zbtb18	157.666667	0	0	473	0
Dcdc5	156.666667	0	95	375	0
Plxnb1	156.333333	0	0	469	0
Agap3	156.333333	0	0	469	0
Pum2	155.333333	0	0	466	0
Ndufa4l2	154.666667	0	0	464	0
Flrt3	154.666667	0	0	464	0
Hsd17b2	152.000000	0	0	456	0
Rfx4	151.000000	0	0	453	0
Idh3a	150.666667	0	0	452	0
Tmem144	149.666667	0	0	449	0
Os9	149.666667	0	0	449	0
Cic	149.333333	0	0	448	0
C8b	149.000000	0	0	447	0
Tmeff1	148.333333	0	0	445	0
Copz1	148.333333	255	190	0	0
Arid3a	148.333333	0	0	445	0
Adarb2	148.000000	0	0	444	0
Synpo2	146.666667	0	0	440	0
Prkab1	146.333333	0	0	439	0
H4c18	146.333333	0	0	439	0
H4bc24	146.333333	0	0	439	0
H2bc23	146.333333	0	0	439	0
H2ac24	146.333333	0	0	439	0
H2ac23	146.333333	0	0	439	0
Tacc1	145.000000	0	0	435	0
Ascl1	145.000000	0	0	435	0
Cdc6	144.333333	0	0	433	0
Zfp763	144.000000	0	0	432	0
Tbx18	142.666667	0	0	428	0
Fgf15	142.333333	0	78	349	0
Cdh3	141.333333	0	0	424	0
Cdh17	141.333333	0	0	424	0
Slc25a32	140.666667	0	0	422	0
Dcaf13	140.666667	0	0	422	0
Zfp317	140.000000	0	0	420	0
Wfs1	140.000000	0	0	420	0
Filip1	140.000000	0	0	420	0
Ergic1	140.000000	0	0	420	0
H4c17	139.666667	0	0	419	0
Bmpr1b	139.666667	0	0	419	0
Lgi1	139.000000	0	0	417	0
Cfap20	138.666667	0	0	416	0
Cdk19	138.666667	0	0	416	0
Arhgap15	138.666667	0	135	281	0
Gm12258	136.000000	0	0	408	0
Bend4	136.000000	0	0	408	0
Atp1b4	136.000000	0	0	408	0
Hexim2	135.333333	0	0	406	0
Sntb2	134.333333	0	0	403	0
Lrrc9	134.000000	0	0	402	0
Gm4981	134.000000	128	116	158	0
Clk4	134.000000	0	0	402	0
BC049762	134.000000	0	0	402	0
Htr3b	133.000000	0	0	399	0
Upk2	132.333333	0	0	397	0
Smurf2	132.333333	0	0	397	0
Rspo1	132.333333	0	0	397	0
Pop5	132.333333	0	0	397	0
Kazald1	131.666667	0	0	395	0
Itgb1	131.666667	0	0	395	0
Slc25a33	130.333333	0	0	391	0
Dipk1c	130.333333	0	0	391	0
4930402H24Rik	130.333333	0	0	391	0
Foxp2	129.000000	0	0	387	0
Znrf3	128.333333	0	0	385	0
Rnasel	128.333333	0	0	385	0
Rmnd5a	128.333333	0	0	385	0
Atp6v0d1	127.666667	0	0	383	0
Agrp	127.666667	0	0	383	0
Fbxo46	126.000000	0	0	378	0
Bhmg1	126.000000	0	0	378	0
Col14a1	125.666667	0	0	377	0
Pcdh15	125.333333	0	0	376	0
Psmd8	124.333333	0	0	373	0
Cpa4	124.333333	0	0	373	0
Tcf7l2	123.000000	0	0	369	0
Rtraf	122.333333	0	0	367	0
Csmd3	121.000000	0	0	363	0
Nfia	120.666667	0	0	362	0
Lemd2	120.666667	0	0	362	0
Exph5	120.666667	0	0	362	0
Entpd1	120.666667	0	0	362	0
Edrf1	120.666667	0	0	362	0
Csdc2	120.666667	0	0	362	0
Bcor	120.666667	0	0	362	0
Rapgef1	119.333333	0	0	358	0
Sox2	118.000000	0	0	354	408
Mrps33	118.000000	0	0	354	0
Nol4	117.666667	0	0	353	0
Otx1	117.333333	0	0	352	0
Meis2	117.333333	0	0	352	0
Ptn	115.666667	0	109	238	0
Mycbp2	115.666667	0	0	347	0
Gsg1l	115.333333	0	0	346	0
Prorp	114.333333	0	0	343	0
Kbtbd11	114.333333	0	0	343	0
Pdzrn4	114.000000	0	0	342	0
Mynn	114.000000	0	0	342	0
Actrt3	114.000000	0	0	342	0
Soga1	113.333333	0	0	340	0
Prkag2	113.333333	0	0	340	0
Elf3	113.333333	0	0	340	0
Zfp869	113.000000	0	0	339	0
Synpr	111.666667	0	0	335	0
Sp5	111.000000	0	0	333	0
Prpf8	111.000000	0	0	333	0
Pmpcb	110.666667	0	0	332	0
Tsc22d1	110.333333	0	0	331	0
Ubr2	109.666667	0	0	329	0
Snx17	109.666667	0	0	329	0
Ntrk3	109.666667	0	0	329	0
Eif2b4	109.666667	0	0	329	0
Atmin	109.666667	0	0	329	0
Nemf	109.000000	0	0	327	0
4931429L15Rik	109.000000	0	0	327	0
Dct	108.666667	0	0	326	0
Skap1	108.000000	0	0	324	0
Scd2	108.000000	0	0	324	0
Nfil3	107.666667	0	0	323	0
Minar2	107.333333	0	0	322	0
Ugcg	107.000000	0	0	321	0
Rufy3	106.666667	0	0	320	0
Zhx2	106.333333	0	0	319	0
Rabl3	106.000000	0	0	318	0
Gtf2e1	106.000000	0	0	318	0
Anapc15	106.000000	0	0	318	0
Pcdh18	105.333333	0	0	316	0
Elavl4	105.000000	0	0	315	0
Lamc1	104.666667	0	0	314	0
Rnft1	104.333333	0	0	313	0
Trib1	104.000000	0	0	312	0
Trafd1	103.666667	0	0	311	0
Thra	103.666667	0	0	311	0
Hopx	103.000000	0	0	309	0
Ddx6	103.000000	0	0	309	0
Sost	102.333333	0	0	307	0
Rgs9	102.333333	0	0	307	0
Lpo	102.333333	0	0	307	0
Hmg20b	102.333333	0	0	307	0
Th	102.000000	0	0	306	0
Cnr1	102.000000	0	0	306	0
Otx2	101.666667	0	0	305	0
H2bc4	101.666667	0	0	305	0
H2ac6	101.666667	0	0	305	0
Baz2b	101.666667	0	0	305	0
Slit1	101.333333	0	0	304	0
Plpp3	100.333333	0	0	301	0
Cwc22	100.000000	0	0	300	0
Anks1b	100.000000	0	0	300	0
Cs	99.666667	0	0	299	0
Tesk2	98.666667	0	0	296	0
Scn4b	98.666667	0	0	296	0
Rbm25	98.666667	0	0	296	0
Ankrd10	98.333333	0	0	295	0
Tcerg1	98.000000	0	0	294	0
Rps29	98.000000	0	0	294	0
Mdga1	98.000000	0	0	294	0
Otol1	97.333333	0	0	292	0
Gsto2	97.333333	137	0	155	0
Sox21	97.000000	0	0	291	0
Scarb2	96.666667	0	0	290	0
Neurog2	96.333333	0	0	289	0
Tle1	96.000000	0	0	288	0
H3c4	95.666667	0	0	287	0
H2bc8	95.666667	0	0	287	0
H2bc7	95.666667	0	0	287	0
H2ac8	95.666667	0	0	287	0
H2ac7	95.666667	0	0	287	0
Zfp788	95.000000	0	0	285	0
Unc5d	95.000000	0	0	285	0
Myl6b	95.000000	0	0	285	0
Myl6	95.000000	0	0	285	0
Mad2l2	95.000000	0	0	285	0
Lrp3	95.000000	0	0	285	0
Dnm2	95.000000	0	0	285	0
Cmc1	95.000000	0	0	285	0
Ranbp9	94.666667	0	0	284	0
Trim50	94.333333	175	108	0	0
Tmem107	94.333333	0	0	283	0
Setd1b	94.333333	0	0	283	0
Lingo2	94.333333	0	0	283	0
Arid1b	93.666667	0	0	281	0
Cbr3	93.333333	0	280	0	0
Arl4d	93.333333	0	0	280	0
Tcf12	93.000000	0	0	279	0
Mad2l1	92.666667	0	0	278	0
Bahcc1	92.666667	0	0	278	0
Fzd2	92.333333	0	0	277	0
Vmn1r2	91.666667	93	0	182	0
Myo10	91.666667	0	0	275	0
Zfp160	91.333333	0	0	274	0
Uxs1	91.333333	0	0	274	0
Slc38a8	91.333333	0	0	274	0
Rngtt	91.333333	0	0	274	0
Rims2	91.333333	0	0	274	0
Rangap1	91.333333	0	0	274	0
P4ha3	91.333333	0	0	274	0
Gm11437	91.333333	0	0	274	0
Emc2	91.333333	0	0	274	0
Dhx16	91.333333	0	0	274	0
Ccdc32	91.333333	0	0	274	0
Asb10	91.333333	0	0	274	0
Zfp341	91.000000	0	0	273	0
Prdm13	91.000000	0	0	273	0
Dctpp1	91.000000	0	0	273	0
Cox20	90.666667	0	0	272	0
Grhl3	89.666667	0	0	269	0
Zdhhc13	89.333333	0	0	268	0
Fabp7	88.666667	0	0	266	0
1700071K01Rik	88.333333	0	0	265	0
Tigd3	88.000000	0	0	264	0
Spry1	88.000000	0	0	264	0
Apbb2	88.000000	0	0	264	0
Ap1g1	88.000000	0	0	264	0
Alyref2	87.666667	0	0	263	0
Tex14	87.333333	0	0	262	0
Fam76b	87.333333	0	0	262	0
Cep57	87.333333	0	0	262	0
Siah3	87.000000	0	0	261	0
Nucb2	87.000000	0	0	261	0
Kmt2e	87.000000	0	0	261	0
Gm45915	87.000000	0	0	261	0
Itgb5	86.666667	0	0	260	0
Tmem167b	85.666667	0	0	257	0
Lmo4	85.666667	0	0	257	0
Siah1a	85.333333	0	0	256	0
Efnb3	85.333333	0	0	256	0
Spty2d1	85.000000	0	0	255	0
Trhr	84.333333	0	0	253	0
Stk10	84.333333	0	0	253	0
Shisal1	84.333333	0	0	253	0
Nucks1	84.333333	0	0	253	0
Fibcd1	84.333333	0	0	253	0
Dusp7	84.333333	0	0	253	0
Depdc1a	84.333333	0	0	253	0
Cxxc1	84.333333	0	0	253	0
Sall2	84.000000	0	0	252	0
Scaf1	83.333333	0	0	250	0
Rras	83.333333	0	0	250	0
Hspa8	82.000000	0	0	246	0
Tubg1	81.333333	0	0	244	0
Retreg3	81.333333	0	0	244	0
Ttc37	81.000000	0	0	243	0
Smim38	81.000000	0	0	243	0
Rbm20	81.000000	0	0	243	0
Naa20	81.000000	0	0	243	0
Mxra7	81.000000	0	0	243	0
Mars2	81.000000	0	0	243	0
Lrfn5	81.000000	0	0	243	0
Krt1	81.000000	0	0	243	0
Kif1a	81.000000	0	0	243	0
Gm10710	81.000000	0	0	243	0
Cfap410	81.000000	0	0	243	0
Arsk	81.000000	0	0	243	0
Igfbpl1	80.666667	0	0	242	0
Dbx1	80.666667	0	94	148	0
Nptx2	80.333333	0	0	241	0
Ezr	80.000000	0	0	240	0
Tnrc6b	78.333333	0	0	235	0
Nr2e1	78.000000	0	0	234	0
Stk35	77.666667	0	0	233	0
Phb	77.666667	0	0	233	0
Neu1	77.666667	0	0	233	0
Diaph1	77.666667	0	0	233	0
