Target_genes	Thap1|Average	SRX20869753|ES_cells	SRX20869754|ES_cells	SRX20869755|ES_cells	SRX8772302|MEF	STRING
Tubg1	1498.750000	2690	2775	530	0	0
Retreg3	1498.750000	2690	2775	530	0	0
Zfp764	1498.000000	2781	2760	0	451	0
Esco2	1497.500000	2583	2489	0	918	0
Ccdc25	1497.500000	2583	2489	0	918	0
Rpl12	1495.000000	2795	2728	0	457	0
Lrsam1	1495.000000	2795	2728	0	457	0
Ralgapb	1492.000000	2820	2889	0	259	0
Tyk2	1487.750000	2723	2649	0	579	0
Evi5l	1486.500000	2573	2777	0	596	0
Mrpl36	1483.250000	2560	2678	0	695	0
Cxxc1	1477.250000	2794	2881	0	234	0
Wrap53	1476.000000	2450	2468	0	986	0
Trp53	1476.000000	2450	2468	0	986	0
Use1	1473.750000	2513	2389	0	993	0
Ocel1	1473.750000	2513	2389	0	993	0
Galc	1472.750000	2404	2520	0	967	0
Ggnbp1	1472.500000	2880	2759	0	251	0
Ndufb4	1472.250000	2842	2899	0	148	0
Nudcd3	1470.750000	2527	2533	0	823	0
Cln3	1465.250000	2708	2566	0	587	0
Apobr	1465.250000	2708	2566	0	587	0
Mmgt1	1464.500000	2532	2940	0	386	0
Zfp689	1461.750000	2644	2495	0	708	0
Snap29	1461.500000	2561	2531	0	754	0
Pi4ka	1461.500000	2561	2531	0	754	0
9130019O22Rik	1454.000000	2840	2818	0	158	0
Cycs	1453.750000	2316	2586	0	913	0
Tcp1	1453.000000	2458	2573	0	781	0
Rps5	1453.000000	2817	2840	0	155	0
Mrpl18	1453.000000	2458	2573	0	781	0
Zzef1	1452.000000	2537	2494	0	777	0
Cyb5d2	1452.000000	2537	2494	0	777	0
Slx4ip	1451.500000	2260	2124	0	1422	0
Mkks	1451.500000	2260	2124	0	1422	0
Zbtb40	1450.500000	2324	2559	0	919	0
Zfp408	1448.000000	2734	2796	0	262	0
Arhgap1	1448.000000	2734	2796	0	262	0
Cuedc2	1447.000000	2417	2269	0	1102	0
Zc3h11a	1446.750000	2426	2463	0	898	0
Zbed6	1446.750000	2426	2463	0	898	0
Skap2	1444.750000	2527	2399	0	853	0
Ccdc124	1443.500000	2671	2578	0	525	0
Vps16	1428.000000	2499	2421	0	792	0
Pced1a	1428.000000	2499	2421	0	792	0
Ndufs8	1426.750000	2487	2494	358	368	0
Zfp617	1423.000000	2507	2462	0	723	0
Zbtb11	1422.250000	2686	2724	0	279	0
Gpr137	1416.500000	2317	2365	0	984	0
Bad	1416.500000	2317	2365	0	984	0
Rnf225	1414.250000	2817	2840	0	0	0
Dedd	1414.000000	2460	2370	0	826	0
Sass6	1413.750000	2595	2653	0	407	0
0610009B22Rik	1409.250000	2392	2346	0	899	0
Ttc16	1408.750000	2731	2744	0	160	0
Ptrh1	1408.750000	2731	2744	0	160	0
Thap3	1408.000000	2439	2375	0	818	0
Lyrm1	1406.250000	2457	2412	0	756	0
Dcun1d3	1406.250000	2457	2412	0	756	0
Cstf1	1404.250000	2392	2568	0	657	0
Aurka	1404.250000	2392	2568	0	657	0
Cmc2	1397.250000	2559	2377	0	653	0
Cenpn	1397.250000	2559	2377	0	653	0
Rnf20	1394.750000	2409	2668	0	502	0
Ier2	1393.500000	2374	2325	0	875	0
Stpg3	1390.000000	2413	2375	0	772	0
Nelfb	1390.000000	2413	2375	0	772	0
Tpgs1	1386.000000	2284	2139	0	1121	0
Madcam1	1386.000000	2284	2139	0	1121	0
Zfp952	1380.500000	2329	2642	0	551	0
Rps19	1380.500000	2254	2186	0	1082	0
Sec23ip	1368.000000	2344	2221	0	907	0
Mcmbp	1368.000000	2344	2221	0	907	0
Aftph	1366.250000	2394	2590	0	481	0
Zfp865	1363.250000	2263	2101	0	1089	0
Zfp524	1363.250000	2263	2101	0	1089	0
Fiz1	1363.250000	2263	2101	0	1089	0
Eif4a3	1363.000000	2360	2705	0	387	0
Tmem29	1362.750000	2460	2653	0	338	0
Sec23b	1358.000000	2107	2278	0	1047	0
Zfp882	1345.000000	2364	2379	0	637	0
Zfp598	1344.500000	2292	2481	0	605	0
Gm18905	1343.250000	2643	2518	0	212	0
Sphk2	1342.250000	2423	2340	0	606	0
Rpl18	1342.250000	2423	2340	0	606	0
Nfe2l1	1342.000000	2371	2268	0	729	0
Pex12	1341.250000	2289	2370	0	706	0
Ap2b1	1341.250000	2289	2370	0	706	0
Tbc1d14	1341.000000	2384	2380	0	600	0
Nfkbil1	1340.000000	2087	2381	0	892	0
Atp6v1g2	1340.000000	2087	2381	0	892	0
Chmp3	1339.250000	2480	2683	0	194	0
Cfap410	1338.000000	2492	2860	0	0	0
Fpgs	1335.250000	2361	2731	0	249	0
Trappc6a	1326.000000	2500	2392	0	412	0
Bloc1s3	1326.000000	2500	2392	0	412	0
Pgls	1319.000000	2513	2531	0	232	0
Cbl	1315.250000	2438	2653	0	170	0
Zfp658	1307.750000	2369	2491	0	371	0
Ufc1	1305.750000	2220	2331	0	672	0
Yif1a	1303.250000	2462	2451	0	300	0
Tmem151a	1303.250000	2462	2451	0	300	0
Usf1	1296.500000	2251	2218	0	717	0
Snrnp35	1295.000000	2258	2179	0	743	0
Rilpl2	1295.000000	2258	2179	0	743	0
Znhit1	1292.750000	2303	2235	0	633	0
Plod3	1292.750000	2303	2235	0	633	0
Rbm15b	1292.250000	2597	2572	0	0	0
Ubr4	1281.500000	2398	2578	0	150	0
Mettl17	1269.250000	1663	2297	371	746	0
Snupn	1262.750000	2037	2393	0	621	0
Fam122c	1261.000000	2023	2289	526	206	0
Fam122b	1261.000000	2023	2289	526	206	0
Cnnm2	1236.750000	2139	2362	0	446	0
Gon4l	1235.750000	2316	2429	0	198	0
Ap2a1	1235.250000	2213	2352	0	376	0
Polr2h	1233.000000	2273	2435	0	224	0
Clcn2	1233.000000	2273	2435	0	224	0
Bbs10	1219.000000	2134	2371	0	371	0
Adk	1215.000000	2198	2219	0	443	0
Fbxw2	1212.250000	2037	2408	0	404	0
Git2	1192.250000	2027	1874	0	868	0
Ankrd13a	1192.250000	2027	1874	0	868	0
Oxsm	1191.750000	2243	2524	0	0	0
Pdap1	1189.000000	1801	2108	0	847	0
Bud31	1189.000000	1801	2108	0	847	0
Ncoa4	1178.000000	2090	2334	0	288	0
Cebpzos	1175.250000	2042	2526	0	133	0
Gusb	1173.500000	1876	2217	0	601	0
Tmem143	1172.500000	2031	2283	233	143	0
Syngr4	1172.500000	2031	2283	233	143	0
Tfb2m	1167.750000	2107	2169	0	395	0
Cnst	1167.750000	2107	2169	0	395	0
Slc39a11	1167.000000	2020	2318	0	330	0
Cog1	1167.000000	2020	2318	0	330	0
Tepsin	1163.000000	2141	2369	0	142	0
Ndufaf8	1163.000000	2141	2369	0	142	0
Med25	1161.750000	1956	1927	0	764	0
Fuz	1161.750000	1956	1927	0	764	0
Ptbp1	1155.750000	2247	2163	0	213	0
Kifbp	1155.250000	2144	2200	0	277	0
Elovl5	1153.750000	2063	2384	0	168	0
Zmpste24	1147.500000	1821	2291	0	478	0
Actr3b	1142.750000	2087	2155	0	329	0
Catsperg1	1139.000000	2242	2314	0	0	0
Rps2	1135.000000	2156	2384	0	0	0
Rnf151	1135.000000	2156	2384	0	0	0
Ndufb10	1135.000000	2156	2384	0	0	0
Serac1	1124.750000	1903	2226	0	370	0
Gtf2h5	1124.750000	1903	2226	0	370	0
Bcas2	1120.500000	1801	2167	208	306	0
Ccar2	1116.750000	1619	2171	0	677	0
Cd2bp2	1114.250000	1803	2041	0	613	0
Tmem170b	1105.000000	1975	2066	0	379	0
Zfp563	1098.250000	1952	1825	0	616	0
Rbbp9	1096.250000	2107	2278	0	0	0
Gins2	1093.500000	1882	2304	0	188	0
Uvrag	1085.000000	1900	2098	0	342	0
Syt11	1082.500000	1985	2131	0	214	0
Tbc1d17	1071.750000	1821	1712	0	754	0
Akt1s1	1071.750000	1821	1712	0	754	0
Rad21	1064.500000	1972	2286	0	0	0
Tmem217	1056.500000	1865	2137	0	224	0
Tbc1d22b	1056.500000	1865	2137	0	224	0
Zbtb8os	1049.250000	1811	2063	0	323	0
Rbbp4	1049.250000	1811	2063	0	323	0
Hbs1l	1045.250000	1844	2049	0	288	0
Tspyl2	1040.500000	1849	1966	0	347	0
Tdpoz2	1035.250000	1813	2328	0	0	0
Recql4	1033.000000	1776	2044	0	312	0
Lrrc14	1033.000000	1776	2044	0	312	0
Zfp326	1017.000000	1744	2163	0	161	0
Sspn	1004.250000	1031	1122	511	1353	0
Tgfbr3l	1002.750000	1428	1676	0	907	0
Snapc2	1002.750000	1428	1676	0	907	0
8030462N17Rik	993.500000	1451	1700	0	823	0
Cog3	992.000000	1591	2114	0	263	0
Med28	982.750000	1693	1829	0	409	0
Rnf5	970.500000	1658	1823	0	401	0
Agpat1	970.500000	1658	1823	0	401	0
Nup155	967.000000	1538	1953	0	377	0
Sptlc2	963.000000	1783	1985	0	84	0
Zfp141	962.000000	1667	2181	0	0	0
Trp53rkb	960.000000	1352	1556	0	932	0
Pde6g	942.000000	1252	1716	0	800	0
Oxld1	942.000000	1252	1716	0	800	0
Ccdc137	942.000000	1252	1716	0	800	0
Socs5	938.500000	1467	1850	0	437	0
Fam151b	938.250000	1669	2084	0	0	0
Pex16	935.250000	1546	1851	0	344	0
Large2	935.250000	1546	1851	0	344	0
Prrg2	924.750000	1508	1739	0	452	0
Nosip	924.750000	1508	1739	0	452	0
Wdfy2	911.000000	1690	1954	0	0	0
Zgpat	896.250000	1283	1530	0	772	0
Arfrp1	896.250000	1283	1530	0	772	0
Med30	884.500000	1499	1875	0	164	0
Vapb	882.250000	1477	2052	0	0	0
Uba52	880.000000	1540	1647	0	333	0
Rex1bd	880.000000	1540	1647	0	333	0
Cox7a2l	872.000000	1621	1867	0	0	0
Krba1	867.500000	1582	1888	0	0	0
Ttbk2	866.250000	1648	1817	0	0	0
Eef1aknmt	864.250000	1449	2008	0	0	0
Mpdu1	862.500000	1372	1559	0	519	0
Brox	855.750000	469	638	1310	1006	0
Aida	855.750000	469	638	1310	1006	0
Akt2	852.750000	1510	1901	0	0	0
Zbtb16	845.000000	1503	1877	0	0	0
Pef1	819.250000	1450	1721	0	106	0
Abcf3	814.500000	1521	1737	0	0	0
Pms2	813.500000	1476	1778	0	0	0
Aimp2	813.500000	1476	1778	0	0	0
Zcchc7	812.750000	1573	1420	0	258	0
Kmt2e	810.000000	1063	1571	0	606	0
Actb	797.500000	1550	1640	0	0	0
Stard3	782.250000	1108	1575	0	446	0
Spsb3	779.250000	1392	1725	0	0	0
Nubp2	779.250000	1392	1725	0	0	0
Cnot4	774.250000	1391	1615	0	91	0
Stoml2	762.250000	1075	1515	0	459	0
Mrpl44	757.750000	949	1206	157	719	0
Il31ra	753.000000	505	610	409	1488	0
Cd300lb	752.750000	1456	1555	0	0	0
Pdia3	742.750000	1066	1364	0	541	0
Catsper2	742.750000	1066	1364	0	541	0
Fam120a	736.750000	1432	1515	0	0	0
Leprot	735.000000	1250	1442	0	248	0
Ell	735.000000	1170	1385	0	385	0
Mtmr9	734.500000	1026	1239	0	673	0
Upf2	724.000000	1338	1558	0	0	0
Aifm1	718.750000	1156	1719	0	0	0
Snap25	706.500000	1195	1506	0	125	0
Tada3	706.250000	1391	1434	0	0	0
Arpc4	706.250000	1391	1434	0	0	0
Tdpoz9	705.000000	1387	1433	0	0	0
Pi4k2a	704.500000	1368	1450	0	0	0
Morn4	704.500000	1368	1450	0	0	0
Ube2s	701.000000	1056	1465	0	283	0
Vps52	696.500000	881	1119	0	786	0
Rps18	696.500000	881	1119	0	786	0
Lca5l	696.500000	1313	1473	0	0	0
B3galt4	696.500000	881	1119	0	786	0
Iws1	695.500000	1045	1458	279	0	0
Polr3d	692.250000	1246	1523	0	0	0
Phc3	689.750000	1127	1367	0	265	0
Pigv	687.500000	1207	1304	0	239	0
Ubr7	680.500000	1002	1391	0	329	0
Gon7	680.500000	1002	1391	0	329	0
Gm20604	680.500000	1002	1391	0	329	0
Mad2l1	677.250000	1092	1617	0	0	0
Snx5	670.000000	1030	1093	0	557	0
Mgme1	670.000000	1030	1093	0	557	0
Fndc3a	661.250000	1075	1273	0	297	0
Mrpl1	661.000000	1068	1064	0	512	0
Zbtb21	660.250000	1095	1546	0	0	0
4930453N24Rik	655.500000	815	1233	0	574	0
Ccdc167	650.500000	1192	1410	0	0	0
Lig4	649.750000	1132	1467	0	0	0
Abhd13	649.750000	1132	1467	0	0	0
Tprn	646.250000	1063	1522	0	0	0
Riok3	642.500000	1179	1391	0	0	0
Prpf8	626.250000	1201	1304	0	0	0
Gapdh	623.750000	1123	1135	0	237	0
Rps14	623.000000	830	1021	0	641	0
Usp8	619.000000	1113	1363	0	0	0
Iqce	616.250000	984	1236	0	245	0
Brat1	616.250000	984	1236	0	245	0
Btrc	613.750000	1087	1368	0	0	0
Mcm10	606.750000	1000	1210	0	217	0
Trappc8	601.500000	1016	1390	0	0	0
Sgca	589.000000	1212	1144	0	0	0
Pa2g4	586.250000	1083	1153	0	109	0
Rpl32	581.500000	884	1108	0	334	0
Man1b1	580.500000	974	1348	0	0	0
Srp54c	579.000000	831	1059	0	426	0
Srp54b	579.000000	831	1059	0	426	0
Gtpbp2	569.000000	926	1034	0	316	0
Pik3r4	567.500000	1000	1270	0	0	0
Klhdc4	567.500000	813	1016	0	441	0
Ddx39b	566.750000	949	1047	0	271	0
Zfp846	562.250000	1088	1161	0	0	0
Tbc1d7	561.500000	823	949	0	474	0
Cant1	557.250000	1151	1078	0	0	0
Pwwp2a	554.250000	1197	1020	0	0	0
Birc2	553.500000	824	1299	0	91	0
Mbd4	550.250000	881	1320	0	0	0
Ift122	550.250000	881	1320	0	0	0
Hsd17b4	542.750000	1039	1132	0	0	0
Ankhd1	537.000000	907	985	0	256	0
Topors	527.500000	833	1058	0	219	0
Smim27	527.500000	833	1058	0	219	0
Pskh1	527.000000	885	1223	0	0	0
Ubac2	526.250000	888	1217	0	0	0
Arhgap11a	524.500000	946	1152	0	0	0
St6gal1	521.500000	915	1171	0	0	0
Chac1	521.250000	930	1155	0	0	0
Dynlrb2	508.750000	865	1170	0	0	0
Tcp11l1	502.500000	758	1166	0	86	0
Pin1rt1	502.500000	758	1166	0	86	0
Cdkal1	500.500000	720	1068	0	214	0
Ppp1r10	493.000000	746	901	0	325	0
Mrps18b	493.000000	746	901	0	325	0
Tmem30a	492.500000	758	1081	0	131	0
Cacul1	491.750000	797	1170	0	0	0
Aunip	490.250000	846	1115	0	0	0
Cfap97	477.250000	731	893	0	285	0
Mto1	477.000000	803	1105	0	0	0
Cgas	477.000000	803	1105	0	0	0
Mrpl4	471.750000	805	1082	0	0	0
Psme1	471.500000	844	1042	0	0	0
Fitm1	471.500000	844	1042	0	0	0
Arf1	470.500000	894	988	0	0	0
Ints14	468.500000	521	734	0	619	0
Ercc1	462.500000	679	1016	0	155	0
Dpf2	462.000000	901	947	0	0	0
Rab3a	461.750000	767	1080	0	0	0
Nanos2	461.500000	869	977	0	0	0
Mypop	461.500000	869	977	0	0	0
Usp48	461.000000	614	881	0	349	0
Kpna1	456.500000	0	0	216	1610	0
Megf8	453.000000	766	1046	0	0	0
Gtf3c5	451.000000	757	904	0	143	0
Gga1	444.250000	743	1034	0	0	0
Trak2	442.750000	675	636	0	460	0
H4c12	442.750000	905	866	0	0	0
H2bc15	442.750000	905	866	0	0	0
H2ac15	442.750000	905	866	0	0	0
Ffar3	440.000000	692	1068	0	0	0
Scgn	439.500000	799	959	0	0	0
Sf3a2	435.250000	617	877	0	247	0
Plekhj1	435.250000	617	877	0	247	0
Tmem60	434.000000	684	801	0	251	0
Phtf2	434.000000	684	801	0	251	0
Sos1	433.250000	721	1012	0	0	0
Jagn1	433.250000	777	956	0	0	0
Ttc9c	433.000000	714	918	0	100	0
Hnrnpul2	433.000000	714	918	0	100	0
Pigc	432.000000	529	753	294	152	0
4930558K02Rik	432.000000	529	753	294	152	0
Samd10	429.500000	532	862	0	324	0
Prpf6	429.500000	532	862	0	324	0
Mettl23	426.000000	764	940	0	0	0
Ldah	417.250000	689	980	0	0	0
Uba6	415.250000	805	856	0	0	0
Fitm2	414.250000	570	1087	0	0	0
Ibtk	412.250000	723	742	0	184	0
Chordc1	409.000000	663	782	0	191	0
Micos10	408.750000	627	1008	0	0	0
Ccdc86	405.500000	710	912	0	0	0
Hcfc1	399.250000	763	834	0	0	0
Pbdc1	396.250000	807	778	0	0	0
Mrpl21	395.500000	594	642	165	181	0
Ighmbp2	395.500000	594	642	165	181	0
Msantd4	393.250000	575	871	0	127	0
Msmo1	392.000000	543	879	0	146	0
Znrd2	391.750000	621	946	0	0	0
Fam89b	391.750000	621	946	0	0	0
Rsf1	391.000000	708	856	0	0	0
Aamdc	391.000000	708	856	0	0	0
Tgoln2	389.500000	732	826	0	0	0
Tgoln1	389.500000	732	826	0	0	0
H4c11	384.000000	589	947	0	0	0
Zfp456	383.000000	735	797	0	0	0
Zbtb43	381.250000	550	701	0	274	0
Trp53rka	380.500000	538	646	0	338	0
Rad54l	379.750000	610	806	0	103	0
Scoc	379.250000	651	866	0	0	0
Zfp119a	374.750000	512	846	0	141	0
Atg5	373.250000	508	828	0	157	0
Zfp558	368.500000	710	610	0	154	0
