Target_genes	Mecp2|Average	SRX150258|Brain	SRX150260|Brain	SRX2384329|Brain_cortex	SRX2384331|Brain_cortex	SRX2384333|Brain_cortex	SRX2384335|Brain_cortex	SRX2384337|Brain_cortex	SRX2384339|Brain_cortex	ERX132617|B_cells	SRX968953|Cerebellar_Cortex	SRX2607713|Cerebellar_granule_neurons	SRX2607715|Cerebellar_granule_neurons	SRX150262|Cerebellum	SRX669237|Cerebellum	SRX669239|Cerebellum	SRX22079977|Cortex	SRX22079978|Cortex	SRX22079979|Cortex	SRX22079980|Cortex	SRX22079981|Cortex	SRX22079982|Cortex	SRX22079983|Cortex	SRX22079984|Cortex	SRX3242157|Cortex	SRX3242158|Cortex	SRX4017503|Cortex	SRX4017505|Cortex	SRX5509026|Embryonic_brains	SRX5509027|Embryonic_brains	SRX5509028|Embryonic_brains	SRX5509029|Embryonic_brains	SRX5509030|Embryonic_brains	SRX5509031|Embryonic_brains	SRX5509032|Embryonic_brains	SRX5509033|Embryonic_brains	SRX669235|Embryonic_brains	SRX7066399|Embryonic_brains	SRX7066400|Embryonic_brains	SRX7066401|Embryonic_brains	SRX7066402|Embryonic_brains	SRX7066403|Embryonic_brains	SRX7066404|Embryonic_brains	SRX7066405|Embryonic_brains	SRX7066406|Embryonic_brains	SRX22049164|Forebrain	SRX22049165|Forebrain	SRX22049166|Forebrain	SRX22049167|Forebrain	SRX22049168|Forebrain	SRX22049169|Forebrain	SRX3430978|Frontal_cortex	SRX3430979|Frontal_cortex	SRX3430980|Frontal_cortex	SRX3430984|Frontal_cortex	SRX3430985|Frontal_cortex	SRX3430986|Frontal_cortex	SRX5731669|Frontal_cortex	SRX5731670|Frontal_cortex	SRX5731672|Frontal_cortex	SRX5731673|Frontal_cortex	SRX5731675|Frontal_cortex	SRX5731676|Frontal_cortex	SRX5731678|Frontal_cortex	SRX5731679|Frontal_cortex	SRX968949|Frontal_cortex	SRX968951|Frontal_cortex	SRX19731113|Liver	SRX19731114|Liver	SRX19731115|Liver	SRX19731116|Liver	SRX19731117|Liver	SRX19731118|Liver	SRX5172955|MEF	SRX5172956|MEF	SRX1113143|Olfactory_epithelium	SRX1113144|Olfactory_epithelium	SRX5287318|Olfactory_Nerve	SRX5287319|Olfactory_Nerve	ERX132622|Th1_Cells	STRING
Vstm5	52.518987	0	0	0	0	0	0	0	0	1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	739	297	794	338	859	0
Olfr215	52.518987	0	0	0	0	0	0	0	0	584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999	513	997	538	518	0
Zfp982	52.329114	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	119	201	122	171	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806	582	868	600	171	0
Gm10228	52.063291	0	0	0	0	0	0	0	0	1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574	330	501	416	1149	0
Slc30a10	51.886076	0	0	0	0	0	0	0	0	1816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	107	0	2069	0
Gm11213	51.708861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1178	753	1090	727	0	0
Olfr142	51.405063	0	0	0	0	0	0	0	214	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	941	424	952	405	534	0
Eif4enif1	51.050633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	265	135	176	129	126	113	160	0	0	0	0	89	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	183	171	177	192	174	0	103	77	0	0	0	0	0	0	0	0	107	0	0	79	103	0	85	214	235	244	228	0	0
Kifap3	50.810127	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1035	435	963	426	537	0
Gm21149	50.594937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	196	290	183	180	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850	615	840	468	0	0
Speer4c	49.417722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	279	250	310	335	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	622	445	673	378	0	0
Ect2l	48.734177	0	0	0	0	0	0	0	0	1548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	126	292	127	1506	0
Zfp978	48.607595	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	940	617	956	665	217	0
Pafah2	48.430380	0	0	0	0	0	0	0	0	1705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	211	0	1686	0
Abracl	48.240506	0	0	0	0	0	0	0	0	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	320	1057	293	586	0
Zfp991	47.886076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	195	312	209	189	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	636	445	704	441	0	0
