Target_genes	Lhx2|Average	SRX11976466|Cerebral_Cortex	SRX310225|Dermal_fibroblasts	SRX310227|Dermal_fibroblasts	SRX310229|Dermal_fibroblasts	SRX2487346|Olfactory_Nerve	SRX2487347|Olfactory_Nerve	SRX2487356|Olfactory_Nerve	SRX3064886|Olfactory_Nerve	STRING
Snx30	134.625000	0	0	0	0	610	467	0	0	0
Zfp473	134.375000	0	0	0	0	551	524	0	0	0
Vrk3	134.375000	0	0	0	0	551	524	0	0	0
B3galt1	134.250000	0	0	0	0	528	546	0	0	0
Schip1	134.125000	0	0	0	0	651	422	0	0	0
Ccdc121	134.000000	0	0	0	0	646	426	0	0	0
Hnrnpc	133.875000	0	0	0	0	528	543	0	0	0
Mgat4a	133.750000	0	0	0	0	594	476	0	0	0
Ank2	133.750000	0	0	0	0	609	461	0	0	0
Rcor1	132.875000	0	0	0	0	571	492	0	0	0
Uckl1	132.750000	0	0	0	0	558	504	0	0	0
Scp2d1	132.750000	0	0	0	0	576	486	0	0	0
1700017B05Rik	132.625000	0	0	0	0	540	521	0	0	0
Slc29a1	131.750000	0	0	0	0	563	491	0	0	0
Atrn	130.750000	0	0	0	0	522	524	0	0	0
Olfr156	130.500000	0	0	0	0	548	496	0	0	0
Rbms1	129.750000	0	0	0	0	490	548	0	0	0
Prkacb	129.625000	0	0	0	0	529	508	0	0	0
Pllp	129.625000	0	0	0	0	444	593	0	0	0
Gm45337	129.625000	0	0	0	0	471	566	0	0	0
Gm39115	129.625000	0	0	0	0	471	566	0	0	0
Retreg2	128.625000	0	0	0	0	687	342	0	0	0
Cnppd1	128.625000	0	0	0	0	687	342	0	0	0
Eif4e3	128.500000	0	0	0	0	560	468	0	0	0
Ncam2	127.875000	0	0	0	0	447	576	0	0	0
Trpm4	127.750000	0	0	0	0	446	576	0	0	0
Hrc	127.750000	0	0	0	0	446	576	0	0	0
Stt3a	127.625000	0	0	0	0	530	491	0	0	0
Klhl5	127.500000	0	0	0	0	445	575	0	0	0
Chd9	127.375000	0	0	0	0	465	554	0	0	0
A3galt2	126.750000	0	0	0	0	521	493	0	0	0
Scaper	126.625000	0	153	0	0	471	389	0	0	0
Zfp408	126.250000	0	0	0	0	535	475	0	0	0
Arhgap1	126.250000	0	0	0	0	535	475	0	0	0
Dnajb9	125.875000	0	0	0	0	531	476	0	0	0
Tdrkh	125.500000	0	0	0	0	494	510	0	0	0
Jazf1	125.375000	0	0	0	0	529	474	0	0	0
Prxl2a	125.000000	0	0	0	0	524	476	0	0	0
Asb7	124.875000	0	0	0	0	474	525	0	0	0
Pak3	124.750000	0	0	0	0	506	492	0	0	0
Nfasc	124.625000	0	0	0	0	524	473	0	0	0
H4c17	124.000000	0	0	0	0	531	461	0	0	0
H4bc24	124.000000	0	0	0	0	531	461	0	0	0
H2bc23	124.000000	0	0	0	0	531	461	0	0	0
H2ac24	124.000000	0	0	0	0	531	461	0	0	0
H2ac23	124.000000	0	0	0	0	531	461	0	0	0
Hexim2	123.875000	0	0	0	0	513	478	0	0	0
Kat2b	123.750000	0	0	0	0	579	411	0	0	0
Fam149a	123.250000	0	0	0	0	503	483	0	0	0
Ppp2r3a	123.000000	0	0	0	0	553	431	0	0	0
Anapc15	122.875000	0	0	0	0	508	475	0	0	0
Vapb	122.625000	0	0	0	0	593	388	0	0	0
Mapkbp1	122.625000	0	0	0	0	455	526	0	0	0
Eci2	122.625000	0	0	0	0	415	566	0	0	0
Nrp1	122.125000	0	0	0	0	442	535	0	0	0
Ptgr2	121.625000	0	0	0	0	544	429	0	0	0
Shroom3	121.500000	0	0	0	0	404	568	0	0	0
Rhd	120.625000	0	0	0	0	566	399	0	0	0
Kat6b	120.375000	0	0	0	0	395	568	0	0	0
Fam214a	120.125000	0	0	0	0	554	407	0	0	0
Stom	119.875000	0	0	0	0	541	418	0	0	0
Rhof	119.500000	0	0	0	0	562	394	0	0	0
Oxr1	119.500000	0	0	0	0	424	532	0	0	0
Ppm1b	119.250000	0	0	0	0	475	479	0	0	0
Rbm26	118.750000	0	0	0	0	539	411	0	0	0
Dcps	118.750000	0	0	0	0	560	390	0	0	0
Cytip	118.375000	0	0	0	0	476	471	0	0	0
Acsm4	118.125000	0	0	0	0	458	487	0	0	0
Zfand6	118.000000	0	0	0	0	488	456	0	0	0
Prkaca	117.750000	0	0	0	0	475	467	0	0	0
Slain2	117.500000	0	0	0	0	513	427	0	0	0
Steap2	117.250000	0	0	0	0	494	444	0	0	0
Wdfy1	117.125000	0	0	0	0	495	442	0	0	0
Sspn	116.875000	0	0	256	72	205	0	189	213	0
Ublcp1	116.750000	0	0	0	0	530	404	0	0	0
Ythdc2	116.125000	0	0	0	0	472	457	0	0	0
Katna1	116.125000	0	0	0	0	474	455	0	0	0
Abca3	116.000000	0	0	0	0	483	445	0	0	0
Abca17	116.000000	0	0	0	0	483	445	0	0	0
Ttc4	115.875000	0	0	0	0	398	529	0	0	0
Bahcc1	115.875000	0	0	0	0	532	395	0	0	0
Ptpre	115.625000	0	0	0	0	465	460	0	0	0
Ldlr	115.625000	0	0	0	0	580	345	0	0	0
Fhad1	115.375000	0	0	0	0	438	485	0	0	0
Aff1	115.375000	0	0	0	0	496	427	0	0	0
Sgpl1	114.375000	0	0	0	0	435	480	0	0	0
Kmt5c	114.125000	0	0	0	0	441	472	0	0	0
Gramd1b	114.125000	0	0	0	0	531	382	0	0	0
Klhl24	113.875000	0	0	0	0	414	497	0	0	0
Cables2	113.875000	0	0	0	0	466	445	0	0	0
Slc39a13	113.625000	0	0	0	0	382	527	0	0	0
Mcf2l	113.500000	0	0	0	0	464	444	0	0	0
Tsc22d1	113.375000	0	0	0	0	458	449	0	0	0
Lrrn4cl	112.375000	0	0	0	0	388	511	0	0	0
Vmn1r233	112.125000	0	0	0	0	376	521	0	0	0
Grin3b	111.750000	0	0	0	0	488	406	0	0	0
Vsig10	111.625000	0	0	0	0	459	434	0	0	0
Luzp1	111.375000	0	0	0	0	536	355	0	0	0
B3gat2	111.375000	0	0	0	0	473	418	0	0	0
Ppfibp1	111.125000	0	0	0	0	491	398	0	0	0
Tubb3	110.875000	0	0	0	0	511	376	0	0	0
Scnn1a	110.875000	0	0	0	0	477	410	0	0	0
Ttc13	110.625000	0	0	0	0	526	359	0	0	0
Ppme1	110.625000	0	0	0	0	410	475	0	0	0
C2cd3	110.625000	0	0	0	0	410	475	0	0	0
Arv1	110.625000	0	0	0	0	526	359	0	0	0
Dpy19l3	110.500000	0	0	0	0	472	412	0	0	0
Arhgap42	110.250000	0	0	0	0	521	361	0	0	0
Rab37	110.125000	0	0	0	0	487	394	0	0	0
Josd1	109.500000	0	0	0	0	490	386	0	0	0
Gtpbp1	109.500000	0	0	0	0	490	386	0	0	0
Calm2	109.125000	0	0	0	0	409	464	0	0	0
Olfr222	109.000000	0	0	0	0	513	359	0	0	0
Lmo3	109.000000	190	0	0	0	387	295	0	0	0
Asb10	108.875000	0	0	0	0	453	418	0	0	0
Ehbp1	108.750000	0	0	0	0	404	466	0	0	0
Dgkd	108.500000	0	0	0	0	444	424	0	0	0
Mta3	108.250000	0	0	0	0	410	456	0	0	0
Dennd11	108.250000	0	0	0	0	413	453	0	0	0
Zfp385b	107.875000	0	0	0	0	462	401	0	0	0
Elavl3	107.750000	0	0	0	0	598	264	0	0	0
Sdk2	107.125000	0	0	0	0	374	483	0	0	0
Mllt1	107.000000	0	0	0	0	436	420	0	0	0
Rpl9	106.875000	0	0	0	0	497	358	0	0	0
Lias	106.875000	0	0	0	0	497	358	0	0	0
Ski	106.625000	0	0	0	0	449	404	0	0	0
Gdap1l1	106.250000	0	0	0	0	408	442	0	0	0
Zmym2	106.125000	0	0	0	0	444	405	0	0	0
Tmem74bos	106.125000	0	0	0	0	433	416	0	0	0
Tuba4a	105.750000	0	0	0	0	360	486	0	0	0
Stk16	105.750000	0	0	0	0	360	486	0	0	0
Glb1l	105.750000	0	0	0	0	360	486	0	0	0
Map7	105.625000	0	0	0	110	299	436	0	0	0
Jam3	105.625000	0	0	0	0	491	354	0	0	0
Cdk5r2	105.500000	0	0	0	0	403	441	0	0	0
Hjurp	105.375000	0	0	0	0	431	412	0	0	0
A730008H23Rik	105.375000	0	0	0	0	431	412	0	0	0
Vmn2r6	105.125000	0	0	0	0	435	406	0	0	0
Tulp3	105.125000	0	0	0	0	520	321	0	0	0
Tcerg1	104.875000	0	0	0	0	460	379	0	0	0
Racgap1	104.750000	0	0	0	0	438	400	0	0	0
Pgghg	104.375000	0	0	0	0	493	342	0	0	0
Kcnab2	104.125000	0	0	0	0	449	384	0	0	0
Fam222b	103.875000	0	0	0	0	382	449	0	0	0
Faim2	103.750000	0	0	0	0	480	350	0	0	0
Aebp2	103.750000	0	0	0	0	398	432	0	0	0
Stxbp1	103.625000	0	0	0	0	444	385	0	0	0
Slc44a1	103.625000	0	0	0	0	418	411	0	0	0
Rap1gds1	103.375000	0	0	0	0	374	453	0	0	0
Kmt5a	103.250000	0	0	0	0	394	432	0	0	0
Gcnt7	103.125000	0	0	0	0	393	432	0	0	0
Tjp2	103.000000	0	0	0	0	379	445	0	0	0
Ctif	103.000000	0	0	0	0	436	388	0	0	0
Cenpc1	103.000000	0	0	0	0	450	374	0	0	0
S100a6	102.750000	0	0	0	0	437	385	0	0	0
S100a5	102.750000	0	0	0	0	437	385	0	0	0
Pdgfrl	102.625000	0	0	0	0	374	447	0	0	0
Riok3	102.375000	0	0	0	0	419	400	0	0	0
Frat1	102.375000	0	0	0	0	441	378	0	0	0
Ssu72	102.250000	0	0	0	0	461	357	0	0	0
Abr	102.125000	0	0	0	0	417	400	0	0	0
Mex3a	101.625000	0	0	0	0	359	454	0	0	0
Nfam1	101.250000	0	0	0	0	470	340	0	0	0
Limch1	101.000000	0	0	0	0	434	374	0	0	0
Mrpl15	100.375000	0	0	0	0	386	417	0	0	0
Teddm2	100.125000	0	0	0	0	430	371	0	0	0
Pou2f1	100.000000	237	0	0	0	314	249	0	0	0
Hmox1	100.000000	0	0	0	0	342	458	0	0	0
Spats2	99.875000	0	0	0	0	392	407	0	0	0
Eef1a2	99.750000	0	0	0	0	334	464	0	0	0
Asic1	99.750000	0	0	0	0	461	337	0	0	0
Zfp143	99.625000	0	0	237	309	76	0	175	0	0
Cdk19	99.625000	0	0	0	0	464	333	0	0	0
Sprr1b	99.500000	0	0	0	0	311	485	0	0	0
Dele1	99.500000	0	0	0	0	378	418	0	0	0
Mrpl37	99.375000	0	0	0	0	430	365	0	0	0
Cyb5rl	99.375000	0	0	0	0	430	365	0	0	0
Rbm15b	99.125000	0	0	0	0	342	451	0	0	0
Sytl3	98.875000	0	0	0	0	401	390	0	0	0
Cracd	98.875000	0	0	0	0	421	370	0	0	0
Adamdec1	98.625000	0	0	0	0	584	205	0	0	0
Mslnl	98.500000	0	0	0	0	461	327	0	0	0
Cyfip2	98.500000	0	0	0	0	379	409	0	0	0
Dazap2	98.375000	0	0	0	0	459	328	0	0	0
Gorasp2	97.500000	0	0	0	0	403	377	0	0	0
Abcd2	97.500000	0	0	0	0	405	375	0	0	0
Cyp2b10	97.250000	0	0	0	0	341	437	0	0	0
Epb41l1	96.875000	0	0	0	0	342	433	0	0	0
Usp3	96.750000	0	0	0	0	362	412	0	0	0
Ly86	96.750000	0	0	0	0	511	263	0	0	0
Kcnip4	96.375000	0	0	0	0	340	431	0	0	0
Dchs2	96.250000	0	0	164	0	0	0	347	259	0
Mreg	95.875000	0	0	0	0	428	339	0	0	0
Dph5	95.750000	0	0	0	0	321	445	0	0	0
Casp7	95.750000	0	0	0	0	313	453	0	0	0
Itprid2	95.625000	0	0	0	0	456	309	0	0	0
Spns2	95.500000	0	0	0	0	365	399	0	0	0
Ago3	95.500000	0	0	0	0	385	379	0	0	0
Neu2	95.250000	0	0	0	0	312	450	0	0	0
Dusp1	95.125000	0	0	0	0	346	415	0	0	0
Plekha6	95.000000	0	0	0	0	472	288	0	0	0
Eef1akmt1	94.750000	0	0	0	0	322	436	0	0	0
Alkbh5	94.750000	0	0	0	0	296	462	0	0	0
Lmo1	94.375000	318	0	0	0	180	257	0	0	0
Cntnap2	94.250000	0	0	0	0	356	398	0	0	0
Fam193b	94.000000	0	0	0	0	424	328	0	0	0
Eps8l1	93.875000	0	0	0	0	421	330	0	0	0
Lysmd2	93.500000	0	0	0	0	396	352	0	0	0
Mrpl58	93.125000	0	0	0	0	378	367	0	0	0
Ergic2	93.000000	0	0	0	0	321	423	0	0	0
Slc1a1	92.875000	0	0	0	0	371	372	0	0	0
Syt13	92.750000	0	0	0	0	367	375	0	0	0
Cep43	92.750000	0	0	0	0	331	411	0	0	0
Vav2	92.500000	0	0	0	0	460	280	0	0	0
Lgi1	92.500000	0	0	0	0	442	298	0	0	0
Rce1	92.375000	0	0	0	0	347	392	0	0	0
Stx8	92.250000	0	0	0	0	405	333	0	0	0
Mcrs1	92.250000	0	0	0	0	405	333	0	0	0
Cfap52	92.250000	0	0	0	0	405	333	0	0	0
Ier5	92.125000	0	0	0	0	322	415	0	0	0
Lypd11	92.000000	0	0	0	0	0	0	398	338	0
Rbm25	91.875000	0	0	0	0	455	280	0	0	0
Mbnl1	91.875000	0	0	0	0	359	376	0	0	0
Fam185a	91.750000	0	0	0	0	370	364	0	0	0
Ccdc146	91.750000	0	0	0	0	370	364	0	0	0
Unc45a	91.375000	0	0	0	0	451	280	0	0	0
Siah2	91.375000	0	0	0	0	337	394	0	0	0
Hddc3	91.375000	0	0	0	0	451	280	0	0	0
Brpf1	91.125000	0	0	0	0	371	358	0	0	0
Ablim1	91.125000	0	0	0	0	439	290	0	0	0
Tmc5	91.000000	0	0	0	0	514	214	0	0	0
Pet117	90.875000	0	0	0	0	362	365	0	0	0
Kat14	90.875000	0	0	0	0	362	365	0	0	0
Ipmk	90.875000	0	0	0	0	365	362	0	0	0
Cisd1	90.875000	0	0	0	0	365	362	0	0	0
Rab21	90.750000	0	0	0	0	371	355	0	0	0
Rmnd1	90.625000	0	0	0	0	351	374	0	0	0
Armt1	90.625000	0	0	0	0	351	374	0	0	0
Hmg20b	90.500000	0	0	0	0	293	431	0	0	0
Lrrc61	90.125000	0	0	0	0	446	275	0	0	0
Numa1	90.000000	0	0	0	0	405	315	0	0	0
Neu1	89.750000	0	0	0	0	432	286	0	0	0
Msn	89.750000	0	0	0	0	361	357	0	0	0
Rundc3a	89.625000	0	0	0	0	417	300	0	0	0
Uvrag	89.500000	0	0	0	0	367	349	0	0	0
Rhbdf2	89.500000	0	0	0	0	419	297	0	0	0
Inafm1	89.500000	0	0	0	0	400	316	0	0	0
Egf	89.500000	0	0	0	0	286	430	0	0	0
Zfp869	89.125000	0	0	0	0	371	342	0	0	0
Rgs11	88.750000	0	0	0	0	393	317	0	0	0
Pdia2	88.750000	0	0	0	0	393	317	0	0	0
Arhgdig	88.750000	0	0	0	0	393	317	0	0	0
Majin	88.625000	0	0	0	0	386	323	0	0	0
Naa25	88.500000	0	0	0	0	302	406	0	0	0
Mss51	88.500000	0	0	0	0	436	272	0	0	0
Cilp	88.125000	0	0	0	143	305	257	0	0	0
Sec14l3	88.000000	0	0	0	0	330	374	0	0	0
A630095N17Rik	88.000000	0	0	0	0	379	325	0	0	0
C1ql1	87.375000	0	0	0	0	393	306	0	0	0
Agfg1	87.375000	0	0	0	0	342	357	0	0	0
Zfp239	87.000000	0	0	0	0	290	406	0	0	0
Dynlt1a	86.875000	0	0	0	0	435	260	0	0	0
Adad1	86.875000	0	0	0	0	301	394	0	0	0
Slc12a2	86.625000	0	0	0	0	297	396	0	0	0
Trp53inp2	86.500000	0	0	0	0	243	449	0	0	0
Crb2	86.500000	0	0	0	0	428	264	0	0	0
Miip	86.250000	0	0	0	0	361	329	0	0	0
Fv1	86.250000	0	0	0	0	361	329	0	0	0
Atp1b4	86.250000	0	0	0	0	433	257	0	0	0
Lnx1	86.000000	0	0	0	0	346	342	0	0	0
Snx9	85.875000	0	0	0	0	307	380	0	0	0
Ctdp1	85.875000	0	0	0	0	449	238	0	0	0
Abca4	85.875000	0	0	0	0	395	292	0	0	0
Pld5	85.750000	0	0	0	0	369	317	0	0	0
Pgpep1l	85.750000	0	0	0	0	393	293	0	0	0
Rtn4rl1	85.375000	0	0	0	0	371	312	0	0	0
Dph1	85.375000	0	0	0	0	371	312	0	0	0
Slc15a3	85.250000	0	0	0	0	420	262	0	0	0
Ech1	85.000000	0	0	0	0	318	362	0	0	0
Hdac4	84.500000	0	0	0	0	446	230	0	0	0
Rufy2	84.000000	0	0	0	0	400	272	0	0	0
Fam13b	83.875000	0	0	0	0	286	385	0	0	0
Syt1	83.750000	0	0	0	0	258	412	0	0	0
Ttc39b	83.500000	0	0	0	0	328	340	0	0	0
Mob3a	83.500000	0	0	0	0	435	233	0	0	0
Izumo4	83.500000	0	0	0	0	435	233	0	0	0
Pkm	83.375000	0	0	0	0	326	341	0	0	0
Phip	83.375000	0	0	0	0	364	303	0	0	0
Epha5	83.375000	0	0	0	0	333	334	0	0	0
Eif2d	83.250000	0	0	0	0	370	296	0	0	0
Cs	83.125000	0	0	0	0	370	295	0	0	0
Cd55b	83.125000	0	0	0	0	268	397	0	0	0
Ccl6	83.000000	0	0	0	0	341	323	0	0	0
Zdhhc2	82.875000	0	0	0	0	303	360	0	0	0
Add3	82.875000	0	0	0	0	296	367	0	0	0
Wdyhv1	82.750000	0	0	0	0	284	378	0	0	0
Rnf32	82.750000	0	0	0	0	385	277	0	0	0
Knl1	82.750000	0	0	0	0	291	371	0	0	0
Jund	82.625000	0	0	0	0	471	190	0	0	0
Iqcn	82.625000	0	0	0	0	471	190	0	0	0
Mvk	82.375000	0	0	0	0	388	271	0	0	0
Mmab	82.375000	0	0	0	0	388	271	0	0	0
Tex44	82.000000	0	0	0	0	350	306	0	0	0
Atp1a1	82.000000	0	0	0	0	387	269	0	0	0
Fkbp14	81.875000	0	0	0	0	288	367	0	0	0
Fbxo32	81.875000	0	0	0	0	330	325	0	0	0
Elf2	81.750000	0	0	0	0	275	379	0	0	0
Pax6	81.625000	0	0	0	0	379	274	0	0	0
Kmt2a	81.625000	0	0	0	0	344	309	0	0	0
Atxn2l	81.625000	0	0	0	0	463	190	0	0	0
Diaph2	81.500000	0	0	0	0	325	327	0	0	0
Gucy1b2	81.375000	0	0	0	0	362	289	0	0	0
Ebf1	81.375000	0	0	0	0	395	256	0	0	0
Add2	81.375000	0	0	0	0	377	274	0	0	0
Frmd4b	81.250000	0	0	0	0	281	369	0	0	0
Cav1	81.250000	0	0	0	0	349	301	0	0	0
Fam117a	81.125000	0	0	0	0	243	406	0	0	0
Traf3ip1	81.000000	0	0	0	0	277	371	0	0	0
Dap	80.875000	0	0	0	0	319	328	0	0	0
Znrf4	80.750000	169	0	0	0	224	253	0	0	0
Prdm8	80.750000	0	0	0	0	381	265	0	0	0
Ubqln1	80.625000	0	0	0	0	373	272	0	0	0
Rab12	80.500000	0	0	0	0	189	455	0	0	0
A930018P22Rik	80.500000	0	0	0	0	300	344	0	0	0
Olfr520	80.375000	0	0	0	0	307	336	0	0	0
Naa40	80.250000	0	0	0	0	266	376	0	0	0
Cep170	80.250000	0	0	0	0	423	219	0	0	0
Ldb3	80.125000	0	0	0	0	379	262	0	0	0
Clstn2	80.000000	0	0	0	0	365	275	0	0	0
Tmem167b	79.625000	0	0	0	0	348	289	0	0	0
Tagap1	79.125000	0	0	0	0	370	263	0	0	0
Tpd52l2	79.000000	0	0	0	0	345	287	0	0	0
Abhd16b	79.000000	0	0	0	0	345	287	0	0	0
Kcnj2	78.875000	0	0	0	0	363	268	0	0	0
Mdga1	78.625000	0	0	0	0	352	277	0	0	0
Retreg1	78.500000	0	0	0	0	304	324	0	0	0
Mfrp	78.500000	0	0	0	0	283	345	0	0	0
C1qtnf5	78.500000	0	0	0	0	283	345	0	0	0
Evi5l	78.250000	0	0	0	0	312	314	0	0	0
Lrrc74a	78.125000	0	0	0	0	292	333	0	0	0
Slain1	78.000000	0	0	0	0	361	263	0	0	0
Slc25a20	77.875000	0	0	0	0	308	315	0	0	0
Leprot	77.750000	0	0	0	0	342	280	0	0	0
Ptprn	77.625000	0	0	0	0	342	279	0	0	0
Kcnma1	77.625000	0	0	0	0	278	343	0	0	0
Cspg4	77.625000	0	0	0	0	398	223	0	0	0
Acsl6	77.625000	0	0	0	0	320	301	0	0	0
Dctn3	77.500000	0	0	0	0	386	234	0	0	0
Arid3c	77.500000	0	0	0	0	386	234	0	0	0
Pcnx4	77.000000	0	0	0	0	306	310	0	0	0
Cryzl1	76.625000	0	0	0	0	352	261	0	0	0
Zc3hav1	76.500000	0	0	0	0	334	278	0	0	0
B4galt5	76.500000	0	0	0	0	320	292	0	0	0
Syt14	76.375000	0	0	0	0	317	294	0	0	0
Dcaf5	76.375000	0	0	91	0	263	257	0	0	0
Zc2hc1c	76.250000	0	0	0	0	261	349	0	0	0
Acyp1	76.250000	0	0	0	0	261	349	0	0	0
Acer3	76.250000	0	0	0	0	316	294	0	0	0
9230019H11Rik	75.875000	0	0	0	0	297	193	117	0	0
Rnase4	75.500000	0	0	0	0	322	282	0	0	0
Csrp1	75.500000	0	0	0	0	215	389	0	0	0
Ang	75.500000	0	0	0	0	322	282	0	0	0
Prkar1a	75.375000	0	0	0	0	294	309	0	0	0
Krt26	75.250000	0	0	0	0	308	294	0	0	0
H4c18	75.000000	0	0	0	0	352	248	0	0	0
Pdcd4	74.875000	0	0	0	0	269	330	0	0	0
Diaph1	74.875000	0	0	0	0	350	249	0	0	0
Gm45915	74.625000	0	0	0	0	379	218	0	0	0
Gabarapl1	74.500000	0	0	0	0	234	362	0	0	0
Pcbd1	74.375000	0	0	0	0	290	305	0	0	0
Pmepa1	74.250000	0	0	0	0	350	244	0	0	0
Cyld	74.125000	0	0	0	0	323	270	0	0	0
Rc3h1	73.875000	0	0	0	0	201	390	0	0	0
Psd4	73.875000	0	0	0	0	341	250	0	0	0
Ppp2r5a	73.750000	0	0	0	0	347	243	0	0	0
Cstf2t	73.750000	0	0	0	0	323	267	0	0	0
Gclc	73.625000	0	0	0	0	348	241	0	0	0
Hmga1b	73.500000	0	0	0	0	309	279	0	0	0
Hmga1	73.500000	0	0	0	0	309	279	0	0	0
Foxp1	73.500000	0	0	0	0	344	244	0	0	0
Kif3b	73.250000	0	0	0	0	292	294	0	0	0
Pus1	73.125000	0	0	0	0	294	291	0	0	0
Klf7	73.125000	0	0	0	0	343	242	0	0	0
Trim36	73.000000	0	0	0	0	357	227	0	0	0
Slc35c2	72.750000	0	0	0	0	286	296	0	0	0
Dscaml1	72.625000	0	0	0	0	369	212	0	0	0
Tom1	72.500000	0	0	0	0	185	395	0	0	0
Amfr	72.500000	0	0	0	0	207	373	0	0	0
Elf1	72.125000	0	0	0	0	344	233	0	0	0
Dio2	72.000000	0	0	0	0	232	344	0	0	0
Pik3cb	71.875000	0	0	0	0	287	288	0	0	0
Smim12	71.625000	0	0	0	0	279	294	0	0	0
Gda	71.625000	0	0	0	0	303	270	0	0	0
Lrp6	71.375000	0	0	0	0	367	204	0	0	0
Brd3	71.375000	0	0	0	0	337	234	0	0	0
Rnase11	71.250000	0	0	0	0	347	223	0	0	0
Fggy	71.250000	0	0	0	0	287	283	0	0	0
Slco4c1	70.875000	0	0	0	0	344	223	0	0	0
Prr14	70.875000	0	0	0	0	242	325	0	0	0
Nsmce1	70.875000	0	0	0	0	300	267	0	0	0
Tmem132e	70.750000	0	0	0	0	298	268	0	0	0
Nqo1	70.750000	0	0	0	0	299	267	0	0	0
Ptn	70.375000	0	0	0	0	198	365	0	0	0
C77080	70.125000	0	0	0	0	285	276	0	0	0
Mllt3	69.750000	0	0	0	0	292	266	0	0	0
Tex22	69.625000	0	0	0	0	306	251	0	0	0
Sgms2	69.625000	0	0	0	0	231	326	0	0	0
Hecw1	69.625000	0	0	0	0	329	228	0	0	0
Chga	69.625000	0	0	0	0	256	301	0	0	0
Srsf7	69.375000	0	0	0	0	263	292	0	0	0
Psmd8	69.375000	0	0	0	0	314	241	0	0	0
Fam89a	69.375000	0	0	0	0	293	262	0	0	0
Prkag3	69.250000	0	0	0	0	348	206	0	0	0
Lmo4	69.250000	0	0	0	0	297	257	0	0	0
Gapdhs	69.250000	0	0	0	0	341	213	0	0	0
Osbpl3	69.125000	0	0	0	0	278	275	0	0	0
Ttll2	68.750000	0	0	0	0	344	206	0	0	0
Nucb2	68.750000	0	0	0	0	259	291	0	0	0
Nkiras2	68.500000	0	0	0	0	275	273	0	0	0
Dnajc7	68.500000	0	0	0	0	275	273	0	0	0
Baz2b	68.500000	0	0	0	0	294	254	0	0	0
Defb19	68.375000	0	0	0	0	272	275	0	0	0
C2cd5	68.375000	0	0	0	103	175	269	0	0	0
Pon2	68.250000	0	0	0	0	237	309	0	0	0
Prpf18	68.125000	0	0	0	0	235	310	0	0	0
Dennd4a	68.125000	0	0	0	0	260	285	0	0	0
Sgip1	68.000000	0	0	0	0	319	225	0	0	0
Gnao1	68.000000	0	0	0	0	288	256	0	0	0
Spaar	67.875000	0	0	0	0	359	184	0	0	0
Opa3	67.875000	0	0	0	0	311	232	0	0	0
Hrct1	67.875000	0	0	0	0	359	184	0	0	0
Slc35g3	67.750000	0	0	0	0	293	249	0	0	0
Polr2a	67.750000	0	0	0	0	293	249	0	0	0
Borcs7	67.500000	0	0	0	0	240	300	0	0	0
Olfr1404	67.125000	0	0	0	0	318	219	0	0	0
Tuba1a	67.000000	0	0	0	0	291	245	0	0	0
Nrn1l	67.000000	0	0	0	0	252	284	0	0	0
Ctag2l2	66.875000	0	0	0	0	356	179	0	0	0
Usp1	66.625000	0	0	0	0	245	288	0	0	0
Kcns3	66.625000	0	0	0	0	358	175	0	0	0
Glp2r	66.625000	0	0	0	0	220	313	0	0	0
Mtr	66.500000	0	0	0	0	227	305	0	0	0
Tmem87b	66.250000	0	0	0	0	292	238	0	0	0
Mal2	66.250000	0	0	0	0	254	276	0	0	0
Unc13b	66.125000	0	0	0	0	309	220	0	0	0
Cox20	66.125000	0	0	0	0	285	244	0	0	0
Pex5l	65.625000	0	0	0	0	232	293	0	0	0
Olfr62	65.625000	0	0	0	0	103	422	0	0	0
Cpb2	65.625000	0	0	0	0	280	245	0	0	0
Sgce	65.375000	0	0	0	0	296	227	0	0	0
Peg10	65.375000	0	0	0	0	296	227	0	0	0
Pard3	65.375000	0	0	0	0	344	179	0	0	0
Dyrk1b	65.375000	0	0	0	0	215	308	0	0	0
Rad54l	65.250000	0	0	0	0	230	292	0	0	0
Cep120	65.250000	0	0	0	0	267	255	0	0	0
Syt7	65.125000	0	0	0	0	283	238	0	0	0
Ppp1r3b	65.125000	0	0	0	0	245	276	0	0	0
Xylt2	65.000000	0	0	0	0	222	298	0	0	0
Dgkz	64.875000	0	0	0	0	341	178	0	0	0
Ino80c	64.500000	0	0	0	0	278	238	0	0	0
Cdkl1	64.500000	0	0	0	0	256	260	0	0	0
Slc5a10	64.375000	0	0	0	0	258	257	0	0	0
Cym	64.375000	0	0	0	0	225	290	0	0	0
A630076J17Rik	64.375000	0	0	0	0	225	290	0	0	0
Raver2	64.250000	0	0	0	0	210	304	0	0	0
Clpb	64.250000	0	0	0	0	306	208	0	0	0
Cbr3	64.250000	0	0	0	0	0	0	282	232	0
Purb	64.125000	0	0	0	0	276	237	0	0	0
Lrrc72	64.000000	0	0	0	0	312	200	0	0	0
Ifitm2	63.875000	0	0	0	111	155	245	0	0	0
Hsd17b3	63.875000	0	0	0	0	231	280	0	0	0
Ctnna3	63.875000	0	0	0	0	267	244	0	0	0
Rgs9	63.500000	0	0	0	0	251	257	0	0	0
Rtp2	63.375000	0	0	0	0	229	278	0	0	0
Ccdc149	63.375000	0	0	0	0	260	247	0	0	0
