Target_genes	Lhx2|Average	SRX11976466|Cerebral_Cortex	SRX310225|Dermal_fibroblasts	SRX310227|Dermal_fibroblasts	SRX310229|Dermal_fibroblasts	SRX2487346|Olfactory_Nerve	SRX2487347|Olfactory_Nerve	SRX2487356|Olfactory_Nerve	SRX3064886|Olfactory_Nerve	STRING
Saraf	343.125000	0	0	0	0	1358	1387	0	0	0
Hmgxb3	342.250000	0	0	0	0	1225	1513	0	0	0
Syt16	342.125000	0	0	0	0	1416	1321	0	0	0
Rab3gap1	342.000000	0	0	0	0	1544	1192	0	0	0
Plekhm1	337.750000	0	0	0	0	1248	1454	0	0	0
Slc25a33	337.375000	0	0	0	0	1474	1225	0	0	0
Rtn1	337.125000	0	0	0	0	1418	1279	0	0	0
Mrps33	336.125000	0	0	0	0	1408	1281	0	0	0
Arpp21	335.500000	0	0	0	0	1397	1287	0	0	0
Phc2	331.500000	0	0	0	0	1357	1295	0	0	0
Prkab1	331.125000	0	0	0	0	1526	1123	0	0	0
Xrra1	330.375000	0	0	0	0	1292	1351	0	0	0
Spcs2	330.375000	0	0	0	0	1292	1351	0	0	0
Mccc1	330.250000	0	0	0	0	1146	1496	0	0	0
Adcy3	330.250000	0	0	0	0	1426	1216	0	0	0
Kdm3b	328.625000	0	0	0	0	1363	1266	0	0	0
Herpud2	325.750000	0	0	0	0	1450	1156	0	0	0
Zzef1	325.500000	0	0	0	0	1421	1183	0	0	0
Cyb5d2	325.500000	0	0	0	0	1421	1183	0	0	0
Tmeff1	323.500000	151	0	0	0	1234	1203	0	0	0
Meltf	320.375000	0	0	0	0	1320	1243	0	0	0
Mvb12b	318.625000	0	0	0	0	1477	1072	0	0	0
Pbx2	317.250000	0	0	0	0	1384	1154	0	0	0
Gpsm3	317.250000	0	0	0	0	1384	1154	0	0	0
Clec12a	317.125000	0	0	0	0	1264	1273	0	0	0
Ip6k2	315.875000	0	0	0	0	1281	1246	0	0	0
Ormdl3	315.250000	0	0	0	0	1390	1132	0	0	0
Bcat2	314.875000	0	0	0	0	1417	1102	0	0	0
Sv2b	313.875000	0	0	0	0	1282	1229	0	0	0
Faah	313.000000	0	0	0	0	1307	1197	0	0	0
Apba2	310.750000	0	0	0	0	1346	1140	0	0	0
Cd55	310.375000	0	0	0	0	1164	1319	0	0	0
Mettl23	310.125000	0	0	0	0	1275	1206	0	0	0
Wapl	307.000000	0	0	0	0	1190	1266	0	0	0
Cep295	306.125000	0	0	0	0	1334	1115	0	0	0
Akap6	306.125000	0	0	0	0	1326	1123	0	0	0
Emx2	303.625000	0	0	0	0	1279	1150	0	0	0
Slc27a2	302.500000	0	0	0	0	1330	1090	0	0	0
Hpca	302.000000	0	0	0	0	1204	1212	0	0	0
Stmn2	300.250000	0	0	0	0	1122	1280	0	0	0
Rell1	300.125000	0	0	0	0	1266	1135	0	0	0
Cars	298.375000	0	0	0	0	1333	1054	0	0	0
Trib1	297.375000	0	0	0	0	1114	1265	0	0	0
Olfr806	297.375000	245	180	291	409	192	0	432	630	0
Cntn4	297.375000	0	0	0	0	1230	1149	0	0	0
Fam217a	296.125000	0	0	0	0	1269	1100	0	0	0
4933417A18Rik	296.125000	0	0	0	0	1269	1100	0	0	0
Usp21	295.125000	0	0	0	0	1265	1096	0	0	0
Ppox	295.125000	0	0	0	0	1265	1096	0	0	0
Atox1	294.625000	0	0	0	0	1264	1093	0	0	0
Il31ra	294.500000	0	183	262	232	307	345	535	492	0
Ifi205	293.375000	0	0	0	0	1159	1188	0	0	0
Psen2	292.500000	0	0	0	0	1341	999	0	0	0
Oscp1	292.375000	0	0	0	0	1337	1002	0	0	0
Bsn	290.250000	0	0	0	0	1332	990	0	0	0
Mbnl2	289.625000	220	0	0	0	1153	944	0	0	0
Tuba1b	288.500000	0	0	0	0	1023	1285	0	0	0
Pten	288.000000	0	0	0	0	1326	978	0	0	0
Msl3	285.750000	0	0	0	0	1349	937	0	0	0
Matr3	285.500000	0	0	0	0	1247	1037	0	0	0
