Target_genes	Ikzf2|Average	SRX8167498|HPC-7	SRX1241149|Treg	SRX1241152|Treg	STRING
Tcstv3	1778.333333	2087	1896	1352	0
Cldn34d	921.666667	795	979	991	0
Gpatch8	879.666667	2281	238	120	0
Brox	775.666667	888	767	672	0
Aida	775.666667	888	767	672	0
Ubap1	735.666667	2207	0	0	0
Vcl	693.666667	2081	0	0	0
Cmc1	678.666667	1906	130	0	0
Gpr19	675.000000	1773	183	69	0
1810037I17Rik	640.333333	1610	210	101	0
Idh1	637.333333	1912	0	0	0
Kifap3	623.666667	1577	294	0	0
Slc35g3	622.666667	1335	386	147	0
Polr2a	622.666667	1335	386	147	0
Itgb1	617.333333	1852	0	0	0
Mbd6	614.666667	1673	171	0	0
Ddit3	614.666667	1673	171	0	0
Mcrs1	608.666667	1332	349	145	0
Kpna1	586.333333	686	425	648	0
Pigc	577.333333	1732	0	0	0
4930558K02Rik	577.333333	1732	0	0	0
Zfp36	571.000000	1713	0	0	0
Il31ra	566.333333	969	378	352	0
Lyl1	515.666667	1547	0	0	0
Large1	511.666667	1535	0	0	0
Hmga1b	511.666667	1535	0	0	0
Hmga1	511.666667	1535	0	0	0
Clcn4	511.666667	1535	0	0	0
Cep85	509.333333	502	642	384	0
Zfp566	508.000000	1524	0	0	0
Zfp260	508.000000	1524	0	0	0
Snap47	494.333333	752	566	165	0
Jmjd4	494.333333	752	566	165	0
Atad2	493.333333	1480	0	0	0
Fndc7	481.000000	1443	0	0	0
S100a10	466.000000	1398	0	0	0
Pa2g4	466.000000	1398	0	0	0
Hjurp	458.666667	843	368	165	0
A730008H23Rik	458.666667	843	368	165	0
Tor1aip2	457.333333	1372	0	0	0
Tor1aip1	457.333333	1372	0	0	0
Nfat5	457.000000	959	245	167	0
Abi2	456.333333	1369	0	0	0
Mrpl52	456.000000	1368	0	0	0
Mmp14	456.000000	1368	0	0	0
Rpl37	455.666667	1367	0	0	0
Polr3d	455.666667	1367	0	0	0
Ext2	449.000000	844	322	181	0
Myd88	448.000000	795	356	193	0
Acaa1a	448.000000	795	356	193	0
Hnrnpa0	445.666667	1252	0	85	0
Tsn	444.333333	1333	0	0	0
Crcp	442.000000	1326	0	0	0
Asl	442.000000	1326	0	0	0
Wwc2	441.666667	1325	0	0	0
Stx12	436.666667	713	433	164	0
Acp2	435.000000	1305	0	0	0
Adgre4	434.000000	1302	0	0	0
Nup155	432.000000	1296	0	0	0
Tomm7	429.000000	1143	144	0	0
Abhd18	424.000000	1272	0	0	0
Cdkn2a	422.333333	1267	0	0	0
Zc3h11a	422.000000	1266	0	0	0
Zbed6	422.000000	1266	0	0	0
Sde2	419.333333	1258	0	0	0
Mfsd8	417.666667	1253	0	0	0
Pomt1	414.333333	312	550	381	0
Alkbh5	414.333333	498	501	244	0
Sgta	411.666667	616	305	314	0
Wbp4	411.333333	1234	0	0	0
Elf1	411.333333	1234	0	0	0
Rps6ka1	406.000000	1218	0	0	0
Ddx59	404.666667	1039	175	0	0
Tbrg1	404.000000	1212	0	0	0
Tmx3	402.000000	898	208	100	0
Trmt11	401.333333	1003	201	0	0
Tmx1	401.000000	609	402	192	0
Sprtn	400.666667	176	649	377	0
Exoc8	400.666667	176	649	377	0
Itgb3	400.333333	1201	0	0	0
Cttnbp2nl	398.666667	1196	0	0	0
Prkag2	398.333333	1195	0	0	0
Smg9	398.000000	565	341	288	0
Nup93	398.000000	1194	0	0	0
Smim15	397.666667	1193	0	0	0
Ipp	397.333333	867	235	90	0
Rassf1	397.000000	998	131	62	0
Pnrc2	395.000000	1185	0	0	0
Tram1	393.666667	685	337	159	0
Zfp106	389.333333	606	466	96	0
Snap23	389.333333	606	466	96	0
Trappc9	387.666667	592	339	232	0
Olfr806	387.666667	381	349	433	0
Erc1	386.666667	1160	0	0	0
Agap1	385.666667	1157	0	0	0
Zfp948	385.333333	1156	0	0	0
Pkn3	385.333333	1156	0	0	0
Msra	384.666667	390	527	237	0
Rab14	383.333333	550	429	171	0
Banp	383.000000	624	305	220	0
Imp4	382.333333	1147	0	0	0
Ccdc115	382.333333	1147	0	0	0
Fkbp1a	380.333333	868	208	65	0
Rimbp3	376.333333	1129	0	0	0
Tmco3	376.000000	340	514	274	0
Ppp2r1a	376.000000	1128	0	0	0
Dcun1d2	376.000000	340	514	274	0
Coro1b	372.666667	1118	0	0	0
Snrnp70	370.666667	709	250	153	0
Tmem139	370.000000	644	340	126	0
Casp2	370.000000	644	340	126	0
Ptpn12	369.666667	1109	0	0	0
Rnf38	366.000000	184	591	323	0
Pola2	365.333333	379	418	299	0
Zfp91	364.000000	912	117	63	0
Lpxn	364.000000	912	117	63	0
Asmt	363.000000	258	321	510	0
Ints3	362.000000	559	317	210	0
Pdcl	358.000000	1074	0	0	0
Hnrnpl	357.666667	623	240	210	0
Zfp318	356.666667	286	437	347	0
Sugp2	356.333333	0	618	451	0
Gm38396	356.333333	1069	0	0	0
Armc6	356.333333	0	618	451	0
Ube2t	356.000000	1068	0	0	0
Clta	356.000000	1068	0	0	0
Psmd14	355.666667	911	156	0	0
L3hypdh	355.666667	1067	0	0	0
Jkamp	355.666667	1067	0	0	0
Mettl22	354.000000	480	388	194	0
Pkmyt1	353.666667	651	212	198	0
Mfsd6	353.666667	1061	0	0	0
Gm2237	353.666667	1061	0	0	0
Rbpj	353.000000	979	80	0	0
Cyp4f16	352.666667	1058	0	0	0
Oasl1	352.000000	436	283	337	0
Kctd1	352.000000	1056	0	0	0
Chmp5	351.333333	627	338	89	0
Bag1	351.333333	627	338	89	0
Ehmt1	349.666667	147	549	353	0
Pdk2	348.333333	1045	0	0	0
Ahnak	347.666667	1043	0	0	0
Wdr37	347.000000	1041	0	0	0
Mmut	347.000000	1041	0	0	0
Cenpq	347.000000	1041	0	0	0
Gm3636	346.333333	1039	0	0	0
Rnf14	343.666667	806	115	110	0
Car2	343.333333	1030	0	0	0
Bcdin3d	343.333333	812	118	100	0
Vamp4	342.666667	1028	0	0	0
Mprip	342.666667	1028	0	0	0
Celf2	342.666667	1028	0	0	0
Iars2	342.333333	327	386	314	0
Bpnt1	342.333333	327	386	314	0
Fads2	342.000000	1026	0	0	0
Plekha7	339.333333	1018	0	0	0
Vps37b	338.666667	1016	0	0	0
Tmem170b	338.666667	433	426	157	0
Stx16	338.666667	1016	0	0	0
Fam110a	337.666667	1013	0	0	0
Pop7	337.333333	665	246	101	0
Actn4	336.333333	272	537	200	0
Cd48	335.666667	1007	0	0	0
Zfp97	335.000000	1005	0	0	0
Efcab2	333.333333	1000	0	0	0
Vars2	333.000000	433	314	252	0
Abhd6	331.333333	293	326	375	0
Zfp945	329.666667	989	0	0	0
C77080	329.000000	987	0	0	0
Ipmk	328.333333	521	301	163	0
Cisd1	328.333333	521	301	163	0
Pcyt1a	326.000000	978	0	0	0
5730455P16Rik	326.000000	978	0	0	0
Oxnad1	325.000000	113	463	399	0
Dph3	325.000000	113	463	399	0
Prrt2	324.666667	322	354	298	0
Ssbp4	324.333333	973	0	0	0
Plpbp	324.000000	972	0	0	0
Nf1	323.666667	810	161	0	0
Hif3a	323.666667	971	0	0	0
Cish	323.000000	800	169	0	0
Baz2b	323.000000	969	0	0	0
H2-DMa	322.666667	499	293	176	0
Brd2	322.666667	499	293	176	0
Xpo5	322.000000	320	376	270	0
Polh	322.000000	320	376	270	0
Fbxo28	320.666667	962	0	0	0
Pigg	319.666667	959	0	0	0
Dcaf12	319.000000	707	250	0	0
Tcf25	318.666667	647	184	125	0
Specc1l	318.666667	342	466	148	0
Rab6a	318.333333	955	0	0	0
Mknk2	317.666667	630	181	142	0
Kazald1	317.666667	953	0	0	0
Zfp523	316.666667	950	0	0	0
Cdc34	316.666667	282	429	239	0
Mettl8	316.333333	0	529	420	0
Ifitm3	316.333333	949	0	0	0
Fam222b	316.333333	332	455	162	0
Dcaf17	316.333333	0	529	420	0
Alyref2	316.333333	949	0	0	0
Mbtps1	316.000000	424	360	164	0
Zmiz1	315.666667	947	0	0	0
Fap	315.000000	945	0	0	0
Plscr1	314.666667	944	0	0	0
Ddx3x	314.333333	943	0	0	0
Pik3ca	312.333333	937	0	0	0
Mrpl30	312.333333	616	206	115	0
Mitd1	312.333333	616	206	115	0
Lrrfip2	311.333333	934	0	0	0
Fcho2	310.333333	793	138	0	0
Tti1	309.666667	730	199	0	0
Rprd1b	309.666667	730	199	0	0
Mib1	309.000000	810	117	0	0
Zbtb32	308.666667	926	0	0	0
Ubr4	308.666667	0	678	248	0
Kmt2b	308.666667	926	0	0	0
Gcnt2	307.666667	923	0	0	0
Zfp623	306.666667	735	185	0	0
Bhlhe40	306.000000	918	0	0	0
Capza1	305.666667	917	0	0	0
Fut8	304.666667	801	113	0	0
Nup50	304.333333	379	387	147	0
Ccm2	304.000000	912	0	0	0
Zfp760	303.666667	911	0	0	0
Sh3gl1	301.666667	750	155	0	0
Hdgf	301.666667	905	0	0	0
Chaf1a	301.666667	750	155	0	0
Vps13a	301.000000	245	390	268	0
Mtif2	301.000000	903	0	0	0
Exoc2	300.333333	901	0	0	0
Zfp229	299.333333	898	0	0	0
Ccdc88a	299.333333	898	0	0	0
Znhit1	299.000000	618	179	100	0
Plod3	299.000000	618	179	100	0
Zfp282	298.333333	895	0	0	0
Tmem125	298.333333	263	279	353	0
Zfp57	298.000000	894	0	0	0
Cdc7	298.000000	177	471	246	0
Pts	297.666667	607	286	0	0
Nadk	297.666667	321	411	161	0
Blm	297.666667	893	0	0	0
Adipor1	297.666667	893	0	0	0
Eno1	297.000000	891	0	0	0
Eif5a	295.333333	610	180	96	0
Ltbr	294.666667	884	0	0	0
Elmod2	294.666667	884	0	0	0
Polg	294.000000	882	0	0	0
Wdr12	293.666667	281	433	167	0
Carf	293.666667	281	433	167	0
Taok2	293.333333	694	186	0	0
Herc4	293.333333	256	414	210	0
Cst3	292.333333	877	0	0	0
Nudt15	292.000000	647	229	0	0
Fubp3	292.000000	876	0	0	0
Phb	291.666667	615	260	0	0
Lrrc8b	291.333333	108	429	337	0
Nt5dc3	290.666667	872	0	0	0
Atp13a2	290.000000	870	0	0	0
Echdc1	289.666667	422	311	136	0
Tbc1d8	289.333333	868	0	0	0
Mpp7	287.333333	194	344	324	0
Gm3383	287.333333	862	0	0	0
Rps19	286.666667	860	0	0	0
Khdrbs1	286.666667	447	282	131	0
Zbtb41	286.333333	146	434	279	0
2310061I04Rik	286.333333	0	570	289	0
Flt1	286.000000	858	0	0	0
Fam13b	285.666667	464	306	87	0
Ywhag	285.333333	499	267	90	0
Yeats4	285.333333	0	560	296	0
Thap7	285.000000	599	140	116	0
Sspn	285.000000	392	212	251	0
Znrd1as	284.666667	854	0	0	0
Znrd1	284.666667	854	0	0	0
Zfp64	284.666667	854	0	0	0
Trappc5	284.666667	368	334	152	0
Fcor	284.666667	368	334	152	0
Adgrg3	284.333333	853	0	0	0
Pagr1a	283.000000	197	354	298	0
Mvp	283.000000	197	354	298	0
Ccdc97	283.000000	708	141	0	0
Mrps25	282.666667	848	0	0	0
Vps26a	282.000000	846	0	0	0
Srsf7	281.666667	563	158	124	0
Tsen54	281.333333	673	171	0	0
Caskin2	281.333333	673	171	0	0
Nf2	280.666667	842	0	0	0
Zfp946	280.000000	840	0	0	0
Eml6	280.000000	840	0	0	0
Cyren	280.000000	723	117	0	0
Armc5	280.000000	706	134	0	0
9130023H24Rik	280.000000	706	134	0	0
Srrm1	279.666667	170	487	182	0
Tbc1d9	279.333333	838	0	0	0
C3ar1	278.000000	834	0	0	0
Zmym4	277.333333	457	272	103	0
Tcf19	277.000000	634	92	105	0
Iba57	277.000000	528	183	120	0
Cchcr1	277.000000	634	92	105	0
Kdm4c	276.666667	525	305	0	0
Gm3667	276.666667	830	0	0	0
Acaa2	276.666667	620	210	0	0
Tmem109	276.333333	731	98	0	0
Zfp267	276.000000	828	0	0	0
Ybx2	276.000000	828	0	0	0
Ate1	276.000000	828	0	0	0
Tpm3	275.666667	827	0	0	0
Ppme1	275.333333	826	0	0	0
C2cd3	275.333333	826	0	0	0
Ptges3	274.666667	724	100	0	0
Pgghg	274.666667	824	0	0	0
Dtx2	274.666667	241	345	238	0
H4c17	274.333333	823	0	0	0
H4bc24	274.333333	823	0	0	0
H2bc23	274.333333	823	0	0	0
H2ac24	274.333333	823	0	0	0
H2ac23	274.333333	823	0	0	0
Stn1	274.000000	822	0	0	0
Lefty2	273.666667	821	0	0	0
Vapa	272.666667	678	140	0	0
Spg7	272.333333	0	619	198	0
Fam174a	272.000000	816	0	0	0
Ralbp1	271.666667	276	410	129	0
Junb	271.666667	815	0	0	0
Gabarapl2	271.666667	815	0	0	0
Rab3gap2	270.666667	0	607	205	0
Dync1li1	270.666667	200	390	222	0
Kif13a	270.000000	810	0	0	0
Ttc9c	269.666667	613	114	82	0
Hnrnpul2	269.666667	613	114	82	0
Slc35b2	269.000000	807	0	0	0
Itpripl2	269.000000	807	0	0	0
Crtc1	269.000000	195	384	228	0
Lrrc42	268.000000	301	367	136	0
Hspb11	268.000000	301	367	136	0
Mvd	267.333333	384	279	139	0
Ctsd	267.333333	802	0	0	0
Hspa9	267.000000	384	246	171	0
Fnip2	266.666667	800	0	0	0
Accs	266.666667	800	0	0	0
Nr4a2	266.333333	799	0	0	0
Zfp59	266.000000	798	0	0	0
Rpl8	266.000000	522	276	0	0
Commd5	266.000000	522	276	0	0
Xiap	265.666667	797	0	0	0
Ppard	265.666667	797	0	0	0
Plekho2	265.666667	797	0	0	0
Tmem250-ps	265.333333	413	225	158	0
Psma2	265.333333	0	506	290	0
Mrpl32	265.333333	0	506	290	0
Ahctf1	265.000000	795	0	0	0
Gng11	264.666667	794	0	0	0
Dmap1	264.666667	794	0	0	0
Cspp1	264.666667	794	0	0	0
Cops5	264.666667	794	0	0	0
Wdsub1	264.333333	67	512	214	0
Ube2f	264.333333	793	0	0	0
Zfp12	263.666667	98	541	152	0
Zfat	263.666667	676	115	0	0
Ncoa7	263.000000	789	0	0	0
Mfsd14b	263.000000	789	0	0	0
Rock1	262.666667	258	343	187	0
Gm10406	262.333333	787	0	0	0
Usp10	261.666667	135	440	210	0
Rab11a	260.666667	782	0	0	0
Heatr5b	260.666667	412	231	139	0
H2-T24	260.666667	782	0	0	0
Gpatch11	260.666667	412	231	139	0
Tlr2	260.000000	780	0	0	0
Polr2h	260.000000	625	155	0	0
Dusp6	260.000000	780	0	0	0
Clcn2	260.000000	625	155	0	0
Ldlr	259.666667	779	0	0	0
Rmnd5a	259.333333	778	0	0	0
Hinfp	259.333333	79	381	318	0
Ctnnd1	258.666667	776	0	0	0
Champ1	258.666667	776	0	0	0
Xrcc1	258.333333	378	246	151	0
Pinlyp	258.333333	378	246	151	0
6430548M08Rik	257.666667	487	174	112	0
Pias1	257.333333	640	132	0	0
Upf1	256.666667	0	452	318	0
Anxa1	256.666667	770	0	0	0
Hp1bp3	256.333333	108	502	159	0
Eif3j2	256.333333	769	0	0	0
Eif3j1	256.333333	769	0	0	0
Pogz	255.666667	767	0	0	0
Rab44	255.333333	766	0	0	0
Phlda3	254.666667	613	151	0	0
Mrpl22	254.666667	618	146	0	0
Mgat4b	254.666667	764	0	0	0
Gemin5	254.666667	618	146	0	0
Baz1a	254.666667	764	0	0	0
Abtb1	254.333333	763	0	0	0
Mbd4	254.000000	560	202	0	0
Ift122	254.000000	560	202	0	0
Kat2b	253.333333	760	0	0	0
Oosp2	253.000000	759	0	0	0
Cep295	253.000000	160	377	222	0
Sfxn2	252.666667	204	436	118	0
Rtn2	252.666667	758	0	0	0
Arl3	252.666667	204	436	118	0
Dpep2	252.333333	757	0	0	0
Slc30a7	251.333333	754	0	0	0
Ptk7	251.333333	754	0	0	0
Gli1	251.333333	754	0	0	0
Extl2	251.333333	754	0	0	0
Alg13	251.333333	754	0	0	0
Trim7	251.000000	753	0	0	0
Patl1	251.000000	454	202	97	0
Cdiptos	249.666667	626	123	0	0
Cdipt	249.666667	626	123	0	0
Arid5a	249.333333	748	0	0	0
Suco	249.000000	165	240	342	0
Ajuba	249.000000	747	0	0	0
Tnfsf9	248.666667	746	0	0	0
Nup107	248.666667	295	338	113	0
Ubr2	248.000000	606	138	0	0
Tmtc3	248.000000	744	0	0	0
Leng8	248.000000	272	326	146	0
Cherp	248.000000	181	297	266	0
Cep290	248.000000	744	0	0	0
Fancc	247.666667	601	142	0	0
Cdt1	247.666667	516	150	77	0
Trip4	247.333333	742	0	0	0
Csnk1g1	247.333333	742	0	0	0
Fam117b	246.666667	740	0	0	0
Smap1	246.333333	556	183	0	0
Ap3m2	246.333333	321	217	201	0
Sppl2a	246.000000	738	0	0	0
Tmed4	245.333333	0	490	246	0
Mzt2	245.333333	736	0	0	0
Dsn1	245.000000	181	290	264	0
Set	244.666667	188	300	246	0
Cotl1	244.333333	733	0	0	0
Shld2	243.666667	556	175	0	0
Glud1	243.666667	556	175	0	0
Agpat4	243.666667	731	0	0	0
Nae1	243.333333	107	481	142	0
Car7	243.333333	107	481	142	0
Smyd3	243.000000	104	374	251	0
Sdf4	242.333333	0	419	308	0
F2rl3	242.333333	727	0	0	0
B3galt6	242.333333	0	419	308	0
Iqcc	242.000000	168	334	224	0
Dcdc2b	242.000000	168	334	224	0
Ccdc28b	242.000000	168	334	224	0
Bag6	242.000000	240	285	201	0
Asb8	242.000000	111	397	218	0
Apom	242.000000	240	285	201	0
Srp54a	241.666667	725	0	0	0
Pnn	241.666667	409	154	162	0
Gtf3c1	241.333333	142	409	173	0
Gdi2	241.333333	724	0	0	0
D430042O09Rik	241.333333	142	409	173	0
Ube2v1	241.000000	362	259	102	0
Rap2b	240.666667	549	173	0	0
Prkab1	240.333333	721	0	0	0
Sdc3	240.000000	720	0	0	0
P4hb	240.000000	566	154	0	0
Mtrr	240.000000	527	193	0	0
Fastkd3	240.000000	527	193	0	0
Rassf5	239.666667	719	0	0	0
Ibtk	239.666667	719	0	0	0
Hsf1	239.666667	174	378	167	0
Bop1	239.666667	174	378	167	0
Ogfod3	239.333333	718	0	0	0
Hexdc	239.333333	718	0	0	0
Gdpd1	239.333333	592	0	126	0
Strn3	239.000000	717	0	0	0
Ap4s1	239.000000	717	0	0	0
Slc39a13	238.666667	716	0	0	0
G2e3	238.666667	716	0	0	0
Krcc1	238.000000	231	294	189	0
Fcgr1	238.000000	714	0	0	0
Ezh1	238.000000	396	218	100	0
Arhgap12	238.000000	714	0	0	0
Map3k7	237.666667	713	0	0	0
Cnot8	237.666667	341	266	106	0
2610042L04Rik	237.000000	711	0	0	0
St3gal3	236.666667	710	0	0	0
2310057M21Rik	236.666667	523	187	0	0
Rnf8	236.333333	181	346	182	0
Fanci	236.333333	709	0	0	0
Zbtb14	236.000000	458	137	113	0
Gm21885	236.000000	389	244	75	0
Rab35	235.666667	98	456	153	0
Maea	235.666667	707	0	0	0
Pgap1	235.333333	182	400	124	0
Nbeal2	235.333333	99	356	251	0
Ccdc12	235.333333	99	356	251	0
Phf12	233.666667	144	311	246	0
Tctex1d2	233.333333	533	167	0	0
Slx4	233.333333	0	544	156	0
Zfp740	233.000000	699	0	0	0
Rab9	233.000000	699	0	0	0
Prkce	233.000000	699	0	0	0
Mib2	233.000000	120	326	253	0
Csad	233.000000	699	0	0	0
Sft2d3	232.666667	0	484	214	0
Mink1	232.666667	172	384	142	0
Ccser2	232.666667	207	298	193	0
Birc6	232.333333	520	177	0	0
Agfg1	232.333333	697	0	0	0
Tal1	232.000000	696	0	0	0
Raly	232.000000	696	0	0	0
Gosr2	231.333333	694	0	0	0
Ddx20	231.333333	694	0	0	0
Tspan10	231.000000	422	271	0	0
Otulin	231.000000	193	303	197	0
Laptm4b	230.666667	692	0	0	0
Rsph3b	230.333333	691	0	0	0
B9d2	230.000000	602	88	0	0
B3gnt2	229.666667	689	0	0	0
Grm4	229.333333	688	0	0	0
Eapp	229.000000	464	223	0	0
Arl6ip1	228.666667	544	0	142	0
Ubfd1	228.333333	685	0	0	0
Pcgf1	228.333333	190	296	199	0
Maml3	228.333333	685	0	0	0
Ears2	228.333333	685	0	0	0
Mrpl24	228.000000	684	0	0	0
Morc3	228.000000	242	315	127	0
Cldn12	228.000000	684	0	0	0
Moxd2	227.333333	682	0	0	0
Ccdc93	227.333333	175	383	124	0
Trim25	227.000000	167	351	163	0
Sae1	227.000000	104	389	188	0
Gga1	226.666667	680	0	0	0
Dag1	226.333333	348	188	143	0
Lamtor3	226.000000	214	271	193	0
Hfe	226.000000	678	0	0	0
Pex10	225.666667	339	218	120	0
Eif4ebp1	225.666667	677	0	0	0
Bnip3l	225.333333	676	0	0	0
Zfp882	224.666667	674	0	0	0
Ptgds	224.333333	673	0	0	0
Paxx	224.333333	673	0	0	0
Igsf8	224.333333	673	0	0	0
Akap8	224.333333	101	422	150	0
Smarcal1	224.000000	672	0	0	0
Mcph1	224.000000	148	330	194	0
Dock8	223.666667	671	0	0	0
Pola1	223.333333	670	0	0	0
Pim1	223.333333	670	0	0	0
Armcx1	223.333333	670	0	0	0
Rtn3	223.000000	164	335	170	0
Preb	223.000000	162	315	192	0
Tsku	222.666667	668	0	0	0
Tfg	222.666667	513	155	0	0
Rpl14	222.666667	322	219	127	0
Trim35	222.000000	666	0	0	0
Tk1	221.666667	665	0	0	0
Nampt	221.666667	424	135	106	0
Afmid	221.666667	665	0	0	0
Plbd2	221.333333	664	0	0	0
Hspa12b	221.333333	664	0	0	0
Nras	220.666667	662	0	0	0
Gadd45b	220.666667	662	0	0	0
Actr3	220.666667	207	313	142	0
Thop1	220.333333	0	425	236	0
Plcb2	220.333333	661	0	0	0
Gimap4	220.333333	661	0	0	0
Tsga10	220.000000	244	306	110	0
Gtdc1	220.000000	660	0	0	0
Sppl2b	219.000000	0	373	284	0
Sfr1	219.000000	657	0	0	0
Nans	219.000000	510	147	0	0
Lsm7	219.000000	0	373	284	0
Anapc1	219.000000	549	108	0	0
Mrpl39	218.666667	547	109	0	0
Gm5796	218.666667	656	0	0	0
Dusp2	218.666667	656	0	0	0
Astl	218.666667	656	0	0	0
Fbh1	218.333333	655	0	0	0
Ankrd16	218.333333	655	0	0	0
Safb2	218.000000	120	296	238	0
Safb	218.000000	120	296	238	0
Pkm	218.000000	654	0	0	0
Heatr3	218.000000	319	167	168	0
Lxn	217.666667	653	0	0	0
Klhl3	217.666667	653	0	0	0
Ctif	217.666667	653	0	0	0
C2cd2	217.666667	653	0	0	0
Zmym6	217.333333	652	0	0	0
Osbpl1a	217.333333	652	0	0	0
Vdac1	217.000000	651	0	0	0
Frmd4a	217.000000	651	0	0	0
Trim8	216.666667	650	0	0	0
Cyfip1	216.666667	650	0	0	0
Ccnyl1	216.666667	650	0	0	0
Capza2	216.666667	143	395	112	0
Zfp692	216.333333	649	0	0	0
Msh3	216.333333	0	425	224	0
Dhfr	216.333333	0	425	224	0
Spen	215.666667	186	289	172	0
Skp1	215.666667	647	0	0	0
Flt3l	215.666667	647	0	0	0
BC005537	215.666667	250	200	197	0
Osgepl1	215.333333	646	0	0	0
Bcl7b	215.333333	245	308	93	0
Lig4	215.000000	226	249	170	0
Cop1	215.000000	165	226	254	0
Abhd13	215.000000	226	249	170	0
Zfp61	214.666667	644	0	0	0
Ywhab	214.666667	644	0	0	0
Scap	214.666667	117	306	221	0
Wdr11	214.333333	643	0	0	0
Ccdc166	214.333333	0	503	140	0
Pten	214.000000	642	0	0	0
Bin2	214.000000	642	0	0	0
Pus10	213.666667	641	0	0	0
Cbx5	213.666667	154	354	133	0
Fbxl19	213.000000	639	0	0	0
Ckap2	213.000000	639	0	0	0
Rmi2	212.666667	638	0	0	0
Pip4p2	212.666667	638	0	0	0
Tbc1d10b	212.333333	185	318	134	0
Tax1bp3	212.333333	331	216	90	0
Mylpf	212.333333	185	318	134	0
Fgd2	212.333333	637	0	0	0
Emc6	212.333333	331	216	90	0
Ccnt2	212.333333	449	188	0	0
Sumo1	211.666667	635	0	0	0
Gtf3a	211.666667	140	311	184	0
Plxdc1	211.333333	511	123	0	0
Pdxdc1	211.333333	495	139	0	0
Nudt13	211.333333	634	0	0	0
Mpv17l	211.333333	495	139	0	0
Bmyc	211.333333	634	0	0	0
Wrnip1	211.000000	462	171	0	0
Rab33b	211.000000	114	337	182	0
Pbld2	211.000000	431	121	81	0
Krt80	211.000000	633	0	0	0
Hnrnph3	211.000000	431	121	81	0
Alg8	211.000000	0	347	286	0
Ube2e1	210.666667	632	0	0	0
Ascc1	210.666667	216	234	182	0
Anapc16	210.666667	216	234	182	0
Pvr	210.333333	500	131	0	0
Ppp1r8	210.333333	118	338	175	0
Ilkap	210.000000	159	304	167	0
Gngt2	210.000000	630	0	0	0
Cdh12	210.000000	0	231	399	0
Amd2	210.000000	630	0	0	0
Amd1	210.000000	630	0	0	0
Abi3	210.000000	630	0	0	0
Gfod2	209.666667	291	199	139	0
Tmem106c	209.333333	81	369	178	0
Ddx11	209.333333	233	283	112	0
Bmp2k	209.333333	628	0	0	0
Nr1d2	208.666667	437	189	0	0
Poglut2	208.000000	624	0	0	0
Mtmr2	208.000000	367	257	0	0
Car5a	208.000000	624	0	0	0
Bivm	208.000000	624	0	0	0
Scd2	207.666667	623	0	0	0
Phykpl	207.666667	623	0	0	0
Nprl3	207.666667	151	333	139	0
Max	207.666667	536	87	0	0
Bcl2l2	207.666667	623	0	0	0
Tmub2	207.333333	622	0	0	0
Rfwd3	207.333333	289	174	159	0
Itga2b	207.333333	622	0	0	0
Dtx3	207.000000	621	0	0	0
Cnnm3	207.000000	621	0	0	0
Asxl2	207.000000	621	0	0	0
Arhgef25	207.000000	621	0	0	0
Tmem143	206.666667	148	330	142	0
Syngr4	206.666667	148	330	142	0
Scoc	206.666667	620	0	0	0
Rbm4b	206.666667	620	0	0	0
Slc45a4	206.333333	619	0	0	0
Opa1	206.333333	0	446	173	0
Ipo9	206.333333	428	79	112	0
Phf21a	206.000000	618	0	0	0
Ly96	206.000000	618	0	0	0
Hdac7	206.000000	618	0	0	0
Ccnd3	206.000000	618	0	0	0
Atxn2l	206.000000	618	0	0	0
Zc3h18	205.666667	289	202	126	0
Scaper	205.333333	466	150	0	0
Zfp280b	205.000000	615	0	0	0
Eda2r	205.000000	615	0	0	0
Ddx50	205.000000	615	0	0	0
Tmem127	204.666667	108	320	186	0
Pde6d	204.666667	614	0	0	0
Mcm6	204.666667	614	0	0	0
Mapk3	204.666667	614	0	0	0
Inppl1	204.666667	614	0	0	0
Cops7b	204.666667	614	0	0	0
Ciao1	204.666667	108	320	186	0
Tufm	204.000000	612	0	0	0
Trabd2b	203.666667	611	0	0	0
Ndrg3	203.666667	0	358	253	0
Rrm2	203.333333	168	246	196	0
Rilpl1	203.333333	610	0	0	0
Klc3	203.333333	378	232	0	0
Ctnna1	202.666667	608	0	0	0
Ftl1	202.333333	447	160	0	0
Ccni	202.333333	219	290	98	0
2010109A12Rik	202.333333	219	290	98	0
Ubqln2	202.000000	606	0	0	0
Nudt2	202.000000	443	163	0	0
Niban1	202.000000	606	0	0	0
Map3k5	202.000000	606	0	0	0
Kif24	202.000000	443	163	0	0
Slc36a3	201.666667	605	0	0	0
U2af1	201.333333	229	238	137	0
Nanos2	201.333333	0	424	180	0
Mypop	201.333333	0	424	180	0
Rplp0	201.000000	603	0	0	0
Ranbp3	201.000000	158	270	175	0
Tpk1	200.666667	602	0	0	0
Tmem91	200.666667	602	0	0	0
Tmbim4	200.666667	602	0	0	0
Ly6g6e	200.666667	602	0	0	0
Ly6g6d	200.666667	602	0	0	0
Ier3	200.333333	601	0	0	0
Flot1	200.333333	601	0	0	0
Ciao2b	200.333333	601	0	0	0
Arrdc2	200.333333	601	0	0	0
Mphosph8	200.000000	600	0	0	0
Lrrk2	200.000000	600	0	0	0
Fxr2	200.000000	248	148	204	0
Fibp	200.000000	600	0	0	0
