Target_genes	Klf9|Average	SRX2185047|Unclassified	SRX2185048|Unclassified	SRX2185049|Unclassified	SRX2185050|Unclassified	SRX2185051|Unclassified	STRING
Aacs	217.200000	0	231	266	306	283	0
Psat1	214.600000	0	160	356	265	292	0
Anxa5	214.000000	0	129	222	317	402	0
1810062G17Rik	214.000000	0	129	222	317	402	0
Mdn1	213.400000	0	179	227	291	370	0
Cpt2	212.400000	0	165	344	168	385	0
Slain2	209.600000	0	245	361	211	231	0
Sntb2	209.000000	0	193	352	246	254	0
Xpot	208.600000	0	164	284	289	306	0
Ssh1	208.400000	0	198	315	162	367	0
Pcgf5	207.600000	0	170	242	296	330	0
Elp1	207.000000	0	179	361	299	196	0
Abitram	207.000000	0	179	361	299	196	0
Birc5	206.400000	0	159	401	274	198	0
Fam111a	205.600000	0	177	368	217	266	0
Bsdc1	205.400000	0	123	364	204	336	0
Rpf1	205.200000	0	283	222	284	237	0
Endov	205.200000	0	181	296	272	277	0
Sart3	205.000000	0	134	295	220	376	0
Iscu	205.000000	0	134	295	220	376	0
Vgf	204.600000	0	123	300	303	297	0
Ncoa3	204.400000	0	270	239	282	231	0
Exoc6b	204.400000	0	162	294	257	309	0
N4bp2	203.400000	0	203	396	295	123	0
Plcb3	203.200000	0	0	444	293	279	0
Pprc1	202.600000	0	151	340	232	290	0
Sgpl1	200.200000	0	241	273	228	259	0
Acbd3	199.000000	0	228	308	214	245	0
Lonrf1	197.800000	0	159	256	264	310	0
Mfsd14a	197.400000	0	122	291	241	333	0
Map2k2	196.200000	0	126	249	308	298	0
Mfsd9	194.400000	0	137	326	253	256	0
Fzr1	194.400000	0	169	297	225	281	0
Nmt2	193.400000	0	179	220	203	365	0
Ap1ar	192.600000	0	181	278	315	189	0
Acot7	192.600000	0	150	347	244	222	0
Eloa	191.800000	0	215	316	179	249	0
Bcar1	191.800000	0	203	282	209	265	0
Plxna3	190.600000	0	201	298	180	274	0
Lst1	189.800000	0	218	250	252	229	0
Cers5	189.400000	0	177	250	213	307	0
Tspo	188.800000	0	170	309	137	328	0
