Target_genes	Atf2|Average	SRX515669|3T3-L1	SRX520192|3T3-L1	STRING
Tbl1x	511.000000	733	289	0
Cldn34d	511.000000	897	125	0
Htra2	509.500000	689	330	0
Dqx1	509.500000	689	330	0
Prc1	508.000000	815	201	0
Tut1	506.000000	642	370	0
Hsd11b2	505.500000	636	375	0
Dapk3	500.500000	750	251	0
Zfp87	500.000000	707	293	0
Bcl3	500.000000	615	385	0
Zfp617	498.500000	629	368	0
Tesk1	498.500000	757	240	0
Rhoq	496.000000	690	302	0
Il13ra2	496.000000	992	0	0
Zfp595	495.000000	640	350	0
Ralgapa1	494.000000	492	496	0
A130010J15Rik	494.000000	682	306	0
Iba57	492.500000	722	263	0
Phlpp1	489.000000	486	492	0
Cwc22	488.000000	758	218	0
Galnt9	487.000000	765	209	0
Prcd	486.000000	697	275	0
Cygb	486.000000	697	275	0
Fbxw9	485.500000	635	336	0
Zfp119a	483.000000	371	595	0
1700001K19Rik	481.000000	738	224	0
Tmcc3	480.500000	596	365	0
Mrtfa	480.500000	648	313	0
H4c2	478.000000	629	327	0
H4c1	478.000000	629	327	0
H3c1	478.000000	629	327	0
H1f1	478.000000	629	327	0
Klf6	477.500000	463	492	0
Ap2m1	473.500000	645	302	0
Ddx42	471.000000	766	176	0
Ccdc47	471.000000	766	176	0
Psmb2	470.500000	345	596	0
Ccdc174	470.500000	645	296	0
Ppm1b	470.000000	615	325	0
Usp2	469.500000	450	489	0
Rab44	467.000000	934	0	0
Ndufa10	465.500000	438	493	0
Ube2d2a	463.000000	305	621	0
Aldoa	462.500000	554	371	0
Spred2	460.500000	552	369	0
Rcan1	459.500000	586	333	0
Brox	458.500000	401	516	0
Aida	458.500000	401	516	0
Scyl2	458.000000	608	308	0
Ufsp2	456.500000	534	379	0
Htra4	456.500000	913	0	0
1700029J07Rik	456.500000	534	379	0
Parp2	455.500000	431	480	0
Atp6v0a1	454.500000	649	260	0
Gadd45a	454.000000	782	126	0
Calhm5	452.000000	904	0	0
Mrpl38	451.000000	902	0	0
Bbs5	447.000000	640	254	0
Has2	444.500000	576	313	0
Zfp619	443.000000	526	360	0
Snx10	443.000000	886	0	0
Tmem140	442.000000	796	88	0
Fads3	442.000000	884	0	0
Nemf	441.000000	406	476	0
Epha1	440.000000	660	220	0
Prkab1	439.500000	640	239	0
Mrps23	439.000000	0	878	0
Sox4	437.000000	760	114	0
Klf15	437.000000	874	0	0
Cav2	436.000000	672	200	0
Josd2	435.500000	599	272	0
Aspdh	435.500000	599	272	0
Rab11b	434.500000	506	363	0
AW549877	432.000000	538	326	0
Tm9sf4	430.000000	530	330	0
Stk40	429.500000	593	266	0
Nop58	429.500000	641	218	0
Tctn3	427.000000	440	414	0
Entpd1	427.000000	440	414	0
Gnpnat1	424.500000	849	0	0
Sil1	423.000000	710	136	0
Mrpl34	422.000000	708	136	0
Isy1	422.000000	449	395	0
Dda1	422.000000	708	136	0
Abhd8	422.000000	708	136	0
Jak1	421.500000	686	157	0
Ccnd2	420.000000	594	246	0
Tmub2	414.000000	592	236	0
Nr4a3	414.000000	430	398	0
Cwc25	413.500000	510	317	0
Adnp2	413.000000	478	348	0
Kat2b	412.500000	705	120	0
Per2	411.500000	823	0	0
Colgalt1	410.500000	603	218	0
Slx4ip	410.000000	514	306	0
Mkks	410.000000	514	306	0
Cep120	410.000000	700	120	0
Bcas2	410.000000	353	467	0
Comt	409.500000	819	0	0
Rbm39	409.000000	494	324	0
Atf6	408.000000	454	362	0
Ankrd13c	408.000000	593	223	0
Ino80	407.500000	447	368	0
Stat3	407.000000	673	141	0
Aqp9	406.500000	813	0	0
Zfp273	405.500000	629	182	0
Fdxr	404.500000	571	238	0
9930021J03Rik	404.000000	486	322	0
Pcnx3	403.000000	633	173	0
Map3k11	403.000000	633	173	0
Il31ra	403.000000	593	213	0
Ier2	403.000000	574	232	0
Rbks	402.000000	287	517	0
Babam2	402.000000	287	517	0
H4c8	400.500000	801	0	0
H3c8	400.500000	801	0	0
H2ac10	400.500000	801	0	0
Zfp65	399.500000	525	274	0
Tinf2	399.000000	637	161	0
Ccdc86	398.500000	398	399	0
Ppp1r10	398.000000	796	0	0
Mrps18b	398.000000	796	0	0
H4c3	398.000000	675	121	0
H1f6	398.000000	675	121	0
Camp	398.000000	510	286	0
Trmo	397.500000	625	170	0
Polr2m	397.000000	671	123	0
Gemin6	397.000000	611	183	0
Slc38a7	396.500000	793	0	0
Rabepk	395.500000	371	420	0
Dtx4	394.500000	618	171	0
Slc25a26	392.500000	572	213	0
Rnase10	392.000000	623	161	0
Creld1	391.500000	647	136	0
Ankrd23	391.000000	782	0	0
Vps37b	388.500000	247	530	0
Tns2	388.000000	776	0	0
Tagln2	387.000000	447	327	0
Pex12	387.000000	387	387	0
Ap2b1	387.000000	387	387	0
Zfp119b	386.500000	302	471	0
Trib1	386.500000	481	292	0
Rccd1	385.500000	335	436	0
Yif1b	385.000000	464	306	0
Ppm1a	384.000000	573	195	0
Slc10a6	383.000000	476	290	0
Polr2a	382.000000	764	0	0
Klhl20	379.500000	759	0	0
Apool	379.500000	590	169	0
St7	377.500000	331	424	0
Elavl1	375.500000	393	358	0
Bet1	375.500000	530	221	0
Ywhab	375.000000	750	0	0
Zfp593	374.500000	176	573	0
Gm30191	374.500000	176	573	0
Dtnbp1	374.500000	181	568	0
Camk2d	374.500000	465	284	0
