Target_genes	Atf2|Average	SRX515669|3T3-L1	SRX520192|3T3-L1	STRING
Zmynd8	230.000000	460	0	0
Med6	230.000000	380	80	0
Adipor2	230.000000	231	229	0
Psmd3	229.500000	371	88	0
Ube2v1	229.000000	458	0	0
Timm10	229.000000	458	0	0
Smtnl1	229.000000	458	0	0
Rfx7	229.000000	458	0	0
Lancl2	229.000000	0	458	0
Hectd4	229.000000	458	0	0
Fem1b	229.000000	458	0	0
Ankrd42	229.000000	458	0	0
Map3k8	228.500000	457	0	0
Arid4a	228.500000	283	174	0
Ap3s2	228.500000	457	0	0
Acad9	228.000000	287	169	0
Zyx	227.500000	148	307	0
Rnf150	227.500000	274	181	0
Prdm11	227.500000	305	150	0
Map1lc3a	227.500000	261	194	0
Hspa9	227.500000	287	168	0
Gm3327	227.500000	455	0	0
Fam71e1	227.500000	295	160	0
Emc10	227.500000	295	160	0
Tmem127	226.500000	453	0	0
Ciao1	226.500000	453	0	0
Ube2m	226.000000	165	287	0
Lrif1	226.000000	238	214	0
Cops4	226.000000	452	0	0
Chmp2a	226.000000	165	287	0
Tanc2	225.500000	192	259	0
Apmap	225.500000	325	126	0
Acsf3	225.500000	451	0	0
Trp53rkb	225.000000	288	162	0
Scaf1	225.000000	450	0	0
Rras	225.000000	450	0	0
Tspyl1	224.500000	232	217	0
Rptor	224.500000	449	0	0
Cds2	224.500000	449	0	0
Cdc42ep1	224.500000	280	169	0
Gprasp1	224.000000	448	0	0
D5Ertd579e	224.000000	247	201	0
Armcx5	224.000000	448	0	0
Stxbp3	223.500000	191	256	0
Slc44a3	223.500000	447	0	0
Slc33a1	223.500000	447	0	0
Sycp2	223.000000	446	0	0
Serinc3	223.000000	179	267	0
Pnrc1	223.000000	210	236	0
Haus5	222.500000	445	0	0
Tcf25	222.000000	188	256	0
Stag2	222.000000	444	0	0
Sidt2	222.000000	159	285	0
Psmf1	222.000000	444	0	0
Mrps18c	222.000000	444	0	0
Helq	222.000000	444	0	0
Kat7	221.500000	284	159	0
Stambpl1	221.000000	295	147	0
Sec23ip	221.000000	442	0	0
Rab6a	221.000000	295	147	0
Prss36	221.000000	442	0	0
Mcmbp	221.000000	442	0	0
Hnrnpa2b1	221.000000	299	143	0
Cbx3	221.000000	299	143	0
Zbtb40	220.500000	441	0	0
Htt	220.500000	0	441	0
Herc6	220.500000	249	192	0
Coro2b	220.500000	441	0	0
Ahcyl1	220.500000	245	196	0
Hivep1	220.000000	145	295	0
Zfp11	219.500000	439	0	0
Abraxas1	219.500000	439	0	0
Thoc1	219.000000	139	299	0
Bcl2l13	219.000000	179	259	0
Oxnad1	218.500000	170	267	0
Dph3	218.500000	170	267	0
Med20	218.000000	217	219	0
Kxd1	218.000000	272	164	0
Gm20517	218.000000	217	219	0
Fkbp8	218.000000	272	164	0
Bysl	218.000000	217	219	0
Smn1	217.500000	435	0	0
Krt79	217.500000	435	0	0
Anxa1	217.500000	249	186	0
Zbtb38	217.000000	434	0	0
Kif21b	217.000000	434	0	0
Gtf2h4	217.000000	434	0	0
Dlec1	217.000000	307	127	0
Cstf3	217.000000	203	231	0
Wdr27	216.500000	433	0	0
Snapc5	216.500000	149	284	0
Nol8	216.500000	248	185	0
Mnat1	216.500000	433	0	0
Cenpp	216.500000	248	185	0
Ankrd33	216.500000	433	0	0
1600012H06Rik	216.500000	433	0	0
Pnkp	215.500000	431	0	0
Nek6	215.500000	431	0	0
Myl12a	215.500000	431	0	0
Clic1	215.000000	194	236	0
Cabp1	215.000000	430	0	0
Angptl1	215.000000	430	0	0
Cp	214.500000	332	97	0
Gm4952	214.000000	297	131	0
1110051M20Rik	214.000000	428	0	0
Zfp113	213.500000	427	0	0
Slc20a1	212.500000	425	0	0
Ogdh	212.500000	267	158	0
Clic4	212.500000	289	136	0
Abt1	212.500000	425	0	0
Rbm42	212.000000	272	152	0
Mrpl36	212.000000	424	0	0
Ilf3	212.000000	250	174	0
Znhit1	211.500000	423	0	0
Zfand5	211.500000	153	270	0
Plod3	211.500000	423	0	0
Orc5	211.500000	0	423	0
Ndufs7	211.500000	423	0	0
Zfp738	211.000000	313	109	0
Sf3b2	211.000000	330	92	0
Rpusd2	211.000000	268	154	0
Mrpl19	211.000000	422	0	0
Kcnu1	211.000000	422	0	0
Gal3st3	211.000000	330	92	0
Ccar2	211.000000	422	0	0
Ash2l	211.000000	422	0	0
Gucy2g	210.500000	172	249	0
Esyt2	210.500000	267	154	0
Usp36	210.000000	194	226	0
Atp6v1g1	210.000000	420	0	0
Xrn2	209.500000	185	234	0
Mybpc1	209.500000	419	0	0
Mre11a	209.500000	186	233	0
Hif1an	209.500000	419	0	0
Erlin2	209.500000	212	207	0
Atxn2l	209.500000	270	149	0
Ankrd49	209.500000	186	233	0
Zfp973	209.000000	313	105	0
Wars2	209.000000	117	301	0
Snd1	209.000000	314	104	0
Lrrn4cl	209.000000	307	111	0
Il17b	209.000000	418	0	0
Rabggta	208.500000	417	0	0
Zc3h10	208.000000	303	113	0
Rpl41	208.000000	303	113	0
Btbd19	208.000000	416	0	0
Agbl5	208.000000	416	0	0
Abi1	208.000000	416	0	0
Zfp839	207.500000	415	0	0
Smim10l1	207.500000	415	0	0
Rrp15	207.500000	415	0	0
Mok	207.500000	415	0	0
Ddx56	207.500000	415	0	0
Cnot10	207.500000	415	0	0
Aptx	207.500000	233	182	0
Snrpb2	207.000000	414	0	0
Map3k4	207.000000	184	230	0
Dnajb4	207.000000	414	0	0
Dbnl	207.000000	414	0	0
Heca	206.500000	145	268	0
H4c9	206.500000	413	0	0
H4c4	206.500000	413	0	0
H2bc6	206.500000	413	0	0
H2bc11	206.500000	413	0	0
H2ac11	206.500000	413	0	0
Bnip3l	206.500000	240	173	0
Tank	206.000000	412	0	0
Osbpl9	206.000000	220	192	0
Tubgcp6	205.500000	184	227	0
Tnfaip3	205.500000	234	177	0
Mvd	205.500000	224	187	0
Mars1	205.500000	411	0	0
Fosl2	205.500000	411	0	0
Fkbpl	205.500000	204	207	0
Btg2	205.500000	0	411	0
Dcaf11	204.500000	189	220	0
Map3k14	204.000000	408	0	0
Inpp4a	204.000000	221	187	0
Trp53rka	203.500000	407	0	0
Gtpbp4	203.500000	232	175	0
Zfp968	203.000000	406	0	0
Zfp967	203.000000	406	0	0
Zfp966	203.000000	406	0	0
Vps18	203.000000	406	0	0
Lsm5	203.000000	406	0	0
Kif5b	203.000000	406	0	0
Gramd1b	203.000000	406	0	0
Asah1	203.000000	406	0	0
Wdr35	202.500000	405	0	0
Timm13	202.500000	405	0	0
Psmb6	202.500000	405	0	0
Ppp6r3	202.500000	255	150	0
Nup107	202.500000	188	217	0
Fcgrt	202.500000	405	0	0
Elovl5	202.500000	231	174	0
Def8	202.500000	0	405	0
Vps29	202.000000	404	0	0
Tmem101	202.000000	404	0	0
Rad9b	202.000000	404	0	0
Palb2	202.000000	404	0	0
Dctn5	202.000000	404	0	0
Cmss1	202.000000	84	320	0
Cc2d1a	202.000000	404	0	0
Atg2a	202.000000	404	0	0
4930432K21Rik	202.000000	404	0	0
Wdr62	201.500000	403	0	0
Rnf11	201.500000	403	0	0
Ppard	201.500000	166	237	0
Nr6a1	201.500000	249	154	0
Serpinb1c	201.000000	210	192	0
Pus10	201.000000	193	209	0
Ndufaf5	201.000000	402	0	0
Hp	201.000000	256	146	0
Esf1	201.000000	402	0	0
Pja2	200.500000	195	206	0
Ubc	200.000000	220	180	0
Shoc2	200.000000	239	161	0
Ltbp1	200.000000	166	234	0
Bbip1	200.000000	239	161	0
Zkscan5	199.500000	399	0	0
Zkscan14	199.500000	399	0	0
Hars2	199.500000	399	0	0
Hars	199.500000	399	0	0
Clp1	199.500000	399	0	0
Calm1	199.500000	399	0	0
Spns1	199.000000	398	0	0
Psmc1	199.000000	398	0	0
Ccdc130	199.000000	154	244	0
Tead1	198.500000	0	397	0
Rnf187	198.500000	397	0	0
Gm14410	198.500000	397	0	0
Atp9b	198.500000	195	202	0
Topors	198.000000	396	0	0
Tmem33	198.000000	396	0	0
Smim27	198.000000	396	0	0
Mkrn3	198.000000	396	0	0
Fosl1	198.000000	213	183	0
Entpd6	198.000000	220	176	0
Spata2	197.500000	395	0	0
Rnf114	197.500000	395	0	0
Mcm5	197.500000	276	119	0
Itm2b	197.500000	274	121	0
Gm3776	197.500000	259	136	0
Dhrs9	197.500000	218	177	0
Col1a2	197.500000	395	0	0
Ywhaz	197.000000	259	135	0
Polr3e	197.000000	394	0	0
Polq	197.000000	394	0	0
Cdsn	197.000000	394	0	0
Sytl3	196.500000	248	145	0
Saa1	196.500000	393	0	0
Prrc2c	196.500000	290	103	0
Ogt	196.500000	393	0	0
Zar1l	196.000000	392	0	0
Nop14	196.000000	300	92	0
Grk4	196.000000	300	92	0
Gpd1l	196.000000	392	0	0
Chordc1	196.000000	392	0	0
Brca2	196.000000	392	0	0
Acp2	196.000000	392	0	0
Trmt5	195.500000	127	264	0
Stt3a	195.500000	268	123	0
Slc38a6	195.500000	127	264	0
2610001J05Rik	195.500000	391	0	0
Txndc16	195.000000	390	0	0
Tmem41b	195.000000	390	0	0
Plekhh3	195.000000	390	0	0
Irf2bpl	195.000000	189	201	0
Gpr137c	195.000000	390	0	0
Dnajc27	195.000000	95	295	0
Cntnap1	195.000000	390	0	0
Ccr10	195.000000	390	0	0
Tenm4	194.500000	389	0	0
Sspn	194.500000	266	123	0
Csde1	194.500000	245	144	0
Prrc2a	194.000000	247	141	0
Phykpl	194.000000	242	146	0
Nup35	194.000000	388	0	0
Hhipl1	194.000000	236	152	0
Coq8b	194.000000	388	0	0
Vps37c	193.500000	387	0	0
Ppm1k	193.500000	215	172	0
Pdzrn3	193.500000	387	0	0
Anapc10	193.500000	161	226	0
Acaca	193.500000	387	0	0
Abce1	193.500000	161	226	0
Yju2	193.000000	386	0	0
Psmc6	193.000000	233	153	0
Pitpnm1	193.000000	386	0	0
Parl	193.000000	386	0	0
Hal	193.000000	235	151	0
Cdk2ap2	193.000000	386	0	0
Trmt2a	192.500000	0	385	0
Tmem38b	192.500000	251	134	0
Sft2d1	192.500000	252	133	0
Ranbp1	192.500000	0	385	0
Naif1	192.500000	225	160	0
Flywch1	192.500000	385	0	0
Cyp4v3	192.500000	385	0	0
Rbm15	192.000000	200	184	0
Tmem115	191.500000	383	0	0
Tlnrd1	191.500000	383	0	0
Tbc1d15	191.500000	383	0	0
Slc25a39	191.500000	201	182	0
Mesd	191.500000	383	0	0
Meak7	191.500000	383	0	0
H4c17	191.500000	383	0	0
Trub2	191.000000	382	0	0
Tlcd3b	191.000000	382	0	0
Prkrip1	191.000000	222	160	0
Pafah2	191.000000	382	0	0
Klhl9	191.000000	382	0	0
Tspan31	190.500000	381	0	0
Olfr806	190.500000	381	0	0
Cxxc1	190.500000	223	158	0
Tpr	190.000000	120	260	0
Tma16	190.000000	380	0	0
Podxl2	190.000000	212	168	0
Odr4	190.000000	120	260	0
Magoh	190.000000	380	0	0
Bscl2	190.000000	380	0	0
Sdad1	189.500000	379	0	0
Osbp	189.500000	234	145	0
Grb2	189.500000	379	0	0
Pmp22	189.000000	378	0	0
Haus6	189.000000	378	0	0
Evi2a	189.000000	378	0	0
Evi2	189.000000	378	0	0
Ciao3	189.000000	378	0	0
Calhm6	189.000000	378	0	0
Zscan22	188.500000	377	0	0
Vmac	188.500000	377	0	0
Sass6	188.500000	377	0	0
Nup62	188.500000	377	0	0
Ndufa11	188.500000	377	0	0
Laptm4a	188.500000	377	0	0
Il4i1b	188.500000	377	0	0
Atxn7l1	188.500000	215	162	0
Atf5	188.500000	377	0	0
Smug1	188.000000	248	128	0
Saa3	188.000000	376	0	0
Ier3	188.000000	376	0	0
Flot1	188.000000	376	0	0
Zbtb37	187.500000	266	109	0
Yipf3	187.500000	375	0	0
Rsad1	187.500000	375	0	0
Rab3ip	187.500000	0	375	0
Polr1c	187.500000	375	0	0
Atp5g3	187.500000	237	138	0
Vkorc1	187.000000	374	0	0
Trmt12	187.000000	374	0	0
Romo1	187.000000	374	0	0
Prss53	187.000000	374	0	0
Polr3b	187.000000	374	0	0
Nfs1	187.000000	374	0	0
Napepld	187.000000	374	0	0
Mrpl54	187.000000	374	0	0
Ints9	187.000000	237	137	0
Hsph1	187.000000	374	0	0
Hmbox1	187.000000	237	137	0
Apba3	187.000000	374	0	0
Ston1	186.500000	225	148	0
Nrbf2	186.500000	373	0	0
Loxl3	186.500000	95	278	0
Dok1	186.500000	95	278	0
Calm2	186.500000	254	119	0
Wfdc15a	186.000000	206	166	0
Prss22	186.000000	225	147	0
Mrm3	186.000000	198	174	0
Gm6710	186.000000	372	0	0
Gm14391	186.000000	372	0	0
Glod4	186.000000	198	174	0
Btbd3	186.000000	372	0	0
Arsa	186.000000	372	0	0
Rpl6	185.500000	371	0	0
Olfr99	185.500000	371	0	0
Ndrg1	185.500000	229	142	0
Fam222a	185.500000	371	0	0
Zfp330	185.000000	247	123	0
Slain2	185.000000	370	0	0
Rcc1l	185.000000	370	0	0
Rabac1	185.000000	370	0	0
Nap1l5	185.000000	370	0	0
M6pr	185.000000	370	0	0
Birc2	185.000000	106	264	0
Txndc9	184.500000	244	125	0
Stk19	184.500000	369	0	0
Eif5b	184.500000	244	125	0
Dxo	184.500000	369	0	0
Camk2n2	184.500000	189	180	0
Stx16	184.000000	368	0	0
Mtmr6	184.000000	368	0	0
Ints4	184.000000	368	0	0
Creb3l2	184.000000	192	176	0
Angptl8	184.000000	368	0	0
Ucp2	183.500000	367	0	0
Speg	183.500000	367	0	0
Kdm7a	183.500000	367	0	0
Glis1	183.500000	367	0	0
Drap1	183.500000	367	0	0
Cct8	183.500000	367	0	0
C130050O18Rik	183.500000	367	0	0
AI837181	183.500000	367	0	0
Zfp142	183.000000	253	113	0
Vps4b	183.000000	226	140	0
Slc39a11	183.000000	366	0	0
Gtf2a1	183.000000	185	181	0
Dcun1d4	183.000000	366	0	0
Bcs1l	183.000000	253	113	0
Ndufa9	182.500000	365	0	0
Gm4724	182.500000	365	0	0
Gm2026	182.500000	365	0	0
Gm2007	182.500000	365	0	0
Gm14434	182.500000	365	0	0
Gm14430	182.500000	365	0	0
Gm14308	182.500000	365	0	0
Gatb	182.500000	365	0	0
BC048403	182.500000	0	365	0
Atp11a	182.500000	162	203	0
Akap3	182.500000	365	0	0
Phf8	182.000000	163	201	0
Lsg1	182.000000	364	0	0
E430018J23Rik	182.000000	364	0	0
Dohh	182.000000	364	0	0
Ss18l2	181.500000	165	198	0
Emc4	181.500000	168	195	0
Efr3a	181.500000	187	176	0
Dmap1	181.500000	363	0	0
Slc7a11	181.000000	362	0	0
Rnf122	181.000000	231	131	0
Prmt5	181.000000	362	0	0
Ppfia3	181.000000	138	224	0
Nr2c2ap	181.000000	362	0	0
Lin7b	181.000000	138	224	0
H2-DMa	181.000000	362	0	0
Dhx8	181.000000	362	0	0
Dennd1a	181.000000	256	106	0
Cald1	181.000000	134	228	0
Brd2	181.000000	362	0	0
Ubox5	180.500000	361	0	0
Nvl	180.500000	361	0	0
Gm5148	180.500000	361	0	0
Fastkd5	180.500000	361	0	0
Dnajc24	180.500000	361	0	0
Dcp1a	180.500000	256	105	0
Als2	180.500000	179	182	0
Ric8b	180.000000	273	87	0
Cpsf6	180.000000	69	291	0
Cfl1	180.000000	360	0	0
Cd33	180.000000	0	360	0
Tbc1d23	179.500000	213	146	0
Ssr2	179.500000	359	0	0
Prrg2	179.500000	359	0	0
Nosip	179.500000	359	0	0
Med21	179.500000	127	232	0
Dnaic2	179.500000	359	0	0
Dennd2a	179.500000	359	0	0
Atp5g2	179.500000	359	0	0
Srebf2	179.000000	358	0	0
Marchf5	179.000000	358	0	0
Cpeb3	179.000000	358	0	0
Zbtb43	178.500000	219	138	0
St6gal1	178.500000	357	0	0
S100a3	178.500000	157	200	0
Rbis	178.500000	357	0	0
Pyroxd2	178.500000	357	0	0
Ndufb5	178.500000	181	176	0
Mrpl47	178.500000	181	176	0
Megf9	178.500000	252	105	0
Hmox1	178.500000	357	0	0
Dop1b	178.500000	357	0	0
Clk4	178.500000	128	229	0
Bod1l	178.500000	357	0	0
BC049762	178.500000	128	229	0
Ascc3	178.500000	159	198	0
Ptges2	178.000000	356	0	0
Ptpre	177.500000	0	355	0
Tia1	177.000000	354	0	0
Stoml2	177.000000	354	0	0
Mturn	177.000000	232	122	0
Ddx18	177.000000	354	0	0
Col5a1	177.000000	354	0	0
Chchd2	177.000000	354	0	0
Mzt2	176.500000	225	128	0
Cnot1	176.500000	353	0	0
Hsd17b12	176.000000	352	0	0
Uqcc3	175.500000	221	130	0
Tmem183a	175.500000	0	351	0
Ppp1r3g	175.500000	351	0	0
Lbhd1	175.500000	221	130	0
Ice1	175.500000	175	176	0
Hscb	175.500000	351	0	0
Chek2	175.500000	351	0	0
Cd2bp2	175.500000	351	0	0
Ccnl1	175.500000	0	351	0
Bco1	175.500000	146	205	0
Trim41	175.000000	350	0	0
Strn3	175.000000	203	147	0
Ilf2	175.000000	350	0	0
Ggnbp1	175.000000	350	0	0
Cdc42bpg	175.000000	350	0	0
Bak1	175.000000	350	0	0
Ap4s1	175.000000	203	147	0
Tmtc3	174.500000	349	0	0
Tchhl1	174.500000	349	0	0
Sdhaf3	174.500000	349	0	0
Pex14	174.500000	349	0	0
Lctl	174.500000	349	0	0
Fpgs	174.500000	349	0	0
Dffa	174.500000	349	0	0
Cep290	174.500000	349	0	0
Zfp182	174.000000	164	184	0
Rpl37	174.000000	278	70	0
Ubald2	173.500000	194	153	0
Rint1	173.500000	347	0	0
Pus7	173.500000	347	0	0
Olr1	173.500000	150	197	0
Dnajb2	173.500000	347	0	0
A630095N17Rik	173.500000	347	0	0
Tonsl	173.000000	346	0	0
Plcd3	173.000000	204	142	0
Ifrd1	173.000000	143	203	0
Ifna13	173.000000	346	0	0
Defb43	173.000000	215	131	0
Cyp4f18	173.000000	346	0	0
Cdc42ep4	173.000000	346	0	0
Adsl	173.000000	346	0	0
Acbd4	173.000000	204	142	0
Washc2	172.500000	345	0	0
S1pr2	172.500000	0	345	0
Hemk1	172.500000	345	0	0
Eif2s2	172.500000	231	114	0
Clk1	172.500000	150	195	0
Ajuba	172.500000	345	0	0
6430571L13Rik	172.500000	345	0	0
Rpl37a	172.000000	344	0	0
Mfap1b	172.000000	344	0	0
H4c6	172.000000	344	0	0
H1f3	172.000000	344	0	0
Gbp6	172.000000	344	0	0
Cog3	172.000000	344	0	0
Timm9	171.500000	146	197	0
Hook2	171.500000	343	0	0
2700049A03Rik	171.500000	146	197	0
Uckl1	171.000000	342	0	0
Tomm5	171.000000	342	0	0
Stk17b	171.000000	342	0	0
Spsb2	171.000000	342	0	0
Slc25a24	171.000000	176	166	0
Scn7a	171.000000	342	0	0
Prcc	171.000000	342	0	0
Plin3	171.000000	239	103	0
Megf8	171.000000	342	0	0
Gorasp2	171.000000	342	0	0
Alppl2	171.000000	342	0	0
Ndufa5	170.500000	176	165	0
Mettl14	170.500000	341	0	0
Lrrc51	170.500000	341	0	0
Erdr1	170.500000	341	0	0
Cyb5r4	170.500000	341	0	0
Asb15	170.500000	176	165	0
Tmed5	170.000000	340	0	0
Fra10ac1	170.000000	340	0	0
Eif4ebp1	170.000000	340	0	0
Ccdc18	170.000000	340	0	0
Sap30	169.500000	339	0	0
Ptrhd1	169.500000	339	0	0
Cenpo	169.500000	339	0	0
Capn3	169.500000	339	0	0
1700037H04Rik	169.500000	132	207	0
Unkl	169.000000	338	0	0
Percc1	169.000000	338	0	0
Lpar6	169.000000	338	0	0
Gstk1	169.000000	338	0	0
Gid8	169.000000	213	125	0
Dlx2	169.000000	165	173	0
Dido1	169.000000	213	125	0
Ccnd3	169.000000	159	179	0
BC003965	169.000000	338	0	0
Txnip	168.500000	337	0	0
Sik1	168.500000	106	231	0
Ccdc57	168.500000	337	0	0
Samd4	168.000000	336	0	0
S100a2	168.000000	136	200	0
Bcl2l10	168.000000	336	0	0
Zfp266	167.500000	335	0	0
Zfp202	167.500000	335	0	0
Tcf7l2	167.500000	335	0	0
Ruvbl1	167.500000	335	0	0
Ripk2	167.500000	181	154	0
Mgst1	167.500000	335	0	0
Kif2c	167.500000	335	0	0
Coq5	167.500000	158	177	0
2010003K11Rik	167.500000	335	0	0
Slc35f5	167.000000	186	148	0
Rdm1	167.000000	334	0	0
Mterf1b	167.000000	0	334	0
Luc7l	167.000000	334	0	0
Vta1	166.500000	333	0	0
Tbcd	166.500000	333	0	0
Gstm2	166.500000	333	0	0
Fadd	166.500000	174	159	0
Echdc3	166.500000	183	150	0
Dctn4	166.500000	181	152	0
Cdk5rap1	166.500000	333	0	0
Ccm2	166.500000	333	0	0
Atp6v1fnb	166.500000	333	0	0
Atp6v1f	166.500000	333	0	0
Tmem222	166.000000	332	0	0
Snrpd3	166.000000	332	0	0
Ndufs3	166.000000	332	0	0
Kbtbd4	166.000000	332	0	0
Gucd1	166.000000	332	0	0
Gm38396	166.000000	193	139	0
Btbd9	166.000000	136	196	0
Arfgap2	166.000000	137	195	0
Amotl2	166.000000	332	0	0
Adgre5	166.000000	332	0	0
Tmem230	165.500000	331	0	0
Prelid2	165.500000	331	0	0
Pik3c3	165.500000	331	0	0
Fis1	165.500000	331	0	0
Ddx49	165.500000	188	143	0
Cope	165.500000	188	143	0
Cln8	165.500000	331	0	0
Casq1	165.500000	331	0	0
Trpc1	165.000000	330	0	0
Tef	165.000000	330	0	0
Lrch4	165.000000	330	0	0
Fbxo24	165.000000	330	0	0
Zfp58	164.500000	329	0	0
Sys1	164.500000	329	0	0
Srrt	164.500000	329	0	0
Pprc1	164.500000	329	0	0
Mlst8	164.500000	329	0	0
Zfp423	164.000000	328	0	0
Tnks	164.000000	328	0	0
Pcnp	164.000000	0	328	0
Npas2	164.000000	328	0	0
Fitm2	164.000000	328	0	0
1700092M07Rik	164.000000	181	147	0
Ttc37	163.500000	327	0	0
Trappc9	163.500000	327	0	0
Tchp	163.500000	327	0	0
Sirt4	163.500000	327	0	0
Pigm	163.500000	327	0	0
Ccnt2	163.500000	327	0	0
Ccdc89	163.500000	327	0	0
Arsk	163.500000	327	0	0
Pla2g15	163.000000	326	0	0
Gbp2	163.000000	326	0	0
Ephb4	163.000000	326	0	0
Bmp2k	163.000000	326	0	0
Uqcrq	162.500000	215	110	0
Slc12a9	162.500000	325	0	0
Pdss1	162.500000	325	0	0
Myl12b	162.500000	325	0	0
Gdf9	162.500000	215	110	0
Dguok	162.500000	175	150	0
Tmem125	162.000000	173	151	0
Rap2a	162.000000	147	177	0
Nolc1	162.000000	179	145	0
Hsp90ab1	162.000000	0	324	0
Arxes2	162.000000	324	0	0
Usp39	161.500000	323	0	0
Stx5a	161.500000	176	147	0
Samd9l	161.500000	323	0	0
Pgghg	161.500000	323	0	0
Med31	161.500000	148	175	0
Itih4	161.500000	323	0	0
Flvcr2	161.500000	323	0	0
Ercc5	161.500000	205	118	0
4930563E22Rik	161.500000	148	175	0
0610030E20Rik	161.500000	323	0	0
Tmco4	161.000000	322	0	0
Prtn3	161.000000	322	0	0
Lrrc59	161.000000	322	0	0
Gpr152	161.000000	322	0	0
Elane	161.000000	322	0	0
Coro1b	161.000000	322	0	0
Cnn3	161.000000	184	138	0
Cd1d1	161.000000	136	186	0
Btg1	161.000000	322	0	0
Trap1	160.500000	0	321	0
Nyap1	160.500000	192	129	0
Ccdc28a	160.500000	321	0	0
Pnpo	160.000000	320	0	0
Nsun5	160.000000	320	0	0
Gm14295	160.000000	320	0	0
Atg16l2	160.000000	189	131	0
Arf4	160.000000	320	0	0
Slc35b4	159.500000	319	0	0
Sema3b	159.500000	0	319	0
Emp1	159.500000	319	0	0
Zfp420	159.000000	318	0	0
Tmem53	159.000000	318	0	0
Taf3	159.000000	318	0	0
Rsrc2	159.000000	318	0	0
Myd88	159.000000	318	0	0
Lars	159.000000	318	0	0
Kntc1	159.000000	318	0	0
H2bc4	159.000000	318	0	0
H2ac6	159.000000	318	0	0
Armh1	159.000000	318	0	0
Acaa1a	159.000000	318	0	0
Wwox	158.500000	317	0	0
Uhrf1bp1l	158.500000	317	0	0
Qk	158.500000	317	0	0
Dlc1	158.500000	317	0	0
D7Ertd443e	158.500000	317	0	0
Cep41	158.500000	317	0	0
Tmem39a	158.000000	0	316	0
Snx15	158.000000	173	143	0
Pigu	158.000000	316	0	0
Per3	158.000000	316	0	0
Man2a1	158.000000	195	121	0
C1rl	158.000000	316	0	0
Znhit3	157.500000	315	0	0
Wdr18	157.500000	315	0	0
Ttc5	157.500000	315	0	0
Tmed2	157.500000	315	0	0
Tlr2	157.500000	315	0	0
S100a14	157.500000	315	0	0
Plxdc1	157.500000	315	0	0
Mtif2	157.500000	315	0	0
Map9	157.500000	166	149	0
Wdr24	157.000000	314	0	0
Mapkapk5	157.000000	0	314	0
Ift46	157.000000	314	0	0
Cth	157.000000	314	0	0
Arcn1	157.000000	314	0	0
Usp38	156.500000	178	135	0
Nubpl	156.500000	313	0	0
Faiml	156.500000	313	0	0
Eef2	156.500000	160	153	0
Clu	156.500000	313	0	0
Cep70	156.500000	313	0	0
Capn10	156.500000	313	0	0
Txlna	156.000000	312	0	0
Tmem167b	156.000000	312	0	0
Snx1	156.000000	171	141	0
Pusl1	156.000000	138	174	0
Phf23	156.000000	312	0	0
Nap1l4	156.000000	312	0	0
Kifap3	156.000000	312	0	0
Gabarap	156.000000	312	0	0
Ciao2a	156.000000	171	141	0
Acap3	156.000000	138	174	0
Znhit2	155.500000	0	311	0
Ube2j2	155.500000	311	0	0
Ruvbl2	155.500000	311	0	0
Rrp1	155.500000	311	0	0
Mrpl49	155.500000	0	311	0
Mettl15	155.500000	237	74	0
Kif18a	155.500000	237	74	0
Itga2b	155.500000	106	205	0
Gys1	155.500000	311	0	0
Gpam	155.500000	311	0	0
Gins2	155.500000	311	0	0
Fau	155.500000	0	311	0
Dhx36	155.500000	0	311	0
Cep350	155.500000	311	0	0
Abcc4	155.500000	311	0	0
Trim6	155.000000	310	0	0
Tbc1d17	155.000000	310	0	0
Snrnp200	155.000000	310	0	0
Rin1	155.000000	176	134	0
Gtpbp10	155.000000	0	310	0
Dynlt1b	155.000000	310	0	0
Akt1s1	155.000000	310	0	0
1810024B03Rik	155.000000	310	0	0
Zfyve26	154.500000	309	0	0
Ythdf3	154.500000	0	309	0
Usp9x	154.500000	309	0	0
Serf2	154.500000	158	151	0
Rpl7l1	154.500000	309	0	0
Retsat	154.500000	309	0	0
Rad51b	154.500000	309	0	0
Lsm4	154.500000	309	0	0
Hjurp	154.500000	309	0	0
Gpkow	154.500000	309	0	0
Elmod3	154.500000	309	0	0
Cavin2	154.500000	309	0	0
A730008H23Rik	154.500000	309	0	0
Zfp566	154.000000	308	0	0
Zfp260	154.000000	308	0	0
Spaca6	154.000000	308	0	0
Nars	154.000000	308	0	0
Mgll	154.000000	308	0	0
Emc7	154.000000	136	172	0
Ddx47	154.000000	308	0	0
Rpl36a	153.500000	307	0	0
Nup153	153.500000	307	0	0
Gpsm3	153.500000	106	201	0
Fbln2	153.500000	162	145	0
Btk	153.500000	307	0	0
Abhd6	153.500000	307	0	0
Tnfaip8	153.000000	306	0	0
Slc1a5	153.000000	306	0	0
Ehd1	153.000000	306	0	0
Zeb2	152.500000	305	0	0
Rpl22	152.500000	305	0	0
Rce1	152.500000	137	168	0
Fam136a	152.500000	305	0	0
Arhgap23	152.500000	305	0	0
Stimate	152.000000	304	0	0
Sos2	152.000000	304	0	0
Serpine1	152.000000	304	0	0
Rara	152.000000	304	0	0
Nupr1	152.000000	304	0	0
Necap1	152.000000	304	0	0
Fam220a	152.000000	211	93	0
Arhgef12	152.000000	304	0	0
Zfp948	151.500000	303	0	0
Tfip11	151.500000	99	204	0
Rab1a	151.500000	0	303	0
