Target_genes	Foxc1|Average	SRX4309874|Kidney_Glomerulus	STRING
Plat	198.000000	198	0
Foxk1	198.000000	198	0
Endou	198.000000	198	0
Notch4	197.000000	197	0
Kmt2e	197.000000	197	0
Myo10	194.000000	194	0
Med23	193.000000	193	0
Sp9	192.000000	192	0
Cox6b1	191.000000	191	0
As3mt	191.000000	191	0
Pmpca	190.000000	190	0
Osmr	190.000000	190	0
Myo6	190.000000	190	0
H6pd	190.000000	190	0
Entr1	190.000000	190	0
Klf4	188.000000	188	459
Lrrc58	188.000000	188	0
Ccar1	187.000000	187	0
Isoc2b	186.000000	186	0
Ilf3	184.000000	184	0
Txnrd3	183.000000	183	0
Rmnd5a	183.000000	183	0
Klf9	183.000000	183	0
Wwox	182.000000	182	0
Tns2	182.000000	182	0
Tnfsf18	182.000000	182	0
Osbpl1a	182.000000	182	0
Mtmr14	182.000000	182	0
Ifi47	182.000000	182	0
Hagh	182.000000	182	0
Fahd1	182.000000	182	0
E130311K13Rik	182.000000	182	0
Cyp2c23	182.000000	182	0
Rnf139	181.000000	181	0
Rnasek	181.000000	181	0
Mrpl17	181.000000	181	0
Fam102b	181.000000	181	0
0610010K14Rik	181.000000	181	0
Zfp982	180.000000	180	0
Plekha3	180.000000	180	0
Fkbp7	180.000000	180	0
Tpcn1	179.000000	179	0
Iqcd	179.000000	179	0
Ankrd46	178.000000	178	0
Tbl3	177.000000	177	0
Pik3ca	176.000000	176	0
Phlda1	176.000000	176	0
Pim1	175.000000	175	0
Pamr1	175.000000	175	0
Wdr53	174.000000	174	0
Tpgs1	174.000000	174	0
Tas1r1	174.000000	174	0
Rae1	174.000000	174	0
Rab20	174.000000	174	0
Pla1a	174.000000	174	0
Nol9	174.000000	174	0
Madcam1	174.000000	174	0
Fbxo45	174.000000	174	0
Dmxl1	174.000000	174	0
Batf	174.000000	174	0
Abhd4	174.000000	174	0
Zfp36l2	173.000000	173	0
Slc12a2	173.000000	173	0
Zfp991	172.000000	172	0
Map1lc3b	172.000000	172	0
Cr1l	172.000000	172	0
Rhob	171.000000	171	0
Psen2	171.000000	171	0
Zmynd8	170.000000	170	0
Idh1	170.000000	170	0
Tut7	169.000000	169	0
Slc35g3	169.000000	169	0
Polr2a	169.000000	169	0
Ppp2r3a	168.000000	168	0
Dux	168.000000	168	0
Wasl	166.000000	166	0
Uhrf2	166.000000	166	0
Tha1	166.000000	166	0
Serpine1	166.000000	166	0
Ranbp9	166.000000	166	0
Prdx6	166.000000	166	0
Nr2f2	166.000000	166	0
Ndufaf1	166.000000	166	0
H3f3c	166.000000	166	0
Dnah6	166.000000	166	0
Cd36	166.000000	166	0
