Target_genes	Tfcp2l1|Average	SRX9345864|ES_cells	SRX9345866|ES_cells	SRX2229890|Kidney	STRING
Sema4b	1914.666667	2770	2814	160	0
Arhgap17	1884.333333	2866	2787	0	0
Tcstv3	1831.000000	1890	1613	1990	0
Tbrg1	1825.666667	2822	2655	0	0
Ndufb4	1818.333333	2835	2620	0	0
Rbm26	1808.333333	2923	2502	0	0
Ly75	1797.000000	2647	2744	0	0
Tep1	1780.000000	2848	2492	0	0
Aph1b	1765.000000	2531	2567	197	0
Slc29a1	1728.000000	2466	2718	0	0
Mymx	1728.000000	2466	2718	0	0
Emd	1726.666667	2795	2201	184	0
Kif13b	1724.000000	2727	2445	0	0
Rassf7	1718.000000	2607	2547	0	0
Dhx32	1708.000000	2724	2400	0	0
Scgb3a1	1706.666667	2595	2525	0	0
Nt5dc1	1700.333333	2696	2405	0	0
Ube2b	1695.666667	2718	2369	0	0
Cdkl3	1695.666667	2718	2369	0	0
Jup	1687.000000	2599	2462	0	0
Lpar2	1682.000000	2738	2308	0	0
Uba2	1677.666667	2596	2437	0	0
Nr2c2ap	1659.666667	2396	2583	0	0
S100a13	1658.666667	2709	2267	0	0
S100a1	1658.666667	2709	2267	0	0
Chtop	1658.666667	2709	2267	0	0
Tepp	1652.000000	2684	2272	0	0
Cngb1	1652.000000	2684	2272	0	0
Stard6	1649.333333	2769	2179	0	0
4930503L19Rik	1649.333333	2769	2179	0	0
Gjb3	1644.000000	2270	2662	0	0
Gls	1632.000000	2866	2030	0	0
Rab15	1623.333333	2380	2490	0	0
Slc12a9	1615.333333	2501	2345	0	0
Ostf1	1611.333333	2515	2319	0	0
Nmrk1	1611.333333	2515	2319	0	0
Spats2	1609.333333	2576	2252	0	0
Atp6v1b1	1609.333333	2334	2494	0	0
Trim34a	1602.000000	2265	2541	0	0
Pkn1	1602.000000	2562	2244	0	0
Capn1	1598.666667	2763	2033	0	0
Aym1	1593.000000	2719	2060	0	0
Pomt2	1592.000000	2752	2024	0	0
Gstz1	1592.000000	2752	2024	0	0
Exoc2	1584.333333	2797	1721	235	0
Gm10130	1577.333333	2348	2384	0	0
Lactb2	1570.000000	2633	2077	0	0
Mthfd1	1555.333333	2559	1959	148	0
Odc1	1549.000000	2477	1569	601	0
Atp6v0d1	1547.000000	2499	2142	0	0
Agrp	1547.000000	2499	2142	0	0
Prkcd	1542.666667	2605	2023	0	0
Ppp1r14d	1541.666667	2304	2321	0	0
Rln1	1541.000000	2348	2078	197	0
Sp2	1528.666667	2467	2119	0	0
Ago2	1525.000000	2026	2549	0	0
Sh3tc1	1510.666667	2428	1830	274	0
Emp2	1507.666667	2527	1996	0	0
Tlcd1	1506.666667	2298	2222	0	0
Nek8	1506.666667	2298	2222	0	0
Phyhd1	1505.000000	2128	2387	0	0
Rab5c	1500.000000	2560	1940	0	0
Adipor2	1498.333333	1940	2555	0	0
Slc2a1	1492.333333	2347	2130	0	0
Dynlt1b	1488.666667	2288	2178	0	0
Klhdc7a	1484.333333	2137	2107	209	0
Trim6	1479.000000	2283	2154	0	0
Ubl5	1476.333333	2446	1983	0	0
Fbxl12	1476.333333	2446	1983	0	0
Slc44a2	1474.333333	2572	1851	0	0
Ckmt1	1470.666667	2442	1970	0	0
Rnf169	1469.333333	2128	2280	0	0
Prkab1	1468.666667	2496	1910	0	0
Ccdc166	1468.333333	2645	1760	0	0
Sh3bp1	1468.000000	2127	2277	0	0
Abhd6	1467.333333	2239	1591	572	0
Tdh	1465.000000	2330	2065	0	0
Trim54	1463.333333	2359	2031	0	0
Kdm2b	1463.333333	2143	2247	0	0
Mtif2	1462.000000	2506	1880	0	0
Med18	1460.666667	2427	1955	0	0
Psmg3	1456.666667	2329	2041	0	0
Rbpj	1455.333333	2214	2152	0	0
Wscd2	1453.333333	2385	1975	0	0
Arfgef2	1451.000000	2449	1904	0	0
Gpx1	1450.000000	2148	2202	0	0
Sirpa	1445.333333	2372	1964	0	0
Heatr5b	1441.333333	2299	2025	0	0
Gpatch11	1441.333333	2299	2025	0	0
Cobl	1439.333333	2098	2220	0	0
Hspa14	1434.666667	1855	2449	0	0
Cdnf	1434.666667	1855	2449	0	0
Rnf183	1432.666667	2259	2039	0	0
Ppp1r3c	1418.666667	2567	1689	0	0
Nbeal1	1417.666667	2582	1671	0	0
Ccser2	1417.333333	2120	2132	0	0
Ccs	1413.000000	2368	1871	0	0
Ccdc87	1413.000000	2368	1871	0	0
Rph3a	1408.000000	2226	1998	0	0
Ptp4a2	1408.000000	2189	1869	166	0
Sirt3	1407.333333	2251	1971	0	0
Psmd13	1407.333333	2251	1971	0	0
Tex50	1406.000000	2450	1768	0	0
Bcl3	1403.333333	2163	2047	0	0
Alox12	1402.666667	1914	2294	0	0
Nsmce4a	1399.000000	2636	1379	182	0
Usp22	1395.666667	2092	1873	222	0
Xrcc5	1384.000000	1939	2213	0	0
Etv4	1382.333333	2232	1915	0	0
Cep250	1378.666667	2192	1944	0	0
Il4	1378.000000	2272	1862	0	0
Zfp692	1377.666667	2211	1922	0	0
Gm1527	1373.333333	2427	1693	0	0
Slc25a40	1367.333333	2081	2021	0	0
Dbf4	1367.333333	2081	2021	0	0
Cldn4	1366.666667	2011	2089	0	0
Scgb1c1	1365.333333	2210	1886	0	0
Odf3	1365.333333	2210	1886	0	0
Lpin1	1364.333333	2411	1682	0	0
Cpsf4l	1364.000000	2017	2075	0	0
Cdk19	1362.333333	1855	2232	0	0
Chd9	1359.333333	1965	2113	0	0
Prepl	1358.000000	2364	1710	0	0
Camkmt	1358.000000	2364	1710	0	0
Prmt6	1357.666667	2362	1489	222	0
Ptp4a1	1353.333333	2415	1645	0	0
Naa50	1352.333333	1871	1963	223	0
Atp6v1a	1352.333333	1871	1963	223	0
Sidt2	1347.666667	2246	1797	0	0
Rnf212b	1347.666667	2385	1658	0	0
Gpcpd1	1344.333333	1908	1844	281	0
Slc27a1	1341.666667	2037	1988	0	0
Nxnl1	1341.666667	2037	1988	0	0
Gm12169	1341.000000	2002	2021	0	0
Calhm5	1339.333333	1954	2064	0	0
Zfp532	1338.333333	1930	2085	0	0
Spint1	1330.333333	2122	1869	0	0
Tubb4b	1325.333333	1849	2127	0	0
Gipc2	1322.666667	1858	2110	0	0
Fmc1	1320.333333	2026	1935	0	0
Fam222a	1318.666667	1966	1990	0	0
Lif	1317.666667	2244	1709	0	0
Scd1	1316.000000	2283	1665	0	0
Rabl3	1315.000000	2326	1619	0	0
Gtf2e1	1315.000000	2326	1619	0	0
Ccdc141	1315.000000	2034	1911	0	0
Poglut2	1313.666667	2138	1803	0	0
Bivm	1313.666667	2138	1803	0	0
P2rx4	1312.000000	2376	1560	0	0
Slc36a3	1311.000000	1957	1976	0	0
Mif4gd	1309.666667	2235	1694	0	0
Clcnka	1307.666667	2011	1912	0	0
Hpdl	1302.333333	2253	1654	0	0
Ppp1cb	1300.000000	2261	1639	0	0
Map7	1298.666667	1912	1984	0	0
Tle5	1298.000000	2464	1430	0	0
Fignl1	1297.000000	2160	1731	0	0
Gpr182	1296.666667	1971	1747	172	0
Cep55	1295.666667	2267	1620	0	0
Lmod3	1293.333333	2062	1818	0	0
Prdx1	1284.000000	2363	1489	0	0
Ogdh	1280.333333	2385	1456	0	0
Mid1	1280.333333	2058	1783	0	0
2700062C07Rik	1280.000000	2171	1669	0	0
Zfp868	1277.666667	1801	2032	0	0
Rtn4rl1	1277.333333	2137	1695	0	0
Dph1	1277.333333	2137	1695	0	0
Sema6c	1272.000000	2108	1708	0	0
Fbxo9	1272.000000	1696	2120	0	0
Cilk1	1272.000000	1696	2120	0	0
Mettl24	1268.666667	2208	1598	0	0
Tmem229b	1265.000000	1881	1914	0	0
Mafa	1265.000000	1791	2004	0	0
Frg2f1	1264.666667	2351	1443	0	0
Foxj3	1264.666667	2351	1443	0	0
Oga	1263.666667	1958	1595	238	0
Dynlt1a	1263.333333	2066	1724	0	0
Unk	1260.000000	2088	1520	172	0
Gtpbp4	1259.000000	2139	1638	0	0
Elovl7	1259.000000	1981	1796	0	0
Dixdc1	1258.666667	1898	1878	0	0
Kcnj12	1256.666667	2130	1640	0	0
Cox7c	1255.000000	1941	1824	0	0
Zfpm1	1252.333333	2029	1728	0	0
Palld	1248.333333	1949	1796	0	0
Slc16a9	1247.333333	2113	1629	0	0
Slc19a3	1247.000000	2072	1669	0	0
Dnajc3	1247.000000	1923	1818	0	0
Ralbp1	1243.666667	2048	1683	0	0
Nutf2	1243.666667	2097	1634	0	0
Dynlt1f	1241.000000	2064	1659	0	0
Dynlt1c	1241.000000	2064	1659	0	0
Hmox1	1239.666667	2089	1630	0	0
Nudt1	1239.000000	2312	1405	0	0
Mrm2	1239.000000	2312	1405	0	0
Ccnt2	1237.000000	1954	1757	0	0
Nanog	1234.000000	1898	1804	0	0
Rps6ka1	1229.333333	2112	1576	0	0
Tcte2	1228.666667	1932	1754	0	0
Afdn	1228.666667	1932	1754	0	0
Cmtm7	1226.666667	1737	1943	0	0
Tmem117	1224.666667	2458	1007	209	0
Arl14epl	1223.666667	1903	1768	0	0
Xpo1	1220.666667	2012	1650	0	0
Cttn	1220.666667	1711	1951	0	0
Zfp948	1218.000000	1994	1660	0	0
Pdcd6ip	1215.333333	2158	1488	0	0
Phldb2	1214.666667	2208	1436	0	0
Carmil2	1214.333333	2048	1595	0	0
Tbx4	1213.666667	1727	1914	0	0
Stoml2	1212.000000	1969	1667	0	0
Pigo	1212.000000	1969	1667	0	0
Prkar1b	1209.666667	1792	1837	0	0
Dnaaf5	1209.666667	1792	1837	0	0
Myorg	1208.333333	1702	1923	0	0
Acot7	1205.666667	1785	1832	0	0
Myo10	1203.000000	2072	1537	0	0
Zfp626	1202.666667	1881	1727	0	0
Gm1070	1200.333333	1765	1836	0	0
Bahcc1	1200.000000	1732	1868	0	0
Aim2	1198.000000	1778	1816	0	0
Plxnb2	1196.666667	1990	1600	0	0
Greb1	1195.666667	2175	1412	0	0
Amt	1193.333333	1481	2099	0	0
Large2	1189.000000	2048	1519	0	0
Wfdc2	1184.666667	1816	1738	0	0
Parp14	1184.333333	1732	1821	0	0
0610009B22Rik	1184.000000	2260	1292	0	0
Ccnc	1182.333333	2021	1526	0	0
Oma1	1182.000000	1931	1615	0	0
Lrrc8d	1182.000000	1952	1594	0	0
Arsg	1178.666667	1788	1541	207	0
Zfp36l1	1177.000000	1632	1899	0	0
Trim41	1177.000000	1551	1811	169	0
Slc43a3	1176.666667	2164	1366	0	0
Lax1	1176.666667	1545	1985	0	0
Dnajc11	1175.666667	2017	1510	0	0
Pak1	1175.333333	2042	1484	0	0
Rogdi	1174.666667	1720	1804	0	0
Rec114	1174.666667	2045	1479	0	0
1810055G02Rik	1174.666667	1790	1734	0	0
Isg20	1174.333333	1844	1679	0	0
Laptm5	1174.000000	2049	1473	0	0
Cry2	1172.333333	1904	1613	0	0
Fbxl3	1171.333333	1970	1544	0	0
Slc39a3	1170.666667	2008	1504	0	0
Nefl	1167.000000	2089	1412	0	0
Smad1	1163.666667	2297	1194	0	0
Cbx7	1162.666667	2071	1417	0	0
Anxa3	1161.666667	2047	1438	0	0
Capns1	1157.333333	1804	1668	0	0
Ppp1r9b	1157.000000	2054	1417	0	0
Triml2	1156.666667	1791	1679	0	0
Gm973	1156.000000	1876	1592	0	0
Fam71e1	1155.333333	1756	1710	0	0
Emc10	1155.333333	1756	1710	0	0
Phax	1153.333333	2128	1332	0	0
Aldh7a1	1153.333333	2128	1332	0	0
Ap1m2	1152.333333	2290	1167	0	0
Ezr	1152.000000	1798	1658	0	0
Mgat1	1150.000000	2246	1204	0	0
Tcp11	1146.666667	1573	1867	0	0
Slc25a51	1146.333333	1554	1885	0	0
Ptdss2	1143.666667	1877	1554	0	0
Schip1	1143.333333	1788	1642	0	0
Gramd1b	1141.666667	1843	1582	0	0
Atp23	1141.333333	1880	1544	0	0
Gdf15	1139.666667	1686	1733	0	0
Nsg2	1137.000000	1739	1672	0	0
Mrps2	1137.000000	1986	1425	0	0
1700007K13Rik	1137.000000	1986	1425	0	0
Vasp	1132.000000	1818	1578	0	0
Brox	1128.000000	1301	1688	395	0
Aida	1128.000000	1301	1688	395	0
Oplah	1126.333333	1635	1744	0	0
Eef2kmt	1126.000000	1734	1644	0	0
Sos1	1125.666667	2100	1277	0	0
Afmid	1125.333333	1919	1457	0	0
Oaf	1122.666667	2021	1347	0	0
Tssk3	1122.333333	1811	1556	0	0
Fam229a	1122.333333	1811	1556	0	0
Kbtbd3	1119.000000	1978	1379	0	0
Aasdhppt	1119.000000	1978	1379	0	0
Naprt	1118.666667	1733	1623	0	0
Mroh6	1118.666667	1733	1623	0	0
Esrrg	1118.333333	1670	1685	0	0
AI467606	1118.000000	1586	1768	0	0
Lrch4	1117.000000	1807	1544	0	0
Gm36210	1116.000000	1674	1674	0	0
Maff	1114.666667	1905	1439	0	0
Gtf3c5	1114.666667	1860	1484	0	0
Rspry1	1112.666667	1900	1438	0	0
Psme3ip1	1112.666667	1900	1438	0	0
Prr5	1112.000000	1919	1417	0	0
Qars	1111.666667	1763	1572	0	0
Zswim3	1110.666667	1649	1683	0	0
Acot8	1110.666667	1649	1683	0	0
Adcy6	1108.666667	1596	1730	0	0
Cd320	1108.333333	2217	1108	0	0
Capn5	1106.666667	2073	1247	0	0
Calm3	1106.666667	1701	1619	0	0
Ints3	1106.000000	2064	1254	0	0
Zfp974	1105.333333	1670	1646	0	0
Tomm5	1103.333333	1898	1412	0	0
Utf1	1103.000000	1456	1853	0	0
Hmgb2	1102.000000	1747	1341	218	0
Pdik1l	1099.333333	1870	1428	0	0
Gramd1a	1099.000000	1738	1559	0	0
Slit2	1096.333333	1649	1640	0	0
Ip6k2	1094.333333	1941	1342	0	0
Spred3	1093.666667	1474	1807	0	0
Ggn	1093.666667	1474	1807	0	0
Cers5	1093.666667	1799	1482	0	0
Arl4d	1093.666667	1610	1671	0	0
Ino80c	1092.000000	1840	1436	0	0
Atp6v1h	1092.000000	1850	1426	0	0
Zfp985	1091.333333	1504	1770	0	0
Scgn	1090.333333	1736	1535	0	0
Gm4869	1090.000000	1783	1487	0	0
Fhl3	1088.000000	1468	1796	0	0
Spin4	1086.666667	1711	1549	0	0
Def6	1086.333333	1510	1749	0	0
Map3k12	1085.000000	1819	1436	0	0
Bcat2	1085.000000	1643	1612	0	0
Map6d1	1084.333333	1857	1396	0	0
Hebp1	1084.000000	1802	1266	184	0
Ehd1	1083.666667	1876	1375	0	0
B3gnt5	1082.000000	1409	1837	0	0
Stambpl1	1081.000000	1717	1526	0	0
Fkbp11	1081.000000	1831	1412	0	0
Fez1	1080.333333	1553	1688	0	0
Ston1	1079.666667	1580	1659	0	0
Zfp36	1078.666667	1416	1820	0	0
Tlnrd1	1076.666667	1310	1920	0	0
Mesd	1076.666667	1310	1920	0	0
Fkbp1a	1076.666667	1363	1867	0	0
Ccn2	1075.666667	1744	1483	0	0
Dlgap4	1073.333333	2130	1090	0	0
Acp6	1073.333333	1375	1845	0	0
Npffr1	1072.333333	1536	1681	0	0
Kcnt2	1071.666667	1789	1426	0	0
Kctd6	1071.000000	1924	1289	0	0
Arpc1b	1070.000000	1656	1554	0	0
Mageb3	1069.333333	1861	1347	0	0
Ctdspl2	1069.333333	1861	1347	0	0
Stat3	1069.000000	1931	1276	0	0
Mmp11	1068.333333	1472	1733	0	0
Chchd10	1068.333333	1472	1733	0	0
Zfp607a	1068.000000	1749	1455	0	0
Plec	1067.333333	1745	1457	0	0
Map3k9	1067.333333	1705	1497	0	0
Fam53b	1063.666667	1737	1454	0	0
Cxcl17	1063.000000	1690	1499	0	0
Ccdc77	1060.666667	2226	956	0	0
Timm13	1060.333333	2073	1108	0	0
Lmnb2	1060.333333	2073	1108	0	0
Pcnt	1059.333333	1675	1503	0	0
Efcab10	1059.333333	1610	1568	0	0
Pmvk	1057.666667	1816	1357	0	0
Skida1	1057.333333	1681	1491	0	0
Pcbd1	1056.666667	1909	1261	0	0
Cerkl	1056.666667	1458	1712	0	0
Crcp	1055.333333	1836	1330	0	0
Asl	1055.333333	1836	1330	0	0
Itpa	1055.000000	2026	1139	0	0
Ddrgk1	1055.000000	2026	1139	0	0
Slc6a7	1054.333333	1595	1568	0	0
Nrbf2	1054.000000	2091	1071	0	0
Mdm2	1051.333333	1556	1598	0	0
Kank3	1048.666667	1466	1680	0	0
Tex264	1048.000000	1584	1560	0	0
Cenpm	1046.666667	1653	1487	0	0
Esrra	1046.000000	1561	1577	0	0
Wbp11	1043.333333	1878	1252	0	0
Spata2l	1043.333333	1658	1472	0	0
BC049715	1043.333333	1878	1252	0	0
Upp2	1043.000000	1926	1203	0	0
Acvr1	1043.000000	1926	1203	0	0
Fam168b	1040.333333	1803	1318	0	0
9530077C05Rik	1040.333333	2399	722	0	0
Hk2	1038.000000	1425	1689	0	0
Slc46a3	1037.000000	1514	1597	0	0
Mrpl2	1036.000000	1589	1519	0	0
Cul7	1036.000000	1589	1519	0	0
Arrdc3	1035.666667	1559	1145	403	0
Traf1	1032.333333	2144	953	0	0
Rapgef3	1031.333333	1685	1409	0	0
Tnk1	1030.333333	1741	1350	0	0
Baz2a	1030.333333	1674	1417	0	0
Pdss1	1028.666667	1587	1499	0	0
Plekhb1	1028.333333	1443	1642	0	0
Nkx1-1	1027.333333	1645	1437	0	0
Ppm1b	1025.666667	1581	1496	0	0
Adam11	1025.333333	1471	1605	0	0
Btnl1	1019.000000	1444	1613	0	0
Ddit4	1017.666667	1722	1331	0	0
Gpc4	1017.000000	1471	1580	0	0
Accsl	1016.666667	1689	1361	0	0
Washc2	1016.333333	1911	1138	0	0
Mad2l2	1016.333333	1923	1126	0	0
Draxin	1016.333333	1923	1126	0	0
Mef2b	1015.333333	1961	1085	0	0
Pcdhga9	1014.666667	1442	1602	0	0
Vps41	1014.333333	1587	1456	0	0
Etfrf1	1014.333333	2012	1031	0	0
Casc1	1014.333333	2012	1031	0	0
Srgap1	1013.333333	1570	1470	0	0
H1f2	1013.333333	1977	1063	0	0
Fem1c	1011.666667	1598	1437	0	0
Rab3a	1011.333333	1909	1125	0	0
Gm10639	1009.666667	1672	1357	0	0
Fnbp4	1007.000000	1804	1217	0	0
Blm	1006.666667	1369	1651	0	0
Ddx19a	1006.333333	1718	1301	0	0
Pef1	1005.000000	1424	1591	0	0
Dio3	1005.000000	1707	1308	0	0
Wrap53	1004.000000	1584	1428	0	0
Trp53	1004.000000	1584	1428	0	0
Zfp157	1003.333333	1588	1422	0	0
Diaph1	1002.333333	1526	1481	0	0
Foxd3	1002.000000	1588	1418	0	0
Lims1	1001.666667	1683	1322	0	0
Zfp972	1001.000000	1488	1515	0	0
Gatad2a	1001.000000	1732	1271	0	0
Ttc21a	1000.333333	1562	1439	0	0
Gorasp1	1000.333333	1562	1439	0	0
Mpc1	1000.000000	1702	1298	0	0
Rnf157	999.666667	1513	1486	0	0
Bin2	999.666667	1714	1285	0	0
Slc38a4	999.333333	1639	1359	0	0
Anln	999.333333	2399	599	0	0
Cstb	997.000000	1916	788	287	0
Shkbp1	995.333333	1421	1565	0	0
Lars2	994.666667	1368	1616	0	0
Agpat2	993.333333	1776	1204	0	0
Zfp704	991.666667	1277	1698	0	0
Fam168a	990.666667	1872	1100	0	0
Sncg	990.333333	1931	1040	0	0
Mmrn2	990.333333	1931	1040	0	0
Ddx5	990.333333	1828	1143	0	0
Cep95	990.333333	1828	1143	0	0
Rpl10a	988.333333	1782	1183	0	0
Hbp1	988.000000	1675	1289	0	0
Rccd1	985.666667	1370	1587	0	0
Nr4a1	985.666667	1527	1430	0	0
Dusp6	985.000000	1579	1376	0	0
Pld3	983.333333	1468	1482	0	0
Fem1b	983.333333	1595	1355	0	0
Bdkrb2	983.333333	1590	1360	0	0
2310022A10Rik	983.333333	1468	1482	0	0
Unc13b	982.666667	1360	1588	0	0
Ncaph2	981.333333	1479	1465	0	0
Lmf2	981.333333	1479	1465	0	0
Snx18	980.666667	1827	1115	0	0
Shisa5	979.666667	1753	1186	0	0
Lims2	979.333333	1811	1127	0	0
1700016H13Rik	978.000000	2037	897	0	0
Grap2	977.666667	1488	1445	0	0
Prdm14	977.333333	1365	1567	0	0
Lpin3	977.333333	1464	1468	0	0
Trpm7	977.000000	1704	1227	0	0
Fstl5	976.000000	1906	1022	0	0
Spsb3	975.666667	1528	1399	0	0
Nubp2	975.666667	1528	1399	0	0
Agtrap	975.666667	1518	1409	0	0
Wdr43	975.000000	1517	1408	0	0
Mapre3	974.666667	1886	1038	0	0
Litaf	974.666667	1631	1293	0	0
Eif2ak2	974.333333	1619	1304	0	0
Rae1	973.000000	1928	991	0	0
2610528J11Rik	972.333333	1575	1342	0	0
2510039O18Rik	971.666667	1766	1149	0	0
Epn2	969.666667	1163	1746	0	0
Ccng1	969.333333	1444	1464	0	0
Mfsd13a	969.000000	1343	1564	0	0
Rab38	968.333333	1317	1588	0	0
Icam1	968.000000	1567	1337	0	0
Lman1l	967.666667	1454	1449	0	0
Gpr160	967.666667	1395	1508	0	0
Ttc12	967.000000	1699	1202	0	0
Epas1	967.000000	1516	1385	0	0
Sesn1	965.666667	1682	1215	0	0
Trim72	964.333333	1587	1306	0	0
Fam160a2	964.333333	1536	1357	0	0
Cnga4	964.333333	1536	1357	0	0
Apoc1	963.666667	1545	1346	0	0
Slc26a6	963.333333	1237	1653	0	0
Rtn1	963.333333	1276	1614	0	0
Rab11fip3	962.666667	1726	1162	0	0
Rhbdf1	962.333333	1401	1486	0	0
Has3	961.000000	1885	998	0	0
Ttbk1	960.666667	1692	1190	0	0
Tmc7	959.666667	1215	1664	0	0
Psors1c2	959.333333	1412	1466	0	0
Mideas	959.333333	1642	1236	0	0
Atp1b1	958.666667	1587	1289	0	0
Hsp90aa1	958.000000	1515	1211	148	0
Cabyr	957.333333	1367	1505	0	0
Arid3b	957.333333	1145	1727	0	0
Arap1	957.333333	1333	1539	0	0
Socs3	956.333333	1482	1387	0	0
Plekhf2	956.000000	1497	1371	0	0
Cebpzos	955.666667	1733	1134	0	0
Pccb	955.000000	1811	1054	0	0
Gsta2	955.000000	1478	1387	0	0
Slc4a8	953.666667	1755	1106	0	0
Ctrl	952.666667	1628	1230	0	0
Dcaf12	951.333333	1478	1376	0	0
Cdpf1	951.333333	1325	1529	0	0
Ubald2	949.000000	1679	1168	0	0
Zbtb17	948.666667	1406	1440	0	0
Srarp	948.666667	1406	1440	0	0
Hspa1l	948.333333	1258	1587	0	0
Hspa1a	948.333333	1258	1587	0	0
Ankrd9	948.333333	1657	1188	0	0
AI661453	948.000000	1638	1206	0	0
1700001C19Rik	948.000000	1638	1206	0	0
Krtap31-2	946.000000	1237	1601	0	0
Sphk2	945.666667	1388	1449	0	0
Rpl18	945.666667	1388	1449	0	0
Plcb4	945.666667	1226	1611	0	0
Msl3l2	945.333333	1275	1413	148	0
Scnn1a	945.000000	1698	1137	0	0
Rrp15	945.000000	1489	1346	0	0
Dync1li2	944.333333	1362	1471	0	0
Rnf122	944.000000	1321	1511	0	0
Ephb4	943.666667	1647	1184	0	0
Gca	941.333333	1504	1320	0	0
Mettl26	939.666667	1943	876	0	0
Irf2bp2	939.666667	1584	1235	0	0
Rtkn	939.333333	1382	1436	0	0
Trak1	939.000000	1617	1200	0	0
Cops8	938.000000	1508	1306	0	0
Paxip1	937.666667	1633	1180	0	0
St14	937.333333	1689	1123	0	0
Sun2	936.666667	1649	1161	0	0
Rmnd5b	936.000000	1388	1420	0	0
Dph2	935.333333	1458	1348	0	0
B4galt2	935.333333	1458	1348	0	0
Atp6v0b	935.333333	1458	1348	0	0
Asxl2	934.666667	1367	1437	0	0
Dlx4	934.333333	1683	1120	0	0
Mettl15	933.666667	1361	1440	0	0
Kif18a	933.666667	1361	1440	0	0
Dact2	933.666667	1666	1135	0	0
Zfp811	933.000000	1622	1177	0	0
Camk2a	932.000000	1680	1116	0	0
Ost4	931.666667	1474	1321	0	0
Spc25	930.333333	1742	1049	0	0
G6pc2	930.333333	1742	1049	0	0
Ankrd11	930.333333	1804	987	0	0
Tmem200b	930.000000	1304	1486	0	0
Hip1	928.666667	1431	1355	0	0
Ankrd45	928.333333	1477	1308	0	0
Zfp979	927.666667	1275	1508	0	0
C77080	927.333333	1435	1347	0	0
Tcea1	927.000000	1334	1447	0	0
Ank1	926.000000	1485	1293	0	0
Pla2g3	924.000000	1329	1443	0	0
Dnmt3a	923.333333	1487	1283	0	0
Sp100	922.333333	1464	1303	0	0
Sox14	921.333333	1652	1112	0	0
Lrch1	921.000000	1738	1025	0	0
Ppm1k	920.000000	1613	1147	0	0
Tpr	919.666667	1586	1173	0	0
Odr4	919.666667	1586	1173	0	0
Hrob	918.666667	1664	1092	0	0
Kcnj6	918.333333	1444	1311	0	0
Ccdc160	917.666667	1617	1136	0	0
Pradc1	917.000000	1796	955	0	0
Cct7	917.000000	1796	955	0	0
Chst11	916.333333	1402	1347	0	0
Vamp2	916.000000	1858	890	0	0
Rpl8	916.000000	1560	1188	0	0
Ddn	916.000000	1430	1318	0	0
Commd5	916.000000	1560	1188	0	0
Caprin2	915.333333	1697	1049	0	0
Gde1	915.000000	1569	1176	0	0
Aldoa	914.333333	1527	1216	0	0
Igsf23	913.333333	1369	1371	0	0
Znrf4	912.666667	1382	1356	0	0
Slc6a5	911.000000	1406	1327	0	0
Gm52429	910.000000	1409	1321	0	0
Usp46	909.666667	1592	1137	0	0
Chid1	909.666667	1411	1318	0	0
Tpd52l1	907.000000	1661	1060	0	0
Emc4	907.000000	1460	1261	0	0
Fbxo6	906.666667	1383	1337	0	0
Gstm6	906.000000	1364	1354	0	0
Pdlim5	905.666667	1359	1358	0	0
Chadl	905.000000	1266	1449	0	0
Cdsn	905.000000	1381	1334	0	0
1810020O05Rik	904.333333	1656	1057	0	0
Wwtr1	903.333333	1574	1136	0	0
Poglut3	903.333333	1239	1471	0	0
Zfp607b	903.000000	1345	1364	0	0
Rnf165	902.000000	1463	1243	0	0
Fblim1	902.000000	1412	1294	0	0
Cd151	901.666667	1338	1367	0	0
Drosha	901.333333	1528	1176	0	0
6030458C11Rik	901.333333	1528	1176	0	0
Rex2	900.000000	1453	1247	0	0
Hdac7	900.000000	1217	1483	0	0
D130040H23Rik	899.666667	1522	1177	0	0
Slc20a1	899.333333	1804	894	0	0
Ulk3	898.666667	1360	1336	0	0
Nyx	898.666667	1880	816	0	0
Lrrfip1	896.666667	1534	1156	0	0
Wipi1	896.333333	1445	1244	0	0
Ube2r2	895.333333	1467	1219	0	0
Asns	895.000000	1556	1129	0	0
Tmbim1	894.666667	1737	947	0	0
Dnajc16	894.333333	1812	871	0	0
Casp9	894.333333	1812	871	0	0
Six4	892.666667	1459	1219	0	0
Serpine1	890.000000	1188	1482	0	0
Arhgap8	889.666667	1352	1317	0	0
Whrn	889.333333	1278	1390	0	0
Rhoh	888.000000	1481	1183	0	0
Nrarp	888.000000	1375	1289	0	0
Tuba1c	887.666667	1426	1237	0	0
Mob4	886.666667	1905	755	0	0
Zfp780b	885.666667	1358	1299	0	0
B4galt5	885.000000	1675	980	0	0
Cyren	884.666667	1339	1315	0	0
Nphp4	884.333333	1507	1146	0	0
Kcnab2	884.333333	1507	1146	0	0
Llgl1	884.000000	1444	1208	0	0
Il1r1	883.666667	1264	1387	0	0
Fam161a	883.666667	1375	1276	0	0
Slc7a1	883.333333	1619	1031	0	0
Pkd1l2	883.333333	1460	1190	0	0
Sgf29	881.000000	1350	1293	0	0
Tbc1d14	880.000000	1637	1003	0	0
Dgka	880.000000	1377	1263	0	0
Plp2	878.333333	1313	1322	0	0
Gal	878.333333	2002	633	0	0
Fn1	878.000000	1648	986	0	0
Hoxd8	877.333333	1520	1112	0	0
Ahctf1	877.333333	1504	1128	0	0
Max	877.000000	1200	1431	0	0
