Target_genes	Tfcp2l1|Average	SRX9345864|ES_cells	SRX9345866|ES_cells	SRX2229890|Kidney	STRING
Ubxn2a	261.666667	353	432	0	0
Rac2	261.666667	375	410	0	0
Impdh2	261.666667	592	193	0	0
Chrm1	261.666667	489	296	0	0
Rcor2	261.333333	447	337	0	0
Irx1	261.333333	442	342	0	0
Gm10778	261.333333	500	284	0	0
Arl5b	261.333333	384	400	0	0
Sh2d3c	261.000000	323	460	0	0
Kank2	261.000000	449	334	0	0
Drap1	261.000000	629	154	0	0
Bcl6	261.000000	412	371	0	0
Ap3s2	261.000000	519	264	0	0
AI837181	261.000000	629	154	0	0
Ntn3	260.666667	418	364	0	0
Farp2	260.666667	782	0	0	0
Trf	260.333333	428	353	0	0
Mgrn1	260.333333	346	435	0	0
Snai3	260.000000	240	540	0	0
Obsl1	260.000000	511	269	0	0
Lag3	260.000000	349	431	0	0
Inha	260.000000	511	269	0	0
Cd2bp2	260.000000	498	282	0	0
Zbtb16	259.666667	485	294	0	0
Plekha3	259.666667	450	329	0	0
Kcnj11	259.666667	302	477	0	0
Glra1	259.666667	520	259	0	0
Fkbp7	259.666667	450	329	0	0
Inpp5k	259.333333	316	462	0	0
Il13ra1	259.333333	566	212	0	0
Gas2l1	259.333333	301	477	0	0
Dnmt3l	259.333333	262	516	0	0
Borcs6	259.333333	493	285	0	0
Slc30a2	259.000000	312	465	0	0
Gstm3	258.666667	430	346	0	0
Faf1	258.666667	582	194	0	0
Ttc17	258.333333	419	356	0	0
Tbl1x	258.333333	363	412	0	0
Sall4	258.333333	329	446	0	0
Pld1	258.333333	441	334	0	0
Best1	258.333333	271	504	0	0
Agps	258.333333	447	328	0	0
Ubtf	258.000000	394	380	0	0
Bckdhb	258.000000	388	386	0	0
Tbcc	257.666667	368	405	0	0
Oip5	257.666667	398	375	0	0
Nusap1	257.666667	398	375	0	0
Gsg1	257.666667	309	464	0	0
