Target_genes	Nfe2l1|Average	SRX2311119|MEF	SRX2311120|MEF	SRX2311121|MEF	STRING
Psmc5	175.666667	272	255	0	0
Olfr1416	175.666667	313	214	0	0
Ftsj3	175.666667	272	255	0	0
Vipas39	174.333333	338	185	0	0
Ahsa1	174.333333	338	185	0	0
Ypel5	173.333333	345	175	0	0
Dzip1l	173.333333	326	194	0	0
Tfe3	171.333333	310	204	0	0
Bag2	171.000000	328	185	0	0
Immt	170.666667	337	175	0	0
Smarca2	168.000000	310	194	0	0
Iqank1	167.666667	298	205	0	0
Fam83h	167.666667	298	205	0	0
Copg1	167.333333	364	138	0	0
Adam1b	167.333333	278	224	0	0
Rnf183	167.000000	287	214	0	0
Macrod1	166.666667	276	224	0	0
Adar	165.666667	232	265	0	0
Zfp703	165.333333	321	175	0	0
Gsta4	165.333333	321	175	0	0
Whamm	163.666667	335	156	0	0
Ifi35	163.666667	379	112	0	0
Fsd2	163.666667	335	156	0	0
Smim7	163.333333	296	194	0	0
Sirt3	163.333333	305	185	0	0
Psmd13	163.333333	305	185	0	0
Zfp598	163.000000	234	255	0	0
Rtl8b	163.000000	351	138	0	0
Gadd45g	162.666667	341	147	0	0
Dap	162.666667	270	218	0	0
Rnf157	162.333333	253	234	0	0
Chd1	161.666667	310	175	0	0
Clk3	160.000000	360	120	0	0
Mcoln2	159.333333	293	185	0	0
Zfp638	156.666667	332	138	0	0
Eef1a2	156.666667	358	112	0	0
Cstb	156.666667	256	214	0	0
Tpp2	156.000000	330	138	0	0
Huwe1	156.000000	468	0	0	0
R3hdm2	155.333333	179	287	0	0
Ifi204	155.000000	210	255	0	0
Kif5a	154.666667	335	129	0	0
Dctn2	154.666667	335	129	0	0
Tubb4b	154.000000	296	166	0	0
Zfp708	153.000000	265	194	0	0
Ripor1	153.000000	265	194	0	0
Rps19	152.333333	282	175	0	0
Zscan12	151.666667	179	276	0	0
Snx10	151.666667	261	194	0	0
Ctsd	151.666667	261	194	0	0
Slc20a1	151.333333	288	166	0	0
Anxa4	150.666667	225	227	0	0
Tmtc1	150.000000	246	204	0	0
Slc25a45	150.000000	246	204	0	0
Frmd8	150.000000	246	204	0	0
Asap1	149.333333	301	147	0	0
Rnf13	148.666667	232	214	0	0
Psg29	148.333333	287	158	0	0
Numa1	148.333333	316	129	0	0
Ly96	148.333333	200	245	0	0
Synpo	148.000000	288	156	0	0
Prkaa1	148.000000	210	234	0	0
Lrguk	147.333333	249	193	0	0
Hspa9	145.666667	262	175	0	0
Cyb5a	145.666667	182	255	0	0
Spg20	145.333333	232	204	0	0
Idua	145.333333	232	204	0	0
Dgkq	145.333333	232	204	0	0
Ppp1r10	144.666667	287	147	0	0
Mrps18b	144.666667	287	147	0	0
Ccdc77	144.000000	238	194	0	0
B4galnt4	143.666667	265	166	0	0
Cttn	143.333333	274	156	0	0
Tmcc3	142.666667	253	175	0	0
Sbno2	141.666667	269	156	0	0
Herpud2	141.666667	296	129	0	0
Spatc1	141.333333	169	255	0	0
Msantd3	141.333333	179	245	0	0
Entpd5	141.333333	210	214	0	0
Cpq	140.333333	176	245	0	0
Vdac3	140.000000	291	129	0	0
Sstr3	139.666667	244	175	0	0
Ppm1f	139.666667	253	166	0	0
BC005537	139.666667	244	175	0	0
Fgf23	139.000000	242	175	0	0
Ccn4	139.000000	314	103	0	0
Mpp4	138.666667	321	95	0	0
Dync1h1	138.666667	260	156	0	0
Daam1	138.666667	260	156	0	0
4931408C20Rik	138.666667	111	177	128	0
Mesp2	138.000000	229	185	0	0
Birc6	138.000000	210	204	0	0
Cavin3	135.666667	232	175	0	0
Tor1aip2	134.666667	200	204	0	0
Tor1aip1	134.666667	200	204	0	0
Wdr81	133.333333	198	202	0	0
Bloc1s1	133.333333	206	194	0	0
Gpx4	133.000000	399	0	0	0
Zer1	132.666667	232	166	0	0
Lrrc32	132.666667	242	156	0	0
Ppp1r16a	132.000000	221	175	0	0
Dock9	132.000000	221	175	0	0
Ran	131.666667	292	103	0	0
Nmrk2	131.666667	210	185	0	0
Nvl	131.000000	393	0	0	0
Lmna	129.666667	233	156	0	0
Etfdh	129.666667	242	147	0	0
4930579G24Rik	129.666667	242	147	0	0
Oard1	129.333333	241	147	0	0
Nfya	129.333333	241	147	0	0
Hvcn1	129.000000	221	166	0	0
Taf5	128.333333	273	112	0	0
Ubxn4	128.000000	199	185	0	0
Tcp10a	127.333333	216	166	0	0
Spata5l1	127.333333	253	129	0	0
Obscn	127.000000	381	0	0	0
Nme1	126.333333	259	120	0	0
Pdlim7	125.666667	248	129	0	0
E2f6	125.333333	172	204	0	0
Cdk7	125.333333	210	166	0	0
Abcc4	125.333333	220	156	0	0
Cnbp	125.000000	154	221	0	0
Zfp931	124.666667	189	185	0	0
Nrd1	124.666667	189	185	0	0
Clpx	124.666667	374	0	0	0
Clk4	124.666667	140	234	0	0
BC049762	124.666667	140	234	0	0
Megf8	124.333333	169	204	0	0
Med13	124.333333	169	204	0	0
Trim11	123.333333	370	0	0	0
Atad2	123.000000	240	129	0	0
Baz1b	122.666667	221	147	0	0
Katnb1	122.000000	200	166	0	0
Gsn	121.666667	365	0	0	0
Psmb4	121.000000	363	0	0	0
Ing4	120.000000	222	138	0	0
Etfrf1	119.666667	184	175	0	0
Casc1	119.666667	184	175	0	0
3110040M04Rik	119.666667	232	127	0	0
Serpinh1	119.333333	358	0	0	0
Sbspon	119.000000	357	0	0	0
Akr1a1	118.666667	200	156	0	0
Lexm	118.333333	189	166	0	0
Gaa	118.000000	242	112	0	0
Abcb6	118.000000	179	175	0	0
Flnc	116.333333	229	120	0	0
Trpv4	115.000000	179	166	0	0
Pef1	115.000000	345	0	0	0
Sprr2a3	114.666667	344	0	0	0
Myof	114.666667	169	175	0	0
Zc3h3	114.333333	196	147	0	0
Fam214a	114.000000	342	0	0	0
Ctdp1	114.000000	342	0	0	0
Pdss2	113.666667	341	0	0	0
Tbc1d17	113.333333	146	194	0	0
Akt1s1	113.333333	146	194	0	0
Timm13	112.666667	338	0	0	0
Zfp566	112.000000	151	185	0	0
Zfp260	112.000000	151	185	0	0
Them6	112.000000	180	156	0	0
Chordc1	112.000000	207	129	0	0
Arid5a	111.666667	179	156	0	0
Traf3	109.000000	189	138	0	0
Ptk2	109.000000	327	0	0	0
Eif3b	109.000000	232	95	0	0
Rpl22	108.666667	179	147	0	0
Vat1	107.000000	321	0	0	0
Tmc5	107.000000	321	0	0	0
Rnd2	107.000000	321	0	0	0
Tyk2	105.666667	205	112	0	0
2210418O10Rik	105.666667	179	138	0	0
1110002E22Rik	105.666667	179	138	0	0
Srp19	105.333333	316	0	0	0
Dele1	105.333333	169	147	0	0
Hes1	105.000000	149	166	0	0
Eif2ak3	105.000000	159	156	0	0
Zfp330	104.666667	314	0	0	0
Ogdh	104.333333	210	103	0	0
Washc2	104.000000	183	129	0	0
Rrp1b	103.333333	310	0	0	0
Hsf2bp	103.333333	310	0	0	0
Ankle1	103.333333	310	0	0	0
Spata45	102.666667	308	0	0	0
Prr7	102.666667	94	214	0	0
Gata2	102.666667	179	129	0	0
Ndst1	102.000000	306	0	0	0
Ube2v1	101.000000	165	138	0	0
Gm14326	100.333333	189	112	0	0
Oxsm	99.333333	298	0	0	0
Igfbp6	97.333333	292	0	0	0
Zfp729a	97.000000	291	0	0	0
Hnrnpa1	97.000000	291	0	0	0
Cbx5	97.000000	291	0	0	0
Tmem128	95.666667	149	138	0	0
Nt5dc1	95.666667	287	0	0	0
Lamc1	95.666667	287	0	0	0
Eno1	95.666667	287	0	0	0
Eloc	95.666667	140	147	0	0
Ago3	95.666667	287	0	0	0
Gm14295	95.000000	138	147	0	0
Zfp445	93.333333	209	71	0	0
Slc7a11	92.000000	276	0	0	0
Rtl8a	92.000000	276	0	0	0
Ncoa3	92.000000	276	0	0	0
Ip6k3	92.000000	276	0	0	0
Ice1	92.000000	276	0	0	0
Ggt1	92.000000	276	0	0	0
Cgref1	92.000000	276	0	0	0
Ccl2	92.000000	276	0	0	0
C5ar1	92.000000	276	0	0	0
Adsl	92.000000	276	0	0	0
Abhd1	92.000000	276	0	0	0
Zfp473	91.333333	274	0	0	0
Vrk3	91.333333	274	0	0	0
Aldoa	91.333333	274	0	0	0
Rptor	90.000000	270	0	0	0
Zrsr1	89.666667	140	129	0	0
Commd1	89.666667	140	129	0	0
Pmp22	89.333333	121	147	0	0
Zfp771	88.333333	265	0	0	0
Xpc	88.333333	265	0	0	0
Stk40	88.333333	265	0	0	0
Snrnp48	88.333333	265	0	0	0
Smim3	88.333333	265	0	0	0
Ptprn	88.333333	265	0	0	0
Napb	88.333333	265	0	0	0
Lsm3	88.333333	265	0	0	0
Gas8	88.333333	265	0	0	0
Epn1	88.333333	265	0	0	0
Dbndd1	88.333333	265	0	0	0
Zbtb37	87.333333	262	0	0	0
Kif1a	87.333333	262	0	0	0
Acadl	86.666667	94	166	0	0
Xpot	86.000000	258	0	0	0
Gm14322	86.000000	258	0	0	0
Trim80	84.666667	254	0	0	0
Fam83g	84.666667	159	95	0	0
Vasp	84.333333	253	0	0	0
Prl2c5	84.333333	253	0	0	0
Glis3	84.333333	253	0	0	0
Dnajb2	84.333333	253	0	0	0
Arl8a	84.333333	253	0	0	0
A630095N17Rik	84.333333	253	0	0	0
Sfxn4	83.666667	251	0	0	0
Ammecr1l	83.666667	251	0	0	0
Gm14325	83.333333	250	0	0	0
Tef	83.000000	249	0	0	0
Tigd4	82.666667	248	0	0	0
Eif4ebp1	82.666667	248	0	0	0
Ahnak2	82.333333	247	0	0	0
Napa	82.000000	246	0	0	0
Loxl1	82.000000	246	0	0	0
Lin9	82.000000	246	0	0	0
Nup153	81.333333	149	95	0	0
Nfe2l2	81.333333	244	0	0	0
Usp7	80.666667	242	0	0	0
Trmt1	80.666667	242	0	0	0
Sp3	80.666667	242	0	0	0
Slc22a4	80.666667	242	0	0	0
Serpinb9b	80.666667	242	0	0	0
Prr5l	80.666667	242	0	0	0
Ppcdc	80.666667	242	0	0	0
Nacc1	80.666667	242	0	0	0
Myl6b	80.666667	242	0	0	0
Mbnl2	80.666667	242	0	0	0
Krt24	80.666667	242	0	0	0
Esd	80.666667	242	0	0	0
Commd9	80.666667	242	0	0	0
Cnih3	80.666667	242	0	0	0
Cd7	80.666667	242	0	0	0
Arhgap27	80.666667	242	0	0	0
Soat2	79.666667	239	0	0	0
Ap2m1	79.333333	238	0	0	0
Hgs	78.666667	236	0	0	0
Arl16	78.666667	236	0	0	0
Trex1	77.333333	232	0	0	0
Slc39a11	77.333333	232	0	0	0
Shisa5	77.333333	232	0	0	0
Ptpn5	77.333333	232	0	0	0
Poc5	77.333333	232	0	0	0
Nub1	77.333333	232	0	0	0
Midn	77.333333	232	0	0	0
Gpatch1	77.333333	232	0	0	0
Gm4724	77.333333	232	0	0	0
Gm2026	77.333333	232	0	0	0
Gm2007	77.333333	232	0	0	0
Gm14434	77.333333	232	0	0	0
Gm14430	77.333333	232	0	0	0
Gm14308	77.333333	232	0	0	0
Arl10	77.333333	232	0	0	0
Akap8l	77.333333	232	0	0	0
4833439L19Rik	77.333333	232	0	0	0
Stx4a	76.666667	230	0	0	0
Olfr544	76.666667	230	0	0	0
Zgpat	76.000000	228	0	0	0
Zfp60	76.000000	228	0	0	0
Arfrp1	76.000000	228	0	0	0
Rpgrip1l	74.666667	224	0	0	0
Fto	74.666667	224	0	0	0
Ankk1	74.666667	224	0	0	0
Rangap1	74.333333	223	0	0	0
Klc1	74.333333	223	0	0	0
Fbxl19	74.333333	223	0	0	0
Slc11a2	73.666667	221	0	0	0
Ptges	73.666667	221	0	0	0
Plec	73.666667	221	0	0	0
Mpeg1	73.666667	221	0	0	0
Fam214b	73.666667	221	0	0	0
Ckap4	73.666667	221	0	0	0
Cep104	73.666667	221	0	0	0
Bpnt2	73.666667	221	0	0	0
6820408C15Rik	73.666667	221	0	0	0
Tmem39a	72.333333	217	0	0	0
Ak1	72.333333	217	0	0	0
Ibtk	70.333333	211	0	0	0
Ubfd1	70.000000	210	0	0	0
Sec16a	70.000000	210	0	0	0
Ric8b	70.000000	210	0	0	0
Psen2	70.000000	210	0	0	0
Ndufa10	70.000000	210	0	0	0
Gnat2	70.000000	210	0	0	0
Fscn1	70.000000	210	0	0	0
Ears2	70.000000	210	0	0	0
Col5a1	70.000000	210	0	0	0
Bach1	70.000000	210	0	0	0
Asf1a	70.000000	210	0	0	0
Snx29	69.333333	208	0	0	0
Prune1	69.333333	208	0	0	0
Procr	69.333333	208	0	0	0
Mindy1	69.333333	208	0	0	0
Anks3	68.666667	206	0	0	0
4930451G09Rik	68.666667	206	0	0	0
Nxpe3	68.000000	204	0	0	0
Gapdh	67.666667	203	0	0	0
Rtn4	67.333333	202	0	0	0
Mafk	67.333333	202	0	0	0
