Target_genes	Zfp407|Average	SRX22153387|3T3-L1	STRING
Vrk1	2762.000000	2762	0
Riok1	2761.000000	2761	0
Dus2	2761.000000	2761	0
Ddx28	2761.000000	2761	0
Cage1	2761.000000	2761	0
Stk25	2753.000000	2753	0
Kif16b	2752.000000	2752	0
Tyw3	2749.000000	2749	0
Strn	2749.000000	2749	0
Cryz	2749.000000	2749	0
Med18	2748.000000	2748	0
Tmem115	2742.000000	2742	0
Ing3	2742.000000	2742	0
1110004F10Rik	2742.000000	2742	0
Ikzf5	2740.000000	2740	0
Acadsb	2740.000000	2740	0
Rad1	2737.000000	2737	0
Pprc1	2737.000000	2737	0
Brix1	2737.000000	2737	0
Vcpip1	2736.000000	2736	0
Wdr43	2735.000000	2735	0
Smarcal1	2731.000000	2731	0
LTO1	2731.000000	2731	0
Clpb	2730.000000	2730	0
Rpl3	2727.000000	2727	0
Coil	2727.000000	2727	0
Cenps	2727.000000	2727	0
Zfyve19	2724.000000	2724	0
Slmap	2724.000000	2724	0
Dnajc17	2724.000000	2724	0
Phf13	2721.000000	2721	0
Terf2	2720.000000	2720	0
Ppm1l	2719.000000	2719	0
Pml	2719.000000	2719	0
Ly6g5b	2712.000000	2712	0
Gpank1	2712.000000	2712	0
D17H6S53E	2712.000000	2712	0
Csnk2b	2712.000000	2712	0
Rpp30	2711.000000	2711	0
Tmem11	2707.000000	2707	0
Obi1	2705.000000	2705	0
Kbtbd8	2703.000000	2703	0
Prr22	2700.000000	2700	0
Dus3l	2700.000000	2700	0
Clcn7	2700.000000	2700	0
Aak1	2700.000000	2700	0
Atad3a	2699.000000	2699	0
Mettl8	2696.000000	2696	0
Dcaf17	2696.000000	2696	0
Tmem43	2694.000000	2694	0
Chchd4	2694.000000	2694	0
C9orf72	2694.000000	2694	0
Fbxo48	2692.000000	2692	0
Repin1	2682.000000	2682	0
Gm5111	2682.000000	2682	0
Smn1	2681.000000	2681	0
Katnal1	2681.000000	2681	0
Zfp407	2680.000000	2680	0
Sbf1	2679.000000	2679	0
Bicd2	2670.000000	2670	0
Coa6	2667.000000	2667	0
Leng8	2665.000000	2665	0
Zdhhc7	2664.000000	2664	0
Tnpo2	2662.000000	2662	0
Pdcd2l	2662.000000	2662	0
Sugp2	2659.000000	2659	0
Armc6	2659.000000	2659	0
Prmt7	2658.000000	2658	0
S1pr4	2657.000000	2657	0
Ncln	2657.000000	2657	0
Plekha1	2652.000000	2652	0
Tgfbr3l	2651.000000	2651	0
Snapc2	2651.000000	2651	0
Gtf2f2	2651.000000	2651	0
Lgals8	2650.000000	2650	0
Ttc32	2647.000000	2647	0
Timm50	2647.000000	2647	0
Ifrd1	2645.000000	2645	0
Rpgrip1l	2643.000000	2643	0
Fto	2643.000000	2643	0
Zbtb7a	2641.000000	2641	0
Frg1	2635.000000	2635	0
Ap1s1	2634.000000	2634	0
Trrap	2631.000000	2631	0
Scnm1	2631.000000	2631	0
Lysmd1	2631.000000	2631	0
Tars	2630.000000	2630	0
Atf2	2621.000000	2621	0
Tarbp2	2617.000000	2617	0
Map3k12	2617.000000	2617	0
Timm22	2616.000000	2616	0
Ap2m1	2615.000000	2615	0
Tsfm	2613.000000	2613	0
Ppp1r35	2613.000000	2613	0
Cdk5rap2	2613.000000	2613	0
Phf12	2612.000000	2612	0
Nudt15	2612.000000	2612	0
Lamtor5	2606.000000	2606	0
Rexo2	2603.000000	2603	0
Ddx5	2602.000000	2602	0
Cep95	2602.000000	2602	0
Ccnt2	2595.000000	2595	0
Nbr1	2592.000000	2592	0
Brca1	2592.000000	2592	0
Ankzf1	2591.000000	2591	0
Copb1	2587.000000	2587	0
Dync1i2	2585.000000	2585	0
Atf6	2584.000000	2584	0
Setmar	2583.000000	2583	0
Ints9	2583.000000	2583	0
Hmbox1	2583.000000	2583	0
Nuf2	2581.000000	2581	0
Virma	2579.000000	2579	0
Mtrex	2577.000000	2577	0
Ift22	2577.000000	2577	0
Dhx29	2577.000000	2577	0
Clptm1	2577.000000	2577	0
Napg	2574.000000	2574	0
Sdad1	2572.000000	2572	0
Gar1	2572.000000	2572	0
Triap1	2568.000000	2568	0
Gatc	2568.000000	2568	0
Ndufa9	2566.000000	2566	0
Akap3	2566.000000	2566	0
Kbtbd3	2565.000000	2565	0
Aasdhppt	2565.000000	2565	0
Tmem258	2557.000000	2557	0
Fen1	2557.000000	2557	0
Ctdp1	2553.000000	2553	0
Utp18	2551.000000	2551	0
Mbtd1	2551.000000	2551	0
