Target_genes	Hoxa13|Average	SRX4618294|Embryonic_limb	SRX4618296|Embryonic_limb	SRX4618301|Embryonic_limb	SRX1757411|Forelimb	STRING
Heatr4	196.250000	0	631	0	154	0
Commd10	196.250000	0	548	0	237	0
Vnn1	196.000000	0	663	0	121	0
Prom1	196.000000	0	237	138	409	0
Kdm8	195.500000	0	216	0	566	0
Snap25	195.000000	0	548	0	232	0
Lats2	195.000000	0	463	0	317	0
Clint1	194.750000	0	0	224	555	0
Gpr137	194.500000	0	549	0	229	0
Bad	194.500000	0	549	0	229	0
Nup153	194.250000	0	636	0	141	0
Metrnl	194.250000	0	777	0	0	0
Lrrcc1	194.250000	0	777	0	0	0
Hadh	194.250000	0	353	0	424	0
Cpsf1	194.250000	0	777	0	0	0
Klf12	194.000000	0	646	130	0	0
Atad2	194.000000	0	540	0	236	0
Klrd1	193.750000	0	775	0	0	0
Zc3h12c	193.500000	0	594	180	0	0
Nfkb1	193.500000	0	343	0	431	0
Ttr	193.250000	0	335	0	438	0
A430033K04Rik	192.750000	0	651	0	120	0
Creb3l1	192.500000	0	631	0	139	0
Tmem138	192.250000	0	98	0	671	0
Msh3	192.250000	0	676	93	0	0
Mrps9	192.250000	0	769	0	0	0
Dhfr	192.250000	0	676	93	0	0
Cyb561a3	192.250000	0	98	0	671	0
Ccng2	192.250000	0	352	91	326	0
Tnks2	191.750000	0	585	0	182	0
Mdfic	191.750000	0	767	0	0	0
Cbln4	191.750000	117	650	0	0	0
Cacna1d	191.750000	0	641	0	126	0
Art3	191.500000	0	162	0	604	0
Akr1b8	191.500000	0	182	0	584	0
Pla2g4a	191.000000	0	319	0	445	0
Hdhd2	191.000000	0	315	0	449	0
Zranb1	190.750000	0	522	0	241	0
Cfap69	190.500000	0	679	0	83	0
Gng4	190.250000	0	0	0	761	0
Olfr110	190.000000	0	622	138	0	0
Id4	190.000000	0	495	0	265	0
Faap24	190.000000	0	459	0	301	0
Oxr1	189.500000	0	655	0	103	0
Slc19a3	189.250000	0	757	0	0	0
Plcz1	189.250000	0	757	0	0	0
Oas2	189.250000	0	0	0	757	0
Klhl1	189.250000	0	757	0	0	0
Ccrl2	189.250000	0	757	0	0	0
Capza3	189.250000	0	757	0	0	0
Ptk2	188.750000	0	485	93	177	0
Dnah12	188.500000	0	566	188	0	0
Speer4d	188.000000	160	397	195	0	0
Tlr6	187.750000	0	420	0	331	0
Myb	186.500000	0	0	0	746	0
Pacsin3	186.250000	0	745	0	0	0
Gdf6	186.250000	0	114	0	631	0
Uts2b	185.750000	0	208	0	535	0
Diablo	185.500000	0	327	0	415	0
Sema6d	185.250000	0	367	0	374	0
Mbnl2	185.250000	0	555	0	186	0
Gucy1a2	184.500000	0	584	154	0	0
Zfpm2	184.250000	0	599	138	0	0
Olfr1465	184.250000	0	566	171	0	0
Ncald	184.250000	0	737	0	0	0
Limch1	184.250000	0	503	0	234	0
Kcnj5	184.250000	0	737	0	0	0
Eya2	184.250000	0	360	0	377	0
Calm1	184.250000	0	232	0	505	0
Akr1c13	184.250000	0	737	0	0	0
Tjp2	184.000000	0	553	0	183	0
Lcor	184.000000	0	489	0	247	0
Tas2r114	183.750000	151	584	0	0	0
Tas2r105	183.750000	151	584	0	0	0
Tas2r104	183.750000	151	584	0	0	0
Satb2	183.750000	0	585	0	150	0
Arhgap12	183.750000	0	615	0	120	0
Fzd2	183.500000	0	455	0	279	0
Zkscan5	183.000000	0	513	0	219	0
Zkscan14	183.000000	0	513	0	219	0
Sf3b1	182.750000	0	731	0	0	0
Ist1	182.500000	0	730	0	0	0
Gpn2	182.250000	0	575	154	0	0
Gabpb2	182.250000	0	169	215	345	0
Vmn1r26	182.000000	0	728	0	0	0
Smurf2	182.000000	0	728	0	0	0
Shcbp1	182.000000	0	548	180	0	0
Caly	182.000000	0	611	0	117	0
Tfap2b	181.750000	0	157	0	570	0
Abtb2	181.500000	0	303	0	423	0
Olfr1193	181.250000	0	327	0	398	0
Myo10	180.000000	0	202	0	518	0
Zan	179.500000	0	718	0	0	0
Pou3f1	179.500000	0	629	0	89	0
Pou2af1	179.500000	0	718	0	0	0
Gm884	179.500000	0	718	0	0	0
BC048679	179.500000	0	718	0	0	0
Myo1h	179.000000	0	521	0	195	0
Pkp2	178.750000	0	594	0	121	0
Ints13	178.750000	0	451	264	0	0
Fgfr1op2	178.750000	0	451	264	0	0
Arhgap5	178.750000	0	579	136	0	0
Stat3	178.500000	0	508	0	206	0
Gtf2f2	178.500000	0	296	0	418	0
Dixdc1	178.500000	0	341	0	373	0
Zfp493	177.500000	92	618	0	0	0
Tle3	177.500000	0	0	0	710	0
N4bp2l2	177.250000	0	0	0	709	0
Svs6	177.000000	0	708	0	0	0
R3hcc1l	177.000000	0	708	0	0	0
Lbp	177.000000	0	708	0	0	0
Epha3	176.500000	0	583	0	123	0
Hkdc1	176.250000	0	0	0	705	0
Pou2f1	176.000000	0	412	0	292	0
Mtbp	176.000000	0	704	0	0	0
Mrpl13	176.000000	0	704	0	0	0
Gtpbp8	176.000000	0	223	0	481	0
Fbxl2	175.500000	0	126	0	576	0
Crebrf	175.500000	0	702	0	0	0
Trak1	175.250000	0	311	0	390	0
Sp2	175.250000	0	175	0	526	0
Ets2	175.250000	0	195	0	506	0
Marchf3	175.000000	0	426	0	274	0
H2bc6	175.000000	0	351	0	349	0
Vti1b	174.500000	0	698	0	0	0
Nfe2l3	174.500000	0	698	0	0	0
Dhx35	174.250000	0	0	0	697	0
Casp7	174.250000	0	0	0	697	0
Dcdc5	173.750000	0	471	0	224	0
Dnajb4	173.250000	0	504	0	189	0
Dmap1	173.250000	0	0	0	693	0
Cldnd2	173.250000	0	0	0	693	0
Hes1	172.750000	0	423	0	268	0
BC107364	172.750000	0	373	0	318	0
Rora	172.500000	0	355	0	335	0
Cfl2	172.500000	0	690	0	0	0
Serpinb8	172.250000	0	689	0	0	0
Nkx2-6	172.250000	0	584	0	105	0
Hnrnpdl	172.250000	0	689	0	0	0
Enoph1	172.250000	0	689	0	0	0
Tpd52l2	171.750000	0	343	0	344	0
Plch1	171.500000	0	476	0	210	0
Niban1	171.500000	0	367	0	319	0
Cep68	171.500000	0	548	0	138	0
Spag7	171.250000	0	685	0	0	0
Clec14a	171.250000	0	0	0	685	0
Kansl1	171.000000	0	684	0	0	0
Elp6	170.750000	0	0	0	683	0
Btbd7	170.500000	0	114	0	568	0
Usp39	170.250000	0	0	197	484	0
Sox5	170.250000	0	329	0	352	0
Nup35	170.250000	0	495	0	186	0
Masp1	170.250000	0	347	0	334	0
0610030E20Rik	170.250000	0	0	197	484	0
Serpinb9c	169.750000	0	679	0	0	0
Rsad1	169.750000	0	679	0	0	0
Plekhg2	169.750000	0	436	0	243	0
Gm8126	169.750000	0	679	0	0	0
Anks1b	169.750000	0	679	0	0	0
2310009B15Rik	169.750000	0	174	0	505	0
Bex3	169.500000	126	319	233	0	0
Zfp24	169.250000	0	502	0	175	0
Gdf5	168.750000	0	0	0	675	0
Tcp11l2	168.500000	0	0	0	674	0
Cyth1	168.250000	0	169	0	504	0
Arhgef3	168.250000	0	363	0	310	0
Fhad1	168.000000	0	0	0	672	0
Mab21l2	167.750000	0	399	0	272	0
Dusp4	167.750000	0	0	0	671	0
Hmcn1	167.500000	0	507	0	163	0
Xcl1	167.250000	0	669	0	0	0
Smyd1	167.250000	0	669	0	0	0
Ptprt	167.250000	0	669	0	0	0
Gdpd4	167.250000	0	669	0	0	0
Pdcd4	167.000000	0	195	130	343	0
Six6	166.750000	0	549	0	118	0
Atg4d	166.750000	0	0	0	667	0
Zdhhc6	166.500000	0	666	0	0	0
Vti1a	166.500000	0	666	0	0	0
Ube2v1	166.500000	0	144	0	522	0
Phlda1	166.000000	0	378	0	286	0
Hsd17b12	166.000000	0	664	0	0	0
Spata46	165.750000	0	296	0	367	0
Obox1	165.750000	107	450	106	0	0
Sipa1l1	165.250000	0	188	0	473	0
Fanci	165.250000	0	661	0	0	0
Teddm3	165.000000	0	660	0	0	0
Olfr1311	165.000000	0	660	0	0	0
Hoxb13	165.000000	0	272	0	388	0
Mnd1	164.750000	0	185	0	474	0
Spry2	164.500000	0	658	0	0	0
Slc25a25	164.500000	0	319	0	339	0
Naif1	164.500000	0	319	0	339	0
Fgd4	164.500000	0	223	0	435	0
Nucks1	164.250000	0	425	0	232	0
Sac3d1	164.000000	0	656	0	0	0
Lims1	164.000000	0	335	0	321	0
Arid4a	164.000000	0	521	0	135	0
Gm11213	163.750000	0	0	655	0	0
Bmf	163.750000	0	521	0	134	0
Senp2	163.500000	0	408	0	246	0
Zc3h10	163.250000	0	508	0	145	0
Smc5	163.250000	0	284	0	369	0
Rpl41	163.250000	0	508	0	145	0
Gmnc	163.250000	0	185	0	468	0
Eapp	162.750000	0	481	0	170	0
Olfr1420	162.500000	0	650	0	0	0
Krcc1	162.500000	0	0	0	650	0
Foxd3	162.500000	0	650	0	0	0
Rsrc2	162.250000	0	374	0	275	0
Kntc1	162.250000	0	374	0	275	0
Dipk1c	162.250000	0	0	0	649	0
Acaa2	162.250000	0	327	206	116	0
Defb11	162.000000	0	0	0	648	0
Cpa2	162.000000	0	0	0	648	0
Taf15	161.500000	0	375	0	271	0
Hoxa2	161.500000	0	401	0	245	0
Hoxa1	161.500000	0	401	0	245	0
Sgcd	161.000000	0	416	0	228	0
Nell2	160.500000	92	442	108	0	0
Lmntd1	160.500000	0	0	0	642	0
Rif1	160.250000	0	641	0	0	0
Obox7	160.250000	0	641	0	0	0
2410137M14Rik	160.250000	0	641	0	0	0
Usp5	160.000000	0	0	163	477	0
Fmnl2	160.000000	0	282	0	358	0
Cdca3	160.000000	0	0	163	477	0
Wdr27	159.500000	0	638	0	0	0
Ccdc33	159.500000	0	0	0	638	0
1600012H06Rik	159.500000	0	638	0	0	0
Pspc1	159.250000	0	503	0	134	0
Pitx2	159.250000	0	223	0	414	0
Nebl	159.250000	0	477	0	160	0
Thrb	159.000000	0	636	0	0	0
Ppp1r36	159.000000	0	636	0	0	0
H2az2	159.000000	0	359	0	277	0
Crppa	159.000000	0	636	0	0	0
Rbks	158.750000	0	635	0	0	0
Mthfs	158.750000	0	394	0	241	0
Dlx2	158.750000	0	223	0	412	0
Babam2	158.750000	0	635	0	0	0
Mdh1	158.500000	0	0	0	634	0
Edem3	158.500000	0	519	115	0	0
Tgif1	158.250000	0	212	0	421	0
Ints12	158.250000	0	633	0	0	0
Gstcd	158.250000	0	633	0	0	0
Zfp618	158.000000	0	544	0	88	0
Ttc17	158.000000	0	343	0	289	0
Zfp60	157.750000	0	631	0	0	0
Trip13	157.750000	0	631	0	0	0
Tle4	157.750000	0	383	110	138	0
Slc22a14	157.750000	0	631	0	0	0
Magi2	157.750000	0	631	0	0	0
Mageb16	157.750000	0	468	163	0	0
Brd9	157.750000	0	631	0	0	0
Aplp2	157.750000	0	631	0	0	0
Ahcyl2	157.750000	0	202	0	429	0
Fn1	157.500000	0	370	0	260	0
Wwox	157.250000	0	483	146	0	0
Mzb1	156.750000	0	0	0	627	0
Dynlt1f	156.750000	140	487	0	0	0
Dynlt1c	156.750000	140	487	0	0	0
Dnah6	156.750000	0	497	0	130	0
Blvra	156.750000	0	538	0	89	0
Sestd1	156.250000	0	303	86	236	0
Celf2	156.250000	0	155	0	470	0
Gm15319	156.000000	82	457	85	0	0
Csta1	156.000000	0	109	0	515	0
Apobec4	156.000000	0	624	0	0	0
Hmox2	155.750000	0	303	0	320	0
4930558K02Rik	155.750000	0	121	0	502	0
Sult2a7	155.500000	0	622	0	0	0
Rbm46	155.500000	0	251	123	248	0
Olfr891	155.500000	0	622	0	0	0
Ikzf2	155.500000	0	408	0	214	0
Fam78b	155.500000	0	622	0	0	0
Exoc6b	155.500000	0	622	0	0	0
Deptor	155.500000	0	622	0	0	0
Zfp870	155.000000	0	400	0	220	0
Aig1	154.500000	0	618	0	0	0
Hoxa6	154.000000	0	289	0	327	0
Pde1a	153.750000	0	348	0	267	0
Cartpt	153.750000	77	538	0	0	0
Zfp979	153.500000	0	614	0	0	0
Phyhipl	153.500000	0	614	0	0	0
Gnb2	153.250000	0	182	321	110	0
Clca3b	153.250000	0	613	0	0	0
Tbp	153.000000	0	612	0	0	0
Ptms	153.000000	0	0	0	612	0
Psmb1	153.000000	0	612	0	0	0
Olfr1151	153.000000	0	612	0	0	0
Nnat	153.000000	0	0	146	466	0
Zscan4c	152.250000	144	327	138	0	0
Usp22	152.250000	0	195	0	414	0
Gpr1	152.250000	0	383	0	226	0
Ssh2	152.000000	0	356	0	252	0
Mad2l2	152.000000	0	0	0	608	0
Draxin	152.000000	0	0	0	608	0
Nfxl1	151.750000	0	480	0	127	0
Mettl15	151.750000	0	406	201	0	0
Kif18a	151.750000	0	406	201	0	0
Ero1a	151.750000	0	607	0	0	0
Ebf3	151.750000	0	607	0	0	0
Zfp160	151.500000	0	606	0	0	0
Rabgap1l	151.250000	0	408	0	197	0
Catip	151.250000	0	416	0	189	0
Snai2	150.750000	0	603	0	0	0
Marchf10	150.750000	0	603	0	0	0
Gm9758	150.750000	240	257	106	0	0
Cyria	150.750000	0	603	0	0	0
Cd8b1	150.750000	0	603	0	0	0
Ccer1	150.750000	0	603	0	0	0
4933428M09Rik	150.750000	0	603	0	0	0
2700062C07Rik	150.750000	0	603	0	0	0
Slc14a2	150.500000	0	303	0	299	0
Ddx4	150.500000	0	485	0	117	0
Ryk	150.000000	0	281	0	319	0
Pgk1	150.000000	0	182	0	418	0
Bud13	150.000000	0	476	0	124	0
Tekt3	149.750000	0	375	224	0	0
Npvf	149.750000	0	303	0	296	0
Msrb2	149.750000	0	258	341	0	0
Med13l	149.750000	0	300	0	299	0
Krtap17-1	149.750000	0	383	0	216	0
Rfxank	149.250000	0	281	154	162	0
Gm45929	149.250000	0	281	154	162	0
Fam117b	149.250000	0	597	0	0	0
Borcs8	149.250000	0	281	154	162	0
Thrap3	149.000000	0	452	0	144	0
Lars2	149.000000	0	363	0	233	0
Znrd1as	148.500000	0	594	0	0	0
Znrd1	148.500000	0	594	0	0	0
Wiz	148.500000	0	375	219	0	0
Tnfrsf11b	148.500000	0	594	0	0	0
Tcf25	148.500000	0	594	0	0	0
Rundc3b	148.500000	0	594	0	0	0
Rbms2	148.500000	0	594	0	0	0
Ppp1r11	148.500000	0	594	0	0	0
Iapp	148.500000	0	594	0	0	0
Fndc3c1	148.500000	0	594	0	0	0
Fam161a	148.500000	0	594	0	0	0
Wdr20	148.250000	0	494	0	99	0
Slc7a11	148.250000	0	147	0	446	0
Nlgn1	148.250000	0	408	0	185	0
Mid1ip1	148.000000	0	459	0	133	0
Prkaa2	147.500000	0	399	0	191	0
Nxph4	147.500000	0	375	0	215	0
Mlip	147.500000	0	335	0	255	0
Lhx9	147.500000	0	0	0	590	0
Dgki	147.500000	0	590	0	0	0
Zfp326	147.250000	0	589	0	0	0
Vmn1r2	147.250000	0	193	396	0	0
Pudp	147.250000	0	589	0	0	0
Pfdn1	147.250000	0	0	0	589	0
Enpp2	147.250000	0	490	0	99	0
Wbp1	147.000000	0	114	0	474	0
Ino80b	147.000000	0	114	0	474	0
Hnrnpa3	146.750000	0	587	0	0	0
Mup13	146.500000	0	474	112	0	0
Gsg1	146.500000	0	223	0	363	0
Tnfrsf19	146.250000	0	428	0	157	0
Rnf220	146.250000	0	0	0	585	0
Etv1	146.250000	0	585	0	0	0
Tmem217	146.000000	0	584	0	0	0
Tbc1d9b	146.000000	0	584	0	0	0
Spaca9	146.000000	0	584	0	0	0
Rom1	146.000000	0	584	0	0	0
Pdp1	146.000000	0	584	0	0	0
Olfr960	146.000000	0	584	0	0	0
Iba57	146.000000	0	584	0	0	0
Fabp3	146.000000	0	584	0	0	0
Dyrk1b	146.000000	0	584	0	0	0
Ccdc177	146.000000	0	584	0	0	0
B3gat3	146.000000	0	584	0	0	0
Ano3	146.000000	0	584	0	0	0
Ak8	146.000000	0	584	0	0	0
Fryl	145.750000	0	205	0	378	0
Unc13a	145.500000	0	0	0	582	0
Rac1	145.500000	0	237	0	345	0
Lrrc23	145.500000	0	367	0	215	0
Jak3	145.500000	0	0	0	582	0
Tfec	145.250000	0	581	0	0	0
Pparg	145.250000	0	400	0	181	0
Wls	144.750000	0	385	0	194	0
Rsad2	144.250000	0	120	0	457	0
1700008O03Rik	144.250000	0	0	0	577	0
Tlr4	144.000000	0	576	0	0	0
Sqor	143.750000	0	575	0	0	0
Ranbp2	143.750000	0	194	0	381	0
Olfr5	143.750000	0	575	0	0	0
Olfr466	143.750000	0	575	0	0	0
Olfr1347	143.750000	0	575	0	0	0
Olfr121	143.750000	0	575	0	0	0
Mfap1b	143.750000	0	575	0	0	0
Hsd3b3	143.750000	0	575	0	0	0
G6pc2	143.750000	0	575	0	0	0
Far1	143.750000	0	575	0	0	0
Exosc3	143.750000	0	575	0	0	0
Nectin3	143.250000	0	573	0	0	0
Eps15l1	143.250000	0	0	0	573	0
Mroh9	142.750000	0	571	0	0	0
Hspa9	142.750000	0	218	0	353	0
Cnr2	142.500000	0	202	0	368	0
Abca6	142.500000	0	438	0	132	0
Kmt2a	142.250000	0	231	146	192	0
Rfc2	141.750000	0	567	0	0	0
Olfr33	141.750000	0	343	224	0	0
Tas2r120	141.500000	0	566	0	0	0
Shank1	141.500000	0	0	0	566	0
Olfr1095	141.500000	0	566	0	0	0
Kcnq5	141.500000	0	566	0	0	0
Dlgap1	141.500000	0	566	0	0	0
Clec11a	141.500000	0	0	0	566	0
Cd28	141.500000	0	566	0	0	0
Catsperb	141.500000	0	566	0	0	0
Rho	141.250000	0	0	0	565	0
Pdzrn4	141.250000	0	346	0	219	0
Hexim1	141.250000	0	191	146	228	0
Enho	141.250000	0	433	0	132	0
Dynlt1b	141.250000	122	443	0	0	0
B3gnt3	141.250000	0	565	0	0	0
Tnrc6a	141.000000	0	317	0	247	0
Fads1	141.000000	0	440	0	124	0
Dhx33	141.000000	0	273	0	291	0
Psen1	140.750000	0	470	93	0	0
Wdr89	140.500000	0	562	0	0	0
Plekha2	140.500000	0	375	0	187	0
Ubr4	140.250000	0	0	561	0	0
Rex2	140.250000	0	561	0	0	0
Hmgn2	140.250000	0	0	0	561	0
Clstn2	140.250000	0	433	0	128	0
Slc16a7	139.750000	0	408	0	151	0
Gtf3c6	139.750000	0	163	0	396	0
Slc12a6	139.500000	0	459	0	99	0
Tcaf1	139.250000	0	557	0	0	0
Slc5a8	139.250000	0	557	0	0	0
Sec22c	139.250000	0	557	0	0	0
Rpp30	139.250000	0	557	0	0	0
Olfr1258	139.250000	0	557	0	0	0
Mettl4	139.250000	0	557	0	0	0
H2aw	139.250000	0	378	0	179	0
Gm34650	139.250000	0	557	0	0	0
Cyp2d34	139.250000	0	557	0	0	0
Cr2	139.250000	0	557	0	0	0
Cenpv	139.250000	0	557	0	0	0
Cand1	139.250000	0	390	0	167	0
Dlg5	139.000000	0	410	0	146	0
Nanp	138.750000	0	150	0	405	0
Gpat4	138.500000	0	403	0	151	0
Stard3nl	138.250000	0	553	0	0	0
Kpna6	138.250000	0	0	271	282	0
Cdh6	138.250000	0	391	0	162	0
Utp23	138.000000	0	372	180	0	0
Hs3st3a1	138.000000	0	303	0	249	0
Dcun1d4	138.000000	0	442	0	110	0
Plec	137.750000	0	0	0	551	0
Bmpr1b	137.750000	0	371	0	180	0
Prdx6b	137.500000	0	550	0	0	0
Sugp2	137.250000	0	0	549	0	0
Ltbp1	137.250000	0	202	0	347	0
Ascl1	137.250000	0	549	0	0	0
Armc6	137.250000	0	0	549	0	0
Tas2r102	137.000000	0	548	0	0	0
Prdm11	137.000000	0	114	0	434	0
Igf1	137.000000	0	326	0	222	0
Etv3	137.000000	0	548	0	0	0
Mapkbp1	136.750000	0	126	0	421	0
Gpd2	136.750000	0	547	0	0	0
Ddx3x	136.750000	0	258	163	126	0
Rbfox3	136.500000	0	209	0	337	0
Cwc22	136.500000	0	390	0	156	0
Ctbp2	136.500000	0	147	0	399	0
Scfd1	136.250000	0	425	0	120	0
Raet1e	136.250000	0	545	0	0	0
Raet1a	136.250000	0	545	0	0	0
Mrvi1	136.250000	0	0	0	545	0
Krt39	136.250000	0	216	0	329	0
Simc1	135.750000	0	543	0	0	0
Nup50	135.750000	0	405	138	0	0
Lrrtm2	135.750000	0	543	0	0	0
Zcchc8	135.500000	0	542	0	0	0
Prmt7	135.500000	0	542	0	0	0
Ythdc1	135.250000	0	541	0	0	0
Tfap2e	135.250000	0	541	0	0	0
Lrrc42	135.250000	0	241	0	300	0
Hspb11	135.250000	0	241	0	300	0
Fbxo47	135.250000	0	418	0	123	0
Sall1	135.000000	0	326	0	214	0
Mapk14	135.000000	0	223	0	317	0
Sprr2d	134.750000	0	539	0	0	0
Olfr435	134.750000	0	539	0	0	0
Maml2	134.750000	0	539	0	0	0
Malt1	134.750000	0	539	0	0	0
Ltv1	134.750000	0	539	0	0	0
Lsamp	134.750000	0	539	0	0	0
Gm8439	134.750000	0	539	0	0	0
Gm13290	134.750000	0	132	234	173	0
Gm13289	134.750000	0	132	234	173	0
Gm13285	134.750000	0	132	234	173	0
Gm13272	134.750000	0	132	234	173	0
Gfra3	134.750000	0	0	0	539	0
Cep55	134.750000	0	539	0	0	0
Ccna2	134.750000	0	539	0	0	0
B3galt1	134.750000	0	539	0	0	0
1700012A03Rik	134.750000	0	539	0	0	0
Smc6	134.500000	0	179	0	359	0
Gen1	134.500000	0	179	0	359	0
Chchd3	134.500000	0	375	0	163	0
Zranb3	134.250000	0	537	0	0	0
R3hdm1	134.250000	0	537	0	0	0
Abca12	134.250000	0	391	146	0	0
Lingo2	134.000000	0	281	0	255	0
Fbxo7	134.000000	0	536	0	0	0
Epx	133.750000	0	244	0	291	0
4930402H24Rik	133.750000	0	288	0	247	0
Xlr3c	133.500000	0	0	0	534	0
Pkn2	133.500000	0	534	0	0	0
Znrf3	133.250000	0	324	0	209	0
Twf1	133.250000	0	416	0	117	0
Igf2bp3	133.000000	0	91	0	441	0
Hmgcs1	133.000000	0	391	0	141	0
Rab3ip	132.750000	0	291	0	240	0
Mad2l1	132.750000	0	531	0	0	0
Tmem38b	132.500000	0	530	0	0	0
Tada2a	132.500000	0	530	0	0	0
Olfr710	132.500000	0	530	0	0	0
Ide	132.500000	0	384	0	146	0
Havcr1	132.500000	0	530	0	0	0
Gm6557	132.500000	0	530	0	0	0
Fam71d	132.500000	0	530	0	0	0
Emc4	132.500000	0	530	0	0	0
Elk3	132.500000	0	530	0	0	0
Csmd3	132.500000	0	530	0	0	0
Cnpy1	132.500000	0	530	0	0	0
Ugt2b34	132.250000	0	375	154	0	0
Marcks	132.250000	0	247	130	152	0
Hoxd13	132.250000	0	529	0	0	0
Hoxd12	132.250000	0	529	0	0	0
Ptx3	132.000000	0	0	0	528	0
Pmepa1	131.750000	0	126	0	401	0
Efna5	131.250000	0	150	0	375	0
Arhgap24	131.250000	0	306	0	219	0
Rnls	131.000000	0	524	0	0	0
Gm13212	131.000000	0	524	0	0	0
Edn3	131.000000	0	351	0	173	0
Arg1	131.000000	0	0	0	524	0
Zeb2	130.750000	0	309	0	214	0
Svopl	130.750000	0	281	0	242	0
Mthfsl	130.750000	0	272	0	251	0
Maco1	130.750000	0	0	0	523	0
Hnrnpc	130.750000	0	384	0	139	0
Ccni	130.500000	0	347	0	175	0
Atp5g2	130.500000	0	92	0	430	0
2010109A12Rik	130.500000	0	347	0	175	0
Zfp987	130.250000	0	521	0	0	0
Zfp746	130.250000	0	521	0	0	0
Synj1	130.250000	0	521	0	0	0
Pigg	130.250000	0	521	0	0	0
Olfr512	130.250000	0	521	0	0	0
H2-M2	130.250000	0	521	0	0	0
Fam53b	130.250000	0	0	0	521	0
Lhfpl2	130.000000	0	316	0	204	0
Nin	129.500000	0	518	0	0	0
Bnc2	129.500000	0	258	0	260	0
Eif2b3	129.250000	0	517	0	0	0
Commd6	129.250000	0	0	0	517	0
Epb41l4b	128.750000	0	285	108	122	0
Cox16	128.750000	0	375	0	140	0
Ap2m1	128.750000	0	383	0	132	0
Prl3d3	128.500000	98	416	0	0	0
Pcolce2	128.500000	0	0	0	514	0
Sult2a2	128.250000	0	383	130	0	0
Birc2	128.250000	0	513	0	0	0
Snx12	128.000000	0	512	0	0	0
Slc37a2	128.000000	0	188	0	324	0
Pmf1	128.000000	0	512	0	0	0
Npm2	128.000000	0	512	0	0	0
Ncoa4	128.000000	0	195	0	317	0
Myf5	128.000000	0	512	0	0	0
Hsdl2	128.000000	0	512	0	0	0
Fgf12	128.000000	0	512	0	0	0
Cops8	128.000000	0	512	0	0	0
Cd82	128.000000	0	512	0	0	0
Nckap5	127.500000	0	264	0	246	0
Gm10354	127.500000	111	256	143	0	0
Zfp189	127.250000	0	509	0	0	0
Ttc39b	127.250000	0	351	0	158	0
Sike1	127.250000	0	0	0	509	0
Mrpl50	127.250000	0	509	0	0	0
Igip	127.250000	0	509	0	0	0
Col17a1	127.250000	0	408	0	101	0
Tcim	127.000000	0	0	0	508	0
Smchd1	127.000000	0	387	0	121	0
Slc16a10	127.000000	0	0	0	508	0
H4c3	127.000000	0	366	0	142	0
H1f6	127.000000	0	366	0	142	0
Usp25	126.750000	0	0	0	507	0
Supt7l	126.750000	0	273	0	234	0
Slc4a1ap	126.750000	0	273	0	234	0
Slc26a7	126.750000	0	246	0	261	0
Erdr1	126.750000	132	109	160	106	0
Rdm1	126.500000	0	220	130	156	0
Pcm1	126.500000	0	128	0	378	0
Nrxn1	126.500000	0	156	0	350	0
Nktr	126.500000	0	506	0	0	0
Lcn6	126.500000	0	175	0	331	0
Gpr39	126.250000	0	351	0	154	0
4921504E06Rik	126.250000	0	266	0	239	0
Pkdcc	126.000000	0	504	0	0	0
Zfp946	125.750000	0	503	0	0	0
Paqr9	125.750000	0	503	0	0	0
Olfr514	125.750000	0	503	0	0	0
Olfr1249	125.750000	0	503	0	0	0
Mtch1	125.750000	0	258	0	245	0
Man2c1	125.750000	0	503	0	0	0
Kdm3a	125.750000	0	144	154	205	0
Kazn	125.750000	0	0	0	503	0
Ilrun	125.750000	0	503	0	0	0
Emcn	125.750000	0	503	0	0	0
Ccdc25	125.750000	0	503	0	0	0
Slc25a28	125.500000	0	343	0	159	0
Nipsnap3a	125.500000	0	502	0	0	0
Irs2	125.500000	0	319	0	183	0
Cpsf6	125.500000	0	387	0	115	0
Angel2	125.500000	0	502	0	0	0
Acbd6	125.500000	0	502	0	0	0
Rubcn	125.000000	0	401	0	99	0
Hoxd11	125.000000	0	389	0	111	0
Fyttd1	125.000000	0	401	0	99	0
Dcun1d5	125.000000	0	244	0	256	0
Rnf122	124.750000	0	0	0	499	0
Huwe1	124.750000	0	415	0	84	0
Ccdc30	124.750000	0	367	0	132	0
Vezt	124.500000	0	398	100	0	0
Fgd6	124.500000	0	398	100	0	0
Fam110c	124.500000	0	367	0	131	0
Wdr6	124.250000	0	0	0	497	0
Cited1	124.000000	0	0	0	496	0
Rbm14	123.750000	0	367	0	128	0
Gm4861	123.750000	0	296	0	199	0
Gm21992	123.750000	0	367	0	128	0
Epb41l2	123.750000	0	308	0	187	0
Tspan18	123.500000	0	494	0	0	0
Tmem260	123.500000	0	494	0	0	0
Tmem208	123.500000	0	494	0	0	0
Stim2	123.500000	0	215	0	279	0
Snrnp48	123.500000	0	494	0	0	0
Pigt	123.500000	0	494	0	0	0
Olfr898	123.500000	0	494	0	0	0
Olfr341	123.500000	0	494	0	0	0
Lrrc29	123.500000	0	494	0	0	0
Gsdma3	123.500000	0	494	0	0	0
Fam241b	123.500000	0	494	0	0	0
Cyp46a1	123.500000	0	494	0	0	0
Amtn	123.500000	0	494	0	0	0
Abcb4	123.500000	0	494	0	0	0
A3galt2	123.500000	0	494	0	0	0
Sis	123.250000	0	493	0	0	0
