Target_genes	Hoxa13|Average	SRX4618294|Embryonic_limb	SRX4618296|Embryonic_limb	SRX4618301|Embryonic_limb	SRX1757411|Forelimb	STRING
Fkbp15	361.500000	0	1214	0	232	0
Slc14a1	360.500000	0	339	100	1003	0
Ndufs4	360.250000	109	848	93	391	0
Hoxb4	360.000000	0	566	0	874	0
Hoxb3	360.000000	0	566	0	874	0
Med12l	359.750000	0	1039	180	220	0
Kat6b	358.500000	0	973	0	461	0
Irx6	357.750000	0	1431	0	0	0
Wif1	357.500000	0	753	0	677	0
Gja3	357.000000	0	432	0	996	0
Engase	357.000000	0	590	0	838	0
Akap11	357.000000	0	524	0	904	0
Pkp1	355.750000	0	216	0	1207	0
Pth1r	354.500000	0	0	0	1418	0
Smarca2	353.750000	0	493	154	768	0
Sesn1	353.500000	0	689	0	725	0
Phlpp1	353.000000	0	1241	171	0	0
Fam240b	351.750000	0	514	0	893	0
Pnrc1	351.500000	0	695	0	711	0
Foxc2	351.250000	0	1244	0	161	0
Syncrip	349.000000	0	1120	276	0	0
Smad4	348.250000	0	1008	0	385	0
Ppp1r3b	344.250000	0	1171	206	0	0
Pde3a	343.250000	0	383	100	890	0
Nmu	342.000000	0	1135	233	0	0
Golt1b	341.500000	0	442	0	924	0
Mgmt	341.250000	0	1269	0	96	0
Atp1b3	340.750000	0	537	0	826	0
Abca8b	339.750000	0	854	0	505	0
Rnf4	339.500000	0	1067	130	161	0
Slc35f5	339.000000	0	1189	0	167	0
Eef1a1	338.000000	0	1068	180	104	0
Mmrn1	336.750000	117	1157	73	0	0
Speer4e	336.000000	251	430	663	0	0
Krt2	335.750000	0	1343	0	0	0
Rab5b	335.000000	0	296	262	782	0
Pipox	335.000000	0	1088	252	0	0
Dtna	334.750000	0	1201	138	0	0
Eif3a	333.750000	0	967	79	289	0
Apol7b	333.000000	0	883	0	449	0
Dpysl3	332.750000	0	313	0	1018	0
Hoxb2	331.500000	92	1234	0	0	0
