Target_genes	Mxi1|Average	SRX140388|CH12	SRX140391|MEL	SRX15939545|NIH/3T3	SRX15939546|NIH/3T3	STRING
Eif1ad	1711.750000	1430	1573	1864	1980	0
Banf1	1711.750000	1430	1573	1864	1980	0
Ino80	1711.250000	1374	1322	1979	2170	0
Cd320	1710.250000	1767	1580	1587	1907	0
Aatf	1706.500000	1264	1321	2162	2079	0
Nme1	1706.250000	1413	1433	1796	2183	0
Ipo4	1702.250000	1743	1843	1834	1389	0
Pelp1	1697.250000	1475	1433	1704	2177	0
Tfb2m	1697.000000	1268	1395	2120	2005	0
Cnst	1697.000000	1268	1395	2120	2005	0
Zbtb49	1696.000000	1215	1433	1885	2251	0
Lyar	1696.000000	1215	1433	1885	2251	0
Zfp593	1695.250000	1148	2059	1648	1926	0
Gm30191	1695.250000	1148	2059	1648	1926	0
Eif2b3	1692.750000	1176	1333	2219	2043	0
Cpsf1	1690.750000	1603	1720	1710	1730	0
Pfkl	1690.250000	1604	1378	1837	1942	0
Pus7l	1687.500000	1033	1255	2254	2208	0
Irak4	1687.500000	1033	1255	2254	2208	0
Urb2	1682.250000	1475	1502	2134	1618	0
Taf5l	1682.250000	1475	1502	2134	1618	0
Polr1b	1681.250000	1402	1635	1665	2023	0
Trmt6	1669.750000	1677	1833	1752	1417	0
Mcm8	1669.750000	1677	1833	1752	1417	0
Ubr5	1662.000000	1425	1339	1975	1909	0
Scrt1	1661.000000	1538	1734	1735	1637	0
Ptdss2	1657.000000	1858	1793	1572	1405	0
Ubfd1	1653.500000	1295	1390	1994	1935	0
Ears2	1653.500000	1295	1390	1994	1935	0
Pusl1	1648.250000	1463	1309	1961	1860	0
Acap3	1648.250000	1463	1309	1961	1860	0
Uso1	1647.750000	1449	1516	1809	1817	0
G3bp2	1647.750000	1449	1516	1809	1817	0
Mdn1	1645.000000	1384	1409	1823	1964	0
Pigw	1639.250000	1551	968	2047	1991	0
Myo19	1639.250000	1551	968	2047	1991	0
Lig3	1637.750000	1643	1616	1640	1652	0
Nop2	1634.000000	1543	1373	1779	1841	0
Eef1akmt4-ece2	1632.500000	1445	1599	1702	1784	0
Eef1akmt4	1632.500000	1445	1599	1702	1784	0
Alg3	1632.500000	1445	1599	1702	1784	0
Dhrs13	1630.500000	1541	1676	1468	1837	0
Timm9	1627.750000	1494	1431	1754	1832	0
2700049A03Rik	1627.750000	1494	1431	1754	1832	0
Akap1	1626.250000	1226	1220	2094	1965	0
Chchd6	1626.000000	1393	1541	1740	1830	0
Pdcd11	1618.000000	1173	1399	1933	1967	0
Atp5md	1618.000000	1173	1399	1933	1967	0
Rnf166	1614.250000	1616	1501	1764	1576	0
Ctu2	1614.250000	1616	1501	1764	1576	0
Srd5a1	1607.500000	1213	1217	2039	1961	0
Nsun2	1607.500000	1213	1217	2039	1961	0
Prdm4	1606.750000	1640	1771	1579	1437	0
Hat1	1603.000000	1244	1788	1807	1573	0
Rnmt	1597.750000	1183	1581	1795	1832	0
Fam210a	1597.750000	1183	1581	1795	1832	0
Gcsh	1597.250000	1014	1145	2119	2111	0
Cluh	1596.500000	1577	1444	1727	1638	0
Prpf19	1594.750000	1369	1156	2010	1844	0
Espl1	1594.000000	1313	1578	1807	1678	0
Pemt	1590.000000	1395	1447	1758	1760	0
Coa7	1590.000000	1342	1268	1880	1870	0
Akr1b3	1585.250000	1319	1746	1716	1560	0
Mcfd2	1582.500000	1046	1354	1923	2007	0
Vstm2l	1578.250000	1669	1907	1493	1244	0
Fbl	1576.000000	1213	1299	2071	1721	0
Cenpw	1574.000000	1369	989	2175	1763	0
Rint1	1573.500000	1243	1100	2098	1853	0
Pus7	1573.500000	1243	1100	2098	1853	0
Med20	1573.250000	1426	1349	1889	1629	0
Gm20517	1573.250000	1426	1349	1889	1629	0
Bysl	1573.250000	1426	1349	1889	1629	0
Noc4l	1573.000000	1666	1580	1568	1478	0
Ddx51	1573.000000	1666	1580	1568	1478	0
Wee1	1572.250000	1012	907	2286	2084	0
Pprc1	1572.250000	877	1140	2159	2113	0
Gtf2h3	1571.250000	1269	1678	1748	1590	0
Eif2b1	1571.250000	1269	1678	1748	1590	0
Gtf3c4	1571.000000	1256	1251	1857	1920	0
Ddx31	1571.000000	1256	1251	1857	1920	0
Kti12	1568.250000	1062	1436	1862	1913	0
Knop1	1566.250000	1396	1416	1942	1511	0
Iqck	1566.250000	1396	1416	1942	1511	0
Yars	1565.250000	1172	1588	1673	1828	0
S100pbp	1565.250000	1172	1588	1673	1828	0
Mcm3	1565.250000	1392	1213	1885	1771	0
Prmt3	1561.250000	1065	1097	2057	2026	0
Pcx	1561.250000	1321	1673	1548	1703	0
Ttc24	1559.750000	849	1403	2195	1792	0
Iqgap3	1559.750000	849	1403	2195	1792	0
Tigd5	1556.750000	934	1403	1962	1928	0
Pbrm1	1556.750000	1367	1297	1913	1650	0
Eef1d	1556.750000	934	1403	1962	1928	0
Wdr74	1555.000000	1378	1588	1705	1549	0
1700092M07Rik	1555.000000	1378	1588	1705	1549	0
Ddx18	1550.000000	912	1334	1973	1981	0
Mrpl38	1547.500000	1482	1787	1498	1423	0
Lztfl1	1542.250000	1690	1586	1238	1655	0
Qtrt2	1541.500000	1503	1616	1631	1416	0
Ccdc191	1541.500000	1503	1616	1631	1416	0
Npm1	1539.000000	1237	1158	1670	2091	0
Tspan4	1538.500000	1662	1450	1344	1698	0
Polr2l	1538.500000	1662	1450	1344	1698	0
Lss	1537.000000	914	1251	1819	2164	0
Rpp38	1534.250000	1171	1203	1890	1873	0
Acbd7	1534.250000	1171	1203	1890	1873	0
Polr3h	1534.000000	1068	1497	1882	1689	0
Gfm1	1531.250000	1030	1550	1780	1765	0
Fkbp11	1531.250000	1090	1661	1575	1799	0
Slc6a9	1529.000000	1376	1053	1845	1842	0
Mnd1	1529.000000	1177	965	1890	2084	0
Erich4	1529.000000	1453	1728	1386	1549	0
Dmac2	1529.000000	1453	1728	1386	1549	0
Cmss1	1524.750000	1490	1517	1438	1654	0
Ube2g1	1523.250000	1415	1458	1447	1773	0
Snd1	1521.500000	1186	1238	1880	1782	0
Meig1	1516.500000	1600	1761	1264	1441	0
Dclre1c	1516.500000	1600	1761	1264	1441	0
Adpgk	1514.000000	1211	1160	1888	1797	0
Timm10	1512.500000	1637	1708	1426	1279	0
Smtnl1	1512.500000	1637	1708	1426	1279	0
Gsto1	1509.250000	1029	1562	1627	1819	0
Cacng2	1508.500000	2104	2318	1205	407	0
Pole3	1507.250000	1074	922	2102	1931	0
