Target_genes	Prdm5|Average	SRX731121|MC3T3	SRX731122|MC3T3	SRX731123|MC3T3	STRING
4933424G06Rik	71.333333	0	214	0	0
1110032A03Rik	71.333333	0	214	0	0
Swi5	71.000000	0	213	0	0
Prss23	71.000000	0	213	0	0
Lrrc32	71.000000	0	213	0	0
Golga2	71.000000	0	213	0	0
Adarb1	71.000000	0	213	0	0
Tnip2	70.666667	0	212	0	0
Slc25a29	70.666667	0	212	0	0
Sema4c	70.333333	0	211	0	0
Rpl30	70.333333	0	211	0	0
Kif13b	70.333333	0	211	0	0
Vcl	70.000000	0	210	0	0
Ftl1	70.000000	0	210	0	0
Stk11	69.666667	0	209	0	0
Fibp	69.666667	0	209	0	0
Elp6	69.666667	0	209	0	0
Ccdc85b	69.666667	0	209	0	0
Il18r1	69.333333	0	208	0	0
Pkd1	69.000000	0	207	0	0
Neurl2	69.000000	0	207	0	0
Myl9	69.000000	82	125	0	0
Ctsa	69.000000	0	207	0	0
Actn1	69.000000	0	207	0	0
Pcgf2	68.666667	0	206	0	0
Zfp609	68.333333	0	205	0	0
Top2b	68.333333	0	205	0	0
Synpo	68.333333	0	205	0	0
Scfd1	68.333333	0	205	0	0
Pakap	68.333333	0	205	0	0
Larp1b	68.333333	0	205	0	0
Ifna13	68.333333	0	205	0	0
Fut11	68.333333	0	205	0	0
Clp1	68.000000	0	204	0	0
Map4k1	67.666667	0	203	0	0
Ung	67.333333	0	202	0	0
Alkbh2	67.333333	0	202	0	0
Nup133	67.000000	201	0	0	0
Tent5c	66.666667	0	0	200	0
Pfn1	66.666667	0	200	0	0
Mageb3	66.666667	0	200	0	0
Eno3	66.666667	0	200	0	0
Ctdspl2	66.666667	0	200	0	0
Jrk	66.333333	0	199	0	0
Cltc	66.333333	0	199	0	0
Washc2	66.000000	0	198	0	0
Mrpl34	66.000000	0	198	0	0
Gpat4	66.000000	0	198	0	0
Dda1	66.000000	0	198	0	0
Abhd8	66.000000	0	198	0	0
Zbtb38	65.666667	0	197	0	0
Sfswap	65.333333	0	196	0	0
Hoxb8	65.333333	0	196	0	0
Zmiz1	65.000000	0	195	0	0
Inpp5a	65.000000	0	195	0	0
Actg1	65.000000	0	195	0	0
Zfp68	64.333333	0	193	0	0
Zfp521	64.333333	0	193	0	0
Wsb2	64.333333	0	193	0	0
Rpl39	64.333333	0	193	0	0
Rcor1	64.333333	0	193	0	0
Nasp	64.333333	0	193	0	0
Msantd4	64.333333	0	193	0	0
Dchs2	64.333333	0	193	0	0
A430033K04Rik	64.333333	0	193	0	0
Rnf157	63.333333	0	190	0	0
