Target_genes	Klf15|Average	SRX10012505|Liver	SRX10012506|Liver	STRING
Plk3	1027.000000	818	1236	0
Esrp2	1025.500000	837	1214	0
Hey2	1016.500000	906	1127	0
Dsc2	1007.000000	847	1167	0
Mx2	1006.500000	776	1237	0
Smim40	1001.500000	798	1205	0
Serpina6	1001.500000	926	1077	0
Daxx	1001.500000	798	1205	0
Tex45	1001.000000	740	1262	0
Pex11g	1001.000000	740	1262	0
Tns2	997.500000	860	1135	0
Etv5	995.000000	782	1208	0
Tmem205	992.500000	789	1196	0
Ccdc159	992.500000	789	1196	0
Asb1	989.000000	767	1211	0
Arntl	989.000000	866	1112	0
Nabp1	986.500000	830	1143	0
Aldh1l1	985.500000	711	1260	0
Zfp446	976.000000	792	1160	0
Mtmr4	966.500000	937	996	0
Tet3	964.500000	761	1168	0
Fnip1	964.000000	727	1201	0
Ipo5	963.000000	784	1142	0
Epb41l5	962.000000	783	1141	0
Arl4a	960.000000	749	1171	0
Tmem134	959.000000	773	1145	0
Nomo1	959.000000	687	1231	0
Aip	959.000000	773	1145	0
Abcc6	959.000000	687	1231	0
Mvb12a	957.500000	745	1170	0
Ivd	957.500000	794	1121	0
Pold4	954.000000	654	1254	0
Osbpl5	953.000000	789	1117	0
Ccnd3	950.000000	789	1111	0
Rtca	946.000000	731	1161	0
Dbt	946.000000	731	1161	0
Cbx2	940.500000	767	1114	0
Mpv17l2	937.500000	809	1066	0
Mpc1	934.000000	692	1176	0
Acaa2	928.000000	685	1171	0
9430038I01Rik	925.500000	755	1096	0
Pccb	921.000000	675	1167	0
Smad6	920.500000	621	1220	0
Cyp4a32	919.500000	737	1102	0
Pced1b	919.000000	672	1166	0
Amigo2	919.000000	672	1166	0
Snx11	903.500000	710	1097	0
Bhmt	902.500000	719	1086	0
Cyp2e1	902.000000	711	1093	0
Zfp771	893.500000	739	1048	0
Ankrd37	893.000000	718	1068	0
Miip	892.000000	779	1005	0
Fv1	892.000000	779	1005	0
Mllt10	891.500000	940	843	0
Aldob	890.500000	732	1049	0
Ehhadh	890.000000	667	1113	0
Cnn3	890.000000	762	1018	0
Ptch1	888.500000	756	1021	0
Camta1	888.000000	694	1082	0
Rangrf	879.000000	606	1152	0
Asap2	876.500000	542	1211	0
Rsrp1	875.000000	701	1049	0
Cyp4f15	873.500000	681	1066	0
Fggy	872.500000	669	1076	0
Ftl1	871.500000	685	1058	0
Actl6b	868.500000	599	1138	0
Tmem120a	867.500000	653	1082	0
Dcaf11	867.000000	612	1122	0
Gcdh	866.500000	719	1014	0
Men1	866.000000	620	1112	0
Hp1bp3	862.500000	651	1074	0
Polr3g	860.500000	838	883	0
Mblac2	860.500000	838	883	0
Msmo1	855.000000	596	1114	0
H1f0	855.000000	764	946	0
Gnpnat1	855.000000	648	1062	0
Gcat	855.000000	764	946	0
Rnd1	853.500000	702	1005	0
Ap3m1	851.500000	731	972	0
Adk	851.500000	731	972	0
Atxn7l3	848.500000	644	1053	0
Rcl1	845.000000	761	929	0
Mbd4	840.500000	657	1024	0
Ift122	840.500000	657	1024	0
Hibch	838.500000	692	985	0
Slc1a4	837.000000	774	900	0
Txnl4b	834.000000	727	941	0
Dhx38	834.000000	727	941	0
Uaca	831.500000	631	1032	0
F11r	831.500000	689	974	0
Heatr5a	828.500000	571	1086	0
Tssk1	827.500000	590	1065	0
Dgcr2	827.500000	590	1065	0
Nt5dc3	826.000000	534	1118	0
Tubb6	817.500000	687	948	0
Kansl1l	815.000000	718	912	0
Zfp821	813.500000	635	992	0
Ggt6	812.000000	736	888	0
Cfhr1	812.000000	577	1047	0
Ppp2r5e	808.500000	624	993	0
Shroom1	806.000000	744	868	0
Setd3	805.500000	721	890	0
Ddt	805.500000	528	1083	0
Ccnk	805.500000	721	890	0
1810013L24Rik	805.500000	635	976	0
Fam210b	797.000000	709	885	0
Dpysl5	793.500000	704	883	0
Srm	793.000000	616	970	0
Ikzf5	792.500000	544	1041	0
Col18a1	792.500000	697	888	0
Acadsb	792.500000	544	1041	0
Them7	791.000000	551	1031	0
Ube4a	789.000000	609	969	0
Tmem183a	783.000000	615	951	0
Mccc2	782.000000	805	759	0
Inf2	781.500000	657	906	0
Skiv2l	778.500000	539	1018	0
Nelfe	778.500000	539	1018	0
Gnat1	778.500000	693	864	0
Mtmr14	777.500000	684	871	0
Farp2	777.500000	582	973	0
Aadat	774.000000	581	967	0
Cyp4a10	771.500000	596	947	0
Slc25a34	769.500000	621	918	0
Socs5	765.500000	572	959	0
Cyp20a1	764.500000	572	957	0
Llgl2	762.500000	673	852	0
Zkscan5	761.500000	508	1015	0
Zkscan14	761.500000	508	1015	0
AW549877	759.000000	667	851	0
Ttc16	758.000000	441	1075	0
Ptrh1	758.000000	441	1075	0
Fam20b	755.000000	578	932	0
Pwwp3a	751.500000	654	849	0
Letm1	751.500000	648	855	0
Il11ra1	751.500000	559	944	0
Galt	751.500000	559	944	0
Stk40	750.500000	614	887	0
Pias4	746.000000	703	789	0
Lsm1	746.000000	567	925	0
Bag4	746.000000	567	925	0
Manea	744.500000	670	819	0
Luc7l2	744.500000	571	918	0
Gmnn	743.500000	634	853	0
Higd1a	743.000000	566	920	0
Man2a1	739.000000	644	834	0
Itpr2	738.500000	524	953	0
Mettl17	736.000000	577	895	0
Ift140	736.000000	584	888	0
Crebl2	736.000000	622	850	0
Cramp1l	736.000000	584	888	0
Gpbp1	732.500000	609	856	0
Sox7	727.500000	694	761	0
Qprt	727.000000	583	871	0
Pcyt2	725.500000	588	863	0
