Target_genes	Srebf2|Average	SRX7671896|NLPCs	SRX7671897|NLPCs	SRX7671884|Oligodendrocytes	SRX7671885|Oligodendrocytes	STRING
Leng8	198.500000	247	207	340	0	0
Cops9	198.500000	540	254	0	0	0
Mtf1	194.750000	578	201	0	0	0
Mcrs1	193.750000	502	273	0	0	0
Csnk2a1	193.250000	562	211	0	0	0
Ubc	192.500000	515	130	0	125	0
Bzw2	192.500000	678	92	0	0	0
Ankmy2	192.500000	678	92	0	0	0
Pold1	192.250000	547	222	0	0	0
Nr1h2	192.250000	547	222	0	0	0
Trmt6	192.000000	623	145	0	0	0
Mcm8	192.000000	623	145	0	0	0
Cox5b	192.000000	591	177	0	0	0
Mettl6	191.250000	487	278	0	0	0
Imp4	191.250000	511	254	0	0	0
H4c3	191.250000	449	316	0	0	0
H1f6	191.250000	449	316	0	0	0
Eaf1	191.250000	487	278	0	0	0
Ccdc115	191.250000	511	254	0	0	0
Mthfr	191.000000	431	204	129	0	0
Ebf3	191.000000	523	241	0	0	0
Clcn6	191.000000	431	204	129	0	0
Eif1ad	190.500000	570	192	0	0	0
Banf1	190.500000	570	192	0	0	0
Mcts2	189.000000	577	179	0	0	0
Atg16l1	186.500000	484	262	0	0	0
Ggt7	185.500000	228	167	228	119	0
Acss2	185.500000	228	167	228	119	0
Pomp	184.500000	551	187	0	0	0
Mrps31	183.250000	517	216	0	0	0
Pex12	182.750000	547	184	0	0	0
Ap2b1	182.750000	547	184	0	0	0
Mocs3	182.250000	575	154	0	0	0
Dpm1	182.250000	575	154	0	0	0
Ebna1bp2	181.000000	488	236	0	0	0
Cfap57	181.000000	488	236	0	0	0
Cd2bp2	178.750000	551	164	0	0	0
Tomm22	176.750000	491	216	0	0	0
Srp54a	176.750000	473	234	0	0	0
Pcyt2	175.500000	232	143	327	0	0
Snu13	175.250000	540	161	0	0	0
Ubr7	173.250000	513	180	0	0	0
Gon7	173.250000	513	180	0	0	0
Gm20604	173.250000	513	180	0	0	0
Nifk	172.500000	549	141	0	0	0
Supt4a	172.000000	493	195	0	0	0
Tnrc6a	171.000000	519	165	0	0	0
Tfip11	171.000000	579	105	0	0	0
Fubp3	170.750000	478	205	0	0	0
Gbe1	170.500000	499	183	0	0	0
Exoc1	170.500000	506	176	0	0	0
Zfp384	170.250000	507	174	0	0	0
Zfp598	169.500000	483	195	0	0	0
