Target_genes	Irf7|Average	SRX742695|Myeloid_Cells	SRX742696|Myeloid_Cells	SRX742697|Myeloid_Cells	SRX742698|Myeloid_Cells	STRING
Tmod3	28.250000	0	0	113	0	0
Timm17a	28.250000	0	0	0	113	0
Psmd1	28.250000	0	0	113	0	0
Oas1a	28.250000	0	0	0	113	0
Mvb12a	28.250000	0	0	0	113	0
Maip1	28.250000	0	0	113	0	0
Copg1	28.250000	0	0	113	0	0
Bst2	28.250000	0	0	0	113	0
Tm9sf4	28.000000	0	112	0	0	0
Sfswap	28.000000	0	112	0	0	0
Polg2	28.000000	0	0	112	0	0
Ogfr	28.000000	0	0	112	0	0
Cybc1	28.000000	0	0	112	0	0
Clcn4	28.000000	0	0	112	0	0
Zfp764	27.750000	0	0	111	0	0
Timm9	27.750000	0	0	111	0	0
Snx17	27.750000	0	0	111	0	0
Slco3a1	27.750000	0	0	111	0	0
Rpl19	27.750000	0	111	0	0	0
Rad21	27.750000	0	0	111	0	0
Pdss2	27.750000	0	0	111	0	0
Med7	27.750000	0	0	111	0	0
Mapk3	27.750000	0	0	111	0	0
Gpr84	27.750000	0	111	0	0	0
Eif2b4	27.750000	0	0	111	0	0
Eef1g	27.750000	0	0	111	0	0
Cox17	27.750000	0	0	111	0	0
Cacnb1	27.750000	0	111	0	0	0
2700049A03Rik	27.750000	0	0	111	0	0
Srsf1	27.500000	0	0	110	0	0
Psma1	27.500000	0	0	110	0	0
Nuak1	27.500000	0	0	110	0	0
Nol10	27.500000	0	0	110	0	0
Lcp2	27.500000	0	0	110	0	0
Heatr9	27.500000	0	0	110	0	0
Tank	27.250000	0	0	109	0	0
Psmc4	27.250000	0	0	109	0	0
Psma3	27.250000	0	0	0	109	0
Kif5b	27.250000	0	0	109	0	0
Arih2	27.250000	0	109	0	0	0
1810013L24Rik	27.250000	0	109	0	0	0
Zfp445	27.000000	0	0	108	0	0
Ube2i	27.000000	0	0	108	0	0
Son	27.000000	0	0	0	108	0
Psmd14	27.000000	0	0	108	0	0
Parp14	27.000000	0	0	108	0	0
Metap2	27.000000	0	0	108	0	0
Gm36712	27.000000	0	0	0	108	0
Gart	27.000000	0	0	0	108	0
Eif3c	27.000000	0	0	108	0	0
Ap1g1	27.000000	0	0	108	0	0
Znfx1	26.750000	0	0	107	0	0
Vps72	26.750000	0	0	107	0	0
Vcp	26.750000	0	0	0	107	0
Trafd1	26.750000	0	0	107	0	0
Tbc1d10b	26.750000	0	0	107	0	0
Tax1bp3	26.750000	0	0	107	0	0
Rprd2	26.750000	0	0	107	0	0
Pip5k1a	26.750000	0	0	107	0	0
Pdcd11	26.750000	0	0	107	0	0
Pagr1a	26.750000	0	107	0	0	0
Mylpf	26.750000	0	0	107	0	0
Mvp	26.750000	0	107	0	0	0
Mocs1	26.750000	0	0	107	0	0
Ints3	26.750000	0	0	0	107	0
Fzr1	26.750000	0	0	0	107	0
Emc6	26.750000	0	0	107	0	0
Commd7	26.750000	0	0	107	0	0
Casp7	26.750000	0	0	107	0	0
Atp5md	26.750000	0	0	107	0	0
Mrps11	26.500000	0	0	106	0	0
Mrpl46	26.500000	0	0	106	0	0
Inpp5e	26.500000	0	0	0	106	0
Washc5	26.250000	0	105	0	0	0
Tti2	26.250000	0	0	105	0	0
Tnip2	26.250000	0	0	105	0	0
Sugct	26.250000	0	0	105	0	0
Smndc1	26.250000	0	0	105	0	0
Slc4a2	26.250000	0	0	105	0	0
Pofut2	26.250000	0	0	105	0	0
Nsmce2	26.250000	0	105	0	0	0
Mplkip	26.250000	0	0	105	0	0
Ly6g6f	26.250000	0	105	0	0	0
Dohh	26.250000	0	0	105	0	0
Dcp2	26.250000	0	0	0	105	0
Crkl	26.250000	0	0	105	0	0
Cdk5	26.250000	0	0	105	0	0
Abhd16a	26.250000	0	105	0	0	0
Zfp518a	26.000000	0	0	104	0	0
Zc3hav1	26.000000	0	0	104	0	0
Trappc6b	26.000000	0	0	104	0	0
Septin7	26.000000	0	0	104	0	0
Selenok	26.000000	0	0	104	0	0
Prorp	26.000000	0	0	104	0	0
Myl12a	26.000000	0	0	104	0	0
Tln1	25.750000	0	0	103	0	0
Rab5b	25.750000	0	103	0	0	0
Pcf11	25.750000	0	0	103	0	0
Meak7	25.750000	0	0	103	0	0
H2-Q8	25.750000	0	0	0	103	0
H2-Q6	25.750000	0	0	0	103	0
Creb3	25.750000	0	0	103	0	0
C1d	25.750000	0	0	103	0	0
2410002F23Rik	25.750000	0	0	103	0	0
