Target_genes	Prdm15|Average	SRX5299924|E6.5_embryos	SRX1301547|ES_cells	SRX2754629|ES_cells	SRX2754630|ES_cells	SRX2754632|ES_cells	SRX2754633|ES_cells	SRX2754635|ES_cells	SRX2754636|ES_cells	SRX5379469|ES_cells	STRING
Pink1	116.555556	0	0	217	248	108	86	0	141	249	0
Nadk	116.555556	0	0	369	374	123	89	0	0	94	0
Lsm1	116.555556	0	0	246	271	115	264	87	66	0	0
H2-Q1	116.555556	0	0	441	312	140	156	0	0	0	0
Ctbp2	116.555556	0	0	156	260	168	150	0	129	186	0
Camta2	116.555556	0	108	340	202	150	120	129	0	0	0
Bag4	116.555556	0	0	246	271	115	264	87	66	0	0
Apeh	116.555556	0	0	393	352	129	0	0	0	175	0
Tnfsf9	116.444444	0	0	405	403	164	76	0	0	0	0
Sugp2	116.444444	0	0	179	291	182	163	108	125	0	0
Smarce1	116.444444	0	0	277	274	172	156	0	0	169	0
Rab43	116.444444	0	0	295	336	133	137	0	0	147	0
Armc6	116.444444	0	0	179	291	182	163	108	125	0	0
Tpra1	116.333333	0	0	290	370	117	132	0	0	138	0
Rhobtb1	116.333333	0	0	317	319	141	95	0	0	175	0
Mcm2	116.333333	0	0	290	370	117	132	0	0	138	0
A930033H14Rik	116.333333	0	0	317	319	141	95	0	0	175	0
Knstrn	116.222222	0	0	340	457	107	142	0	0	0	0
Dido1	116.222222	0	0	373	252	157	171	93	0	0	0
Daglb	116.222222	0	0	272	224	187	270	93	0	0	0
Zfhx2	116.111111	0	173	308	433	131	0	0	0	0	0
Thtpa	116.111111	0	173	308	433	131	0	0	0	0	0
Opa1	116.111111	0	0	225	162	324	234	0	100	0	0
Gls	116.111111	0	118	210	235	119	171	0	0	192	0
Flnb	116.111111	0	0	299	293	83	185	0	0	185	0
Ccdc85c	116.111111	0	513	0	89	0	74	0	0	369	0
Sp110	116.000000	0	0	202	208	326	308	0	0	0	0
Nsfl1c	116.000000	0	0	167	360	193	241	0	0	83	0
Mapre2	116.000000	0	0	418	363	159	104	0	0	0	0
D830031N03Rik	116.000000	0	0	169	213	163	163	102	113	121	0
Crk	116.000000	0	0	201	162	229	131	143	90	88	0
Tmem262	115.888889	0	0	358	245	188	166	0	0	86	0
Niban1	115.888889	0	0	204	250	200	121	93	0	175	0
Gipc1	115.888889	0	0	184	259	249	143	108	0	100	0
Vcp	115.777778	0	0	234	393	203	212	0	0	0	0
Nr2f1	115.777778	0	0	352	290	0	110	0	0	290	0
Nfkb1	115.777778	0	0	255	308	144	212	0	0	123	0
Mcm6	115.777778	0	0	286	187	253	172	0	0	144	0
Laptm5	115.777778	0	278	342	228	0	0	0	0	194	0
H3c3	115.777778	0	0	264	249	280	249	0	0	0	0
H2bc3	115.777778	0	0	264	249	280	249	0	0	0	0
Slc25a30	115.666667	0	0	221	176	171	174	88	92	119	0
Mrpl36	115.666667	0	0	365	394	122	160	0	0	0	0
Meis2	115.666667	0	160	319	456	0	106	0	0	0	0
Fam220a	115.666667	0	0	223	312	158	194	0	0	154	0
Zscan18	115.555556	0	0	313	245	178	212	0	92	0	0
Far2	115.555556	0	275	227	191	199	148	0	0	0	0
Ube2l3	115.444444	0	0	157	232	210	124	85	0	231	0
Rpgrip1l	115.444444	0	0	256	207	125	263	95	93	0	0
Psmd7	115.444444	0	0	236	150	222	214	107	110	0	0
Fto	115.444444	0	0	256	207	125	263	95	93	0	0
Erlin1	115.444444	0	0	289	269	159	234	0	0	88	0
Ate1	115.444444	0	0	284	302	169	122	0	85	77	0
Aldh18a1	115.444444	0	0	257	218	209	192	0	0	163	0
Xkr7	115.333333	0	0	153	154	189	222	104	70	146	0
Vmn2r72	115.333333	0	0	0	0	543	495	0	0	0	0
Mtf2	115.333333	0	0	266	293	206	273	0	0	0	0
Iah1	115.333333	0	0	152	210	233	252	0	86	105	0
Gsap	115.333333	0	0	322	217	198	180	0	121	0	0
Cops3	115.333333	0	0	195	344	228	177	94	0	0	0
Snrpe	115.222222	0	0	228	242	192	267	0	0	108	0
Fut2	115.222222	0	0	428	436	0	0	0	0	173	0
Rab5b	115.111111	0	260	131	133	192	179	80	0	61	0
Nckipsd	115.111111	0	0	342	226	120	146	0	0	202	0
Cltc	115.111111	0	0	221	227	285	241	62	0	0	0
Arhgap17	115.111111	0	0	296	498	145	97	0	0	0	0
Ube2g1	115.000000	0	0	171	397	148	178	0	0	141	0
N6amt1	115.000000	0	0	294	251	167	211	112	0	0	0
Mphosph9	115.000000	0	0	263	414	175	183	0	0	0	0
Ctcf	115.000000	0	0	239	229	139	118	62	68	180	0
Aven	115.000000	0	0	416	316	180	123	0	0	0	0
2810006K23Rik	115.000000	0	0	263	414	175	183	0	0	0	0
Naxe	114.888889	0	0	265	303	151	237	0	0	78	0
Ccdc170	114.888889	0	0	388	289	130	227	0	0	0	0
Zfp800	114.777778	0	0	291	251	144	235	0	0	112	0
Spsb1	114.777778	0	438	246	184	83	82	0	0	0	0
Nxf1	114.777778	0	0	192	142	205	206	105	0	183	0
Nomo1	114.777778	0	128	182	334	151	162	0	0	76	0
Lhpp	114.777778	0	0	332	367	136	198	0	0	0	0
Abcc6	114.777778	0	128	182	334	151	162	0	0	76	0
Wdhd1	114.666667	0	0	314	192	126	189	0	78	133	0
Socs4	114.666667	0	0	314	192	126	189	0	78	133	0
Nanp	114.666667	0	0	107	150	291	239	166	79	0	0
Msh5	114.666667	0	0	344	410	160	118	0	0	0	0
Mageb3	114.666667	0	0	313	325	186	143	0	65	0	0
Dnaaf2	114.666667	0	0	307	181	194	162	0	83	105	0
Ddx19a	114.666667	0	0	220	240	187	183	111	91	0	0
Ctdspl2	114.666667	0	0	313	325	186	143	0	65	0	0
Clic1	114.666667	0	0	344	410	160	118	0	0	0	0
Car7	114.666667	0	0	203	205	184	230	96	114	0	0
Zfp599	114.555556	0	0	256	479	163	133	0	0	0	0
Tnfrsf11a	114.555556	0	0	295	245	182	178	0	0	131	0
Tcte3	114.555556	0	0	200	156	268	263	144	0	0	0
Smpd5	114.555556	0	418	0	68	89	106	0	0	350	0
Prmt7	114.555556	0	0	162	339	213	221	0	96	0	0
Oxnad1	114.555556	0	0	350	371	194	116	0	0	0	0
Dph3	114.555556	0	0	350	371	194	116	0	0	0	0
Chrnb1	114.555556	0	0	362	291	97	99	86	0	96	0
Ap1m1	114.555556	0	0	287	260	128	172	70	114	0	0
Xylb	114.444444	0	0	246	165	252	197	65	0	105	0
Prcd	114.444444	0	0	400	399	0	0	0	0	231	0
Nfyc	114.444444	0	0	262	279	181	184	0	0	124	0
Mfsd1	114.444444	0	0	259	303	156	126	0	0	186	0
Cygb	114.444444	0	0	400	399	0	0	0	0	231	0
Asah2	114.444444	0	0	412	173	318	127	0	0	0	0
Rnf19a	114.333333	0	0	254	322	129	140	79	0	105	0
Rabl3	114.333333	0	0	345	448	79	157	0	0	0	0
Kctd18	114.333333	0	0	304	165	120	232	113	0	95	0
Gtf2e1	114.333333	0	0	345	448	79	157	0	0	0	0
Cd63	114.333333	0	0	358	239	94	132	0	0	206	0
Zfp365	114.222222	0	0	323	280	149	109	61	0	106	0
Tmem59l	114.222222	0	0	360	339	0	0	0	0	329	0
St6galnac4	114.222222	0	0	256	287	141	117	0	0	227	0
P2rx5	114.222222	0	0	239	264	137	221	0	0	167	0
Naa15	114.222222	0	0	404	233	205	186	0	0	0	0
2810459M11Rik	114.222222	0	0	339	296	177	95	0	0	121	0
Vps29	114.111111	0	0	333	220	124	181	101	68	0	0
Snrnp48	114.111111	0	0	206	194	285	178	0	0	164	0
Slc35g3	114.111111	0	0	239	215	310	145	0	0	118	0
Rad9b	114.111111	0	0	333	220	124	181	101	68	0	0
Vps8	114.000000	0	0	235	247	135	216	70	0	123	0
Cpq	114.000000	0	0	307	349	147	223	0	0	0	0
Cbr3	114.000000	0	0	306	343	139	162	0	76	0	0
1190007I07Rik	114.000000	0	0	202	322	205	146	83	68	0	0
Topbp1	113.888889	0	0	157	248	246	204	0	0	170	0
Pomt1	113.888889	0	0	168	160	256	190	131	120	0	0
Zyg11a	113.777778	0	0	289	324	105	184	0	0	122	0
Uhrf1bp1l	113.777778	0	0	283	300	209	139	0	0	93	0
Tmem231	113.777778	0	0	215	223	174	197	149	66	0	0
Slc22a5	113.777778	0	0	253	331	151	154	0	0	135	0
Samhd1	113.777778	0	0	218	159	175	140	101	97	134	0
Plek2	113.777778	0	0	378	310	124	0	0	107	105	0
Nae1	113.777778	0	0	203	205	176	230	96	114	0	0
Gsdme	113.777778	0	0	337	294	252	141	0	0	0	0
Sik2	113.666667	0	0	238	307	187	144	0	0	147	0
Lypla1	113.666667	0	0	172	203	225	218	85	0	120	0
Igdcc3	113.666667	0	0	179	364	171	128	0	0	181	0
Ntpcr	113.555556	0	0	330	363	92	149	0	0	88	0
Ipo13	113.555556	0	0	279	421	230	92	0	0	0	0
Fam187a	113.555556	0	0	235	366	145	90	0	0	186	0
Faim	113.555556	0	0	241	214	173	200	90	0	104	0
Eftud2	113.555556	0	0	235	366	145	90	0	0	186	0
Ccdc103	113.555556	0	0	235	366	145	90	0	0	186	0
Abr	113.555556	0	0	236	326	202	174	0	84	0	0
Tjp2	113.444444	0	0	244	128	163	216	0	85	185	0
Stom	113.444444	0	0	269	410	161	181	0	0	0	0
Rbm27	113.444444	0	0	171	262	198	158	0	0	232	0
Prmt9	113.444444	0	0	177	263	178	211	95	97	0	0
Pdrg1	113.444444	0	0	218	198	213	199	96	97	0	0
Hspa14	113.444444	0	0	280	434	140	167	0	0	0	0
Cdnf	113.444444	0	0	280	434	140	167	0	0	0	0
Sdc4	113.333333	0	0	306	303	112	136	0	0	163	0
Pde2a	113.333333	0	0	353	310	117	154	0	0	86	0
Degs1	113.333333	0	0	227	242	276	149	0	0	126	0
Amotl1	113.333333	0	0	317	231	166	143	0	0	163	0
Wwc1	113.222222	0	0	308	296	134	106	0	0	175	0
Rai14	113.222222	0	0	367	289	117	119	0	0	127	0
Plekha1	113.222222	0	0	269	400	168	182	0	0	0	0
Foxq1	113.222222	0	0	368	299	108	93	0	0	151	0
Eya2	113.222222	0	0	301	327	192	199	0	0	0	0
Tmed9	113.111111	0	0	354	460	90	114	0	0	0	0
Rfc2	113.111111	0	0	261	412	105	158	0	82	0	0
Iqsec1	113.111111	0	0	195	312	146	146	0	0	219	0
Ascc1	113.111111	0	0	200	276	183	273	86	0	0	0
Anapc16	113.111111	0	0	200	276	183	273	86	0	0	0
Zfp971	113.000000	0	0	352	361	137	167	0	0	0	0
Slc7a8	113.000000	0	0	314	315	181	138	69	0	0	0
Poli	113.000000	0	0	187	260	151	188	0	0	231	0
Oard1	113.000000	0	0	375	329	145	168	0	0	0	0
Nfya	113.000000	0	0	375	329	145	168	0	0	0	0
Luzp2	113.000000	0	0	307	372	211	127	0	0	0	0
H13	113.000000	0	0	171	242	150	178	176	100	0	0
Erbb3	113.000000	0	0	413	348	124	132	0	0	0	0
Actr3b	113.000000	0	0	239	377	120	170	0	0	111	0
Tcf25	112.888889	0	0	194	177	277	156	120	0	92	0
Ndufa12	112.888889	0	0	168	240	212	316	0	80	0	0
Jmy	112.888889	0	0	260	292	132	129	0	0	203	0
Dis3l2	112.888889	0	0	277	219	158	142	0	77	143	0
Zfp433	112.777778	0	0	157	266	231	245	0	116	0	0
Tlcd2	112.777778	0	0	345	254	180	149	0	87	0	0
Slc45a3	112.777778	0	309	150	195	109	86	0	91	75	0
Pcca	112.777778	0	0	225	443	156	102	0	89	0	0
Gramd1b	112.777778	0	0	189	215	229	175	97	110	0	0
Gm32687	112.777778	0	0	157	266	231	245	0	116	0	0
Gde1	112.777778	0	0	253	306	164	163	0	0	129	0
Bcl10	112.777778	0	0	310	242	134	195	0	0	134	0
Ripk4	112.666667	0	0	285	346	137	117	0	0	129	0
Rab21	112.666667	0	0	330	406	154	124	0	0	0	0
Kcng1	112.666667	0	0	258	248	87	155	70	0	196	0
Hnrnpf	112.666667	0	0	197	253	225	173	69	0	97	0
Ei24	112.666667	0	0	193	278	228	200	0	0	115	0
Rabgap1	112.555556	0	0	326	256	213	218	0	0	0	0
Ndst1	112.555556	0	0	403	405	98	107	0	0	0	0
Man2b2	112.555556	0	0	204	346	210	253	0	0	0	0
Hectd1	112.555556	0	0	289	434	161	129	0	0	0	0
Chd1l	112.555556	0	0	192	173	186	322	0	0	140	0
Cbx4	112.555556	0	0	333	407	0	0	0	0	273	0
Ptp4a2	112.333333	0	0	372	344	169	126	0	0	0	0
Vps4a	112.222222	0	0	239	220	163	201	97	90	0	0
Ptprt	112.222222	0	338	224	143	107	99	0	0	99	0
Pnma2	112.222222	0	0	259	303	129	85	0	0	234	0
Oxsm	112.222222	0	0	270	376	137	157	70	0	0	0
Gls2	112.222222	0	0	240	352	179	150	0	0	89	0
Esr2	112.222222	0	0	461	549	0	0	0	0	0	0
Cd55b	112.222222	0	0	418	308	99	185	0	0	0	0
1700030J22Rik	112.222222	0	0	262	320	177	251	0	0	0	0
Ube2m	112.111111	0	0	242	261	132	140	0	0	234	0
Tnfaip3	112.111111	0	0	323	280	138	113	0	0	155	0
Polr2m	112.111111	0	167	253	271	164	154	0	0	0	0
Gm8909	112.111111	0	0	289	441	149	130	0	0	0	0
Chmp2a	112.111111	0	0	242	261	132	140	0	0	234	0
Anp32b	112.111111	0	0	211	332	124	111	0	0	231	0
Usp13	112.000000	0	0	196	191	159	152	86	140	84	0
Pygm	112.000000	0	449	172	275	0	0	0	0	112	0
Golga7b	112.000000	0	0	241	356	138	142	0	0	131	0
Chd1	112.000000	0	0	156	321	136	154	0	85	156	0
Xkr5	111.888889	0	0	315	209	166	212	0	105	0	0
Vangl1	111.888889	0	0	299	315	185	208	0	0	0	0
Tgfbr3	111.888889	0	0	241	146	143	129	80	0	268	0
Swi5	111.888889	0	0	212	306	146	122	94	0	127	0
Pmp22	111.888889	0	0	306	215	117	178	0	0	191	0
Mrpl20	111.888889	0	0	192	186	228	280	0	121	0	0
Inip	111.888889	0	0	222	254	216	204	0	111	0	0
Golga2	111.888889	0	0	212	306	146	122	94	0	127	0
Frmd5	111.888889	0	0	212	343	173	138	0	0	141	0
Bloc1s2	111.888889	0	0	194	396	117	197	103	0	0	0
Zfp341	111.777778	0	0	224	242	183	103	103	0	151	0
Rps6ka2	111.777778	0	0	273	272	114	194	0	0	153	0
Pxmp2	111.777778	0	0	175	215	189	215	89	0	123	0
Prep	111.777778	0	0	258	313	177	170	0	0	88	0
Pole	111.777778	0	0	175	215	189	215	89	0	123	0
Pla2g15	111.777778	0	0	216	312	150	136	119	73	0	0
Mterf1b	111.777778	0	0	363	142	234	267	0	0	0	0
Inpp5a	111.777778	0	167	265	252	100	102	0	0	120	0
Zbtb21	111.666667	0	0	259	201	239	218	0	88	0	0
Ehmt1	111.666667	0	312	141	140	162	171	0	79	0	0
Atxn7	111.666667	0	0	353	330	196	126	0	0	0	0
Ankrd40	111.666667	0	0	176	157	165	272	0	104	131	0
Abhd18	111.666667	0	0	377	278	199	151	0	0	0	0
Slc10a7	111.555556	0	229	248	223	171	133	0	0	0	0
Rbmxl1	111.555556	0	229	248	223	171	133	0	0	0	0
Mybpc2	111.555556	0	0	368	374	109	0	0	0	153	0
Fbxo48	111.555556	0	0	411	299	186	108	0	0	0	0
Birc3	111.555556	0	0	280	325	210	189	0	0	0	0
Vwa3b	111.444444	0	0	448	447	108	0	0	0	0	0
Them7	111.444444	0	239	258	201	140	165	0	0	0	0
Pomk	111.444444	0	0	364	328	155	156	0	0	0	0
Pdcd11	111.444444	0	0	340	152	199	146	75	91	0	0
Mocos	111.444444	0	0	200	219	170	207	0	106	101	0
Dpy19l4	111.444444	0	0	248	315	229	211	0	0	0	0
Ckap4	111.444444	0	0	166	342	198	110	0	0	187	0
Atp5md	111.444444	0	0	340	152	199	146	75	91	0	0
Atg5	111.444444	0	0	124	235	195	246	0	80	123	0
Wipf1	111.333333	0	0	266	312	160	135	0	0	129	0
Tll1	111.333333	0	248	169	207	140	111	0	0	127	0
Pym1	111.333333	0	0	213	200	170	129	72	96	122	0
Pcmt1	111.333333	0	0	265	212	176	145	95	0	109	0
Nudt16	111.333333	0	0	238	291	147	104	0	0	222	0
Dnajb6	111.333333	0	0	152	252	136	160	81	98	123	0
Dgka	111.333333	0	0	213	200	170	129	72	96	122	0
Snx9	111.222222	0	0	257	301	124	107	0	105	107	0
Sgk3	111.222222	0	0	362	243	214	182	0	0	0	0
Senp5	111.222222	0	0	364	280	221	136	0	0	0	0
Rasgef1a	111.222222	0	0	233	289	249	150	80	0	0	0
Psmc5	111.222222	0	0	420	303	143	135	0	0	0	0
Nr3c1	111.222222	0	0	398	319	90	87	0	0	107	0
Mtg1	111.222222	0	0	228	204	258	232	0	0	79	0
Map3k6	111.222222	0	0	322	294	137	137	0	0	111	0
Ftsj3	111.222222	0	0	420	303	143	135	0	0	0	0
Ccdc126	111.222222	0	0	305	214	196	185	0	101	0	0
Zkscan6	111.111111	0	0	375	361	118	146	0	0	0	0
Zgpat	111.111111	0	0	290	207	130	183	0	0	190	0
Frmd6	111.111111	0	0	188	266	134	128	0	0	284	0
Arfrp1	111.111111	0	0	290	207	130	183	0	0	190	0
Tmcc1	111.000000	0	0	245	313	166	147	0	0	128	0
Thada	111.000000	0	0	455	331	0	97	0	0	116	0
Smyd2	111.000000	0	0	352	261	125	148	0	0	113	0
Nup35	111.000000	0	149	189	263	212	186	0	0	0	0
Nrbp1	111.000000	0	0	253	237	195	130	0	0	184	0
LOC114841036	111.000000	0	0	281	353	0	137	0	0	228	0
Eppin	111.000000	0	0	389	459	0	84	67	0	0	0
Cdc25a	111.000000	0	0	276	286	191	150	0	96	0	0
Arpin	111.000000	0	0	272	291	185	141	110	0	0	0
Anapc1	111.000000	0	0	176	212	226	279	0	106	0	0
Wasl	110.888889	0	0	276	349	150	142	81	0	0	0
Rsrc1	110.888889	0	0	241	325	139	122	0	0	171	0
Rps29	110.888889	0	0	238	216	158	246	140	0	0	0
Fam243	110.888889	0	0	367	631	0	0	0	0	0	0
Ddx27	110.888889	0	0	192	193	213	200	96	104	0	0
Cracr2b	110.888889	0	0	329	356	0	0	0	0	313	0
Cd151	110.888889	0	0	329	356	0	0	0	0	313	0
Cat	110.888889	0	0	255	481	136	126	0	0	0	0
Stk38	110.777778	0	257	161	156	173	164	86	0	0	0
Nkx6-3	110.777778	0	214	208	204	95	72	93	0	111	0
Liph	110.777778	0	419	246	184	0	0	0	0	148	0
Hgs	110.777778	0	0	264	350	167	105	111	0	0	0
Cep85l	110.777778	0	0	284	250	118	222	0	0	123	0
Arl16	110.777778	0	0	264	350	167	105	111	0	0	0
Uvssa	110.666667	0	0	262	340	172	222	0	0	0	0
Rfc4	110.666667	0	0	210	273	202	150	92	69	0	0
Mllt11	110.666667	0	0	251	224	109	133	0	0	279	0
Mfhas1	110.666667	0	0	325	303	114	109	0	0	145	0
Knl1	110.666667	0	0	300	391	96	96	0	0	113	0
Cdc42se1	110.666667	0	0	251	224	109	133	0	0	279	0
Atf7ip	110.666667	0	0	230	345	180	100	0	0	141	0
Zfp82	110.555556	0	0	168	211	158	266	73	0	119	0
Hmox2	110.555556	0	0	170	186	222	173	123	121	0	0
Cdan1	110.555556	0	0	137	265	158	156	90	0	189	0
Spata6	110.444444	0	0	200	366	167	81	0	0	180	0
Kctd5	110.444444	0	0	172	253	249	229	91	0	0	0
Galntl6	110.444444	0	0	324	452	81	137	0	0	0	0
Fgfbp3	110.444444	0	0	245	271	210	175	93	0	0	0
Fam222a	110.444444	0	0	335	343	0	86	0	0	230	0
BC030500	110.444444	0	0	324	452	81	137	0	0	0	0
Ankrd45	110.444444	0	0	259	417	129	189	0	0	0	0
Nudt1	110.333333	0	0	278	232	257	143	0	83	0	0
Lman1l	110.333333	0	0	411	582	0	0	0	0	0	0
Kcns3	110.333333	0	0	252	382	141	100	0	0	118	0
Depdc7	110.333333	0	224	173	288	146	162	0	0	0	0
Adpgk	110.333333	0	0	240	346	187	220	0	0	0	0
3110040N11Rik	110.333333	0	0	203	203	268	242	0	77	0	0
Rbm6	110.222222	0	0	221	241	143	137	118	0	132	0
Irf5	110.222222	0	304	166	151	111	141	0	0	119	0
Tbcc	110.111111	0	0	240	349	129	119	0	0	154	0
Psmf1	110.111111	0	0	153	192	189	228	98	131	0	0
Plekhm3	110.111111	0	0	242	270	176	201	102	0	0	0
Pggt1b	110.111111	0	0	245	265	163	154	0	91	73	0
Phactr2	110.000000	0	0	189	298	151	139	0	129	84	0
Erap1	110.000000	0	0	158	260	134	137	92	118	91	0
Zfp558	109.888889	0	0	396	386	108	99	0	0	0	0
Naa16	109.888889	0	0	218	244	245	215	0	0	67	0
Mbd3l1	109.888889	0	0	396	386	108	99	0	0	0	0
Csnk2a1	109.888889	0	0	168	182	160	202	138	139	0	0
Asap3	109.888889	0	160	183	241	149	149	0	0	107	0
Arl14ep	109.888889	0	0	258	336	217	178	0	0	0	0
9530077C05Rik	109.888889	0	0	215	205	203	165	119	82	0	0
Them4	109.777778	0	0	234	336	155	99	0	0	164	0
Rasl11b	109.777778	0	0	211	305	137	191	0	0	144	0
Map1lc3b	109.777778	0	0	135	168	168	158	124	142	93	0
Fra10ac1	109.777778	0	0	211	152	296	228	0	101	0	0
Fgfr4	109.777778	0	0	270	356	96	104	0	0	162	0
Fam3c	109.777778	0	0	287	249	172	187	0	0	93	0
Cep57l1	109.777778	0	0	206	289	215	171	0	0	107	0
Cct2	109.777778	0	0	125	290	333	156	0	84	0	0
Ccng2	109.777778	0	0	248	186	133	115	81	0	225	0
Tm7sf2	109.666667	0	0	344	309	0	118	0	0	216	0
Ralgapb	109.666667	0	0	293	274	142	127	151	0	0	0
Map1lc3a	109.666667	0	0	201	239	151	121	78	82	115	0
Trpc4ap	109.555556	0	0	162	219	190	173	127	0	115	0
Rps16	109.555556	0	0	235	327	206	218	0	0	0	0
Lrp12	109.555556	0	0	273	285	129	111	0	0	188	0
Crcp	109.555556	0	0	443	288	161	94	0	0	0	0
Asl	109.555556	0	0	443	288	161	94	0	0	0	0
Tmem139	109.444444	0	0	239	267	152	99	0	0	228	0
Slc22a15	109.444444	0	0	178	190	184	145	111	177	0	0
Mrps18a	109.444444	0	0	140	256	234	188	94	73	0	0
Fbxl18	109.444444	0	0	355	242	0	179	92	117	0	0
Casp2	109.444444	0	0	239	267	152	99	0	0	228	0
4921524J17Rik	109.444444	0	0	176	214	213	158	123	101	0	0
Sp2	109.333333	0	0	372	395	129	88	0	0	0	0
Rbpms	109.333333	0	0	182	188	134	181	0	85	214	0
Kcng3	109.333333	0	0	276	325	156	129	0	0	98	0
Ikbke	109.333333	0	0	496	488	0	0	0	0	0	0
Calr	109.333333	0	0	209	213	152	216	91	103	0	0
2510002D24Rik	109.333333	0	0	261	246	216	178	0	83	0	0
Zc3h3	109.222222	0	0	275	252	208	248	0	0	0	0
Wdr73	109.222222	0	0	348	272	161	202	0	0	0	0
Nmb	109.222222	0	0	348	272	161	202	0	0	0	0
Gadd45b	109.222222	0	0	324	431	0	0	0	0	228	0
Dtx2	109.222222	0	0	230	179	238	168	0	0	168	0
Prorsd1	109.111111	0	0	274	315	246	147	0	0	0	0
Ndufc1	109.111111	0	0	155	207	256	251	113	0	0	0
Gm33989	109.111111	0	0	276	268	186	178	0	74	0	0
Fgd4	109.111111	0	119	196	229	145	143	0	0	150	0
Elane	109.111111	0	0	545	437	0	0	0	0	0	0
Ddx10	109.111111	0	0	255	299	259	169	0	0	0	0
Chst5	109.111111	0	0	307	209	221	102	67	0	76	0
Tbc1d10a	109.000000	0	0	202	167	284	328	0	0	0	0
Gpatch8	109.000000	0	0	138	235	233	274	101	0	0	0
Dgke	109.000000	0	0	194	324	160	155	0	0	148	0
Cfap77	109.000000	0	0	298	257	195	147	84	0	0	0
Zfp943	108.888889	0	0	263	245	144	328	0	0	0	0
Zfp942	108.888889	0	0	263	245	144	328	0	0	0	0
Trub2	108.888889	0	0	142	172	278	271	0	117	0	0
Gnpat	108.888889	0	0	206	215	170	298	0	91	0	0
2810004N23Rik	108.888889	0	0	206	215	170	298	0	91	0	0
Tufm	108.777778	0	0	203	304	193	134	0	0	145	0
Sptan1	108.777778	0	0	226	231	123	203	0	0	196	0
Kif11	108.777778	0	0	309	277	140	153	0	100	0	0
Hes1	108.777778	0	0	325	258	120	95	0	0	181	0
H2bc6	108.777778	0	0	290	216	198	181	94	0	0	0
Ttc7b	108.666667	0	0	354	184	101	103	0	0	236	0
Pcyt2	108.666667	0	0	264	293	84	109	0	0	228	0
Khdc3	108.666667	0	0	215	266	147	185	97	68	0	0
Hebp2	108.666667	0	0	303	327	189	159	0	0	0	0
Fras1	108.666667	0	0	472	203	137	166	0	0	0	0
2900026A02Rik	108.666667	0	0	292	276	116	118	0	0	176	0
Ska3	108.555556	0	0	200	235	236	227	0	79	0	0
Sestd1	108.555556	0	330	218	151	143	135	0	0	0	0
Mrpl57	108.555556	0	0	200	235	236	227	0	79	0	0
Zfp746	108.444444	0	132	226	398	94	126	0	0	0	0
Umad1	108.444444	0	0	206	352	156	161	0	0	101	0
Slc22a23	108.444444	0	0	308	340	127	89	0	0	112	0
Rpa3	108.444444	0	0	206	352	156	161	0	0	101	0
Polq	108.444444	0	0	311	388	188	89	0	0	0	0
Mreg	108.444444	0	0	282	253	185	129	0	0	127	0
Ece2	108.444444	0	0	243	266	128	137	85	0	117	0
Cspg4b	108.444444	0	0	216	291	176	157	0	0	136	0
Zcchc8	108.333333	0	0	241	305	177	152	100	0	0	0
Taf9	108.333333	0	0	288	217	199	187	0	84	0	0
Rnpep	108.333333	0	0	165	360	155	196	99	0	0	0
Rad17	108.333333	0	0	288	217	199	187	0	84	0	0
Ptgr1	108.333333	0	0	371	418	186	0	0	0	0	0
Lamp1	108.333333	0	0	139	193	281	192	91	79	0	0
Gja5	108.333333	0	0	442	533	0	0	0	0	0	0
Fam32a	108.333333	0	0	164	270	154	155	113	119	0	0
Ccdc8	108.333333	0	213	167	262	130	117	86	0	0	0
Ak6	108.333333	0	0	288	217	199	187	0	84	0	0
Tbc1d24	108.222222	0	669	138	0	0	0	0	0	167	0
Sfxn3	108.222222	0	0	414	375	75	110	0	0	0	0
Pdzd7	108.222222	0	0	414	375	75	110	0	0	0	0
Mme	108.222222	0	0	230	337	125	196	86	0	0	0
Man1a	108.222222	0	0	364	263	138	115	0	0	94	0
Fancd2	108.222222	0	0	234	307	279	154	0	0	0	0
Ermard	108.222222	0	0	196	123	250	261	144	0	0	0
Emc3	108.222222	0	0	234	307	279	154	0	0	0	0
Eef1e1	108.222222	0	0	297	301	172	204	0	0	0	0
Cuedc1	108.222222	0	0	221	198	190	196	0	0	169	0
Ubac2	108.111111	0	0	104	207	179	209	86	93	95	0
Taco1	108.111111	0	0	209	287	281	196	0	0	0	0
Sik1	108.111111	0	0	266	244	172	109	0	0	182	0
Rps27a	108.111111	0	170	117	122	192	211	0	0	161	0
Rfc1	108.111111	0	0	438	176	139	220	0	0	0	0
Rbfox2	108.111111	0	0	205	253	208	120	83	0	104	0
Nek9	108.111111	0	0	169	170	266	176	110	82	0	0
Clhc1	108.111111	0	170	117	122	192	211	0	0	161	0
Ubxn2b	108.000000	0	0	279	315	167	211	0	0	0	0
Kif7	108.000000	0	0	232	261	110	111	0	0	258	0
Hipk2	108.000000	0	0	248	285	160	144	0	0	135	0
Bmper	108.000000	0	0	264	266	160	87	0	112	83	0
Ago4	108.000000	0	0	202	218	140	214	0	0	198	0
Usp36	107.888889	0	0	323	251	147	128	0	0	122	0
Rrp8	107.888889	0	0	203	202	161	150	0	72	183	0
Rpl7	107.888889	0	0	342	201	134	95	0	0	199	0
Rdh10	107.888889	0	0	342	201	134	95	0	0	199	0
