Target_genes	Prdm15|Average	SRX5299924|E6.5_embryos	SRX1301547|ES_cells	SRX2754629|ES_cells	SRX2754630|ES_cells	SRX2754632|ES_cells	SRX2754633|ES_cells	SRX2754635|ES_cells	SRX2754636|ES_cells	SRX5379469|ES_cells	STRING
Mfap3l	1523.000000	0	2146	2538	2529	1080	1030	1042	766	2576	0
Fut10	1516.555556	0	2371	3005	2958	637	623	611	661	2783	0
Cux2	1500.888889	0	2430	3046	2981	1058	1112	115	179	2587	0
Mycbp2	1500.555556	0	2162	3003	2960	1007	925	377	366	2705	0
Dnmbp	1488.666667	0	2159	2818	2794	908	1063	463	577	2616	0
Atg7	1469.777778	0	1634	3714	3826	570	419	0	106	2959	0
Kcnj4	1469.666667	0	2321	2190	2163	1715	1630	820	619	1769	0
Nphp4	1465.666667	0	2194	2890	2891	940	976	235	225	2840	0
Kcnab2	1465.666667	0	2194	2890	2891	940	976	235	225	2840	0
Chmp5	1465.555556	0	2528	3451	3448	395	440	279	200	2449	0
Bag1	1465.555556	0	2528	3451	3448	395	440	279	200	2449	0
Pgk1	1465.333333	1327	287	2334	2222	1342	1586	994	810	2286	0
Adgrl1	1457.777778	95	1155	1569	1562	2391	2319	1423	1455	1151	0
Kdsr	1457.555556	0	2348	3696	3639	154	220	70	0	2991	0
Tdrd3	1451.111111	0	2548	2762	2697	984	985	382	358	2344	0
Ctnnd2	1445.222222	0	2056	3493	3394	519	564	0	0	2981	0
Rap2b	1443.444444	0	2134	2545	2539	1363	914	359	436	2701	0
Usp2	1441.111111	0	2528	3178	3293	477	535	142	128	2689	0
Adgrl3	1440.111111	0	2283	3095	3126	658	547	227	254	2771	0
Cux1	1429.777778	0	2367	2382	2275	1386	1561	351	407	2139	0
Tmem205	1429.000000	0	2118	3706	3764	211	201	154	162	2545	0
Ccdc159	1429.000000	0	2118	3706	3764	211	201	154	162	2545	0
Rspo1	1423.222222	0	2106	3350	3280	387	412	0	138	3136	0
Plch1	1422.111111	0	2134	3273	3252	469	271	328	347	2725	0
Trnau1ap	1421.666667	0	1771	3499	3438	470	305	94	142	3076	0
Zcchc14	1415.777778	0	2122	1948	1909	1533	1398	667	803	2362	0
Osbpl5	1410.555556	0	2041	3378	3361	228	254	143	162	3128	0
Zfp395	1408.666667	0	2404	3391	3451	254	289	0	0	2889	0
Syt7	1393.666667	0	2128	2837	2801	951	847	482	252	2245	0
Mtpn	1386.777778	0	2364	3576	3567	149	145	85	83	2512	0
Shb	1383.888889	0	2353	2744	2743	853	829	473	343	2117	0
Morc3	1379.888889	0	1300	3573	3618	345	240	118	120	3105	0
Fitm2	1377.444444	0	1514	3463	3409	303	369	114	105	3120	0
Cpd	1374.444444	0	1765	3347	3394	465	322	151	132	2794	0
Krt19	1372.555556	0	1931	3451	3527	177	97	132	94	2944	0
Gabpb2	1371.222222	0	1410	3624	3702	384	293	140	109	2679	0
Kdm6b	1370.777778	0	2153	2472	2355	981	836	553	506	2481	0
Efnb3	1368.111111	0	1997	2977	2905	523	650	209	256	2796	0
Paox	1363.888889	0	2110	3578	3514	0	198	0	0	2875	0
Vps37d	1360.111111	0	2319	2686	2659	758	670	378	294	2477	0
As3mt	1358.666667	0	1823	3568	3517	369	385	207	156	2203	0
Mnd1	1354.111111	0	2025	3479	3506	175	232	0	111	2659	0
Zfp704	1352.444444	0	2174	3348	3325	431	385	176	154	2179	0
Adsl	1349.666667	0	2223	3548	3390	167	134	0	59	2626	0
Arid1b	1332.888889	0	2210	2924	2823	728	628	0	0	2683	0
Unc5a	1331.666667	154	2125	2244	2219	1186	1288	337	437	1995	0
Dnah2	1326.888889	0	2440	2974	2931	317	271	219	106	2684	0
Wsb1	1326.222222	0	1972	3829	3832	433	394	223	171	1082	0
Ptma	1325.444444	0	2075	2152	2148	1368	1161	676	445	1904	0
Stat2	1325.222222	0	1746	3458	3425	276	256	125	119	2522	0
Apof	1325.222222	0	1746	3458	3425	276	256	125	119	2522	0
Cdyl	1322.444444	112	2141	2257	2210	1208	1081	569	448	1876	0
Prr14l	1322.000000	0	1144	3765	3437	245	336	112	0	2859	0
Scyl1	1318.333333	0	2360	2869	2842	290	411	175	185	2733	0
Pomt2	1316.888889	0	1412	3537	3581	265	398	116	75	2468	0
Gstz1	1316.888889	0	1412	3537	3581	265	398	116	75	2468	0
