Target_genes	Foxj2|Average	SRX3730230|Trophoblast_stem_cells	SRX3730231|Trophoblast_stem_cells	SRX3730275|Trophoblast_stem_cells	STRING
Rnf39	88.666667	0	266	0	0
Atp9a	88.333333	0	265	0	0
Smarcd2	87.333333	0	262	0	0
H4f16	87.000000	0	261	0	0
H2aj	87.000000	0	261	0	0
Brf2	86.666667	0	260	0	0
Zfp523	86.333333	157	102	0	0
Prpf4b	86.333333	0	259	0	0
Aldh3b2	86.000000	0	258	0	0
Tacstd2	85.333333	0	256	0	0
Snap25	85.333333	0	256	0	0
Barhl1	85.333333	0	256	0	0
Rab15	84.000000	0	252	0	0
Zc3h11a	83.333333	0	250	0	0
Zbed6	83.333333	0	250	0	0
Birc6	83.000000	0	249	0	0
Fam219b	82.666667	0	248	0	0
Palb2	82.000000	106	140	0	0
Mpig6b	82.000000	0	246	0	0
Ly6g6c	82.000000	0	246	0	0
Dctn5	82.000000	106	140	0	0
Nkap	81.333333	0	244	0	0
2310030G06Rik	81.333333	0	244	0	0
Krt8	81.000000	0	243	0	0
Trmu	80.666667	0	242	0	0
Mageb16	80.666667	0	242	0	0
Las1l	80.666667	0	242	0	0
Dhrs7b	80.666667	0	242	0	0
Abca4	80.666667	0	242	0	0
Zfp937	80.000000	0	240	0	0
Ovol2	78.666667	0	236	0	0
Rhox4g	78.000000	0	234	0	0
Crxos	77.666667	0	233	0	0
Supt6	77.333333	0	232	0	0
Sdf2	77.333333	0	232	0	0
Tjp2	76.333333	0	229	0	0
S100a10	76.333333	0	229	0	0
Cltc	76.333333	98	131	0	0
Bcam	76.333333	0	229	0	0
Parp11	75.666667	227	0	0	0
Enpp4	75.666667	227	0	0	0
Ube3b	74.666667	0	224	0	0
Kctd10	74.666667	0	224	0	0
Evx1	74.666667	0	224	0	0
Spns2	74.333333	0	223	0	0
Elf3	74.333333	0	223	0	0
Hspa5	73.666667	0	221	0	0
Tdrd7	73.333333	0	220	0	0
Gga1	72.666667	0	218	0	0
Erbb3	71.000000	0	213	0	0
Cd5	71.000000	0	213	0	0
Cald1	71.000000	0	213	0	0
Chst5	69.000000	0	207	0	0
Usp8	68.333333	0	205	0	0
Trpm4	68.000000	0	204	0	0
Hrc	68.000000	0	204	0	0
Rhox4f	67.333333	0	202	0	0
Acaa2	67.000000	0	201	0	0
1700008O03Rik	67.000000	0	201	0	0
Tmem54	66.666667	0	200	0	0
Arhgap8	65.666667	0	197	0	0
Vamp4	65.333333	196	0	0	0
Zbtb7b	64.333333	0	193	0	0
Mrpl40	64.333333	193	0	0	0
Hira	64.333333	193	0	0	0
H4c18	64.333333	68	125	0	0
H4bc24	64.333333	68	125	0	0
H2bc23	64.333333	68	125	0	0
H2ac24	64.333333	68	125	0	0
H2ac23	64.333333	68	125	0	0
Styxl1	63.333333	0	190	0	0
Rbck1	63.333333	0	190	0	0
Mdh2	63.333333	0	190	0	0
Bfsp1	63.000000	0	189	0	0
Tmem234	62.333333	0	187	0	0
Pkd1l2	62.333333	0	187	0	0
Nkx1-1	62.333333	0	187	0	0
Eif3i	62.333333	0	187	0	0
Tspan9	62.000000	0	186	0	0
Mideas	62.000000	0	186	0	0
Lcn8	62.000000	0	186	0	0
Lcn5	62.000000	0	186	0	0
Prkcz	61.666667	0	185	0	0
Xrcc5	61.333333	0	184	0	0
Sertad2	61.333333	0	184	0	0
Mvd	61.000000	0	183	0	0
Zfp54	60.666667	0	182	0	0
Psd	60.666667	0	182	0	0
Fbxl15	60.666667	0	182	0	0
9130008F23Rik	60.666667	0	182	0	0
Lig4	60.333333	0	181	0	0
Abhd13	60.333333	0	181	0	0
Igsf9	60.000000	0	180	0	0
Ctu1	59.333333	0	178	0	0
Tgm1	59.000000	0	177	0	0
Pdzk1ip1	59.000000	0	177	0	0
Nop16	59.000000	0	177	0	0
Higd2a	59.000000	0	177	0	0
Snrnp200	58.333333	0	175	0	0
Dnmt3l	58.333333	0	175	0	0
Aire	58.333333	0	175	0	0
1810024B03Rik	58.333333	0	175	0	0
Plxdc1	58.000000	0	174	0	0
Tns4	57.666667	0	173	0	0
Smim5	57.666667	0	173	0	0
Jund	57.666667	0	0	173	0
Iqcn	57.666667	0	0	173	0
Hipk4	57.666667	0	173	0	0
Klk4	57.333333	0	172	0	0
Fam98b	57.333333	172	0	0	0
Snx18	57.000000	0	171	0	0
Nat8f5	56.333333	0	169	0	0
Pcbp4	56.000000	0	168	0	0
Eif3m	56.000000	0	168	0	0
Abhd14b	56.000000	0	168	0	0
Abhd14a	56.000000	0	168	0	0
Ubxn8	55.666667	0	167	0	0
Tead4	55.666667	0	167	0	0
Cxcl10	55.666667	0	167	0	0
Ptpn14	55.000000	0	165	0	0
Pdss1	55.000000	165	0	0	0
Supt7l	54.666667	0	164	0	0
Slc4a1ap	54.666667	0	164	0	0
Rassf7	54.666667	0	164	0	0
F11r	54.666667	0	164	0	0
Il2rb	54.333333	0	163	0	0
Heatr5a	54.333333	0	163	0	0
Ehd1	53.666667	0	161	0	0
Zkscan8	53.333333	0	160	0	0
Shroom4	53.333333	0	160	0	0
Rhox4d	53.333333	0	160	0	0
Rhox4c	53.333333	0	160	0	0
Pcnx3	53.333333	0	160	0	0
Map3k11	53.333333	0	160	0	0
Fbxo21	53.333333	0	160	0	0
Brms1	53.333333	0	160	0	0
B4gat1	53.333333	0	160	0	0
Serhl	53.000000	159	0	0	0
Nlrx1	53.000000	0	159	0	0
Gip	53.000000	0	159	0	0
Ppan	52.333333	0	157	0	0
Rag2	52.000000	0	156	0	0
Iftap	52.000000	0	156	0	0
Map3k7	51.666667	0	155	0	0
Mapk4	51.000000	0	153	0	0
Epb41l1	51.000000	0	153	0	0
Ssx2ip	50.666667	0	152	0	0
Spdl1	50.666667	0	152	0	0
Rttn	50.666667	0	152	0	0
2700062C07Rik	50.666667	0	152	0	0
Tssk6	50.333333	0	151	0	0
Prss22	50.333333	0	151	0	0
Ndufa13	50.333333	0	151	0	0
Def8	50.333333	0	151	0	0
Rhox4a	50.000000	0	150	0	0
Gpx1	50.000000	0	150	0	0
Eloa	49.666667	149	0	0	0
Cblc	49.666667	0	149	0	0
Ldb1	49.333333	0	148	0	0
Fbxo6	49.333333	0	148	0	0
Extl1	49.333333	0	148	0	0
Cmip	49.333333	0	148	0	0
Zdhhc25	49.000000	0	147	0	0
Pex16	49.000000	0	147	0	0
Large2	49.000000	0	147	0	0
Snx29	48.666667	0	146	0	0
Shmt1	48.666667	0	146	0	0
Cpped1	48.666667	146	0	0	0
Ubald1	48.333333	0	145	0	0
Tfeb	48.333333	0	145	0	0
Haus6	48.333333	0	145	0	0
Eps8l2	48.333333	0	145	0	0
Enpp7	48.333333	0	145	0	0
Deaf1	48.333333	0	145	0	0
Mtmr10	48.000000	0	144	0	0
Mrps15	48.000000	0	144	0	0
Atp8b1	48.000000	0	144	0	0
Tmem267	47.666667	143	0	0	0
Rhox4e	47.666667	0	143	0	0
Rhox4b	47.666667	0	143	0	0
Pdlim7	47.666667	0	143	0	0
Zbtb11	47.333333	0	142	0	0
Eif4a3	47.333333	0	142	0	0
R3hdm2	47.000000	0	141	0	0
A630001G21Rik	47.000000	0	141	0	0
Ppp1r13l	46.666667	0	140	0	0
Cyb5r4	46.666667	0	140	0	0
Bmp1	46.666667	0	140	0	0
AI661453	46.666667	0	140	0	0
1700001C19Rik	46.666667	0	140	0	0
St7	46.333333	0	139	0	0
Rnaset2a	46.333333	139	0	0	0
Polr2e	46.333333	0	139	0	0
Fam53b	46.333333	0	139	0	0
Cd82	46.333333	0	139	0	0
Zfp692	46.000000	0	138	0	0
Ilf2	46.000000	138	0	0	0
Csrp1	46.000000	0	138	0	0
Mars2	45.666667	0	137	0	0
Grb7	45.666667	0	137	0	0
Wdr70	45.333333	0	136	0	0
Tmem189	45.333333	0	136	0	0
Lasp1	45.333333	0	136	0	0
Hsd17b4	45.333333	0	136	0	0
Grhl2	45.333333	0	136	0	0
Glrx	45.333333	0	136	0	0
Bst1	45.333333	0	136	0	0
Braf	45.333333	0	136	0	0
A530016L24Rik	45.333333	0	136	0	0
Nr1h2	45.000000	0	135	0	0
Lum	45.000000	0	135	0	0
Hgsnat	45.000000	0	135	0	0
Aqr	45.000000	0	135	0	0
Gcnt2	44.333333	0	133	0	0
Polr3e	44.000000	132	0	0	0
Phf19	44.000000	0	132	0	0
Efna3	44.000000	0	132	0	0
Tmem175	43.666667	0	131	0	0
Olfr298	43.666667	0	131	0	0
Gak	43.666667	0	131	0	0
Fam117a	43.666667	0	131	0	0
4930486L24Rik	43.666667	0	131	0	0
Prmt5	43.333333	0	130	0	0
Ccl9	43.333333	0	130	0	0
Vstm2l	42.666667	128	0	0	0
Olfr1425	42.666667	0	128	0	0
Fabp12	42.666667	0	128	0	0
Slc14a1	42.333333	0	127	0	0
Homer1	42.333333	127	0	0	0
Tm9sf3	42.000000	126	0	0	0
Tbc1d15	41.666667	0	125	0	0
H4c6	41.666667	0	125	0	0
H1f3	41.666667	0	125	0	0
Tex14	41.333333	0	124	0	0
Hdc	41.333333	0	124	0	0
Fam222a	41.333333	0	124	0	0
Txn2	41.000000	0	123	0	0
Hes7	41.000000	0	123	0	0
Bend3	41.000000	0	123	0	0
Arg1	41.000000	0	123	0	0
Cldn8	40.666667	0	122	0	0
Cacng3	40.666667	0	122	0	0
S1pr1	40.333333	0	121	0	0
Phf12	40.333333	0	121	0	0
Pgap3	40.000000	0	120	0	0
Mfsd12	40.000000	0	120	0	0
Wdr18	39.666667	0	119	0	0
Igll1	39.000000	0	117	0	0
Gm34653	39.000000	0	117	0	0
