Target_genes	Hes1|Average	SRX1550525|Macrophages	SRX1550526|Macrophages	STRING
Galnt7	798.500000	827	770	0
Pcbd2	797.000000	1163	431	0
Ankrd12	797.000000	755	839	0
Rnf115	795.500000	1171	420	0
Polr3c	795.500000	1171	420	0
Tprn	794.500000	722	867	0
E2f5	794.500000	951	638	0
2300009A05Rik	794.500000	942	647	0
Btaf1	794.000000	876	712	0
Crtc3	791.500000	828	755	0
Tarsl2	790.000000	723	857	0
Dnajc1	788.500000	789	788	0
Sgms1	787.500000	732	843	0
Bend3	787.500000	887	688	0
Ddx59	787.000000	620	954	0
Syncrip	786.000000	1003	569	0
Ptprj	783.000000	967	599	0
Tab2	782.500000	742	823	0
Inpp4b	780.000000	852	708	0
Slc25a33	778.500000	1202	355	0
Rhobtb1	778.000000	1010	546	0
A930033H14Rik	778.000000	1010	546	0
Tmem123	777.000000	743	811	0
Phldb1	776.500000	620	933	0
Chka	774.500000	692	857	0
Sft2d3	772.500000	934	611	0
Ube3a	771.500000	806	737	0
Tmem125	771.500000	837	706	0
Tent4a	769.500000	681	858	0
Bbx	769.500000	728	811	0
Ppib	768.500000	682	855	0
Tomm20	766.500000	645	888	0
BC107364	764.000000	954	574	0
Rexo2	762.500000	779	746	0
Zfp451	762.000000	756	768	0
Ninj1	760.500000	725	796	0
Exoc5	759.000000	737	781	0
Ap5m1	759.000000	737	781	0
D16Ertd472e	757.000000	1236	278	0
Plvap	756.000000	857	655	0
Zfp692	755.500000	661	850	0
Trp53rka	755.500000	885	626	0
Pdxk	753.500000	711	796	0
Egr1	753.500000	851	656	0
Nek6	753.000000	851	655	0
Vac14	751.500000	754	749	0
Hipk3	751.500000	661	842	0
Flrt2	751.000000	738	764	0
Foxo3	750.000000	726	774	0
Bach1	750.000000	734	766	0
Tbc1d1	747.500000	959	536	0
Sccpdh	745.000000	981	509	0
Drd4	743.500000	786	701	0
Tbk1	743.000000	674	812	0
Kdm1a	743.000000	807	679	0
Eid1	741.500000	905	578	0
Tmem120b	740.500000	709	772	0
Ado	739.500000	801	678	0
Cebpd	739.000000	785	693	0
Ccdc88a	738.500000	713	764	0
Gpr137b	738.000000	806	670	0
Rgl1	737.000000	985	489	0
Rsbn1l	736.500000	818	655	0
Adpgk	736.500000	695	778	0
Rpl14	735.500000	701	770	0
Marveld1	733.500000	649	818	0
Arf6	732.500000	740	725	0
Pik3ca	732.000000	662	802	0
Grsf1	730.000000	878	582	0
Canx	730.000000	797	663	0
Bsg	728.500000	403	1054	0
Fbxw4	726.000000	697	755	0
Srsf6	724.500000	886	563	0
Dock7	720.500000	689	752	0
Rfng	720.000000	762	678	0
Hint1	720.000000	795	645	0
Gps1	720.000000	762	678	0
Srd5a1	719.000000	657	781	0
Nsun2	719.000000	657	781	0
Snx14	718.000000	605	831	0
Susd6	715.000000	686	744	0
Peak1	715.000000	647	783	0
Hmg20a	715.000000	647	783	0
Eci1	711.500000	797	626	0
Hipk2	711.000000	756	666	0
Cutc	710.000000	575	845	0
Cox15	710.000000	575	845	0
Nr3c1	709.000000	790	628	0
Nadk2	708.000000	723	693	0
Tsc22d1	707.500000	680	735	0
Grcc10	707.000000	584	830	0
Mbtps2	706.500000	720	693	0
Plekhf2	705.000000	651	759	0
2510009E07Rik	705.000000	560	850	0
Irf2bpl	704.500000	666	743	0
Cd83	704.500000	601	808	0
Tm2d2	703.500000	791	616	0
Adam9	703.500000	791	616	0
Clic4	703.000000	784	622	0
Nkx2-3	701.500000	725	678	0
Stac2	701.000000	642	760	0
Efcab14	701.000000	788	614	0
Tsnax	700.500000	647	754	0
Tet3	700.500000	1052	349	0
Taok2	699.500000	806	593	0
Sun2	698.000000	741	655	0
Retreg1	697.000000	712	682	0
Setd3	696.500000	841	552	0
Ccnk	696.500000	841	552	0
Dnaja2	694.000000	770	618	0
Tekt2	693.500000	570	817	0
Adprhl2	693.500000	570	817	0
Cdk6	692.000000	728	656	0
Ppp4r2	691.000000	782	600	0
Pde7a	691.000000	872	510	0
Atf1	690.000000	743	637	0
Usp4	689.500000	560	819	0
Dennd1a	689.000000	749	629	0
Tm9sf3	688.500000	990	387	0
Mafb	688.000000	711	665	0
Sptssa	687.000000	796	578	0
Higd1a	686.500000	667	706	0
Nudt4	685.000000	989	381	0
Fkbp4	684.500000	895	474	0
Trim44	683.500000	766	601	0
Rgcc	683.500000	729	638	0
Pik3c2b	683.500000	662	705	0
Lrrc10b	683.000000	709	657	0
Dis3l	682.500000	723	642	0
Coa8	682.500000	541	824	0
Bag5	682.500000	541	824	0
Asxl2	681.500000	671	692	0
Crem	681.000000	685	677	0
Atp13a2	680.500000	710	651	0
Mex3b	678.000000	690	666	0
Usp28	677.000000	652	702	0
Gfpt1	677.000000	1041	313	0
Dhx15	676.500000	1005	348	0
Dr1	674.500000	684	665	0
Cpeb2	674.500000	665	684	0
Imp3	674.000000	648	700	0
Dgkz	674.000000	779	569	0
Me2	673.000000	679	667	0
Ube2d3	671.500000	518	825	0
Sema4b	671.500000	639	704	0
Rnasek	671.500000	735	608	0
Agpat2	671.500000	725	618	0
0610010K14Rik	671.500000	735	608	0
Jak2	670.500000	726	615	0
Arid5a	670.500000	701	640	0
Prkag2	669.500000	695	644	0
Frat2	669.500000	543	796	0
Smad3	667.500000	671	664	0
Gramd1b	667.500000	727	608	0
Heca	667.000000	846	488	0
Fam53a	666.000000	738	594	0
Slc38a2	665.500000	667	664	0
Pik3cb	664.500000	985	344	0
Ppp3cc	664.000000	737	591	0
Fubp1	663.500000	599	728	0
Dnajb4	663.500000	599	728	0
Mcl1	662.000000	657	667	0
Ltbr	659.000000	663	655	0
Ybx3	658.500000	1072	245	0
Slc16a10	658.500000	787	530	0
Gnpnat1	658.000000	734	582	0
Pparg	657.500000	871	444	0
Slc44a1	657.000000	908	406	0
Pam	656.500000	791	522	0
Lasp1	656.500000	671	642	0
Hmga1b	656.500000	742	571	0
Hmga1	656.500000	742	571	0
Natd1	656.000000	725	587	0
Tpt1	654.500000	607	702	0
Dmxl2	654.500000	694	615	0
Arrb1	654.500000	837	472	0
Erbin	653.000000	589	717	0
Ecpas	653.000000	770	536	0
Tbc1d9	652.000000	719	585	0
Ska3	652.000000	605	699	0
Mrpl57	652.000000	605	699	0
Wdr53	649.500000	894	405	0
Fbxo45	649.500000	894	405	0
Ppp4r1	649.000000	717	581	0
Ube2q1	648.500000	380	917	0
Gpr88	646.500000	711	582	0
Sav1	645.500000	820	471	0
Rnft1	645.000000	735	555	0
Nupr1l	645.000000	602	688	0
Rel	644.500000	570	719	0
Psmc2	644.000000	561	727	0
Dnajc2	644.000000	561	727	0
Epm2a	643.000000	882	404	0
Lrrc58	642.500000	560	725	0
Ptpdc1	642.000000	870	414	0
Lemd2	642.000000	888	396	0
Prr3	639.000000	580	698	0
Gnl1	639.000000	580	698	0
Ccdc134	638.500000	705	572	0
Tsc22d3	638.000000	702	574	0
Galr3	638.000000	747	529	0
Bnc2	637.000000	617	657	0
Tef	636.500000	681	592	0
Zfand5	635.500000	770	501	0
Phf14	635.500000	966	305	0
Ndufa4	635.500000	966	305	0
Unc5b	635.000000	817	453	0
Fxr1	635.000000	961	309	0
Crtap	635.000000	678	592	0
Irf2bp2	634.500000	752	517	0
Rasip1	633.500000	848	419	0
Stard7	631.000000	538	724	0
Itsn2	630.000000	704	556	0
Rrp1b	629.000000	628	630	0
Hsf2bp	629.000000	628	630	0
Eif3j2	629.000000	796	462	0
Eif3j1	629.000000	796	462	0
Ccdc171	628.500000	648	609	0
Ppp3r1	626.500000	686	567	0
Focad	626.500000	624	629	0
Ppa2	626.000000	817	435	0
Qk	625.500000	541	710	0
Rnf103	625.000000	821	429	0
Cd47	625.000000	613	637	0
Ssbp4	624.000000	527	721	0
Cmtm7	624.000000	656	592	0
Slc39a7	623.500000	637	610	0
Rxrb	623.500000	637	610	0
Ring1	623.500000	637	610	0
Nkx1-1	623.500000	700	547	0
H2-Ke6	623.500000	637	610	0
Arpc5	622.500000	756	489	0
Slc25a36	621.500000	451	792	0
Zfp672	620.000000	678	562	0
Setd5	620.000000	628	612	0
Qrich1	619.500000	611	628	0
Pim3	619.500000	548	691	0
Ctbp2	618.500000	713	524	0
Macir	617.500000	723	512	0
Galnt11	616.500000	863	370	0
Fkbp1a	616.500000	568	665	0
B4galt1	616.500000	711	522	0
Yaf2	616.000000	1018	214	0
Vdac1	616.000000	599	633	0
Rnf170	616.000000	769	463	0
Lbr	616.000000	615	617	0
Hook3	616.000000	769	463	0
Gclm	616.000000	777	455	0
Fam102b	616.000000	813	419	0
Kpna3	615.500000	825	406	0
Etv6	615.500000	738	493	0
Surf4	615.000000	782	448	0
Stkld1	615.000000	782	448	0
Plxnc1	615.000000	755	475	0
Phf20	615.000000	581	649	0
Mfsd14a	615.000000	940	290	0
Gpn3	615.000000	286	944	0
Fam216a	615.000000	286	944	0
Osbpl1a	612.500000	571	654	0
Arl6	612.000000	730	494	0
Slc35a1	611.500000	585	638	0
Rif1	611.500000	834	389	0
Ext1	611.500000	469	754	0
Zfp706	611.000000	848	374	0
Klf13	610.500000	533	688	0
Esco1	610.500000	605	616	0
Ttc25	610.000000	738	482	0
Otud1	610.000000	712	508	0
Ints6	610.000000	747	473	0
Tal1	607.500000	669	546	0
C1qbp	607.000000	551	663	0
Vgf	606.500000	709	504	0
Tomm70a	606.500000	558	655	0
Myo1c	606.500000	622	591	0
Notch2	606.000000	640	572	0
Tnrc6c	605.500000	538	673	0
P2ry1	605.500000	479	732	0
Inka1	605.500000	580	631	0
Atf7	605.500000	541	670	0
Cux1	605.000000	593	617	0
Ccnd3	605.000000	580	630	0
Top2b	604.000000	766	442	0
Kpnb1	602.500000	486	719	0
Zbtb44	602.000000	708	496	0
Tmem256	601.000000	704	498	0
Nlgn2	601.000000	704	498	0
Gtf2a1	599.000000	661	537	0
Eif4ebp1	599.000000	515	683	0
Alkbh5	598.000000	651	545	0
Slc31a2	597.500000	413	782	0
Med14	596.500000	513	680	0
Lypla1	596.500000	615	578	0
Zfp639	596.000000	856	336	0
Cpne2	596.000000	731	461	0
Thap4	595.500000	744	447	0
Sumo3	595.500000	501	690	0
Atg4b	595.500000	744	447	0
Smc6	595.000000	586	604	0
Noc2l	595.000000	497	693	0
Klhl17	595.000000	497	693	0
Gen1	595.000000	586	604	0
Whrn	594.500000	871	318	0
Shtn1	594.000000	383	805	0
Kbtbd13	593.500000	636	551	0
Bhlhe41	592.500000	626	559	0
Rnf149	591.500000	836	347	0
Plekhg1	591.000000	713	469	0
Gpbp1	590.500000	808	373	0
Ldha	590.000000	679	501	0
Herpud2	590.000000	745	435	0
Zbtb25	589.500000	772	407	0
Zbtb1	589.500000	772	407	0
Dap	587.000000	578	596	0
Tpbgl	586.500000	593	580	0
Tle1	584.500000	559	610	0
Prpsap1	584.500000	602	567	0
Fndc10	584.500000	643	526	0
Noct	584.000000	620	548	0
Cadm1	584.000000	711	457	0
Birc6	584.000000	542	626	0
Atg16l1	584.000000	580	588	0
Retreg2	583.500000	619	548	0
Cnppd1	583.500000	619	548	0
Tdrd7	583.000000	709	457	0
Il6st	583.000000	590	576	0
Arrdc3	582.500000	596	569	0
Rictor	582.000000	598	566	0
Dpysl2	582.000000	605	559	0
Ankrd11	582.000000	870	294	0
Smad6	581.500000	613	550	0
Asap1	581.500000	868	295	0
Aebp2	581.500000	945	218	0
Ppa1	580.500000	610	551	0
Aven	580.000000	635	525	0
Slc41a2	579.500000	818	341	0
Poglut3	579.000000	585	573	0
Satb2	578.500000	432	725	0
2610507B11Rik	578.500000	743	414	0
Josd1	578.000000	544	612	0
Gtpbp1	578.000000	544	612	0
2810459M11Rik	578.000000	524	632	0
Dipk2a	577.000000	548	606	0
Cln5	576.000000	690	462	0
Capza2	575.500000	791	360	0
Tfdp2	575.000000	900	250	0
Ptbp3	574.500000	724	425	0
Ube2cbp	572.000000	536	608	0
Dop1a	572.000000	536	608	0
Btbd1	572.000000	558	586	0
Gsr	571.500000	742	401	0
C2cd2	571.500000	572	571	0
Agps	571.500000	747	396	0
Hgh1	570.500000	493	648	0
Ss18	570.000000	603	537	0
Ptprm	569.000000	445	693	0
Ppp1cb	569.000000	790	348	0
Tnip2	568.000000	531	605	0
Sinhcaf	567.000000	549	585	0
Fam53b	567.000000	731	403	0
Slc30a3	566.000000	464	668	0
Tnp2	565.500000	514	617	0
Socs1	565.500000	514	617	0
Map4	564.500000	541	588	0
Pde4a	563.500000	496	631	0
Nup50	563.500000	456	671	0
Gnaq	563.500000	640	487	0
Tjp2	560.500000	691	430	0
Set	560.500000	711	410	0
Rxylt1	560.500000	610	511	0
Dag1	560.500000	725	396	0
Seh1l	558.500000	676	441	0
Adipor1	558.500000	605	512	0
Ube2n	558.000000	516	600	0
Kbtbd2	558.000000	723	393	0
Pdk1	557.500000	585	530	0
Pkd1	556.000000	596	516	0
Klf9	556.000000	621	491	0
Csde1	555.500000	481	630	0
Nbeal1	554.500000	459	650	0
Spred1	553.500000	856	251	0
A430005L14Rik	552.500000	508	597	0
Uri1	552.000000	701	403	0
Larp1b	551.500000	663	440	0
Srsf10	551.000000	635	467	0
Rgmb	551.000000	692	410	0
Nme4	551.000000	615	487	0
Nfic	551.000000	608	494	0
Larp1	551.000000	697	405	0
Fosl2	550.500000	682	419	0
Gars	550.000000	495	605	0
Sik2	549.500000	715	384	0
Tbc1d9b	549.000000	618	480	0
Cox5a	549.000000	592	506	0
Tmem266	547.000000	490	604	0
Chd1l	547.000000	501	593	0
Adss	546.000000	656	436	0
Smyd2	545.500000	729	362	0
Pip4p2	545.500000	509	582	0
Zcwpw1	545.000000	560	530	0
Mepce	545.000000	560	530	0
Dap3	544.500000	571	518	0
Usp1	544.000000	484	604	0
Rint1	544.000000	645	443	0
Pus7	544.000000	645	443	0
Pld2	543.500000	554	533	0
Tiparp	543.000000	559	527	0
Fcho2	543.000000	625	461	0
