Target_genes	Zfp217|Average	SRX868619|ES_cells	STRING
Tspan4	406.000000	406	0
Sun1	406.000000	406	0
Sptan1	406.000000	406	0
Rhbdf2	406.000000	406	0
Polr2l	406.000000	406	0
Otub1	406.000000	406	0
Klhl20	406.000000	406	0
Fam207a	406.000000	406	0
Ect2	406.000000	406	0
Commd8	406.000000	406	0
Arpc1b	406.000000	406	0
Acaa2	406.000000	406	0
Uchl5	405.000000	405	0
Tgfbrap1	405.000000	405	0
Tamm41	405.000000	405	0
Stk19	405.000000	405	0
Ro60	405.000000	405	0
Rbfa	405.000000	405	0
Plec	405.000000	405	0
Ngly1	405.000000	405	0
Kat7	405.000000	405	0
Grhpr	405.000000	405	0
Dxo	405.000000	405	0
AI597479	405.000000	405	0
Tspan10	404.000000	404	0
Rmi2	404.000000	404	0
Pum2	404.000000	404	0
Ppp2r3a	404.000000	404	0
Orai3	404.000000	404	0
Nploc4	404.000000	404	0
Med4	404.000000	404	0
Kif15	404.000000	404	0
Galnt10	404.000000	404	0
Dync1h1	404.000000	404	0
Arfgap1	404.000000	404	0
Anxa11	404.000000	404	0
1110059G10Rik	404.000000	404	0
Zmym2	403.000000	403	0
Tmem19	403.000000	403	0
Snap47	403.000000	403	0
Ppp2r5d	403.000000	403	0
Nup54	403.000000	403	0
Nup210	403.000000	403	0
Mrpl12	403.000000	403	0
Jmjd4	403.000000	403	0
Ipo7	403.000000	403	0
Gmds	403.000000	403	0
Dtd1	403.000000	403	0
Ccdc77	403.000000	403	0
2610524H06Rik	403.000000	403	0
Tkt	402.000000	402	0
Rpap3	402.000000	402	0
Ppih	402.000000	402	0
Mroh1	402.000000	402	0
Gdpgp1	402.000000	402	0
Entpd5	402.000000	402	0
Dr1	402.000000	402	0
Clic4	402.000000	402	0
Cib1	402.000000	402	0
Bbof1	402.000000	402	0
Atg5	402.000000	402	0
Aplf	402.000000	402	0
Wdr43	401.000000	401	0
Uqcrc2	401.000000	401	0
Stx1a	401.000000	401	0
Simc1	401.000000	401	0
Pikfyve	401.000000	401	0
Nfkbiz	401.000000	401	0
Med15	401.000000	401	0
Idh1	401.000000	401	0
Grpel2	401.000000	401	0
Fzd7	401.000000	401	0
Dennd4c	401.000000	401	0
Zfp960	400.000000	400	0
Slc35b3	400.000000	400	0
Rassf3	400.000000	400	0
Polr3h	400.000000	400	0
Parn	400.000000	400	0
Mapk8ip3	400.000000	400	0
Herpud1	400.000000	400	0
Gm9949	400.000000	400	0
Edem3	400.000000	400	0
Bfar	400.000000	400	0
Avl9	400.000000	400	0
Adrb2	400.000000	400	0
Abl2	400.000000	400	0
Sptbn4	399.000000	399	0
Rpl22l1	399.000000	399	0
Pot1a	399.000000	399	0
Nudt16l1	399.000000	399	0
Hgsnat	399.000000	399	0
Haus1	399.000000	399	0
Gpatch2l	399.000000	399	0
Ddx56	399.000000	399	0
Ddit4l	399.000000	399	0
Ccdc171	399.000000	399	0
Blvrb	399.000000	399	0
9430015G10Rik	399.000000	399	0
Sec13	398.000000	398	0
Ppp4r2	398.000000	398	0
Mbd3	398.000000	398	0
Kdm3a	398.000000	398	0
Gm51425	398.000000	398	0
BC029722	398.000000	398	0
Aunip	398.000000	398	0
Arpp19	398.000000	398	0
Vps37a	397.000000	397	0
Uxs1	397.000000	397	0
Tmx3	397.000000	397	0
Tmem175	397.000000	397	0
Sh3rf1	397.000000	397	0
Ppp1r3e	397.000000	397	0
Pelo	397.000000	397	0
Noc2l	397.000000	397	0
Klhl17	397.000000	397	0
Gak	397.000000	397	0
Edf1	397.000000	397	0
Cnot7	397.000000	397	0
Camsap2	397.000000	397	0
Armc1	397.000000	397	0
1810013L24Rik	397.000000	397	0
Smg9	396.000000	396	0
Sema4f	396.000000	396	0
Macrod2	396.000000	396	0
Gm6710	396.000000	396	0
Gm14391	396.000000	396	0
Etfdh	396.000000	396	0
Cdc42ep4	396.000000	396	0
Car5a	396.000000	396	0
Banp	396.000000	396	0
4930579G24Rik	396.000000	396	0
Zfp292	395.000000	395	0
Vps13a	395.000000	395	0
Tsnaxip1	395.000000	395	0
Smg1	395.000000	395	0
Sec61g	395.000000	395	0
Ranbp10	395.000000	395	0
Polr2c	395.000000	395	0
Ldha	395.000000	395	0
Golga3	395.000000	395	0
Fam118a	395.000000	395	0
1810055G02Rik	395.000000	395	0
Thap7	394.000000	394	0
Sumf2	394.000000	394	0
Rab18	394.000000	394	0
Myo10	394.000000	394	0
Mrpl9	394.000000	394	0
Mettl9	394.000000	394	0
Kansl3	394.000000	394	0
Gstm1	394.000000	394	0
Gm1070	394.000000	394	0
Glcci1	394.000000	394	0
Fpgs	394.000000	394	0
Fer1l5	394.000000	394	0
Bms1	394.000000	394	0
Bcdin3d	394.000000	394	0
Acad12	394.000000	394	0
Zfp1	393.000000	393	0
Xxylt1	393.000000	393	0
Trappc6b	393.000000	393	0
Snrnp48	393.000000	393	0
Slc15a4	393.000000	393	0
Scamp5	393.000000	393	0
Rps6ka2	393.000000	393	0
Nmt2	393.000000	393	0
Gch1	393.000000	393	0
Fra10ac1	393.000000	393	0
Flywch1	393.000000	393	0
Fcsk	393.000000	393	0
Ctps	393.000000	393	0
Cpt2	393.000000	393	0
Ccdc9	393.000000	393	0
Zswim4	392.000000	392	0
Zfand2a	392.000000	392	0
Tubd1	392.000000	392	0
Scp2	392.000000	392	0
Rrp15	392.000000	392	0
Rps6kb1	392.000000	392	0
Plxna1	392.000000	392	0
Noc4l	392.000000	392	0
Mpv17	392.000000	392	0
Hinfp	392.000000	392	0
Ddx51	392.000000	392	0
Cant1	392.000000	392	0
Ap1b1	392.000000	392	0
Afap1	392.000000	392	0
Zfp335	391.000000	391	0
Zbtb43	391.000000	391	0
Ubtf	391.000000	391	0
Tprn	391.000000	391	0
Thoc5	391.000000	391	0
St6galnac3	391.000000	391	0
Slc5a3	391.000000	391	0
Ska1	391.000000	391	0
Rpl7	391.000000	391	0
Rdh10	391.000000	391	0
Ptpdc1	391.000000	391	0
Mrps6	391.000000	391	0
Mrps35	391.000000	391	0
Ints3	391.000000	391	0
Gng7	391.000000	391	0
Dus4l	391.000000	391	0
Cog5	391.000000	391	0
Cep131	391.000000	391	0
Zcchc17	390.000000	390	0
Ugp2	390.000000	390	0
Tmem87a	390.000000	390	0
Srd5a3	390.000000	390	0
Snrnp40	390.000000	390	0
Pigyl	390.000000	390	0
Ncaph	390.000000	390	0
Mylip	390.000000	390	0
Map3k2	390.000000	390	0
Klf1	390.000000	390	0
Ganc	390.000000	390	0
Cnot8	390.000000	390	0
Capza2	390.000000	390	0
Ahsa2	390.000000	390	0
Abcb1b	390.000000	390	0
Washc2	389.000000	389	0
Ube2n	389.000000	389	0
Ube2c	389.000000	389	0
Sugp1	389.000000	389	0
Stk40	389.000000	389	0
Snx4	389.000000	389	0
Smc5	389.000000	389	0
Rps13	389.000000	389	0
Pin1	389.000000	389	0
Pheta1	389.000000	389	0
Parp2	389.000000	389	0
Nob1	389.000000	389	0
Nit2	389.000000	389	0
Mau2	389.000000	389	0
Lancl2	389.000000	389	0
Gm5784	389.000000	389	0
Anapc15	389.000000	389	0
Akr1b3	389.000000	389	0
Zfp251	388.000000	388	0
Yif1b	388.000000	388	0
Uqcrc1	388.000000	388	0
Uhmk1	388.000000	388	0
Tnpo3	388.000000	388	0
Slc5a5	388.000000	388	0
Slc25a3	388.000000	388	0
Shq1	388.000000	388	0
Rpl3l	388.000000	388	0
Rpl18a	388.000000	388	0
Rap1b	388.000000	388	0
Pofut2	388.000000	388	0
Phactr4	388.000000	388	0
Npat	388.000000	388	0
Msrb1	388.000000	388	0
Mrps16	388.000000	388	0
Mrpl27	388.000000	388	0
Kbtbd2	388.000000	388	0
Hsd17b7	388.000000	388	0
Eme1	388.000000	388	0
Dnajc9	388.000000	388	0
Diaph1	388.000000	388	0
Dhdds	388.000000	388	0
Cenpa	388.000000	388	0
Atm	388.000000	388	0
Ano6	388.000000	388	0
AW146154	388.000000	388	0
Ubr2	387.000000	387	0
Ube2d2a	387.000000	387	0
Tut7	387.000000	387	0
Stk11	387.000000	387	0
Specc1	387.000000	387	0
Rfc2	387.000000	387	0
Pkn1	387.000000	387	0
Med1	387.000000	387	0
Man1a2	387.000000	387	0
Ilf2	387.000000	387	0
Creld2	387.000000	387	0
Cd2ap	387.000000	387	0
Ccnb1	387.000000	387	0
Alg12	387.000000	387	0
Zfp36	386.000000	386	0
Washc5	386.000000	386	0
Tufm	386.000000	386	0
Psmd11	386.000000	386	0
Prr12	386.000000	386	0
Pafah1b2	386.000000	386	0
Nsmce2	386.000000	386	0
Lin7c	386.000000	386	0
Larp4b	386.000000	386	0
Bckdhb	386.000000	386	0
1110004F10Rik	386.000000	386	0
Zcwpw1	385.000000	385	0
Utp14a	385.000000	385	0
Syncrip	385.000000	385	0
Slc35e3	385.000000	385	0
Pip4k2c	385.000000	385	0
Mepce	385.000000	385	0
Kif11	385.000000	385	0
Frat2	385.000000	385	0
Elp1	385.000000	385	0
Ctc1	385.000000	385	0
Cryl1	385.000000	385	0
Bloc1s4	385.000000	385	0
Blcap	385.000000	385	0
Abitram	385.000000	385	0
Vps13c	384.000000	384	0
Sdhc	384.000000	384	0
Sbf1	384.000000	384	0
Pgd	384.000000	384	0
Mtch2	384.000000	384	0
Mpz	384.000000	384	0
Mphosph10	384.000000	384	0
Mmp11	384.000000	384	0
Mia2	384.000000	384	0
Mcee	384.000000	384	0
Cnnm2	384.000000	384	0
Chchd10	384.000000	384	0
Ccna2	384.000000	384	0
Tmed5	383.000000	383	0
Smg8	383.000000	383	0
Sf3b3	383.000000	383	0
Rnf32	383.000000	383	0
Plag1	383.000000	383	0
Pank3	383.000000	383	0
Ogdhl	383.000000	383	0
Nme4	383.000000	383	0
Mtfr1	383.000000	383	0
Mterf1a	383.000000	383	0
Gm10033	383.000000	383	0
Dcun1d5	383.000000	383	0
Cog4	383.000000	383	0
Ccdc18	383.000000	383	0
Cabyr	383.000000	383	0
Vtn	382.000000	382	0
Tmed1	382.000000	382	0
Sucla2	382.000000	382	0
Snu13	382.000000	382	0
Slc25a28	382.000000	382	0
Shank3	382.000000	382	0
Sfxn2	382.000000	382	0
Sarm1	382.000000	382	0
Rft1	382.000000	382	0
Ppp1r18	382.000000	382	0
Ppil2	382.000000	382	0
Nudt15	382.000000	382	0
Nrm	382.000000	382	0
Josd1	382.000000	382	0
Gtpbp1	382.000000	382	0
Gm867	382.000000	382	0
Gm2a	382.000000	382	0
Gm14410	382.000000	382	0
Cfap410	382.000000	382	0
Atp6v1g1	382.000000	382	0
Arl3	382.000000	382	0
4930430F08Rik	382.000000	382	0
1700017N19Rik	382.000000	382	0
Vapa	381.000000	381	0
Unc5b	381.000000	381	0
Ubn2	381.000000	381	0
Tfb2m	381.000000	381	0
Tet3	381.000000	381	0
Rybp	381.000000	381	0
Rfc1	381.000000	381	0
Rab1a	381.000000	381	0
Lamtor4	381.000000	381	0
Kpna4	381.000000	381	0
Haghl	381.000000	381	0
Cnst	381.000000	381	0
Ccdc78	381.000000	381	0
Adh5	381.000000	381	0
Usp53	380.000000	380	0
Ubtd2	380.000000	380	0
Trpm7	380.000000	380	0
Tmem126a	380.000000	380	0
Tmem106c	380.000000	380	0
Sfr1	380.000000	380	0
Rnf113a2	380.000000	380	0
Nars2	380.000000	380	0
Hells	380.000000	380	0
Eif4h	380.000000	380	0
Dnajc25	380.000000	380	0
Chga	380.000000	380	0
Bard1	380.000000	380	0
Arf3	380.000000	380	0
Yipf1	379.000000	379	0
Ubxn4	379.000000	379	0
Txndc12	379.000000	379	0
Spc25	379.000000	379	0
Smad4	379.000000	379	0
Romo1	379.000000	379	0
Prpsap1	379.000000	379	0
Ostc	379.000000	379	0
Nfs1	379.000000	379	0
G6pc2	379.000000	379	0
Dusp6	379.000000	379	0
Dph7	379.000000	379	0
Cox10	379.000000	379	0
Cdt1	379.000000	379	0
Btf3l4	379.000000	379	0
Zdhhc16	378.000000	378	0
Ttc27	378.000000	378	0
Thop1	378.000000	378	0
Rnf216	378.000000	378	0
Ppib	378.000000	378	0
Inpp5k	378.000000	378	0
Fnbp1	378.000000	378	0
Exosc1	378.000000	378	0
Cyb5r4	378.000000	378	0
Cse1l	378.000000	378	0
Tubb5	377.000000	377	0
Tmem184b	377.000000	377	0
Tcp1	377.000000	377	0
Recql4	377.000000	377	0
Rab3gap2	377.000000	377	0
Pttg1ip	377.000000	377	0
Naa25	377.000000	377	0
Mrpl4	377.000000	377	0
Mrpl37	377.000000	377	0
Mrpl18	377.000000	377	0
Mdc1	377.000000	377	0
Mcat	377.000000	377	0
Malt1	377.000000	377	0
Lrrc14	377.000000	377	0
Kctd18	377.000000	377	0
Kazald1	377.000000	377	0
Hmbs	377.000000	377	0
Flot2	377.000000	377	0
Fchsd2	377.000000	377	0
Dcaf10	377.000000	377	0
Cyb5rl	377.000000	377	0
Abcc10	377.000000	377	0
Aatf	377.000000	377	0
Zfp286	376.000000	376	0
Slain1	376.000000	376	0
Sec24a	376.000000	376	0
Rere	376.000000	376	0
Plekhm1	376.000000	376	0
Pik3cb	376.000000	376	0
Mettl8	376.000000	376	0
Mapkapk2	376.000000	376	0
Lrba	376.000000	376	0
Kcnu1	376.000000	376	0
Hadhb	376.000000	376	0
Hadha	376.000000	376	0
Ddt	376.000000	376	0
Dcaf17	376.000000	376	0
Atmin	376.000000	376	0
Ash2l	376.000000	376	0
Uqcc1	375.000000	375	0
Uhrf2	375.000000	375	0
Tube1	375.000000	375	0
Tkfc	375.000000	375	0
Smug1	375.000000	375	0
Rc3h1	375.000000	375	0
Hint1	375.000000	375	0
Fam229b	375.000000	375	0
Dennd6a	375.000000	375	0
Ddb1	375.000000	375	0
Cog6	375.000000	375	0
Cldn34d	375.000000	375	0
Ankrd46	375.000000	375	0
Xpot	374.000000	374	0
Tssk1	374.000000	374	0
Thap12	374.000000	374	0
Strbp	374.000000	374	0
Stk17b	374.000000	374	0
Phlpp2	374.000000	374	0
Mkrn2	374.000000	374	0
Mia3	374.000000	374	0
Mamstr	374.000000	374	0
Ksr1	374.000000	374	0
Kin	374.000000	374	0
Jak1	374.000000	374	0
Gm12569	374.000000	374	0
Elp6	374.000000	374	0
Dgcr2	374.000000	374	0
Chd5	374.000000	374	0
B3gat3	374.000000	374	0
Atp5c1	374.000000	374	0
Ttc21a	373.000000	373	0
Tmem238	373.000000	373	0
Them4	373.000000	373	0
Sfxn4	373.000000	373	0
Rpl28	373.000000	373	0
Reep6	373.000000	373	0
Rcl1	373.000000	373	0
Psma6	373.000000	373	0
Ppp2r5a	373.000000	373	0
Polg	373.000000	373	0
Plk5	373.000000	373	0
Pcsk4	373.000000	373	0
Mms22l	373.000000	373	0
Haus6	373.000000	373	0
Grk3	373.000000	373	0
Gorasp1	373.000000	373	0
Fbxo47	373.000000	373	0
Ccdc34	373.000000	373	0
Aurkaip1	373.000000	373	0
Zbtb21	372.000000	372	0
Wiz	372.000000	372	0
Tmem214	372.000000	372	0
Stac2	372.000000	372	0
Senp5	372.000000	372	0
Rpp40	372.000000	372	0
Pop5	372.000000	372	0
Pgp	372.000000	372	0
Ndufs5	372.000000	372	0
Mybbp1a	372.000000	372	0
Mon2	372.000000	372	0
Kif5b	372.000000	372	0
Ilkap	372.000000	372	0
Ikbip	372.000000	372	0
Hmgb2	372.000000	372	0
Gale	372.000000	372	0
Fam149b	372.000000	372	0
Ecd	372.000000	372	0
Crebrf	372.000000	372	0
Bricd5	372.000000	372	0
Apaf1	372.000000	372	0
Ankle2	372.000000	372	0
Akap5	372.000000	372	0
Zfp759	371.000000	371	0
Zfp358	371.000000	371	0
Usp8	371.000000	371	0
Tigd3	371.000000	371	0
Tbl2	371.000000	371	0
Slc37a3	371.000000	371	0
Rbm19	371.000000	371	0
Rab19	371.000000	371	0
Pdzd8	371.000000	371	0
Pdcd5	371.000000	371	0
Nptn	371.000000	371	0
Ing2	371.000000	371	0
Eif4g1	371.000000	371	0
Depdc1a	371.000000	371	0
Cstb	371.000000	371	0
Clasp2	371.000000	371	0
Cd9	371.000000	371	0
Atp5j2	371.000000	371	0
Afg3l2	371.000000	371	0
Adat1	371.000000	371	0
Uba2	370.000000	370	0
Tulp3	370.000000	370	0
Trak2	370.000000	370	0
Slc66a2	370.000000	370	0
Selenoo	370.000000	370	0
Rtkn2	370.000000	370	0
Rbm15b	370.000000	370	0
Rasgef1b	370.000000	370	0
Phtf1	370.000000	370	0
Pdcd7	370.000000	370	0
Manf	370.000000	370	0
Lars2	370.000000	370	0
Kdm5a	370.000000	370	0
Ifnar1	370.000000	370	0
Hspa2	370.000000	370	0
Gipc1	370.000000	370	0
Dad1	370.000000	370	0
Cwc25	370.000000	370	0
Cnot4	370.000000	370	0
Cisd2	370.000000	370	0
Cars2	370.000000	370	0
Cabp2	370.000000	370	0
Atp5a1	370.000000	370	0
Arih2	370.000000	370	0
Alkbh6	370.000000	370	0
4930402H24Rik	370.000000	370	0
Zdhhc12	369.000000	369	0
Ylpm1	369.000000	369	0
Trim35	369.000000	369	0
Snx2	369.000000	369	0
Ncan	369.000000	369	0
Hibch	369.000000	369	0
Dpysl2	369.000000	369	0
Dnajc12	369.000000	369	0
Anln	369.000000	369	0
9530077C05Rik	369.000000	369	0
Zfp329	368.000000	368	0
St6galnac6	368.000000	368	0
Srsf11	368.000000	368	0
Slc25a51	368.000000	368	0
Sigmar1	368.000000	368	0
Selenoh	368.000000	368	0
Prmt5	368.000000	368	0
Ndufa10	368.000000	368	0
Mcoln1	368.000000	368	0
Lrrc40	368.000000	368	0
Hgh1	368.000000	368	0
Fancd2	368.000000	368	0
F2r	368.000000	368	0
Etaa1	368.000000	368	0
Emc3	368.000000	368	0
Eef1aknmt	368.000000	368	0
Csk	368.000000	368	0
Ccne1	368.000000	368	0
Ccm2	368.000000	368	0
Ccdc17	368.000000	368	0
Atp6v0c	368.000000	368	0
Amdhd2	368.000000	368	0
Agl	368.000000	368	0
Adipor1	368.000000	368	0
Actr5	368.000000	368	0
1700017B05Rik	368.000000	368	0
Vamp4	367.000000	367	0
Trp53inp2	367.000000	367	0
Sptlc2	367.000000	367	0
Pacc1	367.000000	367	0
Mtmr3	367.000000	367	0
Mrps24	367.000000	367	0
Mospd3	367.000000	367	0
Mfsd13b	367.000000	367	0
Iqgap1	367.000000	367	0
Faim	367.000000	367	0
Faf1	367.000000	367	0
Eif2ak3	367.000000	367	0
Cetn4	367.000000	367	0
Cdr2	367.000000	367	0
Bex4	367.000000	367	0
Bbs12	367.000000	367	0
Wdr76	366.000000	366	0
Slc2a4	366.000000	366	0
Rpl26	366.000000	366	0
Pfkp	366.000000	366	0
Orc4	366.000000	366	0
Nsun4	366.000000	366	0
Nanog	366.000000	366	0
Mfap1a	366.000000	366	0
Mbd5	366.000000	366	0
Kif7	366.000000	366	0
Hdhd5	366.000000	366	0
Eef1akmt4-ece2	366.000000	366	0
Eef1akmt4	366.000000	366	0
Coq8a	366.000000	366	0
Camta1	366.000000	366	0
C77080	366.000000	366	0
Ankrd39	366.000000	366	0
Alg3	366.000000	366	0
1810010H24Rik	366.000000	366	0
Tmem129	365.000000	365	0
Timeless	365.000000	365	0
Tesk2	365.000000	365	0
Tacc3	365.000000	365	0
Rbm39	365.000000	365	0
Prkca	365.000000	365	0
Prdx3	365.000000	365	0
Pdcd4	365.000000	365	0
Paf1	365.000000	365	0
Nampt	365.000000	365	0
Med29	365.000000	365	0
Isyna1	365.000000	365	0
Hip1	365.000000	365	0
Dyrk3	365.000000	365	0
Drg2	365.000000	365	0
Dop1b	365.000000	365	0
Cyp20a1	365.000000	365	0
Bcl10	365.000000	365	0
Appl2	365.000000	365	0
Synpo2l	364.000000	364	0
Sugct	364.000000	364	0
Snx29	364.000000	364	0
Sdhaf3	364.000000	364	0
Rsbn1l	364.000000	364	0
Rdh13	364.000000	364	0
Nkapl	364.000000	364	0
Myoz1	364.000000	364	0
Mplkip	364.000000	364	0
Mideas	364.000000	364	0
Kmt5b	364.000000	364	0
Denr	364.000000	364	0
Cmas	364.000000	364	0
Bloc1s5	364.000000	364	0
Ube2a	363.000000	363	0
Tmem161b	363.000000	363	0
Sned1	363.000000	363	0
Rab3d	363.000000	363	0
Ppil4	363.000000	363	0
Ensa	363.000000	363	0
Cers4	363.000000	363	0
Zfp354c	362.000000	362	0
Troap	362.000000	362	0
Pprc1	362.000000	362	0
Pgam5	362.000000	362	0
Lamtor3	362.000000	362	0
Cpeb2	362.000000	362	0
Amacr	362.000000	362	0
Adora2b	362.000000	362	0
Zfp821	361.000000	361	0
Zfp637	361.000000	361	0
Tiprl	361.000000	361	0
Tec	361.000000	361	0
Taf4	361.000000	361	0
Tacc1	361.000000	361	0
Scd2	361.000000	361	0
Rabac1	361.000000	361	0
Ptpra	361.000000	361	0
Mto1	361.000000	361	0
Lmbr1l	361.000000	361	0
Ist1	361.000000	361	0
Fam234a	361.000000	361	0
Ddost	361.000000	361	0
Crtac1	361.000000	361	0
Coa4	361.000000	361	0
Chek1	361.000000	361	0
Cgas	361.000000	361	0
B4galnt3	361.000000	361	0
Zfp82	360.000000	360	0
Zfp53	360.000000	360	0
Zbtb41	360.000000	360	0
Tspan31	360.000000	360	0
Sugp2	360.000000	360	0
Rbbp7	360.000000	360	0
Ndufb8	360.000000	360	0
Ncapd3	360.000000	360	0
Napa	360.000000	360	0
Mfsd13a	360.000000	360	0
Kat8	360.000000	360	0
H13	360.000000	360	0
Dis3l	360.000000	360	0
Cnot6l	360.000000	360	0
Celsr3	360.000000	360	0
Armc6	360.000000	360	0
Agap1	360.000000	360	0
Xrcc5	359.000000	359	0
Vcp	359.000000	359	0
Uso1	359.000000	359	0
Txnrd1	359.000000	359	0
Tead1	359.000000	359	0
Sufu	359.000000	359	0
Stard7	359.000000	359	0
Snf8	359.000000	359	0
Serinc5	359.000000	359	0
Ptar1	359.000000	359	0
Ppp1r12b	359.000000	359	0
Nbeal1	359.000000	359	0
Isy1	359.000000	359	0
Homez	359.000000	359	0
G3bp2	359.000000	359	0
Chd1	359.000000	359	0
Actr1a	359.000000	359	0
Abhd2	359.000000	359	0
Zscan25	358.000000	358	0
Ube3c	358.000000	358	0
Rrn3	358.000000	358	0
Rpl19	358.000000	358	0
Rad54l2	358.000000	358	0
Prodh	358.000000	358	0
Naa50	358.000000	358	0
Creb1	358.000000	358	0
Chrac1	358.000000	358	0
Cacnb1	358.000000	358	0
Atp6v1a	358.000000	358	0
Apcdd1	358.000000	358	0
Zfp982	357.000000	357	0
Vmac	357.000000	357	0
Ttll12	357.000000	357	0
Tarbp2	357.000000	357	0
Taldo1	357.000000	357	0
Slc39a1	357.000000	357	0
Slc35e1	357.000000	357	0
Slc1a4	357.000000	357	0
Nr2c2	357.000000	357	0
Ndufa11	357.000000	357	0
Map3k12	357.000000	357	0
Lig4	357.000000	357	0
Krit1	357.000000	357	0
Krba1	357.000000	357	0
Ids	357.000000	357	0
Hspa12a	357.000000	357	0
Hsbp1	357.000000	357	0
Gm45871	357.000000	357	0
Ggt7	357.000000	357	0
Fbrs	357.000000	357	0
Eno4	357.000000	357	0
Eif5	357.000000	357	0
Eif4enif1	357.000000	357	0
D2hgdh	357.000000	357	0
Creb3l4	357.000000	357	0
Cct5	357.000000	357	0
Ccnq	357.000000	357	0
Cbll1	357.000000	357	0
Calm2	357.000000	357	0
Btbd2	357.000000	357	0
Atpsckmt	357.000000	357	0
Atg12	357.000000	357	0
Atf7ip2	357.000000	357	0
Arid3b	357.000000	357	0
Ap3s1	357.000000	357	0
Ankib1	357.000000	357	0
Acss2	357.000000	357	0
Abhd13	357.000000	357	0
Aaas	357.000000	357	0
Ube3a	356.000000	356	0
Uba6	356.000000	356	0
Sqle	356.000000	356	0
Sppl2b	356.000000	356	0
Sar1a	356.000000	356	0
Otud1	356.000000	356	0
Mrpl45	356.000000	356	0
Lsm7	356.000000	356	0
Kansl2	356.000000	356	0
Hdhd3	356.000000	356	0
Gadd45gip1	356.000000	356	0
Eea1	356.000000	356	0
Bnip2	356.000000	356	0
Bcl2l11	356.000000	356	0
Arf2	356.000000	356	0
2310009B15Rik	356.000000	356	0
2300009A05Rik	356.000000	356	0
Vps11	355.000000	355	0
Tbc1d10c	355.000000	355	0
Ssb	355.000000	355	0
Spint2	355.000000	355	0
Ppp1ca	355.000000	355	0
Palb2	355.000000	355	0
Nfatc2ip	355.000000	355	0
Nelfcd	355.000000	355	0
Mertk	355.000000	355	0
Leng1	355.000000	355	0
Kif18b	355.000000	355	0
Jup	355.000000	355	0
Esyt3	355.000000	355	0
Edc3	355.000000	355	0
Dctn5	355.000000	355	0
Cdca4	355.000000	355	0
C2cd5	355.000000	355	0
Bub3	355.000000	355	0
Acer2	355.000000	355	0
Wdhd1	354.000000	354	0
Togaram1	354.000000	354	0
Tmpo	354.000000	354	0
St6galnac4	354.000000	354	0
Socs4	354.000000	354	0
Psmf1	354.000000	354	0
Pfkl	354.000000	354	0
Mtfr2	354.000000	354	0
Micu1	354.000000	354	0
Klhl28	354.000000	354	0
Ipo8	354.000000	354	0
Dkc1	354.000000	354	0
Cox5a	354.000000	354	0
Cd2bp2	354.000000	354	0
Arl5a	354.000000	354	0
Zscan12	353.000000	353	0
Zfp87	353.000000	353	0
Zbtb3	353.000000	353	0
Ttc38	353.000000	353	0
Spata2	353.000000	353	0
Sh3bgrl3	353.000000	353	0
Rnf185	353.000000	353	0
Rnf114	353.000000	353	0
Rer1	353.000000	353	0
Ptcd2	353.000000	353	0
Polr2g	353.000000	353	0
Ociad1	353.000000	353	0
Nectin3	353.000000	353	0
Mrps27	353.000000	353	0
Mrps21	353.000000	353	0
Mreg	353.000000	353	0
Morn1	353.000000	353	0
Idh3a	353.000000	353	0
Hpf1	353.000000	353	0
Gsta4	353.000000	353	0
Epn2	353.000000	353	0
Efcab12	353.000000	353	0
Dnajb6	353.000000	353	0
Cul4b	353.000000	353	0
Cgn	353.000000	353	0
Cep83	353.000000	353	0
Bex2	353.000000	353	0
Apc	353.000000	353	0
AU041133	353.000000	353	0
4932438A13Rik	353.000000	353	0
Zyg11b	352.000000	352	0
Zscan10	352.000000	352	0
Zfp296	352.000000	352	0
Zfp13	352.000000	352	0
Wnt9a	352.000000	352	0
Trpc4ap	352.000000	352	0
Susd6	352.000000	352	0
Slco4a1	352.000000	352	0
Rpl7l1	352.000000	352	0
Psd	352.000000	352	0
Ppp2r2a	352.000000	352	0
Noc3l	352.000000	352	0
Mnat1	352.000000	352	0
Gemin7	352.000000	352	0
Fnbp4	352.000000	352	0
Fem1b	352.000000	352	0
Fbxl15	352.000000	352	0
Fam110a	352.000000	352	0
Emc7	352.000000	352	0
Ddx42	352.000000	352	0
Ccdc47	352.000000	352	0
Bicd2	352.000000	352	0
Atp5l	352.000000	352	0
Ulk2	351.000000	351	0
Tmod3	351.000000	351	0
Tmem116	351.000000	351	0
Timm44	351.000000	351	0
Selenof	351.000000	351	0
Rock2	351.000000	351	0
Prmt2	351.000000	351	0
Primpol	351.000000	351	0
Plcb3	351.000000	351	0
Pdia4	351.000000	351	0
Pdcl3	351.000000	351	0
Nsun6	351.000000	351	0
Ilrun	351.000000	351	0
Hs2st1	351.000000	351	0
Gnb1l	351.000000	351	0
Erp29	351.000000	351	0
Epb41l2	351.000000	351	0
Col18a1	351.000000	351	0
Cdk7	351.000000	351	0
Casp3	351.000000	351	0
BC048403	351.000000	351	0
Atg101	351.000000	351	0
Arl5b	351.000000	351	0
Actr1b	351.000000	351	0
4933424G06Rik	351.000000	351	0
Zar1l	350.000000	350	0
Tmem64	350.000000	350	0
Suz12	350.000000	350	0
Strip1	350.000000	350	0
Slc6a6	350.000000	350	0
Rbm6	350.000000	350	0
Rala	350.000000	350	0
Pxylp1	350.000000	350	0
Pam16	350.000000	350	0
